Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Elías Hernández,mx MEX,"MF,DF",35-245,11,10,702.0,7.8,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.7,2.3,18.0,44.0,49.0,0.0,0.38,0.38,0.0,0.38,0.08,0.22,0.3,0.08,0.3,Matches
Nicolás López,uy URU,"FW,MF",30-090,12,8,689.0,7.7,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.8,2.8,2.1,4.9,25.0,28.0,63.0,0.39,0.13,0.52,0.39,0.52,0.36,0.28,0.64,0.36,0.64,Matches
Fidel Ambríz,mx MEX,MF,20-284,11,7,703.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,2.5,14.0,37.0,9.0,0.13,0.0,0.13,0.13,0.13,0.16,0.16,0.32,0.16,0.32,Matches
Jaine Barreiro,co COL,DF,29-194,7,7,628.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,0.4,2.2,15.0,48.0,12.0,0.14,0.14,0.29,0.14,0.29,0.26,0.06,0.32,0.26,0.32,Matches
Paul Bellón,mx MEX,DF,26-209,7,6,585.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,1.0,12.0,2.0,0.15,0.0,0.15,0.15,0.15,0.04,0.0,0.04,0.04,0.04,Matches
José David Ramírez,mx MEX,"DF,MF",28-016,14,6,576.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,20.0,33.0,60.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.02,0.11,Matches
Brian Rubio,mx MEX,FW,27-051,11,3,445.0,4.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.9,1.9,0.2,2.1,8.0,10.0,27.0,0.2,0.2,0.4,0.2,0.4,0.39,0.04,0.43,0.39,0.43,Matches
Borja Sánchez Laborde,es ESP,"MF,DF",27-307,8,3,354.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.7,11.0,23.0,33.0,0.25,0.0,0.25,0.25,0.25,0.13,0.06,0.19,0.13,0.19,Matches
Víctor Dávila,cl CHI,FW,26-056,3,3,256.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,7.0,20.0,29.0,0.0,0.35,0.35,0.0,0.35,0.25,0.13,0.38,0.25,0.38,Matches
Omar Fernández Frasica,co COL,"MF,FW",30-322,14,2,357.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,1.0,2.4,13.0,28.0,25.0,0.25,0.25,0.5,0.25,0.5,0.36,0.25,0.6,0.36,0.6,Matches
Jesús Angulo,mx MEX,MF,26-313,2,2,160.0,1.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,3.0,10.0,12.0,0.56,0.56,1.13,0.56,1.13,0.14,0.53,0.68,0.14,0.68,Matches
Héctor Uribe,mx MEX,"MF,DF",19-209,6,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.3,0.0,0.3,5.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Sebastian Santos,mx MEX,"FW,MF",20-343,3,1,125.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,7.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Alfonso Blanco Antúnez,mx MEX,GK,36-152,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luís Cervantes,mx MEX,DF,22-324,4,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oscar Villa,mx MEX,DF,22-309,2,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Budib,mx MEX,DF,19-267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Oscar Garcia,mx MEX,GK,20-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jose Salazar,mx MEX,FW,21-112,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.0,17,187,1530.0,17.0,22.0,18.0,40.0,22.0,0.0,0.0,33.0,3.0,24.2,24.2,19.4,43.6,340.0,753.0,745.0,1.29,1.06,2.35,1.29,2.35,1.42,1.14,2.56,1.42,2.56,
Opponent Total,,,28.1,17,187,1530.0,17.0,21.0,16.0,37.0,19.0,2.0,3.0,49.0,8.0,17.9,15.6,13.2,28.8,225.0,554.0,550.0,1.24,0.94,2.18,1.12,2.06,1.05,0.78,1.83,0.91,1.69,
