Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Nicolás Reniero,ar ARG,"FW,MF",27.0,11,3,451.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.7,1.4,7.0,11.0,32.0,0.2,0.2,0.4,0.2,0.4,0.15,0.13,0.29,0.15,0.29,Matches
Óscar Opazo,cl CHI,DF,32.0,7,3,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,6.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Matías Tagliamonte,ar ARG,GK,24.0,4,3,296.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tobías Rubio,ar ARG,"MF,DF",18.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Iván Pillud,ar ARG,"DF,MF",36.0,9,2,401.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,5.0,17.0,25.0,0.22,0.22,0.45,0.22,0.45,0.01,0.03,0.04,0.01,0.04,Matches
Agustin Ojeda,ar ARG,FW,18.0,5,2,174.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.5,12.0,7.0,19.0,0.52,0.0,0.52,0.52,0.52,0.24,0.03,0.28,0.24,0.28,Matches
Héctor Fértoli,ar ARG,"FW,MF",28.0,6,1,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,4.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.02,0.37,0.39,0.02,0.39,Matches
Edwin Cardona,co COL,"FW,MF",30.0,5,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,6.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches
Juan Cáceres,py PAR,DF,22.0,1,1,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Catriel Cabellos,pe PER,"MF,FW",18.0,5,0,113.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3,1.3,3.0,6.0,8.0,0.0,0.8,0.8,0.0,0.8,0.0,1.04,1.04,0.0,1.04,Matches
Tomás Pérez,ar ARG,FW,16.0,5,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,1.07,1.07,1.07,Matches
Santino Vera,ar ARG,"MF,FW",16.0,3,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Román Fernández,ar ARG,FW,17.0,3,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.62,0.62,Matches
Ignacio Galván,ar ARG,DF,20.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ramiro Degregorio,ar ARG,FW,19.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches
Milton Giovanni Cantero,ar ARG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolas Kozlovsky,ar ARG,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Roberto León,ar ARG,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.3,27,297,2430.0,27.0,36.0,24.0,60.0,32.0,4.0,5.0,69.0,5.0,30.4,26.4,21.6,48.1,391.0,1201.0,1197.0,1.33,0.89,2.22,1.19,2.07,1.12,0.8,1.93,0.98,1.78,
Opponent Total,,,27.0,27,297,2430.0,27.0,35.0,24.0,59.0,33.0,2.0,2.0,77.0,7.0,35.0,33.4,27.0,60.4,372.0,807.0,802.0,1.3,0.89,2.19,1.22,2.11,1.3,1.0,2.29,1.24,2.24,
