Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Jhonatan Jowjow,br BRA,"MF,FW",20.0,20,8,891.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.9,4.1,16.0,37.0,37.0,0.0,0.1,0.1,0.0,0.1,0.12,0.29,0.41,0.12,0.41,Matches
José López,ar ARG,"FW,MF",22.0,22,5,591.0,6.6,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,3.5,3.5,0.7,4.2,13.0,19.0,36.0,0.76,0.0,0.76,0.76,0.76,0.54,0.1,0.64,0.54,0.64,Matches
Kaiky Naves,br BRA,"DF,FW",20.0,10,5,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Luis Guilherme,br BRA,"FW,MF",16.0,19,4,576.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,35.0,28.0,54.0,0.0,0.0,0.0,0.0,0.0,0.12,0.19,0.31,0.12,0.31,Matches
Fabinho,br BRA,MF,20.0,24,3,587.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,8.0,44.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.12,0.1,0.12,Matches
García,br BRA,DF,21.0,5,3,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,5.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Marcelo Lomba,br BRA,GK,36.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Kevin,br BRA,"FW,DF",20.0,7,2,232.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.3,0.9,14.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.33,0.22,0.33,Matches
Jailson Siqueira,br BRA,"MF,DF",27.0,8,1,163.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.6,0.0,6.0,3.0,0.0,0.55,0.55,0.0,0.55,0.2,0.15,0.36,0.2,0.36,Matches
Rafael Navarro,br BRA,FW,22.0,3,1,125.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.1,1.3,2.0,6.0,8.0,0.72,0.0,0.72,0.72,0.72,0.86,0.06,0.92,0.86,0.92,Matches
Bruno Tabata,br BRA,"MF,FW",25.0,5,1,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,6.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.28,0.05,0.33,0.28,0.33,Matches
Ian Custódio,br BRA,DF,19.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giovani,br BRA,FW,19.0,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches
Estevão,br BRA,FW,16.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches
Eduard Atuesta,co COL,MF,25.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kauan Santos,br BRA,FW,18.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,1.75,1.75,Matches
Leo Azevedo,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ney Bahia,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kaique,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mateus,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michel,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vinicius Silvestre,br BRA,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.9,38,418,3420.0,38.0,62.0,44.0,106.0,60.0,2.0,4.0,94.0,4.0,57.2,54.1,43.0,97.1,788.0,1592.0,1582.0,1.63,1.16,2.79,1.58,2.74,1.5,1.13,2.64,1.42,2.56,
Opponent Total,,,27.4,38,418,3420.0,38.0,32.0,21.0,53.0,28.0,4.0,5.0,122.0,11.0,39.3,35.5,27.2,62.6,569.0,1222.0,1214.0,0.84,0.55,1.39,0.74,1.29,1.03,0.72,1.75,0.93,1.65,
