Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Jesús Molina,mx MEX,MF,35-276,9,369.0,41.0,24.1,4.1,4,81.0,1,5,9.0,5,1.54,7.0,3.0,4.0,0.98,0.59,5.6,2.5,3.1,0.76,0.16,Matches
Jesús Rivas,mx MEX,DF,21-062,5,347.0,69.0,22.7,3.9,4,83.0,2,1,17.0,1,1.63,4.0,2.0,2.0,0.52,-0.01,5.6,2.7,2.9,0.75,0.14,Matches
Rodrigo López,mx MEX,MF,22-048,7,325.0,46.0,21.2,3.6,4,62.0,0,3,26.0,1,1.18,3.0,5.0,-2.0,-0.55,-1.38,,,,,,Matches
Santiago Trigos,mx MEX,MF,21-342,11,392.0,36.0,25.6,4.4,3,90.0,3,8,15.0,6,1.79,11.0,1.0,10.0,2.3,2.38,9.1,3.1,6.0,1.38,0.99,Matches
Christian Tabó,uy URU,"MF,FW",30-037,9,248.0,28.0,16.2,2.8,3,59.0,0,6,12.0,2,1.7,6.0,0.0,6.0,2.18,1.97,4.5,2.0,2.5,0.9,0.3,Matches
Robert Ergas,uy URU,"FW,DF",25-349,12,317.0,26.0,20.7,3.5,1,74.0,0,11,22.0,1,1.44,7.0,3.0,4.0,1.14,0.76,5.3,3.5,1.8,0.5,-0.18,Matches
Carlos Gutiérrez,mx MEX,"MF,FW",24-328,6,115.0,19.0,7.5,1.3,1,61.0,0,5,11.0,10,1.33,1.0,3.0,-2.0,-1.57,-2.26,1.5,2.7,-1.2,-0.97,-1.75,Matches
Jorge Ruvalcaba,mx MEX,"MF,FW",22-160,3,63.0,21.0,4.1,0.7,0,,0,3,21.0,0,1.67,1.0,0.0,1.0,1.43,0.94,1.0,0.3,0.7,0.97,0.34,Matches
Emanuel Montejano Arroyo,mx MEX,FW,22-171,2,50.0,25.0,3.3,0.6,0,,0,2,25.0,5,1.5,1.0,1.0,0.0,0.0,-0.55,0.6,1.0,-0.4,-0.65,-1.34,Matches
Marco Hernández,mx MEX,MF,18-273,1,23.0,23.0,1.5,0.3,0,,0,1,23.0,2,0.0,0.0,1.0,-1.0,-3.91,-4.51,0.0,0.9,-0.9,-3.4,-4.1,Matches
José Galindo,mx MEX,DF,25-351,1,10.0,10.0,0.7,0.1,0,,0,1,10.0,15,0.0,0.0,0.0,0.0,0.0,-0.53,0.1,0.2,-0.1,-1.07,-1.72,Matches
Gil Alcalá,mx MEX,GK,31-154,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
Miguel Carreón,mx MEX,MF,19-220,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Héctor Ramírez,mx MEX,MF,19-342,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Gael Rodríguez,mx MEX,FW,21-230,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Mateo Vázquez,mx MEX,DF,20-208,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,28.2,17,1530.0,90.0,100.0,17.0,187,81.0,107,79,19.0,91,1.65,27.0,18.0,9.0,0.53,,28.0,17.1,10.9,0.64,,
Opponent Total,,,28.2,17,1530.0,90.0,100.0,17.0,187,81.0,115,73,21.0,97,1.12,18.0,27.0,-9.0,-0.53,,17.1,28.0,-10.9,-0.64,,
