Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
José Rangel Aguilar,MEX,GK,23,2,2,105,1.2,1,0.86,7,6,85.7,1,1,0,0,0.0,0,0,0,0,0.0,Guadalajara,Brasileiro,José Rangel Aguilar (Guadalajara)
Rodolfo Cota,MEX,GK,36,16,16,1440,16.0,21,1.31,55,35,65.5,5,5,6,4,25.0,2,2,0,0,0.0,León,Brasileiro,Rodolfo Cota (León)
Alfonso Blanco Antúnez,MEX,GK,36,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,1,0,0,1,0.0,León,Brasileiro,Alfonso Blanco Antúnez (León)
Hugo González Durán,MEX,GK,33,16,16,1378,15.3,23,1.5,78,53,70.5,6,4,6,4,25.0,3,0,2,1,100.0,Mazatlán,Brasileiro,Hugo González Durán (Mazatlán)
Ricardo Gutiérrez,MEX,GK,26,3,1,152,1.7,4,2.37,13,9,69.2,0,0,1,0,0.0,0,0,0,0,0.0,Mazatlán,Brasileiro,Ricardo Gutiérrez (Mazatlán)
Esteban Andrada,ARG,GK,32,16,16,1440,16.0,15,0.94,63,47,81.0,10,2,4,6,37.5,4,3,1,0,25.0,Monterrey,Brasileiro,Esteban Andrada (Monterrey)
Luis Cárdenas,MEX,GK,30,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,0.0,Monterrey,Brasileiro,Luis Cárdenas (Monterrey)
Raúl Gudiño,MEX,GK,27,10,10,855,9.5,15,1.58,41,30,65.9,1,5,4,1,10.0,1,1,0,0,0.0,Necaxa,Brasileiro,Raúl Gudiño (Necaxa)
Ezequiel Unsain,ARG,GK,28,8,7,675,7.5,12,1.6,35,23,68.6,2,1,4,3,42.9,1,1,0,0,0.0,Necaxa,Brasileiro,Ezequiel Unsain (Necaxa)
Carlos Moreno,MEX,GK,25,14,14,1260,14.0,21,1.5,77,56,76.6,5,5,4,4,28.6,3,3,0,0,0.0,Pachuca,Brasileiro,Carlos Moreno (Pachuca)
Óscar Ustari,ARG,GK,37,3,3,270,3.0,6,2.0,13,7,53.8,0,2,1,0,0.0,0,0,0,0,0.0,Pachuca,Brasileiro,Óscar Ustari (Pachuca)
Jesús Rodríguez,MEX,GK,30,17,17,1530,17.0,25,1.47,97,71,78.4,7,4,6,3,17.6,5,4,1,0,20.0,Puebla,Brasileiro,Jesús Rodríguez (Puebla)
Guillermo Allison,MEX,GK,33,12,12,1080,12.0,17,1.42,71,55,80.3,4,3,5,4,33.3,3,3,0,0,0.0,Querétaro,Brasileiro,Guillermo Allison (Querétaro)
Fernando Tapia Méndez,MEX,GK,22,5,5,450,5.0,12,2.4,27,15,63.0,1,1,3,1,20.0,2,2,0,0,0.0,Querétaro,Brasileiro,Fernando Tapia Méndez (Querétaro)
Gibran Lajud,MEX,GK,30,9,9,810,9.0,19,2.11,48,29,64.6,3,2,4,1,11.1,2,2,0,0,0.0,Santos,Brasileiro,Gibran Lajud (Santos)
Carlos Acevedo,MEX,GK,27,6,6,540,6.0,12,2.0,35,23,68.6,3,0,3,1,16.7,1,1,0,0,0.0,Santos,Brasileiro,Carlos Acevedo (Santos)
Héctor Holguín,MEX,GK,22,2,2,180,2.0,3,1.5,14,10,78.6,1,0,1,0,0.0,1,0,1,0,100.0,Santos,Brasileiro,Héctor Holguín (Santos)
José Antonio Rodríguez,MEX,GK,31,14,14,1260,14.0,21,1.5,71,50,70.4,5,1,8,2,14.3,1,0,1,0,100.0,Tijuana,Brasileiro,José Antonio Rodríguez (Tijuana)
José Corona,MEX,GK,42,3,3,270,3.0,5,1.67,14,9,71.4,1,1,1,0,0.0,1,1,0,0,0.0,Tijuana,Brasileiro,José Corona (Tijuana)
Tiago Volpi,BRA,GK,33,17,17,1530,17.0,19,1.12,85,66,78.8,5,6,6,5,29.4,1,1,0,0,0.0,Toluca,Brasileiro,Tiago Volpi (Toluca)
Nahuel Guzmán,ARG,GK,37,16,16,1440,16.0,18,1.13,75,57,77.3,8,5,3,5,31.3,1,1,0,0,0.0,UANL,Brasileiro,Nahuel Guzmán (UANL)
Carlos Felipe Rodríguez,MEX,GK,34,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,0.0,UANL,Brasileiro,Carlos Felipe Rodríguez (UANL)
Julio José González,MEX,GK,32,17,17,1530,17.0,18,1.06,72,54,77.8,8,4,5,5,29.4,4,2,2,0,50.0,UNAM,Brasileiro,Julio José González (UNAM)
