Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Richard Sánchez,PAR,MF,27.0,15,8,827.0,9.2,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.8,3.9,15.0,88.0,15.0,0.11,0.44,0.54,0.11,0.54,0.11,0.31,0.42,0.11,0.42,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22.0,10,8,741.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24.0,9,8,712.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27.0,13,8,644.0,7.2,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,1.8,1.8,2.2,4.0,18.0,50.0,57.0,0.28,0.42,0.7,0.28,0.7,0.26,0.31,0.56,0.26,0.56,América,Brasileiro,Leonardo Suárez (América)
Henry Martín,MEX,FW,31.0,10,7,629.0,7.0,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,3.1,5.4,10.0,15.0,52.0,0.43,0.57,1.0,0.43,1.0,0.33,0.44,0.77,0.33,0.77,América,Brasileiro,Henry Martín (América)
Jonathan Rodríguez,URU,"FW,MF",30.0,11,6,601.0,6.7,6.0,0.0,6.0,6.0,0.0,1.0,2.0,0.0,4.0,3.0,0.4,3.4,17.0,18.0,40.0,0.9,0.0,0.9,0.9,0.9,0.6,0.06,0.66,0.45,0.51,América,Brasileiro,Jonathan Rodríguez (América)
Miguel Layún,MEX,"DF,FW",35.0,9,6,523.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.5,3.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25,América,Brasileiro,Miguel Layún (América)
Salvador Reyes Chávez,MEX,DF,25.0,12,5,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.8,12.0,15.0,34.0,0.0,0.17,0.17,0.0,0.17,0.02,0.11,0.13,0.02,0.13,América,Brasileiro,Salvador Reyes Chávez (América)
Israel Reyes,MEX,DF,23.0,7,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,América,Brasileiro,Israel Reyes (América)
Oscar Jiménez,MEX,GK,35.0,4,3,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Oscar Jiménez (América)
Emilio Lara,MEX,DF,21.0,5,3,228.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Emilio Lara (América)
Néstor Araujo,MEX,DF,32.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,América,Brasileiro,Néstor Araujo (América)
Santiago Naveda,MEX,MF,22.0,5,2,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,América,Brasileiro,Santiago Naveda (América)
Román Martínez,MEX,FW,21.0,1,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.26,0.03,0.3,0.26,0.3,América,Brasileiro,Román Martínez (América)
Patricio Salas,MEX,"FW,MF",19.0,3,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,0.54,0.54,América,Brasileiro,Patricio Salas (América)
Juan Cantú,MEX,FW,19.0,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.62,0.62,América,Brasileiro,Juan Cantú (América)
Mauro Laínez,MEX,FW,27.0,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.62,América,Brasileiro,Mauro Laínez (América)
Bruce El-Mesmari,MEX,"FW,DF",21.0,2,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,América,Brasileiro,Bruce El-Mesmari (América)
Sergio De los Ríos,MEX,FW,20.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sergio De los Ríos (América)
Sebastián Martínez,MEX,MF,20.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sebastián Martínez (América)
Dagoberto Espinoza,MEX,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Dagoberto Espinoza (América)
Ralph Orquin,USA,DF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Ralph Orquin (América)
Leonardo Palestina,MEX,GK,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Leonardo Palestina (América)
Miguel Ramírez,USA,MF,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Miguel Ramírez (América)
Miguel Vázquez,MEX,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Miguel Vázquez (América)
José Abella,MEX,DF,29.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.2,1.5,12.0,85.0,61.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.09,0.01,0.09,Atlas,Brasileiro,José Abella (Atlas)
Hugo Nervo,ARG,DF,32.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.7,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,Atlas,Brasileiro,Hugo Nervo (Atlas)
Camilo Vargas,COL,GK,34.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Camilo Vargas (Atlas)
Luis Ricardo Reyes,MEX,DF,32.0,16,16,1423.0,15.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.1,2.5,16.0,60.0,43.0,0.0,0.13,0.13,0.0,0.13,0.03,0.13,0.16,0.03,0.16,Atlas,Brasileiro,Luis Ricardo Reyes (Atlas)
Jordy Caicedo,ECU,FW,26.0,14,14,1148.0,12.8,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,6.4,6.4,0.9,7.3,17.0,7.0,68.0,0.39,0.0,0.39,0.39,0.39,0.5,0.07,0.57,0.5,0.57,Atlas,Brasileiro,Jordy Caicedo (Atlas)
Aldo Rocha,MEX,MF,31.0,14,12,1096.0,12.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,1.3,1.3,0.2,1.5,12.0,75.0,9.0,0.16,0.0,0.16,0.16,0.16,0.11,0.02,0.12,0.11,0.12,Atlas,Brasileiro,Aldo Rocha (Atlas)
Juan Zapata,COL,MF,23.0,15,12,1012.0,11.2,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,2.3,2.3,0.7,3.0,8.0,48.0,31.0,0.36,0.0,0.36,0.36,0.36,0.21,0.06,0.27,0.21,0.27,Atlas,Brasileiro,Juan Zapata (Atlas)
Augusto Solari,ARG,"FW,MF",31.0,11,11,708.0,7.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,16.0,16.0,42.0,0.13,0.13,0.25,0.13,0.25,0.05,0.05,0.1,0.05,0.1,Atlas,Brasileiro,Augusto Solari (Atlas)
Ángel Márquez,MEX,MF,23.0,15,9,760.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,12.0,25.0,44.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.16,0.12,0.16,Atlas,Brasileiro,Ángel Márquez (Atlas)
Anderson Santamaría,PER,DF,31.0,9,9,724.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,0.7,0.8,1.0,19.0,0.0,0.0,0.12,0.12,0.0,0.12,0.02,0.09,0.11,0.02,0.11,Atlas,Brasileiro,Anderson Santamaría (Atlas)
Edgar Zaldívar,MEX,MF,27.0,12,7,501.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.3,3.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Atlas,Brasileiro,Edgar Zaldívar (Atlas)
Eduardo Aguirre,MEX,"FW,MF",25.0,12,6,608.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.3,2.1,7.0,13.0,46.0,0.15,0.0,0.15,0.15,0.15,0.26,0.05,0.31,0.26,0.31,Atlas,Brasileiro,Eduardo Aguirre (Atlas)
Jorge Guzmán,MEX,FW,20.0,12,6,563.0,6.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.5,1.0,16.0,15.0,43.0,0.0,0.32,0.32,0.0,0.32,0.08,0.07,0.16,0.08,0.16,Atlas,Brasileiro,Jorge Guzmán (Atlas)
Jaziel Martínez,MEX,MF,23.0,14,6,545.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,2.0,2.3,9.0,42.0,12.0,0.17,0.33,0.5,0.17,0.5,0.05,0.33,0.37,0.05,0.37,Atlas,Brasileiro,Jaziel Martínez (Atlas)
José Lozano,MEX,"DF,FW",25.0,11,6,467.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.8,9.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.15,0.02,0.15,Atlas,Brasileiro,José Lozano (Atlas)
Brian Lozano,URU,FW,29.0,6,5,417.0,4.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.5,0.5,2.1,2.6,13.0,21.0,41.0,0.0,0.43,0.43,0.0,0.43,0.12,0.45,0.57,0.12,0.57,Atlas,Brasileiro,Brian Lozano (Atlas)
Gaddi Aguirre,MEX,DF,27.0,8,4,472.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Atlas,Brasileiro,Gaddi Aguirre (Atlas)
Carlos Robles,MEX,DF,23.0,7,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,7.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Atlas,Brasileiro,Carlos Robles (Atlas)
Mateo García,ARG,"MF,FW",27.0,12,3,485.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.3,0.9,18.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,Atlas,Brasileiro,Mateo García (Atlas)
Abraham Bass,MEX,MF,22.0,5,3,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.1,0.4,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,0.13,Atlas,Brasileiro,Abraham Bass (Atlas)
Julio Furch,ARG,FW,34.0,2,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.2,1.7,2.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.8,0.08,0.88,0.8,0.88,Atlas,Brasileiro,Julio Furch (Atlas)
Mauro Manotas,COL,"FW,MF",28.0,9,1,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,6.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.32,0.01,0.34,0.32,0.34,Atlas,Brasileiro,Mauro Manotas (Atlas)
Christopher Trejo,MEX,"FW,MF",24.0,10,0,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,8.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.2,0.13,0.2,Atlas,Brasileiro,Christopher Trejo (Atlas)
Israel Larios,MEX,MF,20.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Atlas,Brasileiro,Israel Larios (Atlas)
José Santiago Hernández,MEX,GK,26.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,José Santiago Hernández (Atlas)
Leonardo Correa,MEX,FW,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Leonardo Correa (Atlas)
Idekel Domínguez,MEX,DF,23.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Idekel Domínguez (Atlas)
Víctor Ríos,MEX,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Víctor Ríos (Atlas)
Unai Bilbao,ESP,DF,29.0,17,17,1465.0,16.3,5.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,3.6,1.2,0.4,1.6,6.0,39.0,2.0,0.31,0.0,0.31,0.12,0.12,0.22,0.02,0.24,0.08,0.1,Atlético,Brasileiro,Unai Bilbao (Atlético)
Dieter Villalpando,MEX,"MF,FW",32.0,17,17,1414.0,15.7,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,2.3,2.3,3.0,5.3,61.0,143.0,78.0,0.19,0.25,0.45,0.19,0.45,0.14,0.19,0.33,0.14,0.33,Atlético,Brasileiro,Dieter Villalpando (Atlético)
Jhon Murillo,VEN,"FW,MF",28.0,17,17,1318.0,14.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,1.6,3.4,52.0,25.0,127.0,0.07,0.14,0.2,0.07,0.2,0.12,0.11,0.23,0.12,0.23,Atlético,Brasileiro,Jhon Murillo (Atlético)
Javier Güemez,MEX,MF,32.0,16,16,1375.0,15.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.5,0.5,0.4,0.9,10.0,133.0,22.0,0.07,0.07,0.13,0.07,0.13,0.03,0.03,0.06,0.03,0.06,Atlético,Brasileiro,Javier Güemez (Atlético)
Rodrigo Dourado,BRA,MF,29.0,16,16,1365.0,15.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.4,0.9,15.0,82.0,17.0,0.07,0.07,0.13,0.07,0.13,0.03,0.03,0.06,0.03,0.06,Atlético,Brasileiro,Rodrigo Dourado (Atlético)
Ricardo Chávez Soto,MEX,DF,29.0,16,16,1330.0,14.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,2.2,4.0,34.0,60.0,100.0,0.07,0.07,0.14,0.07,0.14,0.12,0.15,0.27,0.12,0.27,Atlético,Brasileiro,Ricardo Chávez Soto (Atlético)
Julio Domínguez,MEX,DF,36.0,16,16,1326.0,14.7,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.3,0.6,9.0,39.0,3.0,0.14,0.07,0.2,0.14,0.2,0.02,0.02,0.04,0.02,0.04,Atlético,Brasileiro,Julio Domínguez (Atlético)
Juan Sanabria,URU,DF,23.0,16,15,1395.0,15.5,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,2.2,2.9,27.0,52.0,68.0,0.06,0.26,0.32,0.06,0.32,0.04,0.14,0.19,0.04,0.19,Atlético,Brasileiro,Juan Sanabria (Atlético)
Léo Bonatini,BRA,FW,29.0,16,15,1115.0,12.4,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.9,3.9,0.3,4.2,10.0,16.0,56.0,0.4,0.0,0.4,0.4,0.4,0.31,0.02,0.33,0.31,0.33,Atlético,Brasileiro,Léo Bonatini (Atlético)
Mateo Klimowicz,GER,"FW,MF",23.0,16,10,730.0,8.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,0.5,2.0,18.0,22.0,45.0,0.12,0.0,0.12,0.12,0.12,0.18,0.06,0.24,0.18,0.24,Atlético,Brasileiro,Mateo Klimowicz (Atlético)
Andrés Sánchez,MEX,GK,26.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlético,Brasileiro,Andrés Sánchez (Atlético)
Diego Urtiaga,MEX,GK,25.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlético,Brasileiro,Diego Urtiaga (Atlético)
Vitinho,BRA,"FW,MF",22.0,17,7,854.0,9.5,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,2.3,2.3,1.3,3.6,48.0,31.0,85.0,0.63,0.11,0.74,0.63,0.74,0.25,0.14,0.38,0.25,0.38,Atlético,Brasileiro,Vitinho (Atlético)
Ángel Zaldívar,MEX,FW,29.0,10,2,234.0,2.6,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.5,1.0,0.1,1.1,0.0,6.0,16.0,0.77,0.0,0.77,0.38,0.38,0.98,0.04,1.01,0.37,0.41,Atlético,Brasileiro,Ángel Zaldívar (Atlético)
Uziel García,MEX,"DF,FW",22.0,6,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Atlético,Brasileiro,Uziel García (Atlético)
Sebastien Salles-Lamonge,FRA,"FW,MF",27.0,8,1,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.6,2.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.22,0.16,0.22,Atlético,Brasileiro,Sebastien Salles-Lamonge (Atlético)
Iker Moreno,MEX,DF,20.0,6,1,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,5.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Atlético,Brasileiro,Iker Moreno (Atlético)
Jordan Silva,MEX,"DF,FW",29.0,2,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.21,0.33,0.12,0.33,Atlético,Brasileiro,Jordan Silva (Atlético)
Eduardo Águila,MEX,"DF,FW",21.0,6,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Atlético,Brasileiro,Eduardo Águila (Atlético)
Jürgen Damm,MEX,FW,31.0,12,0,223.0,2.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.2,13.0,8.0,39.0,0.0,0.81,0.81,0.0,0.81,0.39,0.5,0.89,0.39,0.89,Atlético,Brasileiro,Jürgen Damm (Atlético)
Juan David Castro,MEX,"FW,MF",32.0,7,0,105.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,8.0,6.0,4.0,0.0,0.86,0.86,0.0,0.86,0.05,0.3,0.35,0.05,0.35,Atlético,Brasileiro,Juan David Castro (Atlético)
