Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Team,Championship,Player_Team
Mauro Manotas,COL,"FW,MF",28,2.3,39.0,48.0,81.3,565.0,79.0,22.0,26.0,84.6,12.0,15.0,80.0,2.0,3.0,66.7,0,0.0,0.1,0.0,2.0,2.0,0.0,0.0,2.0,Atlas,Brasileiro,Mauro Manotas (Atlas)
Christopher Trejo,MEX,"FW,MF",24,2.5,79.0,103.0,76.7,1225.0,242.0,44.0,51.0,86.3,25.0,30.0,83.3,6.0,12.0,50.0,0,0.2,0.2,-0.2,7.0,5.0,4.0,2.0,7.0,Atlas,Brasileiro,Christopher Trejo (Atlas)
Israel Larios,MEX,MF,20,0.3,14.0,16.0,87.5,169.0,22.0,11.0,12.0,91.7,3.0,4.0,75.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Atlas,Brasileiro,Israel Larios (Atlas)
Unai Bilbao,ESP,DF,29,16.3,814.0,903.0,90.1,16984.0,6558.0,267.0,279.0,95.7,403.0,439.0,91.8,140.0,178.0,78.7,0,0.4,0.5,-0.4,5.0,44.0,4.0,1.0,39.0,Atlético,Brasileiro,Unai Bilbao (Atlético)
Dieter Villalpando,MEX,"MF,FW",32,15.7,746.0,905.0,82.4,13644.0,4896.0,347.0,388.0,89.4,278.0,330.0,84.2,105.0,149.0,70.5,4,3.0,3.2,1.0,35.0,113.0,25.0,1.0,143.0,Atlético,Brasileiro,Dieter Villalpando (Atlético)
Jhon Murillo,VEN,"FW,MF",28,14.6,380.0,455.0,83.5,5910.0,1032.0,200.0,219.0,91.3,159.0,176.0,90.3,15.0,27.0,55.6,2,1.6,1.3,0.4,19.0,17.0,6.0,4.0,25.0,Atlético,Brasileiro,Jhon Murillo (Atlético)
Javier Güemez,MEX,MF,32,15.3,849.0,1030.0,82.4,15816.0,5664.0,351.0,390.0,90.0,384.0,435.0,88.3,96.0,172.0,55.8,1,0.4,1.5,0.6,15.0,137.0,15.0,0.0,133.0,Atlético,Brasileiro,Javier Güemez (Atlético)
Rodrigo Dourado,BRA,MF,29,15.2,857.0,951.0,90.1,15202.0,5920.0,373.0,404.0,92.3,392.0,414.0,94.7,80.0,101.0,79.2,1,0.4,0.3,0.6,12.0,72.0,3.0,0.0,82.0,Atlético,Brasileiro,Rodrigo Dourado (Atlético)
Ricardo Chávez Soto,MEX,DF,29,14.8,700.0,858.0,81.6,11872.0,3719.0,353.0,385.0,91.7,284.0,340.0,83.5,54.0,101.0,53.5,1,2.2,2.1,-1.2,18.0,45.0,14.0,7.0,60.0,Atlético,Brasileiro,Ricardo Chávez Soto (Atlético)
Julio Domínguez,MEX,DF,36,14.7,660.0,713.0,92.6,11853.0,4038.0,270.0,282.0,95.7,344.0,364.0,94.5,42.0,60.0,70.0,1,0.3,0.1,0.7,2.0,29.0,1.0,0.0,39.0,Atlético,Brasileiro,Julio Domínguez (Atlético)
Juan Sanabria,URU,DF,23,15.5,656.0,872.0,75.2,12000.0,4164.0,308.0,336.0,91.7,260.0,337.0,77.2,83.0,164.0,50.6,4,2.2,2.0,1.8,36.0,39.0,15.0,9.0,52.0,Atlético,Brasileiro,Juan Sanabria (Atlético)
Léo Bonatini,BRA,FW,29,12.4,163.0,221.0,73.8,2217.0,428.0,87.0,109.0,79.8,51.0,68.0,75.0,7.0,13.0,53.8,0,0.3,0.6,-0.3,6.0,8.0,3.0,0.0,16.0,Atlético,Brasileiro,Léo Bonatini (Atlético)
Mateo Klimowicz,GER,"FW,MF",23,8.1,173.0,226.0,76.5,2693.0,654.0,98.0,112.0,87.5,57.0,76.0,75.0,13.0,23.0,56.5,0,0.5,0.4,-0.5,10.0,14.0,7.0,0.0,22.0,Atlético,Brasileiro,Mateo Klimowicz (Atlético)
Andrés Sánchez,MEX,GK,26,9.0,239.0,265.0,90.2,4850.0,3501.0,62.0,62.0,100.0,114.0,116.0,98.3,39.0,62.0,62.9,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Atlético,Brasileiro,Andrés Sánchez (Atlético)
Diego Urtiaga,MEX,GK,25,8.0,187.0,228.0,82.0,4156.0,3087.0,50.0,50.0,100.0,76.0,77.0,98.7,41.0,81.0,50.6,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Atlético,Brasileiro,Diego Urtiaga (Atlético)
Vitinho,BRA,"FW,MF",22,9.5,287.0,367.0,78.2,4738.0,934.0,145.0,170.0,85.3,110.0,133.0,82.7,26.0,38.0,68.4,1,1.3,1.2,-0.3,15.0,16.0,13.0,1.0,31.0,Atlético,Brasileiro,Vitinho (Atlético)
Ángel Zaldívar,MEX,FW,29,2.6,46.0,52.0,88.5,644.0,139.0,26.0,30.0,86.7,12.0,13.0,92.3,3.0,3.0,100.0,0,0.1,0.2,-0.1,2.0,3.0,2.0,0.0,6.0,Atlético,Brasileiro,Ángel Zaldívar (Atlético)
Uziel García,MEX,"DF,FW",22,2.1,62.0,81.0,76.5,1015.0,309.0,35.0,37.0,94.6,22.0,31.0,71.0,5.0,11.0,45.5,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,Atlético,Brasileiro,Uziel García (Atlético)
Sebastien Salles-Lamonge,FRA,"FW,MF",27,2.9,173.0,214.0,80.8,3044.0,651.0,78.0,85.0,91.8,70.0,87.0,80.5,19.0,31.0,61.3,0,0.2,0.3,-0.2,5.0,23.0,2.0,0.0,19.0,Atlético,Brasileiro,Sebastien Salles-Lamonge (Atlético)
Iker Moreno,MEX,DF,20,1.8,104.0,125.0,83.2,1693.0,423.0,56.0,64.0,87.5,39.0,46.0,84.8,6.0,9.0,66.7,0,0.4,0.1,-0.4,2.0,5.0,1.0,0.0,8.0,Atlético,Brasileiro,Iker Moreno (Atlético)
Jordan Silva,MEX,"DF,FW",29,1.7,95.0,105.0,90.5,1977.0,643.0,27.0,30.0,90.0,52.0,53.0,98.1,15.0,19.0,78.9,0,0.4,0.5,-0.4,2.0,4.0,0.0,0.0,9.0,Atlético,Brasileiro,Jordan Silva (Atlético)
Eduardo Águila,MEX,"DF,FW",21,1.1,61.0,70.0,87.1,1026.0,393.0,28.0,30.0,93.3,31.0,31.0,100.0,2.0,7.0,28.6,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,Atlético,Brasileiro,Eduardo Águila (Atlético)
Jürgen Damm,MEX,FW,31,2.5,92.0,120.0,76.7,1421.0,258.0,46.0,51.0,90.2,40.0,42.0,95.2,3.0,14.0,21.4,2,1.2,1.3,0.8,10.0,3.0,5.0,4.0,8.0,Atlético,Brasileiro,Jürgen Damm (Atlético)
Juan David Castro,MEX,"FW,MF",32,1.2,61.0,65.0,93.8,888.0,208.0,41.0,42.0,97.6,18.0,20.0,90.0,2.0,2.0,100.0,1,0.3,0.1,0.7,1.0,5.0,1.0,0.0,6.0,Atlético,Brasileiro,Juan David Castro (Atlético)
Andrés Iniestra,MEX,MF,27,0.3,11.0,15.0,73.3,187.0,78.0,3.0,4.0,75.0,5.0,6.0,83.3,1.0,2.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Atlético,Brasileiro,Andrés Iniestra (Atlético)
Benjamín Galdames,MEX,FW,22,0.3,9.0,10.0,90.0,126.0,39.0,6.0,6.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0,0.2,0.2,-0.2,1.0,1.0,1.0,0.0,1.0,Atlético,Brasileiro,Benjamín Galdames (Atlético)
Diego Abitia,MEX,FW,20,0.0,1.0,1.0,100.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlético,Brasileiro,Diego Abitia (Atlético)
Willer Ditta,COL,DF,26,15.0,716.0,855.0,83.7,14441.0,5587.0,261.0,287.0,90.9,328.0,365.0,89.9,117.0,179.0,65.4,0,0.1,0.2,-0.1,3.0,52.0,5.0,2.0,31.0,Cruz Azul,Brasileiro,Willer Ditta (Cruz Azul)
Carlos Salcedo,MEX,DF,30,13.3,663.0,808.0,82.1,13967.0,5471.0,184.0,205.0,89.8,364.0,410.0,88.8,108.0,180.0,60.0,0,0.4,0.2,-0.4,3.0,34.0,1.0,1.0,45.0,Cruz Azul,Brasileiro,Carlos Salcedo (Cruz Azul)
Uriel Antuna,MEX,"MF,FW",26,13.6,388.0,496.0,78.2,5769.0,1368.0,221.0,258.0,85.7,145.0,179.0,81.0,17.0,37.0,45.9,4,1.7,2.1,2.3,21.0,19.0,21.0,10.0,33.0,Cruz Azul,Brasileiro,Uriel Antuna (Cruz Azul)
Juan Escobar,PAR,DF,28,13.6,570.0,693.0,82.3,11783.0,4294.0,184.0,202.0,91.1,304.0,337.0,90.2,77.0,133.0,57.9,1,0.3,0.2,0.7,4.0,34.0,4.0,2.0,29.0,Cruz Azul,Brasileiro,Juan Escobar (Cruz Azul)
Carlos Rotondi,ARG,"DF,MF",26,13.5,304.0,449.0,67.7,5242.0,1783.0,133.0,159.0,83.6,128.0,180.0,71.1,29.0,68.0,42.6,1,2.5,1.4,-1.5,16.0,24.0,6.0,4.0,31.0,Cruz Azul,Brasileiro,Carlos Rotondi (Cruz Azul)
Ignacio Rivero,URU,"DF,MF",31,13.6,587.0,810.0,72.5,10318.0,4103.0,293.0,334.0,87.7,225.0,293.0,76.8,62.0,139.0,44.6,2,3.1,2.6,-1.1,32.0,54.0,23.0,10.0,76.0,Cruz Azul,Brasileiro,Ignacio Rivero (Cruz Azul)
Andrés Gudiño,MEX,GK,26,13.5,228.0,375.0,60.8,7119.0,5737.0,32.0,32.0,100.0,109.0,110.0,99.1,82.0,227.0,36.1,0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Andrés Gudiño (Cruz Azul)
Erik Lira,MEX,MF,23,12.5,603.0,685.0,88.0,11088.0,3121.0,247.0,260.0,95.0,285.0,316.0,90.2,60.0,82.0,73.2,0,0.1,0.2,-0.1,8.0,56.0,4.0,0.0,65.0,Cruz Azul,Brasileiro,Erik Lira (Cruz Azul)
Rodrigo Huescas,MEX,DF,20,11.9,478.0,574.0,83.3,7255.0,2119.0,281.0,299.0,94.0,159.0,190.0,83.7,29.0,45.0,64.4,4,2.2,2.0,1.8,19.0,25.0,14.0,7.0,39.0,Cruz Azul,Brasileiro,Rodrigo Huescas (Cruz Azul)
Charly Rodríguez,MEX,MF,26,11.6,628.0,740.0,84.9,12006.0,3310.0,261.0,288.0,90.6,255.0,290.0,87.9,97.0,129.0,75.2,1,1.7,1.1,-0.7,14.0,93.0,11.0,1.0,100.0,Cruz Azul,Brasileiro,Charly Rodríguez (Cruz Azul)
Moises,BRA,"MF,FW",27,9.5,180.0,236.0,76.3,3301.0,919.0,85.0,105.0,81.0,67.0,81.0,82.7,24.0,36.0,66.7,1,1.9,0.9,-0.9,12.0,21.0,6.0,0.0,30.0,Cruz Azul,Brasileiro,Moises (Cruz Azul)
Diber Cambindo,COL,"FW,MF",27,9.2,98.0,153.0,64.1,1423.0,274.0,53.0,77.0,68.8,34.0,47.0,72.3,4.0,8.0,50.0,1,1.1,0.5,-0.1,7.0,3.0,5.0,1.0,13.0,Cruz Azul,Brasileiro,Diber Cambindo (Cruz Azul)
Kevin Castaño,COL,MF,23,8.5,449.0,526.0,85.4,7815.0,2544.0,211.0,228.0,92.5,169.0,190.0,88.9,51.0,75.0,68.0,1,0.3,0.4,0.7,3.0,64.0,10.0,0.0,64.0,Cruz Azul,Brasileiro,Kevin Castaño (Cruz Azul)
Ángel Sepúlveda,MEX,FW,32,7.2,117.0,170.0,68.8,1777.0,326.0,65.0,82.0,79.3,37.0,52.0,71.2,11.0,17.0,64.7,0,0.7,0.9,-0.7,9.0,12.0,2.0,0.0,21.0,Cruz Azul,Brasileiro,Ángel Sepúlveda (Cruz Azul)
Sebastián Jurado,MEX,GK,26,3.4,79.0,115.0,68.7,1854.0,1249.0,21.0,21.0,100.0,37.0,39.0,94.9,17.0,50.0,34.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Sebastián Jurado (Cruz Azul)
Rafael Guerrero,MEX,DF,20,5.2,203.0,245.0,82.9,3981.0,1565.0,80.0,87.0,92.0,99.0,109.0,90.8,24.0,42.0,57.1,0,0.1,0.2,-0.1,1.0,24.0,3.0,1.0,26.0,Cruz Azul,Brasileiro,Rafael Guerrero (Cruz Azul)
Christian Tabó,URU,"FW,MF",30,2.4,44.0,55.0,80.0,605.0,95.0,28.0,34.0,82.4,10.0,12.0,83.3,3.0,3.0,100.0,0,0.7,0.2,-0.7,4.0,3.0,1.0,0.0,2.0,Cruz Azul,Brasileiro,Christian Tabó (Cruz Azul)
