Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Team,Championship,Player_Team
Néstor Araujo,MEX,DF,32,2.0,4.0,1,2.0,2.0,0.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,4,8.0,11.0,0.0,América,Brasileiro,Néstor Araujo (América)
Santiago Naveda,MEX,MF,22,1.5,4.0,2,1.0,3.0,0.0,3.0,3.0,100.0,0.0,2.0,1.0,1.0,5,9.0,2.0,0.0,América,Brasileiro,Santiago Naveda (América)
Román Martínez,MEX,FW,21,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,América,Brasileiro,Román Martínez (América)
Patricio Salas,MEX,"FW,MF",19,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,América,Brasileiro,Patricio Salas (América)
Juan Cantú,MEX,FW,19,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,América,Brasileiro,Juan Cantú (América)
Mauro Laínez,MEX,FW,27,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,América,Brasileiro,Mauro Laínez (América)
Bruce El-Mesmari,MEX,"FW,DF",21,0.2,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0,América,Brasileiro,Bruce El-Mesmari (América)
Sergio De los Ríos,MEX,FW,20,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,América,Brasileiro,Sergio De los Ríos (América)
Sebastián Martínez,MEX,MF,20,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,América,Brasileiro,Sebastián Martínez (América)
José Abella,MEX,DF,29,17.0,35.0,20,18.0,10.0,7.0,20.0,41.0,48.8,21.0,10.0,3.0,7.0,21,56.0,38.0,0.0,Atlas,Brasileiro,José Abella (Atlas)
Hugo Nervo,ARG,DF,32,17.0,22.0,16,18.0,3.0,1.0,14.0,18.0,77.8,4.0,20.0,15.0,5.0,24,46.0,64.0,0.0,Atlas,Brasileiro,Hugo Nervo (Atlas)
Camilo Vargas,COL,GK,34,17.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,5.0,1.0,Atlas,Brasileiro,Camilo Vargas (Atlas)
Luis Ricardo Reyes,MEX,DF,32,15.8,39.0,26,22.0,11.0,6.0,18.0,30.0,60.0,12.0,12.0,6.0,6.0,22,61.0,31.0,0.0,Atlas,Brasileiro,Luis Ricardo Reyes (Atlas)
Jordy Caicedo,ECU,FW,26,12.8,5.0,3,2.0,1.0,2.0,3.0,8.0,37.5,5.0,3.0,1.0,2.0,3,8.0,14.0,0.0,Atlas,Brasileiro,Jordy Caicedo (Atlas)
Aldo Rocha,MEX,MF,31,12.2,19.0,10,10.0,5.0,4.0,9.0,20.0,45.0,11.0,8.0,1.0,7.0,6,25.0,15.0,0.0,Atlas,Brasileiro,Aldo Rocha (Atlas)
Juan Zapata,COL,MF,23,11.2,24.0,15,7.0,13.0,4.0,10.0,18.0,55.6,8.0,14.0,1.0,13.0,7,31.0,6.0,0.0,Atlas,Brasileiro,Juan Zapata (Atlas)
Augusto Solari,ARG,"FW,MF",31,7.9,17.0,10,6.0,10.0,1.0,10.0,31.0,32.3,21.0,13.0,1.0,12.0,5,22.0,6.0,0.0,Atlas,Brasileiro,Augusto Solari (Atlas)
Ángel Márquez,MEX,MF,23,8.4,17.0,11,8.0,8.0,1.0,9.0,20.0,45.0,11.0,9.0,0.0,9.0,11,28.0,1.0,0.0,Atlas,Brasileiro,Ángel Márquez (Atlas)
Anderson Santamaría,PER,DF,31,8.0,23.0,14,15.0,8.0,0.0,10.0,14.0,71.4,4.0,12.0,6.0,6.0,16,39.0,33.0,0.0,Atlas,Brasileiro,Anderson Santamaría (Atlas)
Edgar Zaldívar,MEX,MF,27,5.6,7.0,5,2.0,4.0,1.0,3.0,15.0,20.0,12.0,3.0,0.0,3.0,6,13.0,8.0,0.0,Atlas,Brasileiro,Edgar Zaldívar (Atlas)
Eduardo Aguirre,MEX,"FW,MF",25,6.8,6.0,2,0.0,5.0,1.0,0.0,5.0,0.0,5.0,12.0,1.0,11.0,4,10.0,7.0,0.0,Atlas,Brasileiro,Eduardo Aguirre (Atlas)
Jorge Guzmán,MEX,FW,20,6.3,10.0,6,3.0,6.0,1.0,3.0,7.0,42.9,4.0,4.0,0.0,4.0,4,14.0,6.0,0.0,Atlas,Brasileiro,Jorge Guzmán (Atlas)
Jaziel Martínez,MEX,MF,23,6.1,10.0,5,2.0,8.0,0.0,5.0,16.0,31.3,11.0,11.0,4.0,7.0,7,17.0,11.0,0.0,Atlas,Brasileiro,Jaziel Martínez (Atlas)
José Lozano,MEX,"DF,FW",25,5.2,10.0,6,8.0,2.0,0.0,7.0,9.0,77.8,2.0,4.0,1.0,3.0,4,14.0,11.0,0.0,Atlas,Brasileiro,José Lozano (Atlas)
Brian Lozano,URU,FW,29,4.6,11.0,8,5.0,4.0,2.0,6.0,10.0,60.0,4.0,7.0,0.0,7.0,3,14.0,1.0,0.0,Atlas,Brasileiro,Brian Lozano (Atlas)
Gaddi Aguirre,MEX,DF,27,5.2,7.0,3,4.0,1.0,2.0,4.0,5.0,80.0,1.0,6.0,4.0,2.0,13,20.0,17.0,0.0,Atlas,Brasileiro,Gaddi Aguirre (Atlas)
Carlos Robles,MEX,DF,23,4.3,7.0,6,5.0,2.0,0.0,2.0,3.0,66.7,1.0,6.0,3.0,3.0,10,17.0,12.0,0.0,Atlas,Brasileiro,Carlos Robles (Atlas)
Mateo García,ARG,"MF,FW",27,5.4,14.0,10,7.0,5.0,2.0,6.0,14.0,42.9,8.0,12.0,0.0,12.0,2,16.0,3.0,0.0,Atlas,Brasileiro,Mateo García (Atlas)
Abraham Bass,MEX,MF,22,2.7,8.0,5,3.0,4.0,1.0,3.0,7.0,42.9,4.0,2.0,0.0,2.0,7,15.0,6.0,0.0,Atlas,Brasileiro,Abraham Bass (Atlas)
Julio Furch,ARG,FW,34,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Atlas,Brasileiro,Julio Furch (Atlas)
Mauro Manotas,COL,"FW,MF",28,2.3,1.0,1,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Atlas,Brasileiro,Mauro Manotas (Atlas)
Christopher Trejo,MEX,"FW,MF",24,2.5,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2,2.0,1.0,0.0,Atlas,Brasileiro,Christopher Trejo (Atlas)
Israel Larios,MEX,MF,20,0.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Atlas,Brasileiro,Israel Larios (Atlas)
Unai Bilbao,ESP,DF,29,16.3,12.0,9,8.0,4.0,0.0,6.0,10.0,60.0,4.0,26.0,20.0,6.0,10,22.0,107.0,0.0,Atlético,Brasileiro,Unai Bilbao (Atlético)
Dieter Villalpando,MEX,"MF,FW",32,15.7,29.0,17,15.0,7.0,7.0,9.0,29.0,31.0,20.0,5.0,0.0,5.0,6,35.0,2.0,0.0,Atlético,Brasileiro,Dieter Villalpando (Atlético)
Jhon Murillo,VEN,"FW,MF",28,14.6,14.0,9,4.0,10.0,0.0,5.0,17.0,29.4,12.0,10.0,0.0,10.0,6,20.0,7.0,0.0,Atlético,Brasileiro,Jhon Murillo (Atlético)
Javier Güemez,MEX,MF,32,15.3,39.0,25,19.0,17.0,3.0,19.0,39.0,48.7,20.0,20.0,8.0,12.0,10,49.0,26.0,0.0,Atlético,Brasileiro,Javier Güemez (Atlético)
Rodrigo Dourado,BRA,MF,29,15.2,47.0,30,18.0,25.0,4.0,24.0,42.0,57.1,18.0,25.0,11.0,14.0,20,67.0,26.0,0.0,Atlético,Brasileiro,Rodrigo Dourado (Atlético)
Ricardo Chávez Soto,MEX,DF,29,14.8,32.0,21,19.0,6.0,7.0,16.0,29.0,55.2,13.0,17.0,8.0,9.0,20,52.0,50.0,1.0,Atlético,Brasileiro,Ricardo Chávez Soto (Atlético)
Julio Domínguez,MEX,DF,36,14.7,15.0,8,7.0,6.0,2.0,6.0,9.0,66.7,3.0,18.0,15.0,3.0,10,25.0,54.0,1.0,Atlético,Brasileiro,Julio Domínguez (Atlético)
Juan Sanabria,URU,DF,23,15.5,37.0,26,28.0,8.0,1.0,23.0,40.0,57.5,17.0,19.0,6.0,13.0,21,58.0,45.0,2.0,Atlético,Brasileiro,Juan Sanabria (Atlético)
Léo Bonatini,BRA,FW,29,12.4,3.0,1,2.0,0.0,1.0,1.0,6.0,16.7,5.0,7.0,3.0,4.0,2,5.0,6.0,0.0,Atlético,Brasileiro,Léo Bonatini (Atlético)
Mateo Klimowicz,GER,"FW,MF",23,8.1,27.0,18,8.0,16.0,3.0,12.0,18.0,66.7,6.0,10.0,1.0,9.0,7,34.0,2.0,0.0,Atlético,Brasileiro,Mateo Klimowicz (Atlético)
Andrés Sánchez,MEX,GK,26,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,7.0,0.0,Atlético,Brasileiro,Andrés Sánchez (Atlético)
Diego Urtiaga,MEX,GK,25,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Atlético,Brasileiro,Diego Urtiaga (Atlético)
Vitinho,BRA,"FW,MF",22,9.5,10.0,8,3.0,6.0,1.0,5.0,16.0,31.3,11.0,3.0,0.0,3.0,3,13.0,1.0,0.0,Atlético,Brasileiro,Vitinho (Atlético)
Ángel Zaldívar,MEX,FW,29,2.6,4.0,4,2.0,1.0,1.0,0.0,5.0,0.0,5.0,2.0,0.0,2.0,1,5.0,2.0,0.0,Atlético,Brasileiro,Ángel Zaldívar (Atlético)
Uziel García,MEX,"DF,FW",22,2.1,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,4.0,1.0,0.0,Atlético,Brasileiro,Uziel García (Atlético)
Sebastien Salles-Lamonge,FRA,"FW,MF",27,2.9,8.0,6,5.0,2.0,1.0,5.0,9.0,55.6,4.0,2.0,1.0,1.0,3,11.0,4.0,0.0,Atlético,Brasileiro,Sebastien Salles-Lamonge (Atlético)
Iker Moreno,MEX,DF,20,1.8,7.0,6,5.0,1.0,1.0,3.0,8.0,37.5,5.0,5.0,0.0,5.0,4,11.0,9.0,0.0,Atlético,Brasileiro,Iker Moreno (Atlético)
Jordan Silva,MEX,"DF,FW",29,1.7,1.0,0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1,2.0,9.0,0.0,Atlético,Brasileiro,Jordan Silva (Atlético)
Eduardo Águila,MEX,"DF,FW",21,1.1,5.0,3,5.0,0.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,3,8.0,5.0,0.0,Atlético,Brasileiro,Eduardo Águila (Atlético)
Jürgen Damm,MEX,FW,31,2.5,8.0,6,5.0,3.0,0.0,6.0,11.0,54.5,5.0,3.0,1.0,2.0,1,9.0,2.0,0.0,Atlético,Brasileiro,Jürgen Damm (Atlético)
Juan David Castro,MEX,"FW,MF",32,1.2,3.0,1,1.0,2.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,2,5.0,0.0,0.0,Atlético,Brasileiro,Juan David Castro (Atlético)
Andrés Iniestra,MEX,MF,27,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Atlético,Brasileiro,Andrés Iniestra (Atlético)
Benjamín Galdames,MEX,FW,22,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Atlético,Brasileiro,Benjamín Galdames (Atlético)
Diego Abitia,MEX,FW,20,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Atlético,Brasileiro,Diego Abitia (Atlético)
Willer Ditta,COL,DF,26,15.0,24.0,17,17.0,7.0,0.0,10.0,22.0,45.5,12.0,23.0,10.0,13.0,16,40.0,33.0,0.0,Cruz Azul,Brasileiro,Willer Ditta (Cruz Azul)
Carlos Salcedo,MEX,DF,30,13.3,10.0,7,7.0,3.0,0.0,7.0,14.0,50.0,7.0,13.0,11.0,2.0,13,23.0,50.0,1.0,Cruz Azul,Brasileiro,Carlos Salcedo (Cruz Azul)
Uriel Antuna,MEX,"MF,FW",26,13.6,7.0,4,1.0,5.0,1.0,3.0,5.0,60.0,2.0,10.0,1.0,9.0,8,15.0,4.0,0.0,Cruz Azul,Brasileiro,Uriel Antuna (Cruz Azul)
Juan Escobar,PAR,DF,28,13.6,25.0,17,18.0,7.0,0.0,17.0,29.0,58.6,12.0,15.0,8.0,7.0,22,47.0,59.0,1.0,Cruz Azul,Brasileiro,Juan Escobar (Cruz Azul)
Carlos Rotondi,ARG,"DF,MF",26,13.5,46.0,34,21.0,22.0,3.0,22.0,43.0,51.2,21.0,28.0,0.0,28.0,12,58.0,37.0,0.0,Cruz Azul,Brasileiro,Carlos Rotondi (Cruz Azul)
Ignacio Rivero,URU,"DF,MF",31,13.6,33.0,16,21.0,11.0,1.0,23.0,56.0,41.1,33.0,29.0,6.0,23.0,9,42.0,28.0,0.0,Cruz Azul,Brasileiro,Ignacio Rivero (Cruz Azul)
Andrés Gudiño,MEX,GK,26,13.5,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,6.0,1.0,Cruz Azul,Brasileiro,Andrés Gudiño (Cruz Azul)
Erik Lira,MEX,MF,23,12.5,24.0,12,12.0,11.0,1.0,12.0,33.0,36.4,21.0,10.0,2.0,8.0,11,35.0,11.0,0.0,Cruz Azul,Brasileiro,Erik Lira (Cruz Azul)
Rodrigo Huescas,MEX,DF,20,11.9,17.0,9,11.0,4.0,2.0,11.0,19.0,57.9,8.0,12.0,3.0,9.0,10,27.0,11.0,1.0,Cruz Azul,Brasileiro,Rodrigo Huescas (Cruz Azul)
Charly Rodríguez,MEX,MF,26,11.6,15.0,8,4.0,10.0,1.0,4.0,20.0,20.0,16.0,5.0,0.0,5.0,13,28.0,3.0,0.0,Cruz Azul,Brasileiro,Charly Rodríguez (Cruz Azul)
Moises,BRA,"MF,FW",27,9.5,4.0,2,2.0,1.0,1.0,3.0,8.0,37.5,5.0,5.0,0.0,5.0,1,5.0,2.0,0.0,Cruz Azul,Brasileiro,Moises (Cruz Azul)
Diber Cambindo,COL,"FW,MF",27,9.2,4.0,1,1.0,1.0,2.0,2.0,5.0,40.0,3.0,9.0,2.0,7.0,1,5.0,9.0,0.0,Cruz Azul,Brasileiro,Diber Cambindo (Cruz Azul)
Kevin Castaño,COL,MF,23,8.5,15.0,10,8.0,5.0,2.0,7.0,20.0,35.0,13.0,7.0,1.0,6.0,5,20.0,6.0,1.0,Cruz Azul,Brasileiro,Kevin Castaño (Cruz Azul)
Ángel Sepúlveda,MEX,FW,32,7.2,3.0,3,0.0,3.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0,3.0,4.0,0.0,Cruz Azul,Brasileiro,Ángel Sepúlveda (Cruz Azul)
Sebastián Jurado,MEX,GK,26,3.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Sebastián Jurado (Cruz Azul)
Rafael Guerrero,MEX,DF,20,5.2,12.0,9,10.0,2.0,0.0,8.0,11.0,72.7,3.0,6.0,4.0,2.0,16,28.0,7.0,0.0,Cruz Azul,Brasileiro,Rafael Guerrero (Cruz Azul)
Christian Tabó,URU,"FW,MF",30,2.4,5.0,4,2.0,1.0,2.0,1.0,3.0,33.3,2.0,3.0,1.0,2.0,2,7.0,1.0,0.0,Cruz Azul,Brasileiro,Christian Tabó (Cruz Azul)
Alexis Gutiérrez,MEX,"MF,FW",23,2.0,3.0,3,2.0,1.0,0.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,1,4.0,0.0,0.0,Cruz Azul,Brasileiro,Alexis Gutiérrez (Cruz Azul)
Augusto Lotti,ITA,FW,27,1.5,2.0,1,0.0,2.0,0.0,2.0,3.0,66.7,1.0,1.0,0.0,1.0,0,2.0,0.0,0.0,Cruz Azul,Brasileiro,Augusto Lotti (Cruz Azul)
Cristian Jiménez,MEX,"DF,MF",21,1.0,3.0,2,2.0,1.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,3,6.0,0.0,0.0,Cruz Azul,Brasileiro,Cristian Jiménez (Cruz Azul)
Alan Zubiri,MEX,DF,22,1.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3,4.0,6.0,0.0,Cruz Azul,Brasileiro,Alan Zubiri (Cruz Azul)
Luis Iturbide,MEX,DF,21,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,2.0,0.0,Cruz Azul,Brasileiro,Luis Iturbide (Cruz Azul)
Jesús Dueñas,MEX,"MF,FW",34,0.9,2.0,2,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0,2.0,0.0,0.0,Cruz Azul,Brasileiro,Jesús Dueñas (Cruz Azul)
Alonso Escoboza,MEX,DF,30,0.9,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,4.0,0.0,Cruz Azul,Brasileiro,Alonso Escoboza (Cruz Azul)
Josué Díaz,MEX,"DF,MF",19,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,Cruz Azul,Brasileiro,Josué Díaz (Cruz Azul)
Raymundo Rubio,MEX,"DF,FW",22,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Raymundo Rubio (Cruz Azul)
Amaury Morales,MEX,"MF,DF",18,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Amaury Morales (Cruz Azul)
Alfredo Talavera,MEX,GK,41,16.3,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,4.0,2.0,FC Juárez,Brasileiro,Alfredo Talavera (FC Juárez)
Luis Alfonso Rodríguez,MEX,DF,32,15.6,28.0,18,14.0,14.0,0.0,11.0,27.0,40.7,16.0,17.0,8.0,9.0,23,51.0,35.0,0.0,FC Juárez,Brasileiro,Luis Alfonso Rodríguez (FC Juárez)
Aitor García,ESP,"MF,FW",29,12.7,13.0,8,5.0,8.0,0.0,7.0,20.0,35.0,13.0,5.0,0.0,5.0,5,18.0,4.0,0.0,FC Juárez,Brasileiro,Aitor García (FC Juárez)
Javier Salas,MEX,MF,30,12.5,12.0,7,6.0,6.0,0.0,6.0,15.0,40.0,9.0,13.0,9.0,4.0,9,21.0,22.0,0.0,FC Juárez,Brasileiro,Javier Salas (FC Juárez)
José García,MEX,DF,27,13.7,19.0,8,16.0,3.0,0.0,13.0,19.0,68.4,6.0,6.0,3.0,3.0,19,38.0,67.0,0.0,FC Juárez,Brasileiro,José García (FC Juárez)
Moises Castillo,COL,DF,22,13.0,30.0,19,22.0,7.0,1.0,15.0,22.0,68.2,7.0,13.0,8.0,5.0,23,53.0,61.0,1.0,FC Juárez,Brasileiro,Moises Castillo (FC Juárez)
Avilés Hurtado,COL,"FW,MF",36,11.8,14.0,9,4.0,6.0,4.0,1.0,9.0,11.1,8.0,12.0,0.0,12.0,6,20.0,6.0,1.0,FC Juárez,Brasileiro,Avilés Hurtado (FC Juárez)
Diego Chávez Collins,MEX,"FW,MF",28,10.0,24.0,16,9.0,12.0,3.0,4.0,20.0,20.0,16.0,20.0,1.0,19.0,9,33.0,16.0,0.0,FC Juárez,Brasileiro,Diego Chávez Collins (FC Juárez)
Denzell García,MEX,MF,20,9.9,15.0,8,5.0,9.0,1.0,10.0,23.0,43.5,13.0,14.0,4.0,10.0,4,19.0,11.0,0.0,FC Juárez,Brasileiro,Denzell García (FC Juárez)
Aldo Cruz,MEX,DF,26,8.5,15.0,7,8.0,6.0,1.0,8.0,15.0,53.3,7.0,15.0,4.0,11.0,6,21.0,12.0,0.0,FC Juárez,Brasileiro,Aldo Cruz (FC Juárez)
Sebastián Saucedo,USA,"FW,MF",26,7.3,11.0,8,8.0,2.0,1.0,8.0,18.0,44.4,10.0,4.0,0.0,4.0,3,14.0,5.0,0.0,FC Juárez,Brasileiro,Sebastián Saucedo (FC Juárez)
Andrija Vukčević,MNE,DF,27,7.0,10.0,5,7.0,1.0,2.0,8.0,8.0,100.0,0.0,4.0,1.0,3.0,7,17.0,10.0,0.0,FC Juárez,Brasileiro,Andrija Vukčević (FC Juárez)
Christian Oliva,URU,MF,27,5.6,11.0,6,4.0,6.0,1.0,6.0,13.0,46.2,7.0,4.0,1.0,3.0,2,13.0,6.0,0.0,FC Juárez,Brasileiro,Christian Oliva (FC Juárez)
Michael Santos,URU,FW,30,5.3,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,1.0,2.0,0,1.0,4.0,0.0,FC Juárez,Brasileiro,Michael Santos (FC Juárez)
Gonzalo Pelúa,URU,DF,20,4.5,4.0,4,3.0,1.0,0.0,2.0,6.0,33.3,4.0,6.0,2.0,4.0,8,12.0,21.0,1.0,FC Juárez,Brasileiro,Gonzalo Pelúa (FC Juárez)
Diego Campillo,MEX,DF,22,3.7,8.0,4,5.0,3.0,0.0,4.0,11.0,36.4,7.0,3.0,0.0,3.0,3,11.0,25.0,0.0,FC Juárez,Brasileiro,Diego Campillo (FC Juárez)
Amaury Escoto,MEX,"FW,MF",31,4.6,1.0,0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,5.0,0.0,5.0,0,1.0,4.0,0.0,FC Juárez,Brasileiro,Amaury Escoto (FC Juárez)
