Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Team,Championship,Player_Team
Mauro Laínez,MEX,FW,27,0.3,16.0,0.0,1.0,10.0,5.0,0.0,16.0,1.0,0.0,0.0,1.0,100.0,10.0,65.0,41.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,América,Brasileiro,Mauro Laínez (América)
Bruce El-Mesmari,MEX,"FW,DF",21,0.2,22.0,0.0,2.0,12.0,8.0,2.0,22.0,2.0,0.0,0.0,2.0,100.0,13.0,99.0,25.0,0.0,0.0,1.0,1.0,0.0,15.0,4.0,América,Brasileiro,Bruce El-Mesmari (América)
Sergio De los Ríos,MEX,FW,20,0.2,10.0,1.0,1.0,7.0,2.0,0.0,10.0,1.0,0.0,0.0,1.0,100.0,8.0,21.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,América,Brasileiro,Sergio De los Ríos (América)
Sebastián Martínez,MEX,MF,20,0.1,10.0,0.0,4.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,América,Brasileiro,Sebastián Martínez (América)
José Abella,MEX,DF,29,17.0,1077.0,48.0,278.0,534.0,275.0,9.0,1077.0,9.0,3.0,33.3,6.0,66.7,533.0,1821.0,831.0,12.0,12.0,0.0,12.0,7.0,635.0,61.0,Atlas,Brasileiro,José Abella (Atlas)
Hugo Nervo,ARG,DF,32,17.0,1036.0,109.0,550.0,470.0,20.0,11.0,1036.0,1.0,0.0,0.0,1.0,100.0,581.0,2716.0,1497.0,3.0,1.0,0.0,3.0,0.0,647.0,0.0,Atlas,Brasileiro,Hugo Nervo (Atlas)
Camilo Vargas,COL,GK,34,17.0,672.0,473.0,661.0,11.0,0.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,363.0,1680.0,1058.0,0.0,0.0,0.0,0.0,0.0,304.0,0.0,Atlas,Brasileiro,Camilo Vargas (Atlas)
Luis Ricardo Reyes,MEX,DF,32,15.8,1054.0,47.0,316.0,464.0,284.0,10.0,1054.0,17.0,7.0,41.2,8.0,47.1,491.0,1762.0,846.0,16.0,13.0,3.0,15.0,10.0,563.0,43.0,Atlas,Brasileiro,Luis Ricardo Reyes (Atlas)
Jordy Caicedo,ECU,FW,26,12.8,365.0,15.0,23.0,164.0,181.0,69.0,365.0,21.0,9.0,42.9,11.0,52.4,200.0,1047.0,318.0,17.0,8.0,10.0,49.0,19.0,263.0,68.0,Atlas,Brasileiro,Jordy Caicedo (Atlas)
Aldo Rocha,MEX,MF,31,12.2,874.0,21.0,215.0,571.0,93.0,11.0,874.0,15.0,7.0,46.7,8.0,53.3,547.0,2368.0,1048.0,12.0,7.0,0.0,10.0,8.0,613.0,9.0,Atlas,Brasileiro,Aldo Rocha (Atlas)
Juan Zapata,COL,MF,23,11.2,636.0,7.0,86.0,397.0,162.0,14.0,636.0,11.0,5.0,45.5,6.0,54.5,401.0,1611.0,607.0,8.0,9.0,2.0,16.0,8.0,467.0,31.0,Atlas,Brasileiro,Juan Zapata (Atlas)
Augusto Solari,ARG,"FW,MF",31,7.9,337.0,10.0,53.0,176.0,114.0,11.0,337.0,23.0,11.0,47.8,9.0,39.1,211.0,977.0,435.0,16.0,16.0,1.0,23.0,9.0,228.0,42.0,Atlas,Brasileiro,Augusto Solari (Atlas)
Ángel Márquez,MEX,MF,23,8.4,510.0,4.0,63.0,291.0,162.0,15.0,510.0,22.0,6.0,27.3,15.0,68.2,322.0,1580.0,647.0,12.0,14.0,4.0,32.0,9.0,360.0,44.0,Atlas,Brasileiro,Ángel Márquez (Atlas)
Anderson Santamaría,PER,DF,31,8.0,438.0,46.0,242.0,186.0,14.0,5.0,438.0,4.0,3.0,75.0,1.0,25.0,238.0,977.0,455.0,1.0,4.0,0.0,0.0,1.0,263.0,0.0,Atlas,Brasileiro,Anderson Santamaría (Atlas)
Edgar Zaldívar,MEX,MF,27,5.6,319.0,10.0,53.0,211.0,56.0,3.0,319.0,3.0,2.0,66.7,0.0,0.0,196.0,853.0,295.0,3.0,7.0,0.0,7.0,11.0,221.0,13.0,Atlas,Brasileiro,Edgar Zaldívar (Atlas)
Eduardo Aguirre,MEX,"FW,MF",25,6.8,268.0,6.0,19.0,97.0,154.0,30.0,268.0,14.0,4.0,28.6,8.0,57.1,145.0,620.0,240.0,7.0,5.0,1.0,23.0,17.0,187.0,46.0,Atlas,Brasileiro,Eduardo Aguirre (Atlas)
Jorge Guzmán,MEX,FW,20,6.3,277.0,5.0,35.0,124.0,120.0,14.0,277.0,20.0,6.0,30.0,13.0,65.0,178.0,1198.0,510.0,16.0,13.0,4.0,9.0,6.0,198.0,43.0,Atlas,Brasileiro,Jorge Guzmán (Atlas)
Jaziel Martínez,MEX,MF,23,6.1,367.0,12.0,65.0,225.0,81.0,5.0,367.0,9.0,3.0,33.3,5.0,55.6,206.0,977.0,426.0,9.0,5.0,1.0,6.0,6.0,242.0,12.0,Atlas,Brasileiro,Jaziel Martínez (Atlas)
José Lozano,MEX,"DF,FW",25,5.2,278.0,9.0,74.0,113.0,92.0,9.0,278.0,7.0,3.0,42.9,3.0,42.9,146.0,722.0,295.0,9.0,5.0,0.0,10.0,8.0,165.0,32.0,Atlas,Brasileiro,José Lozano (Atlas)
Brian Lozano,URU,FW,29,4.6,312.0,3.0,37.0,153.0,128.0,8.0,312.0,22.0,6.0,27.3,12.0,54.5,219.0,1436.0,516.0,13.0,18.0,4.0,14.0,4.0,219.0,41.0,Atlas,Brasileiro,Brian Lozano (Atlas)
Gaddi Aguirre,MEX,DF,27,5.2,342.0,28.0,183.0,154.0,7.0,3.0,342.0,1.0,1.0,100.0,0.0,0.0,208.0,900.0,431.0,0.0,1.0,0.0,1.0,0.0,221.0,0.0,Atlas,Brasileiro,Gaddi Aguirre (Atlas)
Carlos Robles,MEX,DF,23,4.3,274.0,19.0,115.0,148.0,11.0,4.0,274.0,0.0,0.0,0.0,0.0,0.0,152.0,835.0,569.0,7.0,1.0,0.0,2.0,1.0,169.0,1.0,Atlas,Brasileiro,Carlos Robles (Atlas)
Mateo García,ARG,"MF,FW",27,5.4,340.0,9.0,46.0,169.0,131.0,10.0,340.0,23.0,15.0,65.2,8.0,34.8,218.0,1550.0,739.0,18.0,21.0,2.0,14.0,12.0,238.0,31.0,Atlas,Brasileiro,Mateo García (Atlas)
Abraham Bass,MEX,MF,22,2.7,191.0,4.0,40.0,126.0,28.0,3.0,191.0,3.0,3.0,100.0,0.0,0.0,80.0,328.0,127.0,1.0,1.0,0.0,3.0,0.0,110.0,2.0,Atlas,Brasileiro,Abraham Bass (Atlas)
Julio Furch,ARG,FW,34,2.0,78.0,2.0,4.0,43.0,32.0,14.0,78.0,1.0,0.0,0.0,1.0,100.0,41.0,152.0,47.0,2.0,1.0,1.0,3.0,1.0,61.0,13.0,Atlas,Brasileiro,Julio Furch (Atlas)
Mauro Manotas,COL,"FW,MF",28,2.3,82.0,0.0,4.0,31.0,48.0,18.0,82.0,11.0,6.0,54.5,5.0,45.5,62.0,372.0,130.0,6.0,4.0,3.0,9.0,8.0,68.0,18.0,Atlas,Brasileiro,Mauro Manotas (Atlas)
Christopher Trejo,MEX,"FW,MF",24,2.5,135.0,2.0,10.0,52.0,73.0,12.0,135.0,17.0,5.0,29.4,11.0,64.7,76.0,532.0,201.0,8.0,4.0,3.0,4.0,3.0,93.0,23.0,Atlas,Brasileiro,Christopher Trejo (Atlas)
Israel Larios,MEX,MF,20,0.3,25.0,0.0,0.0,6.0,19.0,2.0,25.0,8.0,4.0,50.0,3.0,37.5,13.0,125.0,77.0,3.0,4.0,0.0,0.0,0.0,18.0,8.0,Atlas,Brasileiro,Israel Larios (Atlas)
Unai Bilbao,ESP,DF,29,16.3,1098.0,179.0,597.0,466.0,39.0,25.0,1095.0,3.0,1.0,33.3,2.0,66.7,634.0,2937.0,1595.0,6.0,4.0,0.0,3.0,1.0,753.0,2.0,Atlético,Brasileiro,Unai Bilbao (Atlético)
Dieter Villalpando,MEX,"MF,FW",32,15.7,1038.0,19.0,134.0,571.0,347.0,20.0,1038.0,50.0,30.0,60.0,16.0,32.0,704.0,4714.0,2478.0,61.0,52.0,6.0,23.0,19.0,835.0,78.0,Atlético,Brasileiro,Dieter Villalpando (Atlético)
Jhon Murillo,VEN,"FW,MF",28,14.6,601.0,8.0,64.0,286.0,265.0,39.0,601.0,43.0,23.0,53.5,16.0,37.2,395.0,2965.0,1576.0,52.0,40.0,16.0,30.0,13.0,467.0,127.0,Atlético,Brasileiro,Jhon Murillo (Atlético)
Javier Güemez,MEX,MF,32,15.3,1183.0,61.0,326.0,711.0,153.0,2.0,1183.0,17.0,11.0,64.7,6.0,35.3,667.0,2762.0,1295.0,10.0,11.0,0.0,13.0,10.0,876.0,22.0,Atlético,Brasileiro,Javier Güemez (Atlético)
Rodrigo Dourado,BRA,MF,29,15.2,1106.0,132.0,380.0,644.0,89.0,12.0,1106.0,12.0,6.0,50.0,5.0,41.7,619.0,3359.0,1992.0,15.0,15.0,1.0,10.0,8.0,746.0,17.0,Atlético,Brasileiro,Rodrigo Dourado (Atlético)
Ricardo Chávez Soto,MEX,DF,29,14.8,1033.0,66.0,317.0,440.0,285.0,40.0,1033.0,19.0,11.0,57.9,7.0,36.8,502.0,2652.0,1384.0,34.0,26.0,3.0,14.0,17.0,657.0,100.0,Atlético,Brasileiro,Ricardo Chávez Soto (Atlético)
Julio Domínguez,MEX,DF,36,14.7,836.0,88.0,433.0,387.0,18.0,10.0,836.0,1.0,1.0,100.0,0.0,0.0,480.0,2519.0,1238.0,9.0,1.0,0.0,7.0,1.0,602.0,3.0,Atlético,Brasileiro,Julio Domínguez (Atlético)
Juan Sanabria,URU,DF,23,15.5,1043.0,54.0,351.0,440.0,260.0,21.0,1043.0,20.0,13.0,65.0,5.0,25.0,474.0,2404.0,1162.0,27.0,28.0,5.0,22.0,9.0,598.0,68.0,Atlético,Brasileiro,Juan Sanabria (Atlético)
Léo Bonatini,BRA,FW,29,12.4,315.0,10.0,29.0,148.0,143.0,49.0,315.0,16.0,8.0,50.0,8.0,50.0,178.0,710.0,319.0,10.0,7.0,4.0,22.0,12.0,226.0,56.0,Atlético,Brasileiro,Léo Bonatini (Atlético)
Mateo Klimowicz,GER,"FW,MF",23,8.1,360.0,5.0,64.0,172.0,133.0,21.0,360.0,38.0,20.0,52.6,18.0,47.4,213.0,1301.0,549.0,18.0,21.0,8.0,19.0,12.0,237.0,45.0,Atlético,Brasileiro,Mateo Klimowicz (Atlético)
Andrés Sánchez,MEX,GK,26,9.0,287.0,252.0,284.0,3.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,138.0,663.0,359.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,Atlético,Brasileiro,Andrés Sánchez (Atlético)
Diego Urtiaga,MEX,GK,25,8.0,250.0,243.0,249.0,0.0,1.0,1.0,250.0,0.0,0.0,0.0,0.0,0.0,119.0,546.0,363.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Atlético,Brasileiro,Diego Urtiaga (Atlético)
Vitinho,BRA,"FW,MF",22,9.5,503.0,1.0,40.0,220.0,254.0,48.0,503.0,49.0,20.0,40.8,23.0,46.9,339.0,2441.0,1345.0,48.0,41.0,20.0,32.0,17.0,396.0,85.0,Atlético,Brasileiro,Vitinho (Atlético)
Ángel Zaldívar,MEX,FW,29,2.6,83.0,2.0,7.0,37.0,39.0,12.0,81.0,4.0,2.0,50.0,2.0,50.0,36.0,143.0,26.0,0.0,1.0,0.0,7.0,5.0,57.0,16.0,Atlético,Brasileiro,Ángel Zaldívar (Atlético)
Uziel García,MEX,"DF,FW",22,2.1,98.0,5.0,22.0,47.0,29.0,4.0,98.0,3.0,1.0,33.3,2.0,66.7,51.0,340.0,142.0,4.0,5.0,0.0,3.0,0.0,59.0,6.0,Atlético,Brasileiro,Uziel García (Atlético)
Sebastien Salles-Lamonge,FRA,"FW,MF",27,2.9,244.0,7.0,41.0,134.0,69.0,5.0,244.0,3.0,2.0,66.7,1.0,33.3,153.0,621.0,233.0,2.0,7.0,0.0,3.0,7.0,200.0,19.0,Atlético,Brasileiro,Sebastien Salles-Lamonge (Atlético)
Iker Moreno,MEX,DF,20,1.8,159.0,13.0,56.0,78.0,27.0,6.0,159.0,3.0,1.0,33.3,2.0,66.7,87.0,504.0,284.0,5.0,2.0,0.0,3.0,0.0,95.0,14.0,Atlético,Brasileiro,Iker Moreno (Atlético)
Jordan Silva,MEX,"DF,FW",29,1.7,125.0,16.0,45.0,72.0,9.0,7.0,125.0,0.0,0.0,0.0,0.0,0.0,77.0,441.0,222.0,1.0,0.0,0.0,0.0,0.0,84.0,0.0,Atlético,Brasileiro,Jordan Silva (Atlético)
Eduardo Águila,MEX,"DF,FW",21,1.1,84.0,5.0,44.0,35.0,5.0,1.0,84.0,2.0,1.0,50.0,1.0,50.0,34.0,159.0,46.0,1.0,0.0,0.0,0.0,0.0,52.0,2.0,Atlético,Brasileiro,Eduardo Águila (Atlético)
Jürgen Damm,MEX,FW,31,2.5,154.0,4.0,21.0,55.0,78.0,18.0,154.0,8.0,3.0,37.5,2.0,25.0,98.0,507.0,240.0,13.0,3.0,4.0,8.0,4.0,119.0,39.0,Atlético,Brasileiro,Jürgen Damm (Atlético)
Juan David Castro,MEX,"FW,MF",32,1.2,81.0,2.0,10.0,52.0,20.0,2.0,81.0,3.0,1.0,33.3,2.0,66.7,51.0,356.0,234.0,8.0,3.0,0.0,1.0,1.0,60.0,4.0,Atlético,Brasileiro,Juan David Castro (Atlético)
Andrés Iniestra,MEX,MF,27,0.3,17.0,3.0,6.0,7.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,14.0,0.0,2.0,0.0,1.0,0.0,11.0,1.0,Atlético,Brasileiro,Andrés Iniestra (Atlético)
Benjamín Galdames,MEX,FW,22,0.3,15.0,0.0,1.0,5.0,9.0,0.0,15.0,2.0,1.0,50.0,1.0,50.0,12.0,103.0,63.0,2.0,2.0,0.0,2.0,1.0,12.0,2.0,Atlético,Brasileiro,Benjamín Galdames (Atlético)
Diego Abitia,MEX,FW,20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Atlético,Brasileiro,Diego Abitia (Atlético)
Willer Ditta,COL,DF,26,15.0,983.0,89.0,496.0,459.0,47.0,4.0,983.0,14.0,12.0,85.7,1.0,7.1,570.0,3291.0,1660.0,16.0,16.0,1.0,9.0,6.0,599.0,6.0,Cruz Azul,Brasileiro,Willer Ditta (Cruz Azul)
Carlos Salcedo,MEX,DF,30,13.3,915.0,96.0,480.0,401.0,43.0,14.0,915.0,2.0,2.0,100.0,0.0,0.0,508.0,2470.0,1242.0,7.0,4.0,0.0,6.0,1.0,619.0,10.0,Cruz Azul,Brasileiro,Carlos Salcedo (Cruz Azul)
Uriel Antuna,MEX,"MF,FW",26,13.6,613.0,5.0,52.0,264.0,304.0,52.0,611.0,28.0,15.0,53.6,11.0,39.3,413.0,2547.0,1127.0,46.0,14.0,17.0,27.0,18.0,494.0,148.0,Cruz Azul,Brasileiro,Uriel Antuna (Cruz Azul)
Juan Escobar,PAR,DF,28,13.6,843.0,103.0,450.0,371.0,26.0,15.0,843.0,6.0,1.0,16.7,4.0,66.7,439.0,2033.0,1005.0,6.0,3.0,1.0,7.0,2.0,493.0,3.0,Cruz Azul,Brasileiro,Juan Escobar (Cruz Azul)
Carlos Rotondi,ARG,"DF,MF",26,13.5,642.0,31.0,145.0,275.0,232.0,36.0,642.0,33.0,16.0,48.5,15.0,45.5,328.0,1648.0,845.0,28.0,12.0,8.0,24.0,21.0,375.0,72.0,Cruz Azul,Brasileiro,Carlos Rotondi (Cruz Azul)
Ignacio Rivero,URU,"DF,MF",31,13.6,988.0,31.0,209.0,429.0,362.0,21.0,988.0,28.0,12.0,42.9,12.0,42.9,478.0,2231.0,1172.0,29.0,26.0,4.0,28.0,18.0,567.0,89.0,Cruz Azul,Brasileiro,Ignacio Rivero (Cruz Azul)
Andrés Gudiño,MEX,GK,26,13.5,407.0,359.0,406.0,0.0,1.0,1.0,407.0,0.0,0.0,0.0,0.0,0.0,194.0,1132.0,692.0,0.0,0.0,0.0,1.0,0.0,135.0,0.0,Cruz Azul,Brasileiro,Andrés Gudiño (Cruz Azul)
Erik Lira,MEX,MF,23,12.5,782.0,26.0,197.0,528.0,64.0,1.0,782.0,12.0,9.0,75.0,2.0,16.7,457.0,2155.0,1071.0,6.0,8.0,1.0,10.0,17.0,539.0,8.0,Cruz Azul,Brasileiro,Erik Lira (Cruz Azul)
Rodrigo Huescas,MEX,DF,20,11.9,671.0,24.0,168.0,306.0,203.0,24.0,671.0,17.0,8.0,47.1,7.0,41.2,357.0,2038.0,1034.0,34.0,25.0,8.0,17.0,6.0,428.0,65.0,Cruz Azul,Brasileiro,Rodrigo Huescas (Cruz Azul)
Charly Rodríguez,MEX,MF,26,11.6,824.0,11.0,115.0,542.0,179.0,9.0,824.0,16.0,7.0,43.8,7.0,43.8,499.0,2630.0,1265.0,15.0,19.0,2.0,21.0,11.0,640.0,37.0,Cruz Azul,Brasileiro,Charly Rodríguez (Cruz Azul)
Moises,BRA,"MF,FW",27,9.5,348.0,1.0,33.0,148.0,174.0,39.0,348.0,50.0,26.0,52.0,22.0,44.0,225.0,2240.0,1220.0,42.0,38.0,16.0,27.0,15.0,254.0,45.0,Cruz Azul,Brasileiro,Moises (Cruz Azul)
Diber Cambindo,COL,"FW,MF",27,9.2,275.0,12.0,24.0,125.0,131.0,44.0,275.0,21.0,12.0,57.1,7.0,33.3,158.0,1013.0,448.0,19.0,12.0,10.0,35.0,22.0,186.0,43.0,Cruz Azul,Brasileiro,Diber Cambindo (Cruz Azul)
Kevin Castaño,COL,MF,23,8.5,590.0,10.0,104.0,415.0,77.0,3.0,590.0,5.0,4.0,80.0,1.0,20.0,354.0,1778.0,834.0,10.0,9.0,1.0,13.0,9.0,437.0,13.0,Cruz Azul,Brasileiro,Kevin Castaño (Cruz Azul)
Ángel Sepúlveda,MEX,FW,32,7.2,237.0,5.0,13.0,103.0,123.0,32.0,236.0,7.0,4.0,57.1,3.0,42.9,127.0,588.0,202.0,3.0,5.0,0.0,17.0,13.0,196.0,32.0,Cruz Azul,Brasileiro,Ángel Sepúlveda (Cruz Azul)
Sebastián Jurado,MEX,GK,26,3.4,121.0,99.0,121.0,0.0,0.0,0.0,121.0,1.0,1.0,100.0,0.0,0.0,59.0,251.0,109.0,0.0,0.0,0.0,1.0,0.0,59.0,0.0,Cruz Azul,Brasileiro,Sebastián Jurado (Cruz Azul)
Rafael Guerrero,MEX,DF,20,5.2,300.0,30.0,124.0,160.0,18.0,5.0,300.0,7.0,6.0,85.7,1.0,14.3,163.0,970.0,609.0,8.0,8.0,0.0,4.0,2.0,184.0,5.0,Cruz Azul,Brasileiro,Rafael Guerrero (Cruz Azul)
Christian Tabó,URU,"FW,MF",30,2.4,84.0,3.0,15.0,41.0,30.0,13.0,84.0,5.0,2.0,40.0,3.0,60.0,46.0,258.0,100.0,4.0,1.0,2.0,3.0,3.0,51.0,9.0,Cruz Azul,Brasileiro,Christian Tabó (Cruz Azul)
Alexis Gutiérrez,MEX,"MF,FW",23,2.0,141.0,2.0,12.0,92.0,38.0,4.0,141.0,3.0,2.0,66.7,1.0,33.3,83.0,367.0,184.0,5.0,6.0,1.0,7.0,3.0,109.0,16.0,Cruz Azul,Brasileiro,Alexis Gutiérrez (Cruz Azul)
Augusto Lotti,ITA,FW,27,1.5,36.0,0.0,2.0,19.0,15.0,2.0,36.0,1.0,0.0,0.0,1.0,100.0,20.0,112.0,14.0,1.0,0.0,0.0,2.0,2.0,24.0,10.0,Cruz Azul,Brasileiro,Augusto Lotti (Cruz Azul)
