Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Christopher Trejo,MEX,"FW,MF",24,2.5,0,6,1,16.7,2.44,0.41,0.0,0.0,20.8,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Atlas,Brasileiro,Christopher Trejo (Atlas)
Israel Larios,MEX,MF,20,0.3,0,2,0,0.0,6.92,0.0,0.0,0.0,16.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Atlas,Brasileiro,Israel Larios (Atlas)
Unai Bilbao,ESP,DF,29,16.3,5,17,3,17.6,1.04,0.18,0.12,0.67,15.6,0.0,3,3,3.6,1.2,0.07,1.4,0.8,Atlético,Brasileiro,Unai Bilbao (Atlético)
Dieter Villalpando,MEX,"MF,FW",32,15.7,3,33,16,48.5,2.1,1.02,0.09,0.19,23.6,1.0,0,0,2.3,2.3,0.07,0.7,0.7,Atlético,Brasileiro,Dieter Villalpando (Atlético)
Jhon Murillo,VEN,"FW,MF",28,14.6,1,23,5,21.7,1.57,0.34,0.04,0.2,18.9,0.0,0,0,1.8,1.8,0.08,-0.8,-0.8,Atlético,Brasileiro,Jhon Murillo (Atlético)
Javier Güemez,MEX,MF,32,15.3,1,14,3,21.4,0.92,0.2,0.07,0.33,29.2,0.0,0,0,0.5,0.5,0.03,0.5,0.5,Atlético,Brasileiro,Javier Güemez (Atlético)
Rodrigo Dourado,BRA,MF,29,15.2,1,6,4,66.7,0.4,0.26,0.17,0.25,15.2,0.0,0,0,0.4,0.4,0.07,0.6,0.6,Atlético,Brasileiro,Rodrigo Dourado (Atlético)
Ricardo Chávez Soto,MEX,DF,29,14.8,1,18,3,16.7,1.22,0.2,0.06,0.33,14.6,0.0,0,0,1.8,1.8,0.1,-0.8,-0.8,Atlético,Brasileiro,Ricardo Chávez Soto (Atlético)
Julio Domínguez,MEX,DF,36,14.7,2,6,2,33.3,0.41,0.14,0.33,1.0,11.0,0.0,0,0,0.3,0.3,0.06,1.7,1.7,Atlético,Brasileiro,Julio Domínguez (Atlético)
Juan Sanabria,URU,DF,23,15.5,1,11,1,9.1,0.71,0.06,0.09,1.0,24.7,3.0,0,0,0.7,0.7,0.06,0.3,0.3,Atlético,Brasileiro,Juan Sanabria (Atlético)
Léo Bonatini,BRA,FW,29,12.4,5,29,9,31.0,2.34,0.73,0.17,0.56,13.7,0.0,0,0,3.9,3.9,0.14,1.1,1.1,Atlético,Brasileiro,Léo Bonatini (Atlético)
Mateo Klimowicz,GER,"FW,MF",23,8.1,1,23,12,52.2,2.84,1.48,0.04,0.08,22.4,0.0,0,0,1.5,1.5,0.06,-0.5,-0.5,Atlético,Brasileiro,Mateo Klimowicz (Atlético)
Andrés Sánchez,MEX,GK,26,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético,Brasileiro,Andrés Sánchez (Atlético)
Diego Urtiaga,MEX,GK,25,8.0,0,1,0,0.0,0.12,0.0,0.0,0.0,11.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Atlético,Brasileiro,Diego Urtiaga (Atlético)
Vitinho,BRA,"FW,MF",22,9.5,6,36,17,47.2,3.79,1.79,0.17,0.35,22.1,3.0,0,0,2.3,2.3,0.06,3.7,3.7,Atlético,Brasileiro,Vitinho (Atlético)
Ángel Zaldívar,MEX,FW,29,2.6,2,6,3,50.0,2.31,1.15,0.17,0.33,16.4,0.0,1,2,2.5,1.0,0.16,-0.5,0.0,Atlético,Brasileiro,Ángel Zaldívar (Atlético)
Uziel García,MEX,"DF,FW",22,2.1,0,3,1,33.3,1.43,0.48,0.0,0.0,18.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Atlético,Brasileiro,Uziel García (Atlético)
Sebastien Salles-Lamonge,FRA,"FW,MF",27,2.9,0,7,1,14.3,2.42,0.35,0.0,0.0,22.9,1.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Atlético,Brasileiro,Sebastien Salles-Lamonge (Atlético)
Iker Moreno,MEX,DF,20,1.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético,Brasileiro,Iker Moreno (Atlético)
Jordan Silva,MEX,"DF,FW",29,1.7,0,4,1,25.0,2.38,0.6,0.0,0.0,12.5,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Atlético,Brasileiro,Jordan Silva (Atlético)
Eduardo Águila,MEX,"DF,FW",21,1.1,0,1,0,0.0,0.94,0.0,0.0,0.0,15.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Atlético,Brasileiro,Eduardo Águila (Atlético)
Jürgen Damm,MEX,FW,31,2.5,0,7,2,28.6,2.83,0.81,0.0,0.0,14.0,0.0,0,0,1.0,1.0,0.14,-1.0,-1.0,Atlético,Brasileiro,Jürgen Damm (Atlético)
Juan David Castro,MEX,"FW,MF",32,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,28.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Atlético,Brasileiro,Juan David Castro (Atlético)
Andrés Iniestra,MEX,MF,27,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético,Brasileiro,Andrés Iniestra (Atlético)
Benjamín Galdames,MEX,FW,22,0.3,0,1,0,0.0,3.46,0.0,0.0,0.0,31.1,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Atlético,Brasileiro,Benjamín Galdames (Atlético)
Diego Abitia,MEX,FW,20,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético,Brasileiro,Diego Abitia (Atlético)
Willer Ditta,COL,DF,26,15.0,1,8,3,37.5,0.53,0.2,0.13,0.33,22.9,0.0,0,0,0.8,0.8,0.1,0.2,0.2,Cruz Azul,Brasileiro,Willer Ditta (Cruz Azul)
Carlos Salcedo,MEX,DF,30,13.3,0,5,1,20.0,0.38,0.08,0.0,0.0,19.0,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Cruz Azul,Brasileiro,Carlos Salcedo (Cruz Azul)
Uriel Antuna,MEX,"MF,FW",26,13.6,5,29,10,34.5,2.14,0.74,0.1,0.3,17.9,0.0,2,2,4.9,3.3,0.11,0.1,-0.3,Cruz Azul,Brasileiro,Uriel Antuna (Cruz Azul)
Juan Escobar,PAR,DF,28,13.6,0,6,3,50.0,0.44,0.22,0.0,0.0,13.2,0.0,0,0,1.1,1.1,0.23,-1.1,-1.1,Cruz Azul,Brasileiro,Juan Escobar (Cruz Azul)
Carlos Rotondi,ARG,"DF,MF",26,13.5,3,22,8,36.4,1.63,0.59,0.14,0.38,15.7,0.0,0,0,3.1,3.1,0.14,-0.1,-0.1,Cruz Azul,Brasileiro,Carlos Rotondi (Cruz Azul)
Ignacio Rivero,URU,"DF,MF",31,13.6,1,24,10,41.7,1.76,0.73,0.04,0.1,25.6,8.0,0,0,1.0,1.0,0.04,0.0,0.0,Cruz Azul,Brasileiro,Ignacio Rivero (Cruz Azul)
Andrés Gudiño,MEX,GK,26,13.5,0,1,1,100.0,0.07,0.07,0.0,0.0,19.3,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Cruz Azul,Brasileiro,Andrés Gudiño (Cruz Azul)
Erik Lira,MEX,MF,23,12.5,0,2,0,0.0,0.16,0.0,0.0,0.0,23.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Cruz Azul,Brasileiro,Erik Lira (Cruz Azul)
Rodrigo Huescas,MEX,DF,20,11.9,0,5,0,0.0,0.42,0.0,0.0,0.0,15.7,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Cruz Azul,Brasileiro,Rodrigo Huescas (Cruz Azul)
Charly Rodríguez,MEX,MF,26,11.6,0,14,8,57.1,1.21,0.69,0.0,0.0,22.2,0.0,0,0,0.8,0.8,0.06,-0.8,-0.8,Cruz Azul,Brasileiro,Charly Rodríguez (Cruz Azul)
Moises,BRA,"MF,FW",27,9.5,1,20,7,35.0,2.1,0.74,0.05,0.14,18.2,0.0,0,0,2.0,2.0,0.1,-1.0,-1.0,Cruz Azul,Brasileiro,Moises (Cruz Azul)
Diber Cambindo,COL,"FW,MF",27,9.2,4,31,9,29.0,3.37,0.98,0.13,0.44,13.6,0.0,0,0,3.1,3.1,0.1,0.9,0.9,Cruz Azul,Brasileiro,Diber Cambindo (Cruz Azul)
Kevin Castaño,COL,MF,23,8.5,0,10,3,30.0,1.18,0.35,0.0,0.0,25.9,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Cruz Azul,Brasileiro,Kevin Castaño (Cruz Azul)
Ángel Sepúlveda,MEX,FW,32,7.2,6,21,12,57.1,2.93,1.68,0.24,0.42,15.8,0.0,1,1,5.1,4.3,0.21,0.9,0.7,Cruz Azul,Brasileiro,Ángel Sepúlveda (Cruz Azul)
Sebastián Jurado,MEX,GK,26,3.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Sebastián Jurado (Cruz Azul)
Rafael Guerrero,MEX,DF,20,5.2,0,3,0,0.0,0.58,0.0,0.0,0.0,20.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Cruz Azul,Brasileiro,Rafael Guerrero (Cruz Azul)
Christian Tabó,URU,"FW,MF",30,2.4,0,5,1,20.0,2.1,0.42,0.0,0.0,15.5,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Cruz Azul,Brasileiro,Christian Tabó (Cruz Azul)
Alexis Gutiérrez,MEX,"MF,FW",23,2.0,0,1,0,0.0,0.5,0.0,0.0,0.0,20.8,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Cruz Azul,Brasileiro,Alexis Gutiérrez (Cruz Azul)
Augusto Lotti,ITA,FW,27,1.5,0,5,1,20.0,3.41,0.68,0.0,0.0,24.4,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Cruz Azul,Brasileiro,Augusto Lotti (Cruz Azul)
Cristian Jiménez,MEX,"DF,MF",21,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Cristian Jiménez (Cruz Azul)
Alan Zubiri,MEX,DF,22,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Alan Zubiri (Cruz Azul)
Luis Iturbide,MEX,DF,21,0.5,0,2,2,100.0,4.0,4.0,0.0,0.0,19.3,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2,Cruz Azul,Brasileiro,Luis Iturbide (Cruz Azul)
Jesús Dueñas,MEX,"MF,FW",34,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Jesús Dueñas (Cruz Azul)
Alonso Escoboza,MEX,DF,30,0.9,0,1,0,0.0,1.15,0.0,0.0,0.0,34.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Cruz Azul,Brasileiro,Alonso Escoboza (Cruz Azul)
Josué Díaz,MEX,"DF,MF",19,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Josué Díaz (Cruz Azul)
Raymundo Rubio,MEX,"DF,FW",22,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Raymundo Rubio (Cruz Azul)
Amaury Morales,MEX,"MF,DF",18,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Cruz Azul,Brasileiro,Amaury Morales (Cruz Azul)
Alfredo Talavera,MEX,GK,41,16.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,FC Juárez,Brasileiro,Alfredo Talavera (FC Juárez)
Luis Alfonso Rodríguez,MEX,DF,32,15.6,0,7,0,0.0,0.45,0.0,0.0,0.0,23.8,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,FC Juárez,Brasileiro,Luis Alfonso Rodríguez (FC Juárez)
Aitor García,ESP,"MF,FW",29,12.7,4,38,13,34.2,2.99,1.02,0.11,0.31,21.1,1.0,0,0,2.7,2.7,0.07,1.3,1.3,FC Juárez,Brasileiro,Aitor García (FC Juárez)
Javier Salas,MEX,MF,30,12.5,0,10,1,10.0,0.8,0.08,0.0,0.0,22.4,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,FC Juárez,Brasileiro,Javier Salas (FC Juárez)
José García,MEX,DF,27,13.7,1,10,3,30.0,0.73,0.22,0.1,0.33,16.9,0.0,0,0,0.5,0.5,0.05,0.5,0.5,FC Juárez,Brasileiro,José García (FC Juárez)
Moises Castillo,COL,DF,22,13.0,0,4,1,25.0,0.31,0.08,0.0,0.0,16.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,FC Juárez,Brasileiro,Moises Castillo (FC Juárez)
Avilés Hurtado,COL,"FW,MF",36,11.8,6,18,6,33.3,1.52,0.51,0.11,0.33,22.2,2.0,4,4,4.9,1.8,0.1,1.1,0.2,FC Juárez,Brasileiro,Avilés Hurtado (FC Juárez)
Diego Chávez Collins,MEX,"FW,MF",28,10.0,1,19,3,15.8,1.89,0.3,0.05,0.33,14.3,0.0,0,0,0.9,0.9,0.05,0.1,0.1,FC Juárez,Brasileiro,Diego Chávez Collins (FC Juárez)
Denzell García,MEX,MF,20,9.9,1,14,5,35.7,1.42,0.51,0.07,0.2,27.9,0.0,0,0,0.6,0.6,0.05,0.4,0.4,FC Juárez,Brasileiro,Denzell García (FC Juárez)
Aldo Cruz,MEX,DF,26,8.5,0,2,0,0.0,0.24,0.0,0.0,0.0,25.1,0.0,0,0,0.0,0.0,0.01,0.0,0.0,FC Juárez,Brasileiro,Aldo Cruz (FC Juárez)
Sebastián Saucedo,USA,"FW,MF",26,7.3,1,15,4,26.7,2.07,0.55,0.07,0.25,27.8,3.0,0,0,0.8,0.8,0.05,0.2,0.2,FC Juárez,Brasileiro,Sebastián Saucedo (FC Juárez)
Andrija Vukčević,MNE,DF,27,7.0,1,3,1,33.3,0.43,0.14,0.33,1.0,11.7,0.0,0,0,0.4,0.4,0.13,0.6,0.6,FC Juárez,Brasileiro,Andrija Vukčević (FC Juárez)
Christian Oliva,URU,MF,27,5.6,0,7,4,57.1,1.25,0.72,0.0,0.0,27.4,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2,FC Juárez,Brasileiro,Christian Oliva (FC Juárez)
Michael Santos,URU,FW,30,5.3,1,15,4,26.7,2.85,0.76,0.07,0.25,17.2,1.0,0,0,2.7,2.7,0.18,-1.7,-1.7,FC Juárez,Brasileiro,Michael Santos (FC Juárez)
Gonzalo Pelúa,URU,DF,20,4.5,0,2,1,50.0,0.44,0.22,0.0,0.0,21.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,FC Juárez,Brasileiro,Gonzalo Pelúa (FC Juárez)
Diego Campillo,MEX,DF,22,3.7,1,5,3,60.0,1.36,0.82,0.2,0.33,22.7,0.0,0,0,0.4,0.4,0.08,0.6,0.6,FC Juárez,Brasileiro,Diego Campillo (FC Juárez)
Amaury Escoto,MEX,"FW,MF",31,4.6,2,10,4,40.0,2.2,0.88,0.2,0.5,11.6,1.0,0,0,1.3,1.3,0.13,0.7,0.7,FC Juárez,Brasileiro,Amaury Escoto (FC Juárez)
Sebastián Pérez Bouquet,MEX,"MF,FW",20,4.6,0,7,1,14.3,1.54,0.22,0.0,0.0,21.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,FC Juárez,Brasileiro,Sebastián Pérez Bouquet (FC Juárez)
