Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Team,Championship,Player_Team
Santiago Mele,URU,GK,25.0,16.0,15.0,2.0,0.0,1.0,0.0,19.0,0.27,4.0,0.25,63.0,186.0,33.9,256.0,63.0,44.1,37.6,144.0,50.7,40.9,250.0,12.0,4.8,11.0,0.69,12.6,CA Unión,Brasileiro,Santiago Mele (CA Unión)
Sebastián Moyano,ARG,GK,32.0,11.0,10.0,1.0,0.0,0.0,0.0,11.3,0.33,1.3,0.12,39.0,128.0,30.5,202.0,36.0,36.1,35.1,85.0,64.7,48.1,129.0,13.0,10.1,8.0,0.73,12.9,CA Unión,Brasileiro,Sebastián Moyano (CA Unión)
Marcos Ignacio Ledesma,ARG,GK,26.0,18.0,21.0,2.0,0.0,2.0,1.0,24.1,0.28,4.1,0.23,102.0,362.0,28.2,306.0,62.0,64.1,46.5,195.0,85.1,60.3,319.0,25.0,7.8,22.0,1.22,14.6,CC Córdoba,Brasileiro,Marcos Ignacio Ledesma (CC Córdoba)
Matías Mansilla,ARG,GK,26.0,9.0,9.0,0.0,0.0,1.0,0.0,10.3,0.28,1.3,0.14,59.0,193.0,30.6,151.0,28.0,70.2,48.8,107.0,81.3,57.3,138.0,15.0,10.9,1.0,0.11,8.0,CC Córdoba,Brasileiro,Matías Mansilla (CC Córdoba)
Nahuel Losada,ARG,GK,29.0,25.5,24.0,2.0,1.0,4.0,1.0,28.9,0.26,5.9,0.23,144.0,320.0,45.0,591.0,135.0,36.2,36.3,220.0,48.2,42.9,398.0,40.0,10.1,27.0,1.06,12.6,Club Atlético Belgrano,Brasileiro,Nahuel Losada (Club Atlético Belgrano)
Manuel Vicentini,ARG,GK,32.0,1.5,2.0,0.0,0.0,0.0,0.0,1.8,0.22,-0.2,-0.16,19.0,30.0,63.3,39.0,7.0,53.8,41.8,11.0,81.8,51.3,25.0,2.0,8.0,0.0,0.0,13.8,Club Atlético Belgrano,Brasileiro,Manuel Vicentini (Club Atlético Belgrano)
Ignacio Chicco,ARG,GK,26.0,27.0,33.0,6.0,3.0,4.0,1.0,35.1,0.24,3.1,0.12,119.0,334.0,35.6,519.0,138.0,35.1,34.6,281.0,54.1,43.1,426.0,24.0,5.6,22.0,0.81,12.8,Colón,Brasileiro,Ignacio Chicco (Colón)
Ezequiel Unsain,ARG,GK,27.0,21.0,16.0,0.0,2.0,5.0,0.0,22.3,0.25,6.3,0.3,104.0,250.0,41.6,593.0,74.0,30.0,33.6,213.0,33.8,36.8,405.0,27.0,6.7,11.0,0.52,11.1,Defensa y Just,Brasileiro,Ezequiel Unsain (Defensa y Just)
Enrique Bologna,ARG,GK,40.0,6.0,7.0,1.0,0.0,0.0,0.0,7.3,0.25,0.3,0.06,25.0,64.0,39.1,134.0,22.0,30.6,32.3,57.0,40.4,36.4,98.0,4.0,4.1,1.0,0.17,8.3,Defensa y Just,Brasileiro,Enrique Bologna (Defensa y Just)
Mariano Andújar,ARG,GK,39.0,25.0,19.0,3.0,0.0,1.0,1.0,17.5,0.22,-0.5,-0.02,104.0,286.0,36.4,481.0,123.0,37.4,34.6,203.0,52.2,43.7,350.0,22.0,6.3,11.0,0.44,12.7,Estudiantes,Brasileiro,Mariano Andújar (Estudiantes)
Daniel Sappa,ARG,GK,27.0,2.0,5.0,1.0,0.0,1.0,0.0,4.5,0.28,-0.5,-0.25,2.0,18.0,11.1,39.0,10.0,41.0,42.3,9.0,22.2,31.4,17.0,0.0,0.0,0.0,0.0,20.0,Estudiantes,Brasileiro,Daniel Sappa (Estudiantes)
Tomás Durso,ARG,GK,23.0,26.0,35.0,2.0,0.0,7.0,1.0,30.2,0.29,-3.8,-0.15,138.0,385.0,35.8,408.0,82.0,61.0,44.9,203.0,67.0,50.7,442.0,18.0,4.1,16.0,0.62,12.2,Gimnasia ELP,Brasileiro,Tomás Durso (Gimnasia ELP)
Nelson Insfrán,ARG,GK,27.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.28,0.0,-0.03,12.0,24.0,50.0,20.0,3.0,65.0,41.3,13.0,84.6,51.5,20.0,1.0,5.0,2.0,2.0,18.0,Gimnasia ELP,Brasileiro,Nelson Insfrán (Gimnasia ELP)
Diego Matías Rodríguez,ARG,GK,33.0,26.0,30.0,7.0,0.0,5.0,1.0,34.2,0.29,5.2,0.2,217.0,469.0,46.3,564.0,47.0,57.8,44.3,228.0,62.7,47.1,316.0,18.0,5.7,17.0,0.65,12.6,Godoy Cruz,Brasileiro,Diego Matías Rodríguez (Godoy Cruz)
Rodrigo Saracho,ARG,GK,29.0,1.0,2.0,0.0,0.0,1.0,0.0,1.5,0.51,-0.5,-0.47,10.0,19.0,52.6,20.0,3.0,80.0,49.3,7.0,42.9,42.1,15.0,3.0,20.0,0.0,0.0,7.1,Godoy Cruz,Brasileiro,Rodrigo Saracho (Godoy Cruz)
Facundo Altamira,,GK,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Godoy Cruz,Brasileiro,Facundo Altamira (Godoy Cruz)
Rodrigo Rey,ARG,GK,31.0,27.0,32.0,5.0,1.0,9.0,1.0,31.4,0.27,0.4,0.01,103.0,387.0,26.6,461.0,81.0,54.9,41.5,217.0,61.8,46.6,349.0,28.0,8.0,27.0,1.0,14.7,Independiente,Brasileiro,Rodrigo Rey (Independiente)
Jorge Carranza,ARG,GK,41.0,16.9,20.0,4.0,1.0,2.0,0.0,23.6,0.27,3.6,0.22,98.0,255.0,38.4,351.0,47.0,53.6,40.4,119.0,56.3,42.2,233.0,17.0,7.3,10.0,0.59,12.2,Instituto Atlético Central Córdoba,Brasileiro,Jorge Carranza (Instituto Atlético Central Córdoba)
Manuel Roffo,ARG,GK,22.0,10.1,15.0,1.0,1.0,0.0,1.0,15.0,0.25,1.0,0.1,71.0,196.0,36.2,235.0,32.0,56.6,43.3,85.0,74.1,54.6,160.0,17.0,10.6,16.0,1.59,15.5,Instituto Atlético Central Córdoba,Brasileiro,Manuel Roffo (Instituto Atlético Central Córdoba)
Lucas Acosta,ARG,GK,27.0,18.0,17.0,1.0,2.0,0.0,0.0,17.1,0.25,0.1,0.0,78.0,254.0,30.7,414.0,51.0,41.3,37.3,150.0,55.3,44.1,347.0,18.0,5.2,8.0,0.44,11.4,Lanús,Brasileiro,Lucas Acosta (Lanús)
Lautaro Morales,ARG,GK,23.0,8.9,9.0,0.0,0.0,0.0,1.0,5.7,0.3,-2.3,-0.26,52.0,117.0,44.4,202.0,29.0,37.6,33.5,97.0,42.3,36.9,156.0,9.0,5.8,2.0,0.23,10.0,Lanús,Brasileiro,Lautaro Morales (Lanús)
Lucas Hoyos,ARG,GK,33.0,27.0,24.0,2.0,2.0,6.0,0.0,26.0,0.25,2.0,0.08,137.0,356.0,38.5,946.0,58.0,28.6,30.1,180.0,47.2,38.8,331.0,29.0,8.8,34.0,1.26,14.8,Newell's OB,Brasileiro,Lucas Hoyos (Newell's OB)
Ramiro Macagno,ARG,GK,25.0,22.0,18.0,2.0,0.0,0.0,0.0,21.8,0.28,3.8,0.17,117.0,355.0,33.0,432.0,75.0,52.5,41.8,196.0,65.3,51.6,363.0,28.0,7.7,27.0,1.23,16.6,Platense,Brasileiro,Ramiro Macagno (Platense)
Ignacio Arce,ARG,GK,30.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Platense,Brasileiro,Ignacio Arce (Platense)
Gabriel Arias,CHI,GK,35.0,23.7,30.0,2.0,1.0,4.0,0.0,28.2,0.3,-1.8,-0.08,97.0,251.0,38.6,532.0,125.0,30.5,33.5,206.0,43.2,39.5,321.0,21.0,6.5,26.0,1.1,14.3,Racing Club,Brasileiro,Gabriel Arias (Racing Club)
Matías Tagliamonte,ARG,GK,24.0,3.3,5.0,0.0,0.0,1.0,0.0,5.3,0.36,0.3,0.1,14.0,42.0,33.3,68.0,15.0,39.7,34.5,30.0,50.0,40.9,49.0,3.0,6.1,5.0,1.52,16.9,Racing Club,Brasileiro,Matías Tagliamonte (Racing Club)
Franco Armani,ARG,GK,36.0,26.0,17.0,2.0,1.0,1.0,0.0,21.5,0.27,4.5,0.17,82.0,173.0,47.4,470.0,137.0,22.8,29.4,175.0,37.7,35.7,315.0,18.0,5.7,16.0,0.62,14.6,River Plate,Brasileiro,Franco Armani (River Plate)
Ezequiel Centurión,ARG,GK,25.0,1.0,3.0,0.0,0.0,0.0,0.0,2.3,0.47,-0.7,-0.67,6.0,8.0,75.0,25.0,7.0,24.0,26.8,11.0,18.2,25.7,15.0,2.0,13.3,1.0,1.0,12.7,River Plate,Brasileiro,Ezequiel Centurión (River Plate)
Jorge Broun,ARG,GK,36.0,23.0,23.0,2.0,0.0,4.0,0.0,24.9,0.24,1.9,0.08,146.0,312.0,46.8,418.0,87.0,48.1,40.5,218.0,50.9,41.4,410.0,17.0,4.1,7.0,0.3,10.8,Rosario Cent,Brasileiro,Jorge Broun (Rosario Cent)
Gaspar Servio,ARG,GK,30.0,4.0,6.0,0.0,0.0,0.0,0.0,7.0,0.27,1.0,0.26,16.0,60.0,26.7,68.0,20.0,55.9,44.6,32.0,68.8,55.2,52.0,3.0,5.8,0.0,0.0,7.8,Rosario Cent,Brasileiro,Gaspar Servio (Rosario Cent)
Augusto Batalla,ARG,GK,26.0,22.0,9.0,1.0,0.0,2.0,0.0,15.1,0.21,6.1,0.28,192.0,450.0,42.7,414.0,62.0,67.1,46.2,194.0,88.7,60.5,251.0,38.0,15.1,7.0,0.32,10.9,San Lorenzo,Brasileiro,Augusto Batalla (San Lorenzo)
Facundo Altamirano,ARG,GK,26.0,5.0,4.0,1.0,0.0,1.0,0.0,5.4,0.16,1.4,0.29,29.0,99.0,29.3,96.0,11.0,69.8,48.8,37.0,86.5,57.9,80.0,8.0,10.0,3.0,0.6,10.5,San Lorenzo,Brasileiro,Facundo Altamirano (San Lorenzo)
Sebastián Meza,ARG,GK,22.0,21.0,18.0,4.0,0.0,3.0,0.0,25.6,0.22,7.6,0.36,161.0,394.0,40.9,253.0,30.0,72.7,49.6,235.0,89.4,62.9,385.0,13.0,3.4,13.0,0.62,14.2,Sarmiento,Brasileiro,Sebastián Meza (Sarmiento)
José Devecchi,ARG,GK,27.0,6.0,8.0,0.0,0.0,2.0,0.0,8.5,0.29,0.5,0.08,45.0,103.0,43.7,98.0,21.0,61.2,44.1,52.0,82.7,56.1,104.0,7.0,6.7,5.0,0.83,12.6,Sarmiento,Brasileiro,José Devecchi (Sarmiento)
Guido Herrera,ARG,GK,30.0,27.0,23.0,3.0,1.0,2.0,2.0,28.5,0.25,7.5,0.28,160.0,420.0,38.1,656.0,61.0,50.9,41.4,197.0,43.7,38.5,376.0,33.0,8.8,28.0,1.04,13.0,Talleres,Brasileiro,Guido Herrera (Talleres)
Gonzalo Marinelli,ARG,GK,33.0,25.0,28.0,1.0,0.0,5.0,0.0,28.4,0.27,0.4,0.02,150.0,368.0,40.8,724.0,59.0,42.8,36.9,134.0,43.3,38.6,329.0,30.0,9.1,28.0,1.12,15.4,Tigre,Brasileiro,Gonzalo Marinelli (Tigre)
Santiago Rojas,PAR,GK,26.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.25,1.0,0.51,12.0,32.0,37.5,28.0,2.0,71.4,54.0,16.0,75.0,55.8,17.0,1.0,5.9,0.0,0.0,4.0,Tigre,Brasileiro,Santiago Rojas (Tigre)
Tomás Marchiori,ARG,GK,27.0,27.0,27.0,3.0,1.0,2.0,1.0,30.2,0.24,4.2,0.16,161.0,408.0,39.5,426.0,77.0,58.5,43.3,253.0,62.8,46.4,448.0,21.0,4.7,6.0,0.22,10.4,Tucumán,Brasileiro,Tomás Marchiori (Tucumán)
Leonardo Burián,URU,GK,39.0,18.5,16.0,2.0,0.0,2.0,2.0,14.0,0.24,0.0,0.0,92.0,215.0,42.8,321.0,51.0,39.9,36.6,167.0,52.1,42.5,255.0,9.0,3.5,8.0,0.43,12.2,Vélez Sarsfield,Brasileiro,Leonardo Burián (Vélez Sarsfield)
Gastón Gómez,ARG,GK,26.0,8.5,11.0,1.0,0.0,2.0,0.0,11.3,0.28,0.3,0.03,38.0,88.0,43.2,140.0,34.0,44.3,37.6,56.0,46.4,39.5,108.0,2.0,1.9,3.0,0.35,12.8,Vélez Sarsfield,Brasileiro,Gastón Gómez (Vélez Sarsfield)
