Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team,Championship,Player_Team
Facundo Ferreyra,ARG,"FW,MF",31.0,2.1,5.0,2.32,2.0,0.0,0.0,2.0,1.0,0.0,3.0,1.39,1.0,0.0,0.0,1.0,1.0,0.0,Argentinos Jun,Brasileiro,Facundo Ferreyra (Argentinos Jun)
Román Riquelme,ARG,DF,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Román Riquelme (Argentinos Jun)
Alejandro Medina,ARG,GK,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Alejandro Medina (Arsenal)
Adrián Sporle,ARG,DF,27.0,22.8,33.0,1.44,26.0,4.0,1.0,1.0,0.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Adrián Sporle (Arsenal)
Felipe Peña,ARG,MF,21.0,21.2,22.0,1.04,19.0,1.0,1.0,0.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Felipe Peña (Arsenal)
Lautaro Guzmán,ARG,"FW,MF",23.0,20.8,62.0,2.98,28.0,13.0,11.0,6.0,4.0,0.0,4.0,0.19,3.0,0.0,1.0,0.0,0.0,0.0,Arsenal,Brasileiro,Lautaro Guzmán (Arsenal)
Lucas Souto,ARG,DF,24.0,20.7,36.0,1.74,25.0,5.0,1.0,2.0,2.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Lucas Souto (Arsenal)
Joaquín Pombo,ARG,DF,21.0,18.9,8.0,0.42,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Joaquín Pombo (Arsenal)
Maximiliano Centurión,ARG,DF,23.0,19.6,7.0,0.36,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Maximiliano Centurión (Arsenal)
Santiago Toloza,ARG,"MF,FW",20.0,18.3,67.0,3.66,46.0,12.0,5.0,0.0,4.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Santiago Toloza (Arsenal)
Néstor Breitenbruch,ARG,DF,27.0,16.9,11.0,0.65,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,Arsenal,Brasileiro,Néstor Breitenbruch (Arsenal)
Flabián Londoño,COL,"FW,MF",22.0,12.8,17.0,1.33,10.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Flabián Londoño (Arsenal)
Gonzalo Muscia,ARG,MF,23.0,12.7,14.0,1.1,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Gonzalo Muscia (Arsenal)
Tiago Banega,ARG,MF,23.0,10.9,24.0,2.21,20.0,0.0,1.0,2.0,1.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Tiago Banega (Arsenal)
Lucas Brochero,ARG,"FW,MF",24.0,10.3,38.0,3.68,24.0,9.0,1.0,1.0,3.0,0.0,5.0,0.48,4.0,0.0,0.0,0.0,1.0,0.0,Arsenal,Brasileiro,Lucas Brochero (Arsenal)
Facundo Pons,ARG,FW,27.0,10.1,21.0,2.07,15.0,0.0,1.0,4.0,0.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Facundo Pons (Arsenal)
Braian Rivero,ARG,MF,26.0,9.6,15.0,1.57,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Braian Rivero (Arsenal)
Luís Leal,STP,FW,35.0,9.6,16.0,1.66,9.0,0.0,3.0,2.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Luís Leal (Arsenal)
Ignacio Gariglio,ARG,DF,24.0,8.2,5.0,0.61,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Ignacio Gariglio (Arsenal)
Facundo Cardozo,ARG,DF,27.0,7.1,6.0,0.84,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Facundo Cardozo (Arsenal)
Franco Vega,ARG,"MF,FW",21.0,4.2,11.0,2.64,8.0,0.0,1.0,1.0,1.0,0.0,2.0,0.48,2.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Franco Vega (Arsenal)
Juan Cuesta,COL,"MF,FW",20.0,3.8,8.0,2.08,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Juan Cuesta (Arsenal)
Santiago Paiva,URU,"FW,MF",24.0,2.7,7.0,2.57,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.37,0.0,0.0,0.0,0.0,1.0,0.0,Arsenal,Brasileiro,Santiago Paiva (Arsenal)
Daniel Lucero,ARG,"FW,MF",20.0,2.5,10.0,4.05,5.0,1.0,1.0,2.0,1.0,0.0,1.0,0.41,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Daniel Lucero (Arsenal)
Leonardo Marchi,ARG,DF,26.0,1.6,3.0,1.84,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Leonardo Marchi (Arsenal)
Tomás Sives,ARG,FW,20.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Tomás Sives (Arsenal)
Juan Peinipil,ARG,"FW,MF",21.0,1.1,2.0,1.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Juan Peinipil (Arsenal)
Tobías Zarate,ARG,"MF,FW",22.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Tobías Zarate (Arsenal)
Emiliano Viveros,ARG,MF,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Emiliano Viveros (Arsenal)
Facundo Cambeses,ARG,GK,25.0,27.0,2.0,0.07,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Facundo Cambeses (Banfield)
Juan Bisanz,ARG,"MF,FW",21.0,22.5,30.0,2.01,13.0,6.0,4.0,3.0,4.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,1.0,0.0,Banfield,Brasileiro,Juan Bisanz (Banfield)
Brahian Alemán,URU,MF,33.0,20.7,78.0,3.77,32.0,35.0,3.0,3.0,4.0,1.0,8.0,0.39,3.0,4.0,1.0,0.0,0.0,0.0,Banfield,Brasileiro,Brahian Alemán (Banfield)
Alejandro Cabrera,ARG,MF,30.0,19.9,34.0,1.71,27.0,1.0,0.0,4.0,1.0,1.0,2.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,Banfield,Brasileiro,Alejandro Cabrera (Banfield)
Alejandro Maciel,ARG,DF,25.0,20.6,18.0,0.88,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Alejandro Maciel (Banfield)
Emanuel Coronel,ARG,DF,25.0,19.7,37.0,1.87,26.0,5.0,2.0,1.0,2.0,1.0,3.0,0.15,2.0,0.0,0.0,0.0,1.0,0.0,Banfield,Brasileiro,Emanuel Coronel (Banfield)
Eric Remedi,ARG,MF,27.0,19.5,30.0,1.54,18.0,2.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Eric Remedi (Banfield)
Emanuel Insúa,ARG,DF,31.0,18.8,34.0,1.81,18.0,7.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Emanuel Insúa (Banfield)
Milton Giménez,ARG,FW,26.0,17.2,37.0,2.15,20.0,1.0,5.0,3.0,5.0,3.0,3.0,0.17,0.0,0.0,0.0,0.0,1.0,2.0,Banfield,Brasileiro,Milton Giménez (Banfield)
Aaron Quirós,ARG,DF,21.0,15.1,8.0,0.53,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Aaron Quirós (Banfield)
Emanuel Olivera,ARG,DF,32.0,15.0,9.0,0.6,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Emanuel Olivera (Banfield)
Nicolás Sosa,URU,"MF,FW",26.0,11.9,30.0,2.54,15.0,0.0,7.0,3.0,5.0,0.0,5.0,0.42,2.0,0.0,2.0,1.0,0.0,0.0,Banfield,Brasileiro,Nicolás Sosa (Banfield)
Andrés Chávez,ARG,FW,31.0,11.1,26.0,2.33,10.0,0.0,7.0,6.0,3.0,0.0,2.0,0.18,1.0,0.0,0.0,1.0,0.0,0.0,Banfield,Brasileiro,Andrés Chávez (Banfield)
Sebastián Sosa,URU,FW,28.0,9.8,20.0,2.04,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Sebastián Sosa (Banfield)
Matías Romero,ARG,"DF,MF",26.0,10.6,16.0,1.51,11.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Matías Romero (Banfield)
Ignacio Rodríguez,ARG,MF,20.0,8.0,18.0,2.25,10.0,3.0,4.0,0.0,1.0,0.0,2.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,Banfield,Brasileiro,Ignacio Rodríguez (Banfield)
Pedro Souto,ARG,DF,22.0,6.7,4.0,0.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Pedro Souto (Banfield)
Luis Mago,VEN,DF,28.0,5.2,6.0,1.16,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Luis Mago (Banfield)
Mateo Pérez,ARG,DF,22.0,3.4,2.0,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Mateo Pérez (Banfield)
Nicolás Bertolo,ARG,MF,37.0,2.0,5.0,2.46,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Nicolás Bertolo (Banfield)
Alan Di Pippa,ARG,MF,22.0,2.6,5.0,1.91,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Alan Di Pippa (Banfield)
Alejandro Piedrahita,COL,"MF,FW",20.0,1.8,5.0,2.78,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Alejandro Piedrahita (Banfield)
Horacio Tijanovich,ARG,MF,26.0,1.5,4.0,2.67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Horacio Tijanovich (Banfield)
Agustín Urzi,ARG,MF,22.0,0.7,7.0,9.4,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Agustín Urzi (Banfield)
Lautaro Ríos,ARG,"MF,FW",22.0,1.7,7.0,4.12,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Lautaro Ríos (Banfield)
Geronimo Rivera,ARG,"MF,FW",19.0,1.5,9.0,5.87,3.0,0.0,4.0,0.0,2.0,0.0,2.0,1.3,1.0,0.0,1.0,0.0,0.0,0.0,Banfield,Brasileiro,Geronimo Rivera (Banfield)
Matías González,ARG,MF,20.0,0.6,2.0,3.53,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Matías González (Banfield)
Tomás Adoryán,ARG,MF,21.0,0.4,2.0,4.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Tomás Adoryán (Banfield)
Iván Tapia,ARG,MF,24.0,26.8,71.0,2.65,34.0,31.0,0.0,4.0,2.0,0.0,7.0,0.26,0.0,6.0,0.0,0.0,1.0,0.0,Barracas Central,Brasileiro,Iván Tapia (Barracas Central)
Francisco Álvarez,ARG,DF,22.0,25.0,12.0,0.48,7.0,1.0,0.0,1.0,1.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Francisco Álvarez (Barracas Central)
Andrés Desábato,ARG,GK,32.0,24.0,3.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Andrés Desábato (Barracas Central)
Bruno Sepúlveda,ARG,FW,30.0,21.9,46.0,2.11,29.0,0.0,3.0,5.0,9.0,0.0,4.0,0.18,1.0,0.0,1.0,0.0,2.0,0.0,Barracas Central,Brasileiro,Bruno Sepúlveda (Barracas Central)
Facundo Mater,ARG,"MF,DF",24.0,20.9,39.0,1.87,23.0,0.0,4.0,5.0,2.0,5.0,5.0,0.24,3.0,0.0,0.0,1.0,0.0,1.0,Barracas Central,Brasileiro,Facundo Mater (Barracas Central)
Mauro Peinipil,ARG,"DF,MF",23.0,19.9,17.0,0.85,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Mauro Peinipil (Barracas Central)
Juan Ignacio Díaz,ARG,DF,24.0,19.4,28.0,1.44,17.0,4.0,2.0,2.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Juan Ignacio Díaz (Barracas Central)
Carlos Arce,ARG,MF,32.0,16.5,19.0,1.15,17.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Carlos Arce (Barracas Central)
Brian Calderara,ARG,"DF,MF",24.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Brian Calderara (Barracas Central)
Nicolás Capraro,ARG,DF,24.0,16.8,10.0,0.6,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Nicolás Capraro (Barracas Central)
Rodrigo Insúa,ARG,DF,25.0,15.6,37.0,2.37,22.0,3.0,5.0,2.0,4.0,1.0,3.0,0.19,3.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Rodrigo Insúa (Barracas Central)
Rodrigo Herrera,ARG,MF,22.0,12.8,18.0,1.4,15.0,0.0,0.0,2.0,1.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Rodrigo Herrera (Barracas Central)
Lucas Colitto,ARG,MF,28.0,9.0,25.0,2.76,16.0,1.0,4.0,2.0,2.0,0.0,2.0,0.22,1.0,0.0,0.0,0.0,1.0,0.0,Barracas Central,Brasileiro,Lucas Colitto (Barracas Central)
Alexis Dominguez,ARG,FW,26.0,8.4,10.0,1.2,7.0,0.0,0.0,3.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,1.0,0.0,0.0,Barracas Central,Brasileiro,Alexis Dominguez (Barracas Central)
Ricardo Centurión,ARG,"FW,MF",30.0,6.2,13.0,2.1,8.0,1.0,1.0,1.0,2.0,0.0,1.0,0.16,1.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Ricardo Centurión (Barracas Central)
Fernando Prado,URU,DF,21.0,4.6,3.0,0.65,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Fernando Prado (Barracas Central)
Marcos Benítez,ARG,"MF,FW",21.0,6.6,17.0,2.55,10.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Marcos Benítez (Barracas Central)
Agustín Dáttola,ARG,DF,23.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Agustín Dáttola (Barracas Central)
Maximiliano Rodríguez,ARG,"DF,MF",34.0,5.4,11.0,2.02,8.0,0.0,0.0,1.0,2.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,1.0,0.0,Barracas Central,Brasileiro,Maximiliano Rodríguez (Barracas Central)
Maximiliano Puig,ARG,MF,22.0,3.5,6.0,1.74,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Maximiliano Puig (Barracas Central)
Guido Villar,ARG,GK,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Guido Villar (Barracas Central)
Alan Cantero,ARG,"FW,MF",24.0,5.6,9.0,1.6,4.0,0.0,1.0,2.0,2.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,1.0,0.0,Barracas Central,Brasileiro,Alan Cantero (Barracas Central)
Nicolás Tolosa,ARG,"MF,DF",21.0,1.8,3.0,1.65,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Nicolás Tolosa (Barracas Central)
Franco Farías,ARG,MF,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Franco Farías (Barracas Central)
Lucas López,ARG,MF,25.0,0.9,1.0,1.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Lucas López (Barracas Central)
Julián Viollaz,ARG,"FW,MF",20.0,0.5,1.0,2.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Julián Viollaz (Barracas Central)
Kevin Quejada,COL,FW,20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Kevin Quejada (Barracas Central)
Manuel Brondo,,FW,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Manuel Brondo (Barracas Central)
Alex Juárez,ARG,MF,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Alex Juárez (Barracas Central)
Bruno Mastronicola,ARG,DF,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Bruno Mastronicola (Barracas Central)
Sergio Romero,ARG,GK,35.0,23.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boca Juniors,Brasileiro,Sergio Romero (Boca Juniors)
Jorge Figal,ARG,DF,28.0,22.1,12.0,0.54,9.0,0.0,2.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,Boca Juniors,Brasileiro,Jorge Figal (Boca Juniors)
