Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
Santiago Mele,URU,GK,25.0,16,16,1440.0,16.0,15.0,0.94,59.0,43.0,78.0,4.0,7.0,5.0,7.0,43.8,3.0,2.0,1.0,0.0,33.3,CA Unión,Brasileiro,Santiago Mele (CA Unión)
Sebastián Moyano,ARG,GK,32.0,11,11,990.0,11.0,10.0,0.91,31.0,21.0,71.0,2.0,5.0,4.0,6.0,54.5,1.0,1.0,0.0,0.0,0.0,CA Unión,Brasileiro,Sebastián Moyano (CA Unión)
Marcos Ignacio Ledesma,ARG,GK,26.0,18,18,1620.0,18.0,21.0,1.17,76.0,55.0,75.0,5.0,5.0,8.0,5.0,27.8,3.0,2.0,1.0,0.0,33.3,CC Córdoba,Brasileiro,Marcos Ignacio Ledesma (CC Córdoba)
Matías Mansilla,ARG,GK,26.0,9,9,810.0,9.0,9.0,1.0,37.0,28.0,75.7,2.0,3.0,4.0,4.0,44.4,0.0,0.0,0.0,0.0,0.0,CC Córdoba,Brasileiro,Matías Mansilla (CC Córdoba)
Nahuel Losada,ARG,GK,29.0,26,26,2292.0,25.5,24.0,0.94,98.0,73.0,77.6,9.0,6.0,11.0,12.0,46.2,4.0,2.0,2.0,0.0,50.0,Club Atlético Belgrano,Brasileiro,Nahuel Losada (Club Atlético Belgrano)
Manuel Vicentini,ARG,GK,32.0,2,1,136.0,1.5,2.0,1.32,8.0,6.0,75.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Club Atlético Belgrano,Brasileiro,Manuel Vicentini (Club Atlético Belgrano)
Ignacio Chicco,ARG,GK,26.0,27,27,2430.0,27.0,33.0,1.22,124.0,92.0,78.2,4.0,13.0,10.0,7.0,25.9,6.0,6.0,0.0,0.0,0.0,Colón,Brasileiro,Ignacio Chicco (Colón)
Ezequiel Unsain,ARG,GK,27.0,21,21,1890.0,21.0,16.0,0.76,89.0,73.0,82.0,9.0,6.0,6.0,12.0,57.1,0.0,0.0,0.0,0.0,0.0,Defensa y Just,Brasileiro,Ezequiel Unsain (Defensa y Just)
Enrique Bologna,ARG,GK,40.0,6,6,540.0,6.0,7.0,1.17,26.0,19.0,76.9,3.0,2.0,1.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,Defensa y Just,Brasileiro,Enrique Bologna (Defensa y Just)
Mariano Andújar,ARG,GK,39.0,25,25,2250.0,25.0,19.0,0.76,63.0,44.0,74.6,12.0,9.0,4.0,11.0,44.0,4.0,3.0,1.0,0.0,25.0,Estudiantes,Brasileiro,Mariano Andújar (Estudiantes)
Daniel Sappa,ARG,GK,27.0,2,2,180.0,2.0,5.0,2.5,13.0,8.0,69.2,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Estudiantes,Brasileiro,Daniel Sappa (Estudiantes)
Tomás Durso,ARG,GK,23.0,26,26,2340.0,26.0,35.0,1.35,100.0,66.0,67.0,7.0,9.0,10.0,8.0,30.8,2.0,2.0,0.0,0.0,0.0,Gimnasia ELP,Brasileiro,Tomás Durso (Gimnasia ELP)
Nelson Insfrán,ARG,GK,27.0,1,1,90.0,1.0,3.0,3.0,7.0,4.0,71.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Gimnasia ELP,Brasileiro,Nelson Insfrán (Gimnasia ELP)
Diego Matías Rodríguez,ARG,GK,33.0,26,26,2340.0,26.0,30.0,1.15,95.0,66.0,75.8,10.0,8.0,8.0,8.0,30.8,7.0,7.0,0.0,0.0,0.0,Godoy Cruz,Brasileiro,Diego Matías Rodríguez (Godoy Cruz)
Rodrigo Saracho,ARG,GK,29.0,1,1,90.0,1.0,2.0,2.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Godoy Cruz,Brasileiro,Rodrigo Saracho (Godoy Cruz)
Facundo Altamira,,GK,,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Godoy Cruz,Brasileiro,Facundo Altamira (Godoy Cruz)
Rodrigo Rey,ARG,GK,31.0,27,27,2430.0,27.0,32.0,1.19,99.0,67.0,72.7,6.0,10.0,11.0,8.0,29.6,6.0,5.0,1.0,0.0,16.7,Independiente,Brasileiro,Rodrigo Rey (Independiente)
Jorge Carranza,ARG,GK,41.0,17,17,1522.0,16.9,20.0,1.18,77.0,57.0,79.2,5.0,5.0,7.0,5.0,29.4,4.0,4.0,0.0,0.0,0.0,Instituto Atlético Central Córdoba,Brasileiro,Jorge Carranza (Instituto Atlético Central Córdoba)
Manuel Roffo,ARG,GK,22.0,11,10,905.0,10.1,15.0,1.49,59.0,45.0,76.3,3.0,3.0,4.0,4.0,40.0,1.0,1.0,0.0,0.0,0.0,Instituto Atlético Central Córdoba,Brasileiro,Manuel Roffo (Instituto Atlético Central Córdoba)
Lucas Acosta,ARG,GK,27.0,18,18,1620.0,18.0,17.0,0.94,65.0,48.0,75.4,7.0,7.0,4.0,7.0,38.9,1.0,1.0,0.0,0.0,0.0,Lanús,Brasileiro,Lucas Acosta (Lanús)
Lautaro Morales,ARG,GK,23.0,9,9,802.0,8.9,9.0,1.01,19.0,11.0,52.6,5.0,2.0,2.0,2.0,22.2,0.0,0.0,0.0,0.0,0.0,Lanús,Brasileiro,Lautaro Morales (Lanús)
Lucas Hoyos,ARG,GK,33.0,27,27,2430.0,27.0,24.0,0.89,88.0,61.0,75.0,8.0,11.0,8.0,12.0,44.4,5.0,2.0,3.0,0.0,60.0,Newell's OB,Brasileiro,Lucas Hoyos (Newell's OB)
Ramiro Macagno,ARG,GK,25.0,22,22,1980.0,22.0,18.0,0.82,72.0,54.0,77.8,8.0,5.0,9.0,10.0,45.5,2.0,2.0,0.0,0.0,0.0,Platense,Brasileiro,Ramiro Macagno (Platense)
Ignacio Arce,ARG,GK,30.0,5,5,450.0,5.0,11.0,2.2,24.0,15.0,58.3,1.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Platense,Brasileiro,Ignacio Arce (Platense)
Gabriel Arias,CHI,GK,35.0,24,24,2134.0,23.7,30.0,1.27,88.0,58.0,68.2,8.0,8.0,8.0,6.0,25.0,2.0,2.0,0.0,0.0,0.0,Racing Club,Brasileiro,Gabriel Arias (Racing Club)
Matías Tagliamonte,ARG,GK,24.0,4,3,296.0,3.3,5.0,1.52,15.0,10.0,66.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Racing Club,Brasileiro,Matías Tagliamonte (Racing Club)
Franco Armani,ARG,GK,36.0,26,26,2340.0,26.0,17.0,0.65,71.0,54.0,78.9,19.0,3.0,4.0,14.0,53.8,2.0,2.0,0.0,0.0,0.0,River Plate,Brasileiro,Franco Armani (River Plate)
Ezequiel Centurión,ARG,GK,25.0,1,1,90.0,1.0,3.0,3.0,5.0,2.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,River Plate,Brasileiro,Ezequiel Centurión (River Plate)
Jorge Broun,ARG,GK,36.0,23,23,2070.0,23.0,23.0,1.0,92.0,68.0,77.2,8.0,11.0,4.0,10.0,43.5,3.0,2.0,1.0,0.0,33.3,Rosario Cent,Brasileiro,Jorge Broun (Rosario Cent)
Gaspar Servio,ARG,GK,30.0,4,4,360.0,4.0,6.0,1.5,27.0,21.0,77.8,2.0,1.0,1.0,1.0,25.0,1.0,0.0,0.0,1.0,0.0,Rosario Cent,Brasileiro,Gaspar Servio (Rosario Cent)
Augusto Batalla,ARG,GK,26.0,22,22,1980.0,22.0,9.0,0.41,59.0,48.0,86.4,9.0,10.0,3.0,14.0,63.6,3.0,1.0,2.0,0.0,66.7,San Lorenzo,Brasileiro,Augusto Batalla (San Lorenzo)
Facundo Altamirano,ARG,GK,26.0,5,5,450.0,5.0,4.0,0.8,29.0,25.0,89.7,3.0,0.0,2.0,3.0,60.0,1.0,1.0,0.0,0.0,0.0,San Lorenzo,Brasileiro,Facundo Altamirano (San Lorenzo)
Sebastián Meza,ARG,GK,22.0,21,21,1890.0,21.0,18.0,0.86,98.0,79.0,85.7,7.0,7.0,7.0,10.0,47.6,5.0,4.0,1.0,0.0,20.0,Sarmiento,Brasileiro,Sebastián Meza (Sarmiento)
José Devecchi,ARG,GK,27.0,6,6,540.0,6.0,8.0,1.33,30.0,22.0,73.3,0.0,2.0,4.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,Sarmiento,Brasileiro,José Devecchi (Sarmiento)
Guido Herrera,ARG,GK,30.0,27,27,2430.0,27.0,23.0,0.85,102.0,81.0,80.4,14.0,8.0,5.0,10.0,37.0,3.0,3.0,0.0,0.0,0.0,Talleres,Brasileiro,Guido Herrera (Talleres)
Gonzalo Marinelli,ARG,GK,33.0,25,25,2250.0,25.0,28.0,1.12,104.0,76.0,74.0,7.0,7.0,11.0,6.0,24.0,1.0,1.0,0.0,0.0,0.0,Tigre,Brasileiro,Gonzalo Marinelli (Tigre)
Santiago Rojas,PAR,GK,26.0,2,2,180.0,2.0,1.0,0.5,8.0,7.0,87.5,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,Tigre,Brasileiro,Santiago Rojas (Tigre)
Tomás Marchiori,ARG,GK,27.0,27,27,2430.0,27.0,27.0,1.0,110.0,83.0,78.2,9.0,10.0,8.0,11.0,40.7,4.0,3.0,1.0,0.0,25.0,Tucumán,Brasileiro,Tomás Marchiori (Tucumán)
Leonardo Burián,URU,GK,39.0,19,19,1665.0,18.5,16.0,0.86,51.0,37.0,72.5,5.0,9.0,5.0,6.0,31.6,2.0,2.0,0.0,0.0,0.0,Vélez Sarsfield,Brasileiro,Leonardo Burián (Vélez Sarsfield)
Gastón Gómez,ARG,GK,26.0,9,8,765.0,8.5,11.0,1.29,38.0,27.0,73.7,0.0,3.0,5.0,3.0,37.5,1.0,1.0,0.0,0.0,0.0,Vélez Sarsfield,Brasileiro,Gastón Gómez (Vélez Sarsfield)
