Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Team,Championship,Player_Team
Alejandro Medina,ARG,GK,35.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Alejandro Medina (Arsenal)
Adrián Sporle,ARG,DF,27.0,22.8,1086.0,838.0,246.0,10.0,2.0,7.0,78,234.0,1.0,0.0,0.0,0.0,738.0,2.0,40.0,Arsenal,Brasileiro,Adrián Sporle (Arsenal)
Felipe Peña,ARG,MF,21.0,21.2,871.0,829.0,39.0,30.0,1.0,10.0,2,4.0,0.0,0.0,0.0,0.0,659.0,3.0,26.0,Arsenal,Brasileiro,Felipe Peña (Arsenal)
Lautaro Guzmán,ARG,"FW,MF",23.0,20.8,692.0,601.0,90.0,32.0,2.0,6.0,133,16.0,40.0,10.0,21.0,0.0,445.0,1.0,32.0,Arsenal,Brasileiro,Lautaro Guzmán (Arsenal)
Lucas Souto,ARG,DF,24.0,20.7,873.0,619.0,251.0,12.0,1.0,2.0,33,239.0,0.0,0.0,0.0,0.0,571.0,3.0,26.0,Arsenal,Brasileiro,Lucas Souto (Arsenal)
Joaquín Pombo,ARG,DF,21.0,18.9,618.0,599.0,16.0,15.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,446.0,3.0,2.0,Arsenal,Brasileiro,Joaquín Pombo (Arsenal)
Maximiliano Centurión,ARG,DF,23.0,19.6,823.0,785.0,32.0,23.0,1.0,12.0,0,1.0,0.0,0.0,0.0,0.0,591.0,6.0,8.0,Arsenal,Brasileiro,Maximiliano Centurión (Arsenal)
Santiago Toloza,ARG,"MF,FW",20.0,18.3,661.0,604.0,53.0,14.0,2.0,6.0,61,5.0,33.0,11.0,17.0,0.0,501.0,4.0,10.0,Arsenal,Brasileiro,Santiago Toloza (Arsenal)
Néstor Breitenbruch,ARG,DF,27.0,16.9,731.0,635.0,92.0,20.0,0.0,7.0,21,72.0,0.0,0.0,0.0,0.0,492.0,4.0,20.0,Arsenal,Brasileiro,Néstor Breitenbruch (Arsenal)
Flabián Londoño,COL,"FW,MF",22.0,12.8,183.0,170.0,13.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,125.0,0.0,1.0,Arsenal,Brasileiro,Flabián Londoño (Arsenal)
Gonzalo Muscia,ARG,MF,23.0,12.7,438.0,425.0,9.0,7.0,3.0,3.0,6,1.0,1.0,0.0,1.0,0.0,309.0,4.0,18.0,Arsenal,Brasileiro,Gonzalo Muscia (Arsenal)
Tiago Banega,ARG,MF,23.0,10.9,497.0,479.0,16.0,10.0,1.0,6.0,5,2.0,0.0,0.0,0.0,0.0,367.0,2.0,11.0,Arsenal,Brasileiro,Tiago Banega (Arsenal)
Lucas Brochero,ARG,"FW,MF",24.0,10.3,354.0,317.0,36.0,12.0,2.0,0.0,68,6.0,17.0,5.0,9.0,0.0,200.0,1.0,34.0,Arsenal,Brasileiro,Lucas Brochero (Arsenal)
Facundo Pons,ARG,FW,27.0,10.1,243.0,231.0,11.0,0.0,1.0,1.0,10,1.0,0.0,0.0,0.0,0.0,161.0,1.0,11.0,Arsenal,Brasileiro,Facundo Pons (Arsenal)
Braian Rivero,ARG,MF,26.0,9.6,457.0,437.0,17.0,12.0,4.0,10.0,7,1.0,0.0,0.0,0.0,0.0,322.0,3.0,11.0,Arsenal,Brasileiro,Braian Rivero (Arsenal)
Luís Leal,STP,FW,35.0,9.6,178.0,162.0,15.0,0.0,0.0,0.0,13,2.0,0.0,0.0,0.0,0.0,110.0,1.0,6.0,Arsenal,Brasileiro,Luís Leal (Arsenal)
Ignacio Gariglio,ARG,DF,24.0,8.2,325.0,312.0,13.0,13.0,0.0,6.0,2,0.0,0.0,0.0,0.0,0.0,229.0,0.0,9.0,Arsenal,Brasileiro,Ignacio Gariglio (Arsenal)
Facundo Cardozo,ARG,DF,27.0,7.1,341.0,298.0,42.0,10.0,0.0,6.0,5,30.0,0.0,0.0,0.0,0.0,263.0,1.0,5.0,Arsenal,Brasileiro,Facundo Cardozo (Arsenal)
Franco Vega,ARG,"MF,FW",21.0,4.2,209.0,204.0,4.0,3.0,1.0,2.0,4,1.0,0.0,0.0,0.0,0.0,165.0,1.0,5.0,Arsenal,Brasileiro,Franco Vega (Arsenal)
Juan Cuesta,COL,"MF,FW",20.0,3.8,97.0,86.0,11.0,1.0,0.0,0.0,15,3.0,6.0,0.0,4.0,0.0,55.0,0.0,8.0,Arsenal,Brasileiro,Juan Cuesta (Arsenal)
Santiago Paiva,URU,"FW,MF",24.0,2.7,33.0,30.0,3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,Arsenal,Brasileiro,Santiago Paiva (Arsenal)
Daniel Lucero,ARG,"FW,MF",20.0,2.5,77.0,70.0,7.0,1.0,0.0,0.0,7,4.0,2.0,0.0,2.0,0.0,50.0,0.0,5.0,Arsenal,Brasileiro,Daniel Lucero (Arsenal)
Leonardo Marchi,ARG,DF,26.0,1.6,76.0,55.0,21.0,0.0,0.0,2.0,10,15.0,6.0,3.0,2.0,0.0,51.0,0.0,2.0,Arsenal,Brasileiro,Leonardo Marchi (Arsenal)
Tomás Sives,ARG,FW,20.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Tomás Sives (Arsenal)
Juan Peinipil,ARG,"FW,MF",21.0,1.1,37.0,36.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,Arsenal,Brasileiro,Juan Peinipil (Arsenal)
Tobías Zarate,ARG,"MF,FW",22.0,0.6,21.0,20.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,Arsenal,Brasileiro,Tobías Zarate (Arsenal)
Emiliano Viveros,ARG,MF,20.0,0.2,5.0,4.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Arsenal,Brasileiro,Emiliano Viveros (Arsenal)
Facundo Cambeses,ARG,GK,25.0,27.0,602.0,323.0,279.0,73.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,0.0,Banfield,Brasileiro,Facundo Cambeses (Banfield)
Juan Bisanz,ARG,"MF,FW",21.0,22.5,320.0,284.0,34.0,14.0,1.0,3.0,77,2.0,12.0,6.0,2.0,0.0,197.0,2.0,14.0,Banfield,Brasileiro,Juan Bisanz (Banfield)
Brahian Alemán,URU,MF,33.0,20.7,913.0,708.0,196.0,91.0,5.0,11.0,205,12.0,92.0,50.0,38.0,0.0,523.0,9.0,26.0,Banfield,Brasileiro,Brahian Alemán (Banfield)
Alejandro Cabrera,ARG,MF,30.0,19.9,929.0,891.0,32.0,30.0,1.0,5.0,9,2.0,0.0,0.0,0.0,0.0,700.0,6.0,16.0,Banfield,Brasileiro,Alejandro Cabrera (Banfield)
Alejandro Maciel,ARG,DF,25.0,20.6,731.0,687.0,42.0,42.0,0.0,8.0,6,0.0,0.0,0.0,0.0,0.0,474.0,2.0,10.0,Banfield,Brasileiro,Alejandro Maciel (Banfield)
Emanuel Coronel,ARG,DF,25.0,19.7,912.0,676.0,231.0,8.0,2.0,7.0,61,222.0,1.0,0.0,1.0,0.0,555.0,5.0,44.0,Banfield,Brasileiro,Emanuel Coronel (Banfield)
Eric Remedi,ARG,MF,27.0,19.5,689.0,643.0,41.0,36.0,0.0,6.0,9,4.0,1.0,1.0,0.0,0.0,535.0,5.0,21.0,Banfield,Brasileiro,Eric Remedi (Banfield)
Emanuel Insúa,ARG,DF,31.0,18.8,810.0,578.0,231.0,13.0,0.0,3.0,48,217.0,1.0,0.0,1.0,0.0,536.0,1.0,27.0,Banfield,Brasileiro,Emanuel Insúa (Banfield)
Milton Giménez,ARG,FW,26.0,17.2,304.0,272.0,31.0,3.0,3.0,4.0,14,3.0,0.0,0.0,0.0,0.0,181.0,1.0,11.0,Banfield,Brasileiro,Milton Giménez (Banfield)
Aaron Quirós,ARG,DF,21.0,15.1,576.0,490.0,84.0,27.0,0.0,9.0,2,53.0,0.0,0.0,0.0,0.0,376.0,2.0,7.0,Banfield,Brasileiro,Aaron Quirós (Banfield)
Emanuel Olivera,ARG,DF,32.0,15.0,504.0,469.0,34.0,27.0,0.0,10.0,2,3.0,0.0,0.0,0.0,0.0,396.0,1.0,2.0,Banfield,Brasileiro,Emanuel Olivera (Banfield)
Nicolás Sosa,URU,"MF,FW",26.0,11.9,244.0,238.0,2.0,0.0,1.0,0.0,9,1.0,0.0,0.0,0.0,0.0,140.0,4.0,13.0,Banfield,Brasileiro,Nicolás Sosa (Banfield)
Andrés Chávez,ARG,FW,31.0,11.1,196.0,178.0,16.0,0.0,1.0,2.0,17,1.0,0.0,0.0,0.0,0.0,106.0,2.0,11.0,Banfield,Brasileiro,Andrés Chávez (Banfield)
Sebastián Sosa,URU,FW,28.0,9.8,210.0,199.0,9.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,137.0,2.0,8.0,Banfield,Brasileiro,Sebastián Sosa (Banfield)
Matías Romero,ARG,"DF,MF",26.0,10.6,390.0,303.0,84.0,7.0,0.0,2.0,27,74.0,3.0,2.0,1.0,0.0,256.0,3.0,13.0,Banfield,Brasileiro,Matías Romero (Banfield)
Ignacio Rodríguez,ARG,MF,20.0,8.0,270.0,243.0,24.0,6.0,3.0,0.0,41,10.0,8.0,2.0,5.0,0.0,167.0,3.0,12.0,Banfield,Brasileiro,Ignacio Rodríguez (Banfield)
Pedro Souto,ARG,DF,22.0,6.7,282.0,224.0,56.0,1.0,0.0,1.0,11,55.0,0.0,0.0,0.0,0.0,183.0,2.0,15.0,Banfield,Brasileiro,Pedro Souto (Banfield)
Luis Mago,VEN,DF,28.0,5.2,160.0,143.0,17.0,7.0,0.0,2.0,8,10.0,0.0,0.0,0.0,0.0,109.0,0.0,1.0,Banfield,Brasileiro,Luis Mago (Banfield)
Mateo Pérez,ARG,DF,22.0,3.4,76.0,67.0,9.0,2.0,0.0,2.0,0,7.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,Banfield,Brasileiro,Mateo Pérez (Banfield)
Nicolás Bertolo,ARG,MF,37.0,2.0,44.0,38.0,6.0,2.0,0.0,0.0,2,2.0,2.0,0.0,1.0,0.0,31.0,0.0,3.0,Banfield,Brasileiro,Nicolás Bertolo (Banfield)
Alan Di Pippa,ARG,MF,22.0,2.6,116.0,110.0,6.0,3.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,82.0,0.0,2.0,Banfield,Brasileiro,Alan Di Pippa (Banfield)
Alejandro Piedrahita,COL,"MF,FW",20.0,1.8,64.0,63.0,1.0,0.0,0.0,0.0,9,1.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,Banfield,Brasileiro,Alejandro Piedrahita (Banfield)
Horacio Tijanovich,ARG,MF,26.0,1.5,49.0,48.0,1.0,1.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,Banfield,Brasileiro,Horacio Tijanovich (Banfield)
Agustín Urzi,ARG,MF,22.0,0.7,13.0,13.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Banfield,Brasileiro,Agustín Urzi (Banfield)
Lautaro Ríos,ARG,"MF,FW",22.0,1.7,80.0,75.0,5.0,2.0,0.0,1.0,7,0.0,3.0,1.0,2.0,0.0,51.0,0.0,2.0,Banfield,Brasileiro,Lautaro Ríos (Banfield)
Geronimo Rivera,ARG,"MF,FW",19.0,1.5,27.0,24.0,3.0,1.0,0.0,1.0,3,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,Banfield,Brasileiro,Geronimo Rivera (Banfield)
Matías González,ARG,MF,20.0,0.6,27.0,22.0,4.0,2.0,0.0,0.0,4,0.0,2.0,1.0,1.0,0.0,16.0,1.0,1.0,Banfield,Brasileiro,Matías González (Banfield)
Tomás Adoryán,ARG,MF,21.0,0.4,20.0,17.0,3.0,0.0,0.0,1.0,2,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,Banfield,Brasileiro,Tomás Adoryán (Banfield)
Iván Tapia,ARG,MF,24.0,26.8,1346.0,1106.0,236.0,122.0,3.0,16.0,159,21.0,93.0,39.0,36.0,0.0,963.0,4.0,34.0,Barracas Central,Brasileiro,Iván Tapia (Barracas Central)
Francisco Álvarez,ARG,DF,22.0,25.0,963.0,906.0,57.0,56.0,1.0,8.0,0,1.0,0.0,0.0,0.0,0.0,737.0,0.0,8.0,Barracas Central,Brasileiro,Francisco Álvarez (Barracas Central)
Andrés Desábato,ARG,GK,32.0,24.0,766.0,483.0,283.0,89.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,Barracas Central,Brasileiro,Andrés Desábato (Barracas Central)
Bruno Sepúlveda,ARG,FW,30.0,21.9,498.0,449.0,47.0,2.0,4.0,1.0,12,3.0,0.0,0.0,0.0,0.0,337.0,2.0,25.0,Barracas Central,Brasileiro,Bruno Sepúlveda (Barracas Central)
Facundo Mater,ARG,"MF,DF",24.0,20.9,741.0,660.0,81.0,6.0,4.0,0.0,19,75.0,0.0,0.0,0.0,0.0,489.0,0.0,42.0,Barracas Central,Brasileiro,Facundo Mater (Barracas Central)
Mauro Peinipil,ARG,"DF,MF",23.0,19.9,869.0,682.0,185.0,11.0,0.0,7.0,63,174.0,0.0,0.0,0.0,0.0,544.0,2.0,34.0,Barracas Central,Brasileiro,Mauro Peinipil (Barracas Central)
Juan Ignacio Díaz,ARG,DF,24.0,19.4,911.0,775.0,136.0,29.0,1.0,9.0,16,106.0,0.0,0.0,0.0,0.0,635.0,0.0,17.0,Barracas Central,Brasileiro,Juan Ignacio Díaz (Barracas Central)
Carlos Arce,ARG,MF,32.0,16.5,685.0,670.0,13.0,12.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,486.0,2.0,16.0,Barracas Central,Brasileiro,Carlos Arce (Barracas Central)
Brian Calderara,ARG,"DF,MF",24.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Brian Calderara (Barracas Central)
Nicolás Capraro,ARG,DF,24.0,16.8,686.0,644.0,40.0,29.0,0.0,10.0,3,11.0,0.0,0.0,0.0,0.0,477.0,2.0,10.0,Barracas Central,Brasileiro,Nicolás Capraro (Barracas Central)
Rodrigo Insúa,ARG,DF,25.0,15.6,685.0,505.0,175.0,20.0,0.0,4.0,63,149.0,4.0,1.0,3.0,0.0,424.0,5.0,28.0,Barracas Central,Brasileiro,Rodrigo Insúa (Barracas Central)
Rodrigo Herrera,ARG,MF,22.0,12.8,538.0,522.0,16.0,13.0,0.0,5.0,3,3.0,0.0,0.0,0.0,0.0,434.0,0.0,7.0,Barracas Central,Brasileiro,Rodrigo Herrera (Barracas Central)
Lucas Colitto,ARG,MF,28.0,9.0,330.0,320.0,9.0,5.0,1.0,5.0,34,3.0,1.0,0.0,1.0,0.0,228.0,1.0,16.0,Barracas Central,Brasileiro,Lucas Colitto (Barracas Central)
Alexis Dominguez,ARG,FW,26.0,8.4,187.0,181.0,5.0,0.0,2.0,0.0,9,0.0,0.0,0.0,0.0,0.0,106.0,1.0,6.0,Barracas Central,Brasileiro,Alexis Dominguez (Barracas Central)
Ricardo Centurión,ARG,"FW,MF",30.0,6.2,227.0,217.0,9.0,3.0,0.0,0.0,12,6.0,0.0,0.0,0.0,0.0,160.0,1.0,8.0,Barracas Central,Brasileiro,Ricardo Centurión (Barracas Central)
Fernando Prado,URU,DF,21.0,4.6,176.0,161.0,15.0,4.0,0.0,6.0,2,11.0,0.0,0.0,0.0,0.0,124.0,0.0,4.0,Barracas Central,Brasileiro,Fernando Prado (Barracas Central)
Marcos Benítez,ARG,"MF,FW",21.0,6.6,221.0,215.0,4.0,1.0,2.0,0.0,5,1.0,1.0,0.0,0.0,0.0,160.0,2.0,9.0,Barracas Central,Brasileiro,Marcos Benítez (Barracas Central)
Agustín Dáttola,ARG,DF,23.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Agustín Dáttola (Barracas Central)
Maximiliano Rodríguez,ARG,"DF,MF",34.0,5.4,236.0,186.0,50.0,2.0,1.0,1.0,5,48.0,0.0,0.0,0.0,0.0,169.0,0.0,12.0,Barracas Central,Brasileiro,Maximiliano Rodríguez (Barracas Central)
Maximiliano Puig,ARG,MF,22.0,3.5,123.0,121.0,1.0,1.0,1.0,0.0,5,0.0,0.0,0.0,0.0,0.0,91.0,1.0,7.0,Barracas Central,Brasileiro,Maximiliano Puig (Barracas Central)
Guido Villar,ARG,GK,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Guido Villar (Barracas Central)
Alan Cantero,ARG,"FW,MF",24.0,5.6,113.0,106.0,6.0,1.0,0.0,2.0,7,2.0,1.0,0.0,0.0,0.0,67.0,1.0,9.0,Barracas Central,Brasileiro,Alan Cantero (Barracas Central)
Nicolás Tolosa,ARG,"MF,DF",21.0,1.8,80.0,69.0,11.0,0.0,0.0,0.0,7,11.0,0.0,0.0,0.0,0.0,57.0,0.0,7.0,Barracas Central,Brasileiro,Nicolás Tolosa (Barracas Central)
Franco Farías,ARG,MF,20.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Franco Farías (Barracas Central)
Lucas López,ARG,MF,25.0,0.9,21.0,20.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,Barracas Central,Brasileiro,Lucas López (Barracas Central)
Julián Viollaz,ARG,"FW,MF",20.0,0.5,12.0,12.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,Barracas Central,Brasileiro,Julián Viollaz (Barracas Central)
Kevin Quejada,COL,FW,20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Kevin Quejada (Barracas Central)
Manuel Brondo,,FW,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Manuel Brondo (Barracas Central)
Alex Juárez,ARG,MF,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Alex Juárez (Barracas Central)
Bruno Mastronicola,ARG,DF,22.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Barracas Central,Brasileiro,Bruno Mastronicola (Barracas Central)
Sergio Romero,ARG,GK,35.0,23.0,622.0,393.0,229.0,66.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,1.0,Boca Juniors,Brasileiro,Sergio Romero (Boca Juniors)
Jorge Figal,ARG,DF,28.0,22.1,1235.0,1136.0,96.0,60.0,0.0,13.0,5,32.0,0.0,0.0,0.0,0.0,1013.0,3.0,16.0,Boca Juniors,Brasileiro,Jorge Figal (Boca Juniors)
Guillermo Matías Fernández,ARG,MF,31.0,19.5,1129.0,1071.0,56.0,32.0,2.0,13.0,20,10.0,12.0,1.0,8.0,0.0,948.0,2.0,26.0,Boca Juniors,Brasileiro,Guillermo Matías Fernández (Boca Juniors)
Alan Varela,ARG,MF,21.0,19.0,1155.0,1110.0,43.0,42.0,1.0,8.0,4,1.0,0.0,0.0,0.0,0.0,1022.0,2.0,18.0,Boca Juniors,Brasileiro,Alan Varela (Boca Juniors)
Luis Advíncula,PER,"DF,FW",32.0,16.0,819.0,690.0,128.0,8.0,1.0,6.0,38,118.0,2.0,0.0,2.0,0.0,669.0,1.0,20.0,Boca Juniors,Brasileiro,Luis Advíncula (Boca Juniors)
Bruno Valdez,PAR,DF,30.0,14.8,924.0,867.0,56.0,43.0,0.0,5.0,1,7.0,0.0,0.0,0.0,0.0,797.0,1.0,7.0,Boca Juniors,Brasileiro,Bruno Valdez (Boca Juniors)
Frank Fabra,COL,DF,31.0,15.5,990.0,841.0,149.0,9.0,2.0,5.0,44,140.0,0.0,0.0,0.0,0.0,812.0,0.0,15.0,Boca Juniors,Brasileiro,Frank Fabra (Boca Juniors)
Sebastián Villa,COL,"FW,MF",26.0,14.9,620.0,544.0,75.0,26.0,4.0,11.0,113,7.0,42.0,16.0,19.0,0.0,418.0,1.0,32.0,Boca Juniors,Brasileiro,Sebastián Villa (Boca Juniors)
