Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Federico Redondo,ARG,MF,20.0,14.2,1,9,2,22.2,0.63,0.14,0.11,0.5,18.2,1.0,0,0,0.7,0.7,0.07,0.3,0.3,Argentinos Jun,Brasileiro,Federico Redondo (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alan Rodríguez,URU,MF,23.0,12.9,1,21,7,33.3,1.62,0.54,0.05,0.14,18.4,0.0,0,0,2.7,2.7,0.13,-1.7,-1.7,Argentinos Jun,Brasileiro,Alan Rodríguez (Argentinos Jun)
Marco Di Cesare,ARG,DF,22.0,12.1,0,5,2,40.0,0.41,0.16,0.0,0.0,12.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Argentinos Jun,Brasileiro,Marco Di Cesare (Argentinos Jun)
Thiago Nuss,ARG,"FW,MF",21.0,10.1,0,33,11,33.3,3.26,1.09,0.0,0.0,14.8,0.0,0,0,3.2,3.2,0.1,-3.2,-3.2,Argentinos Jun,Brasileiro,Thiago Nuss (Argentinos Jun)
Luciano Sánchez,ARG,"DF,FW",29.0,9.5,0,3,0,0.0,0.32,0.0,0.0,0.0,20.5,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Argentinos Jun,Brasileiro,Luciano Sánchez (Argentinos Jun)
Rodrigo Cabral,ARG,"DF,MF",22.0,8.7,1,17,8,47.1,1.95,0.92,0.06,0.13,23.0,0.0,0,0,0.8,0.8,0.05,0.2,0.2,Argentinos Jun,Brasileiro,Rodrigo Cabral (Argentinos Jun)
Fabricio Domínguez,URU,"MF,DF",24.0,8.6,0,5,2,40.0,0.58,0.23,0.0,0.0,17.3,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Argentinos Jun,Brasileiro,Fabricio Domínguez (Argentinos Jun)
Leonardo Heredia,ARG,"FW,MF",27.0,7.3,4,16,8,50.0,2.19,1.09,0.25,0.5,11.3,0.0,0,0,3.5,3.5,0.23,0.5,0.5,Argentinos Jun,Brasileiro,Leonardo Heredia (Argentinos Jun)
Matías Vera,ARG,MF,27.0,5.8,0,1,0,0.0,0.17,0.0,0.0,0.0,26.8,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Argentinos Jun,Brasileiro,Matías Vera (Argentinos Jun)
Leonel González,ARG,DF,28.0,4.3,0,4,0,0.0,0.94,0.0,0.0,0.0,13.7,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Argentinos Jun,Brasileiro,Leonel González (Argentinos Jun)
Mariano Bíttolo,ARG,"DF,MF",32.0,3.9,0,3,2,66.7,0.77,0.51,0.0,0.0,22.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Argentinos Jun,Brasileiro,Mariano Bíttolo (Argentinos Jun)
Pablo Minissale,ARG,DF,22.0,4.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Pablo Minissale (Argentinos Jun)
José Herrera,ARG,"DF,FW",17.0,3.5,0,4,1,25.0,1.15,0.29,0.0,0.0,25.5,0.0,0,1,1.0,0.2,0.05,-1.0,-0.2,Argentinos Jun,Brasileiro,José Herrera (Argentinos Jun)
Facundo Ferreyra,ARG,"FW,MF",31.0,2.1,0,6,2,33.3,2.8,0.93,0.0,0.0,14.0,0.0,0,0,1.1,1.1,0.18,-1.1,-1.1,Argentinos Jun,Brasileiro,Facundo Ferreyra (Argentinos Jun)
Román Riquelme,ARG,DF,20.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Román Riquelme (Argentinos Jun)
Alejandro Medina,ARG,GK,35.0,27.0,0,1,0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Alejandro Medina (Arsenal)
Adrián Sporle,ARG,DF,27.0,22.8,1,15,3,20.0,0.66,0.13,0.07,0.33,19.9,0.0,0,0,0.7,0.7,0.05,0.3,0.3,Arsenal,Brasileiro,Adrián Sporle (Arsenal)
Felipe Peña,ARG,MF,21.0,21.2,0,10,1,10.0,0.47,0.05,0.0,0.0,28.9,2.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Arsenal,Brasileiro,Felipe Peña (Arsenal)
Lautaro Guzmán,ARG,"FW,MF",23.0,20.8,2,36,9,25.0,1.73,0.43,0.03,0.11,27.0,8.0,1,2,3.6,2.0,0.06,-1.6,-1.0,Arsenal,Brasileiro,Lautaro Guzmán (Arsenal)
Lucas Souto,ARG,DF,24.0,20.7,0,13,0,0.0,0.63,0.0,0.0,0.0,10.9,0.0,0,0,1.4,1.4,0.11,-1.4,-1.4,Arsenal,Brasileiro,Lucas Souto (Arsenal)
Joaquín Pombo,ARG,DF,21.0,18.9,1,5,2,40.0,0.26,0.11,0.2,0.5,9.6,0.0,0,0,0.9,0.9,0.18,0.1,0.1,Arsenal,Brasileiro,Joaquín Pombo (Arsenal)
Maximiliano Centurión,ARG,DF,23.0,19.6,0,15,3,20.0,0.77,0.15,0.0,0.0,12.1,0.0,0,0,1.3,1.3,0.09,-1.3,-1.3,Arsenal,Brasileiro,Maximiliano Centurión (Arsenal)
Santiago Toloza,ARG,"MF,FW",20.0,18.3,4,28,15,53.6,1.53,0.82,0.14,0.27,22.4,1.0,0,0,1.9,1.9,0.07,2.1,2.1,Arsenal,Brasileiro,Santiago Toloza (Arsenal)
Néstor Breitenbruch,ARG,DF,27.0,16.9,0,9,3,33.3,0.53,0.18,0.0,0.0,16.6,1.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Arsenal,Brasileiro,Néstor Breitenbruch (Arsenal)
Flabián Londoño,COL,"FW,MF",22.0,12.8,2,27,11,40.7,2.11,0.86,0.07,0.18,14.5,1.0,0,0,3.1,3.1,0.12,-1.1,-1.1,Arsenal,Brasileiro,Flabián Londoño (Arsenal)
Gonzalo Muscia,ARG,MF,23.0,12.7,0,1,0,0.0,0.08,0.0,0.0,0.0,27.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Arsenal,Brasileiro,Gonzalo Muscia (Arsenal)
Tiago Banega,ARG,MF,23.0,10.9,1,9,1,11.1,0.83,0.09,0.11,1.0,25.1,0.0,0,0,0.4,0.4,0.04,0.6,0.6,Arsenal,Brasileiro,Tiago Banega (Arsenal)
Lucas Brochero,ARG,"FW,MF",24.0,10.3,0,6,1,16.7,0.58,0.1,0.0,0.0,19.8,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5,Arsenal,Brasileiro,Lucas Brochero (Arsenal)
Facundo Pons,ARG,FW,27.0,10.1,2,24,7,29.2,2.37,0.69,0.04,0.14,14.7,0.0,1,1,2.8,2.0,0.08,-0.8,-1.0,Arsenal,Brasileiro,Facundo Pons (Arsenal)
Braian Rivero,ARG,MF,26.0,9.6,0,10,3,30.0,1.05,0.31,0.0,0.0,20.9,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0,Arsenal,Brasileiro,Braian Rivero (Arsenal)
Luís Leal,STP,FW,35.0,9.6,3,15,7,46.7,1.57,0.73,0.2,0.43,17.1,1.0,0,0,2.8,2.8,0.19,0.2,0.2,Arsenal,Brasileiro,Luís Leal (Arsenal)
Ignacio Gariglio,ARG,DF,24.0,8.2,0,3,0,0.0,0.37,0.0,0.0,0.0,13.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Arsenal,Brasileiro,Ignacio Gariglio (Arsenal)
Facundo Cardozo,ARG,DF,27.0,7.1,0,8,1,12.5,1.13,0.14,0.0,0.0,22.1,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,Arsenal,Brasileiro,Facundo Cardozo (Arsenal)
Franco Vega,ARG,"MF,FW",21.0,4.2,0,5,1,20.0,1.2,0.24,0.0,0.0,24.1,2.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Arsenal,Brasileiro,Franco Vega (Arsenal)
Juan Cuesta,COL,"MF,FW",20.0,3.8,0,2,1,50.0,0.52,0.26,0.0,0.0,15.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Arsenal,Brasileiro,Juan Cuesta (Arsenal)
Santiago Paiva,URU,"FW,MF",24.0,2.7,0,4,2,50.0,1.47,0.73,0.0,0.0,10.9,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Arsenal,Brasileiro,Santiago Paiva (Arsenal)
Daniel Lucero,ARG,"FW,MF",20.0,2.5,0,5,3,60.0,2.03,1.22,0.0,0.0,14.7,0.0,0,0,0.7,0.7,0.15,-0.7,-0.7,Arsenal,Brasileiro,Daniel Lucero (Arsenal)
Leonardo Marchi,ARG,DF,26.0,1.6,0,2,0,0.0,1.22,0.0,0.0,0.0,29.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Arsenal,Brasileiro,Leonardo Marchi (Arsenal)
Tomás Sives,ARG,FW,20.0,1.2,0,2,1,50.0,1.67,0.83,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Tomás Sives (Arsenal)
Juan Peinipil,ARG,"FW,MF",21.0,1.1,0,1,0,0.0,0.88,0.0,0.0,0.0,62.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Arsenal,Brasileiro,Juan Peinipil (Arsenal)
Tobías Zarate,ARG,"MF,FW",22.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Tobías Zarate (Arsenal)
Emiliano Viveros,ARG,MF,20.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arsenal,Brasileiro,Emiliano Viveros (Arsenal)
Facundo Cambeses,ARG,GK,25.0,27.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Banfield,Brasileiro,Facundo Cambeses (Banfield)
Juan Bisanz,ARG,"MF,FW",21.0,22.5,6,31,13,41.9,1.38,0.58,0.13,0.31,19.9,1.0,2,2,4.5,2.9,0.12,1.5,1.1,Banfield,Brasileiro,Juan Bisanz (Banfield)
Brahian Alemán,URU,MF,33.0,20.7,1,40,9,22.5,1.93,0.44,0.0,0.0,27.1,13.0,1,1,2.5,1.7,0.04,-1.5,-1.7,Banfield,Brasileiro,Brahian Alemán (Banfield)
Alejandro Cabrera,ARG,MF,30.0,19.9,0,18,2,11.1,0.9,0.1,0.0,0.0,20.5,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9,Banfield,Brasileiro,Alejandro Cabrera (Banfield)
Alejandro Maciel,ARG,DF,25.0,20.6,0,9,0,0.0,0.44,0.0,0.0,0.0,12.1,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Banfield,Brasileiro,Alejandro Maciel (Banfield)
Emanuel Coronel,ARG,DF,25.0,19.7,0,18,4,22.2,0.91,0.2,0.0,0.0,25.6,0.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Banfield,Brasileiro,Emanuel Coronel (Banfield)
Eric Remedi,ARG,MF,27.0,19.5,0,9,1,11.1,0.46,0.05,0.0,0.0,22.4,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,Banfield,Brasileiro,Eric Remedi (Banfield)
Emanuel Insúa,ARG,DF,31.0,18.8,2,12,4,33.3,0.64,0.21,0.17,0.5,20.2,0.0,0,0,1.6,1.6,0.14,0.4,0.4,Banfield,Brasileiro,Emanuel Insúa (Banfield)
Milton Giménez,ARG,FW,26.0,17.2,5,46,14,30.4,2.68,0.82,0.09,0.29,16.7,0.0,1,1,5.7,4.9,0.11,-0.7,-0.9,Banfield,Brasileiro,Milton Giménez (Banfield)
Aaron Quirós,ARG,DF,21.0,15.1,1,5,2,40.0,0.33,0.13,0.2,0.5,8.6,0.0,0,0,0.7,0.7,0.13,0.3,0.3,Banfield,Brasileiro,Aaron Quirós (Banfield)
Emanuel Olivera,ARG,DF,32.0,15.0,0,5,2,40.0,0.33,0.13,0.0,0.0,12.0,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5,Banfield,Brasileiro,Emanuel Olivera (Banfield)
Nicolás Sosa,URU,"MF,FW",26.0,11.9,1,20,3,15.0,1.69,0.25,0.05,0.33,15.5,0.0,0,0,1.4,1.4,0.07,-0.4,-0.4,Banfield,Brasileiro,Nicolás Sosa (Banfield)
Andrés Chávez,ARG,FW,31.0,11.1,1,38,12,31.6,3.41,1.08,0.03,0.08,18.7,0.0,0,2,4.5,2.8,0.07,-3.5,-1.8,Banfield,Brasileiro,Andrés Chávez (Banfield)
Sebastián Sosa,URU,FW,28.0,9.8,1,18,7,38.9,1.84,0.72,0.06,0.14,16.1,0.0,0,0,2.0,2.0,0.11,-1.0,-1.0,Banfield,Brasileiro,Sebastián Sosa (Banfield)
Matías Romero,ARG,"DF,MF",26.0,10.6,0,4,0,0.0,0.38,0.0,0.0,0.0,17.6,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Banfield,Brasileiro,Matías Romero (Banfield)
Ignacio Rodríguez,ARG,MF,20.0,8.0,0,8,1,12.5,1.0,0.12,0.0,0.0,23.7,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,Banfield,Brasileiro,Ignacio Rodríguez (Banfield)
Pedro Souto,ARG,DF,22.0,6.7,0,1,0,0.0,0.15,0.0,0.0,0.0,32.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Banfield,Brasileiro,Pedro Souto (Banfield)
Luis Mago,VEN,DF,28.0,5.2,0,3,0,0.0,0.58,0.0,0.0,0.0,12.9,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3,Banfield,Brasileiro,Luis Mago (Banfield)
Mateo Pérez,ARG,DF,22.0,3.4,0,1,0,0.0,0.3,0.0,0.0,0.0,12.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Banfield,Brasileiro,Mateo Pérez (Banfield)
Nicolás Bertolo,ARG,MF,37.0,2.0,0,2,0,0.0,0.98,0.0,0.0,0.0,8.6,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2,Banfield,Brasileiro,Nicolás Bertolo (Banfield)
Alan Di Pippa,ARG,MF,22.0,2.6,0,3,1,33.3,1.15,0.38,0.0,0.0,27.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Banfield,Brasileiro,Alan Di Pippa (Banfield)
Alejandro Piedrahita,COL,"MF,FW",20.0,1.8,0,1,0,0.0,0.55,0.0,0.0,0.0,7.4,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Banfield,Brasileiro,Alejandro Piedrahita (Banfield)
Horacio Tijanovich,ARG,MF,26.0,1.5,0,4,2,50.0,2.69,1.34,0.0,0.0,17.7,0.0,0,0,0.9,0.9,0.22,-0.9,-0.9,Banfield,Brasileiro,Horacio Tijanovich (Banfield)
Agustín Urzi,ARG,MF,22.0,0.7,0,1,0,0.0,1.34,0.0,0.0,0.0,13.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Banfield,Brasileiro,Agustín Urzi (Banfield)
Lautaro Ríos,ARG,"MF,FW",22.0,1.7,0,4,1,25.0,2.37,0.59,0.0,0.0,19.1,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,Banfield,Brasileiro,Lautaro Ríos (Banfield)
Geronimo Rivera,ARG,"MF,FW",19.0,1.5,0,2,0,0.0,1.31,0.0,0.0,0.0,12.2,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2,Banfield,Brasileiro,Geronimo Rivera (Banfield)
Matías González,ARG,MF,20.0,0.6,0,1,0,0.0,1.76,0.0,0.0,0.0,23.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Banfield,Brasileiro,Matías González (Banfield)
Tomás Adoryán,ARG,MF,21.0,0.4,0,2,1,50.0,4.62,2.31,0.0,0.0,20.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Banfield,Brasileiro,Tomás Adoryán (Banfield)
Iván Tapia,ARG,MF,24.0,26.8,4,39,13,33.3,1.46,0.49,0.03,0.08,30.2,17.0,3,3,3.8,1.5,0.04,0.2,-0.5,Barracas Central,Brasileiro,Iván Tapia (Barracas Central)
Francisco Álvarez,ARG,DF,22.0,25.0,4,23,6,26.1,0.92,0.24,0.17,0.67,19.1,0.0,0,0,1.6,1.6,0.07,2.4,2.4,Barracas Central,Brasileiro,Francisco Álvarez (Barracas Central)
Andrés Desábato,ARG,GK,32.0,24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Andrés Desábato (Barracas Central)
Bruno Sepúlveda,ARG,FW,30.0,21.9,5,28,10,35.7,1.28,0.46,0.14,0.4,17.3,0.0,1,1,3.4,2.6,0.09,1.6,1.4,Barracas Central,Brasileiro,Bruno Sepúlveda (Barracas Central)
Facundo Mater,ARG,"MF,DF",24.0,20.9,3,25,6,24.0,1.2,0.29,0.12,0.5,19.6,0.0,0,0,1.8,1.8,0.07,1.2,1.2,Barracas Central,Brasileiro,Facundo Mater (Barracas Central)
Mauro Peinipil,ARG,"DF,MF",23.0,19.9,1,7,3,42.9,0.35,0.15,0.14,0.33,15.6,0.0,0,0,1.4,1.4,0.2,-0.4,-0.4,Barracas Central,Brasileiro,Mauro Peinipil (Barracas Central)
Juan Ignacio Díaz,ARG,DF,24.0,19.4,0,7,1,14.3,0.36,0.05,0.0,0.0,31.1,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Barracas Central,Brasileiro,Juan Ignacio Díaz (Barracas Central)
Carlos Arce,ARG,MF,32.0,16.5,2,12,3,25.0,0.73,0.18,0.17,0.67,18.6,0.0,0,0,0.6,0.6,0.05,1.4,1.4,Barracas Central,Brasileiro,Carlos Arce (Barracas Central)
Brian Calderara,ARG,"DF,MF",24.0,15.9,2,21,8,38.1,1.32,0.5,0.1,0.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Brian Calderara (Barracas Central)
Nicolás Capraro,ARG,DF,24.0,16.8,1,7,2,28.6,0.42,0.12,0.14,0.5,22.1,0.0,0,0,0.4,0.4,0.06,0.6,0.6,Barracas Central,Brasileiro,Nicolás Capraro (Barracas Central)
Rodrigo Insúa,ARG,DF,25.0,15.6,0,16,1,6.3,1.03,0.06,0.0,0.0,23.5,2.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Barracas Central,Brasileiro,Rodrigo Insúa (Barracas Central)
Rodrigo Herrera,ARG,MF,22.0,12.8,0,7,0,0.0,0.55,0.0,0.0,0.0,17.2,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Barracas Central,Brasileiro,Rodrigo Herrera (Barracas Central)
Lucas Colitto,ARG,MF,28.0,9.0,0,17,5,29.4,1.88,0.55,0.0,0.0,21.8,1.0,0,0,0.7,0.7,0.04,-0.7,-0.7,Barracas Central,Brasileiro,Lucas Colitto (Barracas Central)
Alexis Dominguez,ARG,FW,26.0,8.4,1,16,6,37.5,1.91,0.72,0.06,0.17,14.5,0.0,0,0,1.5,1.5,0.1,-0.5,-0.5,Barracas Central,Brasileiro,Alexis Dominguez (Barracas Central)
Ricardo Centurión,ARG,"FW,MF",30.0,6.2,0,11,3,27.3,1.78,0.48,0.0,0.0,21.1,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Barracas Central,Brasileiro,Ricardo Centurión (Barracas Central)
Fernando Prado,URU,DF,21.0,4.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Fernando Prado (Barracas Central)
Marcos Benítez,ARG,"MF,FW",21.0,6.6,0,6,3,50.0,0.9,0.45,0.0,0.0,20.1,0.0,0,0,0.6,0.6,0.1,-0.6,-0.6,Barracas Central,Brasileiro,Marcos Benítez (Barracas Central)
Agustín Dáttola,ARG,DF,23.0,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Agustín Dáttola (Barracas Central)
Maximiliano Rodríguez,ARG,"DF,MF",34.0,5.4,0,3,2,66.7,0.55,0.37,0.0,0.0,12.0,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Barracas Central,Brasileiro,Maximiliano Rodríguez (Barracas Central)
Maximiliano Puig,ARG,MF,22.0,3.5,0,5,3,60.0,1.45,0.87,0.0,0.0,22.5,0.0,0,0,0.9,0.9,0.18,-0.9,-0.9,Barracas Central,Brasileiro,Maximiliano Puig (Barracas Central)
Guido Villar,ARG,GK,27.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Guido Villar (Barracas Central)
Alan Cantero,ARG,"FW,MF",24.0,5.6,1,11,4,36.4,1.96,0.71,0.09,0.25,17.9,0.0,0,0,0.8,0.8,0.07,0.2,0.2,Barracas Central,Brasileiro,Alan Cantero (Barracas Central)
Nicolás Tolosa,ARG,"MF,DF",21.0,1.8,0,1,0,0.0,0.55,0.0,0.0,0.0,29.9,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Barracas Central,Brasileiro,Nicolás Tolosa (Barracas Central)
Franco Farías,ARG,MF,20.0,1.3,1,5,3,60.0,3.81,2.29,0.2,0.33,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Franco Farías (Barracas Central)
Lucas López,ARG,MF,25.0,0.9,0,2,0,0.0,2.25,0.0,0.0,0.0,21.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Barracas Central,Brasileiro,Lucas López (Barracas Central)
Julián Viollaz,ARG,"FW,MF",20.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Julián Viollaz (Barracas Central)
Kevin Quejada,COL,FW,20.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Kevin Quejada (Barracas Central)
Manuel Brondo,,FW,,0.1,0,1,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Manuel Brondo (Barracas Central)
Alex Juárez,ARG,MF,18.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Alex Juárez (Barracas Central)
Bruno Mastronicola,ARG,DF,22.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Barracas Central,Brasileiro,Bruno Mastronicola (Barracas Central)
Sergio Romero,ARG,GK,35.0,23.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Boca Juniors,Brasileiro,Sergio Romero (Boca Juniors)
Jorge Figal,ARG,DF,28.0,22.1,3,17,5,29.4,0.77,0.23,0.18,0.6,15.1,0.0,0,0,1.6,1.6,0.09,1.4,1.4,Boca Juniors,Brasileiro,Jorge Figal (Boca Juniors)
Guillermo Matías Fernández,ARG,MF,31.0,19.5,2,13,3,23.1,0.67,0.15,0.15,0.67,20.0,0.0,0,0,1.6,1.6,0.12,0.4,0.4,Boca Juniors,Brasileiro,Guillermo Matías Fernández (Boca Juniors)
Alan Varela,ARG,MF,21.0,19.0,0,12,1,8.3,0.63,0.05,0.0,0.0,28.3,0.0,0,0,0.3,0.3,0.02,-0.3,-0.3,Boca Juniors,Brasileiro,Alan Varela (Boca Juniors)
Luis Advíncula,PER,"DF,FW",32.0,16.0,0,9,5,55.6,0.56,0.31,0.0,0.0,23.7,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Boca Juniors,Brasileiro,Luis Advíncula (Boca Juniors)
Bruno Valdez,PAR,DF,30.0,14.8,0,9,2,22.2,0.61,0.14,0.0,0.0,8.8,0.0,0,0,1.0,1.0,0.12,-1.0,-1.0,Boca Juniors,Brasileiro,Bruno Valdez (Boca Juniors)
Frank Fabra,COL,DF,31.0,15.5,0,3,1,33.3,0.19,0.06,0.0,0.0,22.5,0.0,0,0,0.3,0.3,0.1,-0.3,-0.3,Boca Juniors,Brasileiro,Frank Fabra (Boca Juniors)
