Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition,Playing Time_90s
11,Marco Bizot,NED,GK,Brest,fr Ligue 1,32-304,1991,17,17,1530,17.0,0.88,0.88,4.29,3.35,80.8,0.53,0.24,0.24,0.41,41.2,0.12,0.06,0.06,0.0,50.0,https://fbref.com/en/players/3d214e5f/Marco-Bizot,3d214e5f,Big 5 combined,
12,Rubén Blanco,ESP,GK,Marseille,fr Ligue 1,28-167,1995,1,0,31,0.3,3.33,2.9,3.33,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/967f34d3/Ruben-Blanco,967f34d3,Big 5 combined,
13,Janis Blaswich,GER,GK,RB Leipzig,de Bundesliga,32-251,1991,16,16,1440,16.0,1.06,1.06,3.19,2.13,70.6,0.63,0.19,0.19,0.31,31.3,0.13,0.13,0.0,0.0,0.0,https://fbref.com/en/players/663e080e/Janis-Blaswich,663e080e,Big 5 combined,
14,Yassine Bounou,MAR,GK,Sevilla,es La Liga,32-278,1991,1,1,90,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f6798fc3/Yassine-Bounou,f6798fc3,Big 5 combined,
15,Claudio Bravo,CHI,GK,Betis,es La Liga,40-270,1983,7,7,630,7.0,0.71,0.71,2.86,2.29,75.0,0.43,0.57,0.0,0.29,28.6,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/10072610/Claudio-Bravo,10072610,Big 5 combined,
16,Alexander Brunst,GER,GK,Darmstadt 98,de Bundesliga,28-185,1995,1,1,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/99219195/Alexander-Brunst,99219195,Big 5 combined,
17,Marcin Bułka,POL,GK,Nice,fr Ligue 1,24-096,1999,17,17,1530,17.0,0.53,0.53,2.59,1.94,81.8,0.59,0.29,0.12,0.65,64.7,0.18,0.06,0.12,0.0,66.7,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,db87a2c4,Big 5 combined,
18,Elia Caprile,ITA,GK,Empoli,it Serie A,22-136,2001,4,4,360,4.0,1.5,1.5,5.0,3.25,75.0,0.0,0.25,0.75,0.25,25.0,0.5,0.25,0.25,0.0,50.0,https://fbref.com/en/players/97d7afbd/Elia-Caprile,97d7afbd,Big 5 combined,
19,Marco Carnesecchi,ITA,GK,Atalanta,it Serie A,23-191,2000,9,9,810,9.0,1.0,1.0,3.67,2.67,75.8,0.44,0.22,0.33,0.33,33.3,0.22,0.11,0.0,0.11,0.0,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,8ec56e62,Big 5 combined,
20,Koen Casteels,BEL,GK,Wolfsburg,de Bundesliga,31-197,1992,13,13,1170,13.0,1.54,1.54,5.15,3.62,71.6,0.46,0.0,0.54,0.23,23.1,0.08,0.08,0.0,0.0,0.0,https://fbref.com/en/players/db401046/Koen-Casteels,db401046,Big 5 combined,
21,Michele Cerofolini,ITA,GK,Frosinone,it Serie A,25-004,1999,1,1,90,1.0,1.0,1.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/efdeaff3/Michele-Cerofolini,efdeaff3,Big 5 combined,
22,Lucas Chevalier,FRA,GK,Lille,fr Ligue 1,22-063,2001,17,17,1530,17.0,0.82,0.82,3.47,2.59,78.0,0.41,0.41,0.18,0.53,52.9,0.18,0.06,0.12,0.0,66.7,https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,b3d76d84,Big 5 combined,
23,Oliver Christensen,DEN,GK,Fiorentina,it Serie A,24-292,1999,2,2,180,2.0,3.0,3.0,6.5,3.5,61.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,https://fbref.com/en/players/af104654/Oliver-Christensen,af104654,Big 5 combined,
24,Andrea Consigli,ITA,GK,Sassuolo,it Serie A,36-346,1987,17,17,1530,17.0,1.59,1.59,4.65,3.06,70.9,0.24,0.24,0.53,0.06,5.9,0.35,0.24,0.06,0.06,20.0,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,8cabdc1e,Big 5 combined,
25,Nikita Contini Baranovsky,ITA,GK,Napoli,it Serie A,27-232,1996,1,0,17,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/e95069bb/Nikita-Contini-Baranovsky,e95069bb,Big 5 combined,
26,Benoît Costil,FRA,GK,Salernitana,it Serie A,36-189,1987,8,8,720,8.0,2.0,2.0,5.5,3.5,68.2,0.25,0.25,0.5,0.13,12.5,0.25,0.25,0.0,0.0,0.0,https://fbref.com/en/players/2434f24a/Benoit-Costil,2434f24a,Big 5 combined,
27,Alessio Cragno,ITA,GK,Sassuolo,it Serie A,29-194,1994,2,2,180,2.0,3.0,3.0,4.0,1.5,37.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,https://fbref.com/en/players/f554e29b/Alessio-Cragno,f554e29b,Big 5 combined,
28,Finn Dahmen,GER,GK,Augsburg,de Bundesliga,25-287,1998,16,16,1440,16.0,1.94,1.94,5.88,4.0,72.3,0.25,0.38,0.38,0.0,0.0,0.38,0.31,0.06,0.0,16.7,https://fbref.com/en/players/dee3013b/Finn-Dahmen,dee3013b,Big 5 combined,
29,Rémy Descamps,FRA,GK,Nantes,fr Ligue 1,27-197,1996,5,5,450,5.0,1.8,1.8,7.0,5.2,74.3,0.4,0.4,0.2,0.2,20.0,0.2,0.0,0.0,0.2,,https://fbref.com/en/players/477e50ce/Remy-Descamps,477e50ce,Big 5 combined,
30,Arthur Desmas,FRA,GK,Le Havre,fr Ligue 1,29-276,1994,17,17,1530,17.0,1.12,1.12,4.94,3.94,77.4,0.24,0.41,0.35,0.35,35.3,0.06,0.0,0.0,0.06,,https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas,e8c5dd4d,Big 5 combined,
31,Michele Di Gregorio,ITA,GK,Monza,it Serie A,26-165,1997,18,18,1570,17.4,0.98,0.97,5.06,4.02,81.8,0.34,0.34,0.34,0.34,33.3,0.11,0.06,0.06,0.0,50.0,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,4e0c8d66,Big 5 combined,
32,Mory Diaw,SEN,GK,Clermont Foot,fr Ligue 1,30-200,1993,17,17,1530,17.0,1.53,1.53,6.06,4.59,77.7,0.12,0.29,0.59,0.24,23.5,0.24,0.18,0.0,0.06,0.0,https://fbref.com/en/players/f41a69e6/Mory-Diaw,f41a69e6,Big 5 combined,
33,Guillaume Dietsch,FRA,GK,Metz,fr Ligue 1,22-266,2001,1,0,73,0.8,1.25,1.23,3.75,2.5,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/e11a39aa/Guillaume-Dietsch,e11a39aa,Big 5 combined,
34,Stole Dimitrievski,MKD,GK,Rayo Vallecano,es La Liga,30-014,1993,19,19,1710,19.0,1.26,1.26,4.37,3.16,72.3,0.26,0.42,0.32,0.42,42.1,0.11,0.05,0.05,0.0,50.0,https://fbref.com/en/players/fc70e345/Stole-Dimitrievski,fc70e345,Big 5 combined,
35,Yehvann Diouf,FRA,GK,Reims,fr Ligue 1,24-053,1999,17,17,1530,17.0,1.35,1.35,3.82,2.47,66.2,0.47,0.12,0.41,0.29,29.4,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/eedea60b/Yehvann-Diouf,eedea60b,Big 5 combined,
36,Marko Dmitrović,SRB,GK,Sevilla,es La Liga,31-349,1992,11,11,990,11.0,1.55,1.55,4.73,3.27,71.2,0.18,0.18,0.64,0.18,18.2,0.18,0.18,0.0,0.0,0.0,https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic,ac295d9e,Big 5 combined,
37,Gianluigi Donnarumma,ITA,GK,Paris S-G,fr Ligue 1,24-317,1999,15,15,1269,14.1,0.85,0.85,3.62,2.77,80.4,0.78,0.21,0.07,0.43,40.0,0.14,0.14,0.0,0.0,0.0,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,08f5afaa,Big 5 combined,
38,Martin Dúbravka,SVK,GK,Newcastle Utd,eng Premier League,34-358,1989,7,6,545,6.1,2.46,2.48,7.54,4.92,71.7,0.16,0.0,0.82,0.33,33.3,0.49,0.33,0.16,0.0,33.3,https://fbref.com/en/players/3a949a25/Martin-Dubravka,3a949a25,Big 5 combined,
39,Ederson,BRA,GK,Manchester City,eng Premier League,30-144,1993,18,18,1620,18.0,1.11,1.11,2.83,1.78,64.7,0.61,0.22,0.17,0.28,27.8,0.11,0.11,0.0,0.0,0.0,https://fbref.com/en/players/3bb7b8b4/Ederson,3bb7b8b4,Big 5 combined,
40,Łukasz Fabiański,POL,GK,West Ham,eng Premier League,38-265,1985,3,3,270,3.0,2.0,2.0,5.67,3.67,64.7,0.67,0.0,0.33,0.33,33.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/9328b835/Lukasz-Fabianski,9328b835,Big 5 combined,
41,Wladimiro Falcone,ITA,GK,Lecce,it Serie A,28-271,1995,19,19,1710,19.0,1.32,1.32,4.58,3.26,75.9,0.21,0.47,0.32,0.11,10.5,0.26,0.21,0.05,0.0,20.0,https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone,9f5a610b,Big 5 combined,
42,Aitor Fernández,ESP,GK,Osasuna,es La Liga,32-250,1991,4,3,281,3.1,1.94,1.92,2.9,0.97,44.4,0.0,0.0,0.97,0.32,33.3,0.32,0.32,0.0,0.0,0.0,https://fbref.com/en/players/a01c3d54/Aitor-Fernandez,a01c3d54,Big 5 combined,
43,Raúl Fernández,ESP,GK,Granada,es La Liga,35-301,1988,4,4,280,3.1,3.55,3.54,5.48,2.26,35.3,0.32,0.0,0.97,0.0,0.0,0.32,0.0,0.0,0.32,,https://fbref.com/en/players/6fb59070/Raul-Fernandez,6fb59070,Big 5 combined,
44,Fernando,ESP,GK,Almería,es La Liga,33-212,1990,2,2,180,2.0,3.5,3.5,5.5,2.0,36.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/dabb2827/Fernando,dabb2827,Big 5 combined,
45,André Ferreira,POR,GK,Granada,es La Liga,27-224,1996,15,14,1340,14.9,1.95,1.95,5.17,3.29,66.2,0.0,0.34,0.6,0.0,0.0,0.2,0.2,0.0,0.0,0.0,https://fbref.com/en/players/12c6cbef/Andre-Ferreira,12c6cbef,Big 5 combined,
46,Mark Flekken,NED,GK,Brentford,eng Premier League,30-209,1993,18,18,1575,17.5,1.66,1.66,4.23,2.57,62.2,0.29,0.23,0.51,0.17,16.7,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/a92ab7be/Mark-Flekken,a92ab7be,Big 5 combined,
47,Wes Foderingham,ENG,GK,Sheffield Utd,eng Premier League,32-359,1991,20,20,1800,20.0,2.45,2.45,6.75,4.45,64.4,0.1,0.15,0.75,0.05,5.0,0.1,0.05,0.0,0.05,0.0,https://fbref.com/en/players/96cf7b61/Wes-Foderingham,96cf7b61,Big 5 combined,
48,Paulo Gazzaniga,ARG,GK,Girona,es La Liga,32-006,1992,19,19,1710,19.0,1.26,1.26,4.84,3.58,76.1,0.79,0.16,0.05,0.26,26.3,0.11,0.11,0.0,0.0,0.0,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,63d17038,Big 5 combined,
49,Luca Gemello,ITA,GK,Torino,it Serie A,23-189,2000,1,1,90,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/53e494ec/Luca-Gemello,53e494ec,Big 5 combined,
50,David Gil,ESP,GK,Cádiz,es La Liga,29-362,1994,4,3,282,3.1,0.65,0.64,3.87,3.23,83.3,0.0,0.97,0.0,0.32,33.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/fea23125/David-Gil,fea23125,Big 5 combined,
51,Pierluigi Gollini,ITA,GK,Napoli,it Serie A,28-296,1995,3,3,270,3.0,1.67,1.67,4.67,3.0,64.3,0.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini,f0f7f62f,Big 5 combined,
52,Jens Grahl,GER,GK,Eint Frankfurt,de Bundesliga,35-108,1988,1,1,90,1.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/f26dee6b/Jens-Grahl,f26dee6b,Big 5 combined,
53,Vicente Guaita,ESP,GK,Celta Vigo,es La Liga,36-363,1987,10,9,873,9.7,1.44,1.44,4.43,2.99,74.4,0.21,0.41,0.31,0.31,33.3,0.31,0.31,0.0,0.0,0.0,https://fbref.com/en/players/ab13a5aa/Vicente-Guaita,ab13a5aa,Big 5 combined,
54,Dean Henderson,ENG,GK,Crystal Palace,eng Premier League,26-302,1997,4,4,360,4.0,1.5,1.5,5.5,4.0,77.3,0.25,0.5,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,e5a76dfe,Big 5 combined,
55,Sergio Herrera,ESP,GK,Osasuna,es La Liga,30-217,1993,16,16,1429,15.9,1.45,1.45,3.71,2.2,61.0,0.38,0.25,0.38,0.31,31.3,0.06,0.0,0.06,0.0,100.0,https://fbref.com/en/players/a4995f48/Sergio-Herrera,a4995f48,Big 5 combined,
56,Lukáš Hrádecký,FIN,GK,Leverkusen,de Bundesliga,34-045,1989,16,16,1440,16.0,0.75,0.75,3.75,3.0,80.0,0.81,0.19,0.0,0.44,43.8,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky,ad3389d5,Big 5 combined,
57,Sam Johnstone,ENG,GK,Crystal Palace,eng Premier League,30-289,1993,16,16,1436,16.0,1.38,1.38,3.44,2.13,63.6,0.25,0.25,0.5,0.31,31.3,0.13,0.13,0.0,0.0,0.0,https://fbref.com/en/players/9e5708be/Sam-Johnstone,9e5708be,Big 5 combined,
58,Filip Jørgensen,DEN,GK,Villarreal,es La Liga,21-267,2002,19,19,1710,19.0,2.0,2.0,6.42,4.42,72.1,0.26,0.21,0.53,0.11,10.5,0.21,0.21,0.0,0.0,0.0,https://fbref.com/en/players/0107757e/Filip-Jorgensen,0107757e,Big 5 combined,
59,Thomas Kaminski,BEL,GK,Luton Town,eng Premier League,31-077,1992,19,19,1710,19.0,1.95,1.95,5.63,3.74,66.4,0.21,0.16,0.63,0.05,5.3,0.05,0.05,0.0,0.0,0.0,https://fbref.com/en/players/1caa93a5/Thomas-Kaminski,1caa93a5,Big 5 combined,
60,Caoimhín Kelleher,IRL,GK,Liverpool,eng Premier League,25-046,1998,2,2,180,2.0,1.5,1.5,3.0,1.5,50.0,1.0,0.0,0.0,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,62d7ef38,Big 5 combined,
61,Gregor Kobel,SUI,GK,Dortmund,de Bundesliga,26-033,1997,16,16,1375,15.3,1.57,1.57,5.23,3.66,76.3,0.46,0.39,0.2,0.2,18.8,0.39,0.33,0.07,0.0,16.7,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,cd59b9df,Big 5 combined,
62,Philipp Köhn,SUI,GK,Monaco,fr Ligue 1,25-281,1998,17,17,1530,17.0,1.29,1.29,4.18,2.82,74.6,0.59,0.18,0.24,0.29,29.4,0.29,0.24,0.06,0.0,20.0,https://fbref.com/en/players/ff74841d/Philipp-Kohn,ff74841d,Big 5 combined,
63,Alban Lafont,FRA,GK,Nantes,fr Ligue 1,24-350,1999,12,12,1056,11.7,1.54,1.53,4.96,3.42,75.9,0.26,0.09,0.68,0.26,25.0,0.34,0.34,0.0,0.0,0.0,https://fbref.com/en/players/4e7db402/Alban-Lafont,4e7db402,Big 5 combined,
64,Nicola Leali,ITA,GK,Genoa,it Serie A,30-325,1993,2,1,91,1.0,2.0,1.98,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/5f9970a0/Nicola-Leali,5f9970a0,Big 5 combined,
65,Benjamin Lecomte,FRA,GK,Montpellier,fr Ligue 1,32-257,1991,17,17,1530,17.0,1.24,1.24,4.94,3.76,75.0,0.24,0.41,0.35,0.35,35.3,0.06,0.0,0.06,0.0,100.0,https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte,2fa2a875,Big 5 combined,
66,Jeremías Ledesma,ARG,GK,Cádiz,es La Liga,30-329,1993,16,16,1428,15.9,1.51,1.51,5.35,3.84,72.9,0.13,0.38,0.5,0.13,12.5,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma,6c4776b1,Big 5 combined,
67,Bernd Leno,GER,GK,Fulham,eng Premier League,31-310,1992,20,20,1800,20.0,1.75,1.75,5.4,3.8,72.2,0.35,0.15,0.5,0.25,25.0,0.25,0.25,0.0,0.0,0.0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2628fd2b,Big 5 combined,
68,Anthony Lopes,POR,GK,Lyon,fr Ligue 1,33-099,1990,14,14,1260,14.0,1.5,1.5,4.93,3.36,72.5,0.29,0.21,0.5,0.36,35.7,0.21,0.14,0.07,0.0,33.3,https://fbref.com/en/players/f00de885/Anthony-Lopes,f00de885,Big 5 combined,
69,Pau López,ESP,GK,Marseille,fr Ligue 1,29-026,1994,17,17,1499,16.7,1.02,1.02,3.65,2.63,72.1,0.42,0.36,0.24,0.36,35.3,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/20b9f052/Pau-Lopez,20b9f052,Big 5 combined,
70,Andriy Lunin,UKR,GK,Real Madrid,es La Liga,24-331,1999,8,8,720,8.0,0.5,0.5,3.0,2.5,83.3,0.88,0.13,0.0,0.5,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/3061e1ec/Andriy-Lunin,3061e1ec,Big 5 combined,
71,Mike Maignan,FRA,GK,Milan,it Serie A,28-189,1995,16,16,1439,16.0,1.13,1.13,4.0,2.88,75.0,0.63,0.19,0.19,0.38,37.5,0.13,0.13,0.0,0.0,0.0,https://fbref.com/en/players/fcb38f57/Mike-Maignan,fcb38f57,Big 5 combined,
72,Giorgi Mamardashvili,GEO,GK,Valencia,es La Liga,23-101,2000,19,19,1710,19.0,1.21,1.21,4.0,2.79,71.1,0.37,0.26,0.37,0.32,31.6,0.11,0.05,0.05,0.0,50.0,https://fbref.com/en/players/d4b73232/Giorgi-Mamardashvili,d4b73232,Big 5 combined,
73,Steve Mandanda,FRA,GK,Rennes,fr Ligue 1,38-286,1985,17,17,1530,17.0,1.29,1.29,4.0,2.82,69.1,0.24,0.41,0.35,0.18,17.6,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,1d2d5cc8,Big 5 combined,
74,Diego Mariño,ESP,GK,Almería,es La Liga,33-244,1990,1,1,90,1.0,2.0,2.0,4.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,https://fbref.com/en/players/d9235a45/Diego-Marino,d9235a45,Big 5 combined,
75,Unai Marrero,ESP,GK,Real Sociedad,es La Liga,22-091,2001,1,0,52,0.6,1.67,1.73,3.33,1.67,100.0,0.0,0.0,0.0,0.0,,1.67,1.67,0.0,0.0,0.0,https://fbref.com/en/players/f0fe87dc/Unai-Marrero,f0fe87dc,Big 5 combined,
76,Emiliano Martínez,ARG,GK,Aston Villa,eng Premier League,31-128,1992,19,19,1710,19.0,1.37,1.37,4.21,2.95,67.5,0.63,0.16,0.21,0.21,21.1,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/7956236f/Emiliano-Martinez,7956236f,Big 5 combined,
77,Josep Martinez,ESP,GK,Genoa,it Serie A,25-226,1998,18,18,1619,18.0,1.22,1.22,3.44,2.28,66.1,0.28,0.33,0.39,0.17,16.7,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/11d8aff0/Josep-Martinez,11d8aff0,Big 5 combined,
78,Remi Matthews,ENG,GK,Crystal Palace,eng Premier League,29-332,1994,1,0,4,0.0,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/27f4f772/Remi-Matthews,27f4f772,Big 5 combined,
79,Luís Maximiano,POR,GK,Almería,es La Liga,25-003,1999,16,16,1440,16.0,2.13,2.12,5.31,3.13,62.4,0.0,0.31,0.69,0.13,12.5,0.25,0.13,0.06,0.06,33.3,https://fbref.com/en/players/3318286e/Luis-Maximiano,3318286e,Big 5 combined,
80,Alex Meret,ITA,GK,Napoli,it Serie A,26-292,1997,16,16,1423,15.8,1.2,1.2,3.35,2.09,66.0,0.44,0.25,0.32,0.25,25.0,0.13,0.06,0.06,0.0,50.0,https://fbref.com/en/players/9413b19f/Alex-Meret,9413b19f,Big 5 combined,
81,Alexander Meyer,GER,GK,Dortmund,de Bundesliga,32-270,1991,1,0,65,0.7,1.43,1.38,2.86,1.43,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/b56dd813/Alexander-Meyer,b56dd813,Big 5 combined,
82,Vanja Milinković-Savić,SRB,GK,Torino,it Serie A,26-322,1997,18,18,1620,18.0,0.89,0.89,3.67,2.78,80.3,0.39,0.33,0.28,0.5,50.0,0.17,0.17,0.0,0.0,0.0,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,9fa26bc2,Big 5 combined,
83,Antonio Mirante,ITA,GK,Milan,it Serie A,40-184,1983,1,1,90,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/30223b33/Antonio-Mirante,30223b33,Big 5 combined,
84,Lorenzo Montipò,ITA,GK,Hellas Verona,it Serie A,27-322,1996,19,19,1710,19.0,1.37,1.37,4.68,3.32,71.9,0.16,0.26,0.58,0.21,21.1,0.05,0.05,0.0,0.0,0.0,https://fbref.com/en/players/c1d95617/Lorenzo-Montipo,c1d95617,Big 5 combined,
85,Kevin Müller,GER,GK,Heidenheim,de Bundesliga,32-299,1991,16,16,1440,16.0,2.0,2.0,5.88,3.94,72.3,0.38,0.13,0.5,0.25,25.0,0.56,0.38,0.06,0.13,14.3,https://fbref.com/en/players/f256f213/Kevin-Muller,f256f213,Big 5 combined,
86,Juan Musso,ARG,GK,Atalanta,it Serie A,29-247,1994,10,10,900,10.0,1.2,1.2,3.1,2.0,67.7,0.5,0.1,0.4,0.5,50.0,0.2,0.2,0.0,0.0,0.0,https://fbref.com/en/players/a111cf41/Juan-Musso,a111cf41,Big 5 combined,
87,Yvon Mvogo,SUI,GK,Lorient,fr Ligue 1,29-216,1994,17,17,1530,17.0,2.06,2.06,6.65,4.59,73.5,0.12,0.35,0.53,0.12,11.8,0.29,0.29,0.0,0.0,0.0,https://fbref.com/en/players/dc29b608/Yvon-Mvogo,dc29b608,Big 5 combined,
88,Neto,BRA,GK,Bournemouth,eng Premier League,34-173,1989,17,17,1530,17.0,1.65,1.65,5.12,3.47,70.1,0.35,0.24,0.41,0.29,29.4,0.18,0.12,0.06,0.0,33.3,https://fbref.com/en/players/a9dc785c/Neto,a9dc785c,Big 5 combined,
89,Manuel Neuer,GER,GK,Bayern Munich,de Bundesliga,37-287,1986,7,7,630,7.0,1.14,1.14,2.86,1.71,60.0,0.86,0.0,0.14,0.57,57.1,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/8778c910/Manuel-Neuer,8778c910,Big 5 combined,
