Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
11,Matthis Abline,FRA,FW,Rennes,fr Ligue 1,21-033,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0e46fa2f,Big 5 combined
12,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,21-033,2003,19,822,43,29.5,9.1,0.99,72,0.11,1.10,18,0.55,1.05,1.10,1.21,-0.11,-0.11,+0.76,1.37,1.33,0.04,+0.04,+0.76,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0e46fa2f,Big 5 combined
13,Abner,BRA,DF,Betis,es La Liga,23-339,2000,20,1258,63,42.4,14.0,1.00,81,0.79,0.43,21,0.57,1.50,1.29,1.29,0.00,0.00,-0.11,1.11,1.74,-0.63,-0.63,-0.76,https://fbref.com/en/players/7f9c5d2d/Abner,7f9c5d2d,Big 5 combined
14,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,24-072,2000,11,630,57,22.6,7.0,1.00,78,0.14,0.57,21,0.00,1.55,1.29,1.14,0.14,+0.14,+0.27,0.87,1.66,-0.79,-0.79,-0.72,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,c2a6033c,Big 5 combined
15,Abdel Abqar,MAR,DF,Alavés,es La Liga,25-051,1999,22,1907,87,64.2,21.2,1.04,87,0.90,0.00,,0.19,0.95,0.80,1.08,-0.28,-0.28,-0.20,0.97,1.17,-0.20,-0.20,-0.61,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,2bc7f211,Big 5 combined
16,Tammy Abraham,ENG,FW,Roma,it Serie A,26-211,1997,4,104,26,3.4,1.2,0.83,51,0.00,2.50,18,0.83,1.75,1.67,2.50,-0.83,-0.87,-1.50,1.08,1.75,-0.67,-0.70,-1.05,https://fbref.com/en/players/f586779e/Tammy-Abraham,f586779e,Big 5 combined
17,Francesco Acerbi,ITA,DF,Inter,it Serie A,36-080,1988,27,2208,82,72.2,24.5,0.98,89,0.94,0.12,25,0.08,2.52,2.12,0.65,1.47,+1.47,-1.38,1.98,0.85,1.12,+1.12,-0.66,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,b96b595c,Big 5 combined
18,Joshua Acheampong,ENG,DF,Chelsea,eng Premier League,17-361,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/b7e62e1d/Joshua-Acheampong,b7e62e1d,Big 5 combined
19,Mohamed Achi,FRA,MF,Nantes,fr Ligue 1,22-105,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/1e93fc5d/Mohamed-Achi,1e93fc5d,Big 5 combined
20,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32-185,1991,17,1008,59,33.9,11.2,1.25,68,0.36,0.27,19,0.18,1.24,1.34,1.61,-0.27,-0.27,-0.22,1.12,1.46,-0.34,-0.34,-0.09,https://fbref.com/en/players/81442ecb/Marcos-Acuna,81442ecb,Big 5 combined
21,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21-152,2002,8,387,48,12.3,4.3,0.70,86,0.23,1.16,26,2.56,0.13,0.47,3.02,-2.56,-2.56,-0.86,0.72,2.67,-1.95,-1.96,-1.09,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
22,Bénie Adama Traore,CIV,"FW,MF",Nantes,fr Ligue 1,21-152,2002,11,328,30,11.8,3.6,0.56,68,0.00,2.50,21,0.28,0.91,1.11,2.22,-1.11,-1.10,-0.51,1.06,2.03,-0.97,-0.96,-0.53,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
23,Marius Adamonis,LTU,GK,Lazio,it Serie A,26-353,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/1226f0de/Marius-Adamonis,1226f0de,Big 5 combined
24,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,24-092,2000,29,2077,72,74.4,23.1,1.08,80,0.43,0.17,19,0.04,1.21,1.13,1.21,-0.09,-0.09,+0.17,1.34,1.25,0.09,+0.09,+0.15,https://fbref.com/en/players/2ccd39ed/Akor-Adams,2ccd39ed,Big 5 combined
25,Tyler Adams,USA,MF,Bournemouth,eng Premier League,25-076,1999,2,110,55,3.5,1.2,0.83,90,0.83,0.83,20,1.67,3.00,2.50,0.83,1.67,+1.64,+2.02,1.58,0.83,0.75,+0.74,+0.77,https://fbref.com/en/players/2b09d998/Tyler-Adams,2b09d998,Big 5 combined
26,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22-329,2001,14,102,7,3.7,1.1,0.00,,0.00,12.7,7,10.0,1.50,0.91,4.55,-3.64,-3.53,-3.26,0.82,3.09,-2.27,-2.17,-2.24,https://fbref.com/en/players/82e12fe7/Junior-Adamu,82e12fe7,Big 5 combined
27,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30-343,1993,18,749,42,26.8,8.3,0.84,77,0.12,1.33,19,0.48,0.67,0.96,2.29,-1.33,-1.32,-0.48,1.30,1.87,-0.57,-0.57,+0.45,https://fbref.com/en/players/22919e97/Sargis-Adamyan,22919e97,Big 5 combined
28,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26-219,1997,20,1617,81,51.3,18.0,1.00,90,0.94,0.11,2,0.11,1.40,1.56,1.39,0.17,+0.17,+0.58,1.53,1.56,-0.03,-0.03,+0.46,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Big 5 combined
29,Tayo Adaramola,IRL,DF,Crystal Palace,eng Premier League,20-168,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/c150b220/Tayo-Adaramola,c150b220,Big 5 combined
30,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26-114,1998,24,1175,49,37.3,13.1,0.99,76,0.31,0.84,16,0.00,0.83,1.98,2.14,-0.15,-0.15,+1.08,1.50,1.77,-0.27,-0.28,+1.07,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Big 5 combined
31,Val Adedokun,IRL,FW,Brentford,eng Premier League,21-076,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,https://fbref.com/en/players/1b5344ef/Val-Adedokun,1b5344ef,Big 5 combined
32,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,22-103,2002,19,825,43,29.6,9.2,0.98,64,0.11,1.09,25,0.33,1.63,1.74,1.63,0.11,+0.11,-0.76,1.78,1.82,-0.03,-0.03,-0.48,https://fbref.com/en/players/501055d8/Karim-Adeyemi,501055d8,Big 5 combined
33,Simon Adingra,CIV,FW,Brighton,eng Premier League,22-120,2002,27,1877,70,61.3,20.9,1.00,82,0.43,0.29,26,0.05,1.22,1.48,1.63,-0.14,-0.14,-0.22,1.30,1.50,-0.20,-0.20,-0.48,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,Big 5 combined
34,Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,21-253,2002,13,1092,84,39.1,12.1,0.99,90,0.99,0.08,12,0.00,1.08,1.16,1.82,-0.66,-0.66,+0.19,1.21,1.56,-0.35,-0.35,+0.38,https://fbref.com/en/players/c55de1f5/Nathaniel-Adjei,c55de1f5,Big 5 combined
35,Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23-356,2000,21,814,39,29.2,9.0,0.78,73,0.11,1.56,22,0.33,2.62,2.56,0.89,1.67,+1.66,-0.16,2.24,1.10,1.14,+1.14,-0.11,https://fbref.com/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Big 5 combined
36,Yacine Adli,FRA,MF,Milan,it Serie A,23-276,2000,22,1364,62,44.6,15.2,1.12,74,0.39,0.33,21,0.79,1.95,1.58,1.18,0.39,+0.40,-0.61,1.45,1.06,0.39,+0.39,-0.08,https://fbref.com/en/players/26777636/Yacine-Adli,26777636,Big 5 combined
37,Adrián,ESP,GK,Liverpool,eng Premier League,37-118,1987,0,,,,,0,,0,0,,15,,,,,,,,,,,,https://fbref.com/en/players/f76e6b4e/Adrian,f76e6b4e,Big 5 combined
38,Adryelson,BRA,"DF,FW",Lyon,fr Ligue 1,26-038,1998,2,6,3,0.2,0.1,0.00,,0.00,20.0,3,110.0,1.50,0.00,0.00,0.00,0.00,+0.29,0.00,0.00,0.00,0.00,+0.15,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Big 5 combined
39,Adson,BRA,"MF,FW",Nantes,fr Ligue 1,23-207,2000,8,238,30,8.5,2.6,0.77,61,0.00,2.31,20,0.00,1.00,0.77,2.31,-1.54,-1.51,-0.95,1.27,2.08,-0.81,-0.79,-0.33,https://fbref.com/en/players/eda38706/Adson,eda38706,Big 5 combined
40,Michel Aebischer,SUI,MF,Bologna,it Serie A,27-115,1997,33,1969,60,64.3,21.9,1.05,78,0.50,0.46,17,0.00,1.82,1.10,0.78,0.32,+0.32,-0.92,1.12,0.96,0.16,+0.16,-0.47,https://fbref.com/en/players/f9c927de/Michel-Aebischer,f9c927de,Big 5 combined
41,Loïc Affamah,FRA,FW,Nantes,fr Ligue 1,21-306,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/f1a29ddc/Loic-Affamah,f1a29ddc,Big 5 combined
42,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26-318,1997,29,2326,80,83.4,25.8,1.01,89,0.93,0.12,8,0.04,1.38,1.24,1.43,-0.19,-0.19,+0.19,1.38,1.41,-0.03,-0.03,-0.06,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,75f1ed80,Big 5 combined
43,Julen Agirrezabala,ESP,GK,Athletic Club,es La Liga,23-126,2000,1,90,90,3.0,1.0,1.00,90,1.00,0.00,,32.0,0.00,0.00,2.00,-2.00,-2.00,-2.69,0.30,1.10,-0.80,-0.84,-1.33,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,a2c1a8d3,Big 5 combined
44,Lucien Agoume,FRA,MF,Inter,it Serie A,22-081,2002,1,5,5,0.2,0.1,0.00,,0.00,10.0,5,160.0,3.00,10.0,0.00,10.0,+18.00,+16.17,3.00,0.00,3.00,+5.27,+3.97,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
45,Lucien Agoume,FRA,MF,Sevilla,es La Liga,22-081,2002,7,339,48,11.4,3.8,1.05,69,0.26,0.79,22,0.26,2.00,1.32,1.05,0.26,+0.27,+0.44,1.21,1.53,-0.32,-0.31,-0.03,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
46,Felix Agu,GER,"DF,MF",Werder Bremen,de Bundesliga,24-216,1999,21,1373,65,49.2,15.3,1.05,81,0.20,0.33,14,0.33,1.38,0.98,1.24,-0.26,-0.26,+0.06,1.17,1.57,-0.40,-0.40,-0.17,https://fbref.com/en/players/cb6d81b3/Felix-Agu,cb6d81b3,Big 5 combined
47,Nayef Aguerd,MAR,DF,West Ham,eng Premier League,28-031,1996,21,1857,88,59.0,20.6,1.02,88,0.92,0.00,,0.19,1.19,1.26,2.14,-0.87,-0.87,-1.50,1.21,1.85,-0.64,-0.64,-0.39,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,Big 5 combined
48,Ruben Aguilar,FRA,DF,Lens,fr Ligue 1,31-004,1993,22,1825,83,65.4,20.3,1.03,86,0.79,0.05,10,0.15,1.82,1.53,0.84,0.69,+0.69,+1.44,1.64,1.43,0.20,+0.20,+0.34,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,3dd738a1,Big 5 combined
49,Ruben Aguilar,FRA,"DF,MF",Monaco,fr Ligue 1,31-004,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,3dd738a1,Big 5 combined
50,Brandon Aguilera,CRC,FW,Nott'ham Forest,eng Premier League,20-307,2003,1,5,5,0.2,0.1,0.00,,0.00,10.0,5,30.0,0.00,0.00,0.00,0.00,0.00,+0.52,0.00,0.00,0.00,0.00,+0.09,https://fbref.com/en/players/938fa024/Brandon-Aguilera,938fa024,Big 5 combined
51,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,eng Premier League,22-032,2002,19,279,15,8.9,3.1,0.00,,0.00,6.13,15,4.19,0.74,3.23,4.19,-0.97,-0.97,-0.69,2.39,2.32,0.06,+0.07,+0.31,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,a6c58494,Big 5 combined
52,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,eng Premier League,25-035,1999,29,2470,85,78.4,27.4,0.99,89,0.95,0.07,34,0.00,0.38,0.99,3.03,-2.04,-2.04,-1.11,1.05,2.08,-1.03,-1.03,-0.10,https://fbref.com/en/players/eab957a3/Anel-Ahmedhodzic,eab957a3,Big 5 combined
53,Jean-Eudes Aholou,CIV,MF,Strasbourg,fr Ligue 1,30-041,1994,0,,,,,0,,0,0,,6,,,,,,,,,,,,https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou,48b28bfd,Big 5 combined
54,Joseph Aidoo,GHA,DF,Celta Vigo,es La Liga,28-214,1995,6,407,68,13.7,4.5,0.89,90,0.89,0.44,24,0.67,0.83,0.67,1.33,-0.67,-0.66,-0.31,1.18,1.56,-0.38,-0.38,-0.23,https://fbref.com/en/players/18abe173/Joseph-Aidoo,18abe173,Big 5 combined
55,Ola Aina,NGA,DF,Nott'ham Forest,eng Premier League,27-205,1996,20,1512,76,48.0,16.8,1.07,84,0.42,0.12,5,0.18,0.95,1.31,2.08,-0.77,-0.77,-0.50,1.19,1.48,-0.29,-0.29,-0.37,https://fbref.com/en/players/246d153b/Ola-Aina,246d153b,Big 5 combined
56,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,eng Premier League,22-329,2001,30,2102,70,66.7,23.4,1.11,76,0.38,0.17,30,0.00,1.33,1.50,1.45,0.04,+0.04,+0.73,1.35,1.53,-0.18,-0.18,+0.54,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,9b398aea,Big 5 combined
57,Tosin Aiyegun,BEN,"MF,FW",Lorient,fr Ligue 1,25-309,1998,17,786,46,28.2,8.7,0.92,76,0.23,1.03,20,0.23,0.71,1.26,2.53,-1.26,-1.26,-0.68,0.91,1.51,-0.59,-0.59,-0.01,https://fbref.com/en/players/9c4f39b3/Tosin-Aiyegun,9c4f39b3,Big 5 combined
58,Kristoffer Ajer,NOR,DF,Brentford,eng Premier League,26-013,1998,26,1726,66,54.8,19.2,0.99,87,0.68,0.36,11,0.05,1.08,1.46,1.72,-0.26,-0.26,-0.07,1.64,1.51,0.13,+0.13,-0.02,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,a8c0acb7,Big 5 combined
59,Ludovic Ajorque,FRA,FW,Mainz 05,de Bundesliga,30-065,1994,24,1272,53,45.6,14.1,0.99,81,0.64,0.71,14,0.35,0.96,0.78,1.77,-0.99,-0.99,-0.81,1.38,1.41,-0.04,-0.04,+0.13,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,462475ed,Big 5 combined
60,Manuel Akanji,SUI,"DF,MF",Manchester City,eng Premier League,28-286,1995,26,2171,84,70.9,24.1,1.00,89,0.91,0.08,23,0.17,2.31,2.41,0.87,1.54,+1.53,+0.42,1.91,1.00,0.92,+0.91,-0.54,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,89ac64a6,Big 5 combined
61,Marley Aké,FRA,FW,Udinese,it Serie A,23-116,2001,1,10,10,0.3,0.1,0.00,,0.00,10.0,10,140.0,1.00,0.00,0.00,0.00,0.00,+0.56,0.00,5.00,-5.00,-4.40,-4.08,https://fbref.com/en/players/414e1f69/Marley-Ake,414e1f69,Big 5 combined
62,Nathan Aké,NED,DF,Manchester City,eng Premier League,29-072,1995,26,1933,74,63.2,21.5,1.02,86,0.88,0.19,10,0.23,2.31,2.33,0.88,1.44,+1.44,+0.09,1.88,0.97,0.91,+0.91,-0.45,https://fbref.com/en/players/eaeca114/Nathan-Ake,eaeca114,Big 5 combined
63,Ilias Akhomach,MAR,"MF,FW",Villarreal,es La Liga,20-014,2004,26,1310,50,44.1,14.6,0.96,73,0.14,0.82,24,0.41,1.42,1.58,1.71,-0.14,-0.14,-0.19,1.52,1.61,-0.09,-0.09,-0.08,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,b8bd60fe,Big 5 combined
64,Sergio Akieme,ESP,DF,Almería,es La Liga,26-136,1997,19,1675,88,56.4,18.6,1.02,88,0.97,0.00,,0.05,0.32,0.91,1.94,-1.02,-1.02,+0.09,1.33,1.77,-0.45,-0.45,-0.23,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
65,Sergio Akieme,ESP,DF,Reims,fr Ligue 1,26-136,1997,10,548,55,19.6,6.1,0.82,77,0.00,0.82,33,0.33,0.70,0.98,0.82,0.16,+0.16,+0.49,1.23,1.31,-0.08,-0.08,-0.07,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,06efa9dc,Big 5 combined
66,Ebenezer Akinsanmiro,NGA,MF,Inter,it Serie A,19-157,2004,1,15,15,0.5,0.2,0.00,,0.00,5.00,15,20.0,3.00,0.00,0.00,0.00,0.00,-1.86,1.50,0.00,1.50,+1.76,+0.45,https://fbref.com/en/players/3ad34015/Ebenezer-Akinsanmiro,3ad34015,Big 5 combined
67,Maghnes Akliouche,FRA,"MF,FW",Monaco,fr Ligue 1,22-065,2002,26,1439,55,51.6,16.0,1.00,77,0.19,0.63,20,0.19,1.85,1.63,1.00,0.63,+0.63,+0.16,1.68,1.17,0.51,+0.51,+0.57,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,b625b241,Big 5 combined
68,Paul Akouokou,CIV,MF,Betis,es La Liga,26-132,1997,2,27,14,0.9,0.3,0.00,,0.00,6.67,14,3.33,1.50,3.33,3.33,0.00,0.00,-0.06,1.67,2.33,-0.67,-0.54,-0.35,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
69,Paul Akouokou,CIV,MF,Lyon,fr Ligue 1,26-132,1997,8,307,38,11.0,3.4,1.18,56,0.00,1.18,21,2.06,0.88,0.29,1.47,-1.18,-1.17,-0.99,1.41,1.71,-0.29,-0.28,-0.14,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,31f5b89b,Big 5 combined
70,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,it Serie A,31-202,1992,17,658,39,21.5,7.3,1.10,67,0.14,1.23,13,1.78,1.47,0.96,1.23,-0.27,-0.27,-0.05,0.68,1.89,-1.21,-1.20,-1.01,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,fdf4b948,Big 5 combined
71,David Akpan Ankeye,NGA,FW,Genoa,it Serie A,22-076,2002,4,53,13,1.8,0.6,0.00,,0.00,6.67,13,5.00,1.25,0.00,0.00,0.00,0.00,+0.15,,,,,,https://fbref.com/en/players/8c4b95af/David-Akpan-Ankeye,8c4b95af,Big 5 combined
72,Kevin Akpoguma,NGA,DF,Hoffenheim,de Bundesliga,29-011,1995,14,827,59,29.6,9.2,0.87,84,0.65,0.65,26,1.20,1.14,1.63,1.96,-0.33,-0.33,-0.10,1.47,1.86,-0.39,-0.39,-0.06,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,6ec6fde0,Big 5 combined
73,David Alaba,AUT,DF,Real Madrid,es La Liga,31-311,1992,14,1154,82,38.9,12.8,1.09,82,0.94,0.00,,0.08,2.36,1.80,0.78,1.02,+1.01,-0.77,1.64,1.01,0.63,+0.63,-0.49,https://fbref.com/en/players/05439de2/David-Alaba,05439de2,Big 5 combined
74,Sofiane Alakouch,MAR,"DF,MF",Metz,fr Ligue 1,25-276,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/5314e067/Sofiane-Alakouch,5314e067,Big 5 combined
75,Luis Alberto,ESP,MF,Lazio,it Serie A,31-215,1992,31,2228,72,72.8,24.8,1.13,78,0.52,0.12,18,0.00,1.58,1.25,1.01,0.24,+0.24,+0.03,1.16,1.09,0.06,+0.06,-0.34,https://fbref.com/en/players/5294a83f/Luis-Alberto,5294a83f,Big 5 combined
76,Raúl Albiol,ESP,DF,Villarreal,es La Liga,38-239,1985,24,1896,79,63.8,21.1,1.09,81,0.81,0.05,24,0.09,1.21,1.37,1.56,-0.19,-0.19,-0.44,1.36,1.57,-0.21,-0.21,-0.45,https://fbref.com/en/players/4bd414c1/Raul-Albiol,4bd414c1,Big 5 combined
77,Thiago Alcántara,ESP,MF,Liverpool,eng Premier League,33-019,1991,1,6,6,0.2,0.1,0.00,,0.00,10.0,6,0.00,0.00,0.00,10.0,-10.00,-15.00,-16.20,0.00,0.00,0.00,-0.62,-1.69,https://fbref.com/en/players/77e84962/Thiago-Alcantara,77e84962,Big 5 combined
78,Carlos Alcaraz,ARG,MF,Juventus,it Serie A,21-152,2002,7,239,34,7.8,2.7,0.74,67,0.00,1.85,21,0.74,1.29,1.11,1.48,-0.37,-0.38,-1.08,1.41,1.78,-0.37,-0.37,-1.17,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,4abac767,Big 5 combined
79,Rubén Alcaraz,ESP,MF,Cádiz,es La Liga,32-365,1991,31,2684,87,90.4,29.8,1.04,87,0.81,0.00,,0.00,0.81,0.77,1.31,-0.54,-0.54,+1.67,0.93,1.30,-0.37,-0.37,+0.86,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,036bba5f,Big 5 combined
80,Omar Alderete,PAR,DF,Getafe,es La Liga,27-126,1996,26,1790,69,60.3,19.9,1.01,82,0.80,0.30,24,0.15,1.26,1.26,1.31,-0.05,-0.05,+0.18,1.20,1.50,-0.30,-0.30,-0.08,https://fbref.com/en/players/bb08bce9/Omar-Alderete,bb08bce9,Big 5 combined
81,Iván Alejo,ESP,MF,Cádiz,es La Liga,29-080,1995,27,1647,61,55.5,18.3,1.15,71,0.16,0.33,25,0.16,0.89,0.71,1.37,-0.66,-0.66,+0.09,0.90,1.28,-0.38,-0.38,+0.16,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo,3d7e48ce,Big 5 combined
82,Carles Aleñá,ESP,"MF,FW",Getafe,es La Liga,26-116,1998,24,894,37,30.1,9.9,0.91,59,0.00,1.52,24,0.51,1.32,1.21,1.82,-0.61,-0.60,-0.69,1.34,1.63,-0.27,-0.28,-0.01,https://fbref.com/en/players/6c811eb7/Carles-Alena,6c811eb7,Big 5 combined
83,Filippo Alessio,ITA,FW,Roma,it Serie A,19-128,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/21c9da64/Filippo-Alessio,21c9da64,Big 5 combined
84,Trent Alexander-Arnold,ENG,DF,Liverpool,eng Premier League,25-206,1998,25,1905,76,60.5,21.2,1.04,83,0.57,0.14,28,0.00,1.96,2.08,1.08,0.99,+0.99,-0.45,2.14,1.12,1.02,+1.03,-0.11,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,cd1acf9d,Big 5 combined
85,Aboubacar Ali,FRA,"MF,FW",Strasbourg,fr Ligue 1,18-028,2006,6,48,8,1.7,0.5,0.00,,0.00,12.0,8,4.00,1.50,2.00,2.00,0.00,0.00,+0.33,1.80,1.40,0.40,+0.40,+0.45,https://fbref.com/en/players/133d2aa5/Aboubacar-Ali,133d2aa5,Big 5 combined
86,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,es La Liga,20-102,2004,11,249,23,8.4,2.8,0.36,90,0.36,3.57,16,2.14,1.73,1.79,2.50,-0.71,-0.72,-1.15,1.86,1.43,0.43,+0.43,+0.23,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,f8405304,Big 5 combined
