Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Team,Championship,Player_Team
Quaresma,BRA,DF,27,3,191.0,64.0,14.1,2.1,2,79.0,0,1,33.0,0,1.67,4.0,5.0,-1.0,-0.47,-0.7,1.7,0.9,0.8,0.38,0.29,Arouca,Brasileiro,Quaresma (Arouca)
Matí­as Rocha,URU,DF,22,3,53.0,18.0,3.9,0.6,2,26.0,0,1,1.0,6,0.67,0.0,3.0,-3.0,-5.09,-5.44,0.3,3.0,-2.6,-4.48,-4.8,Arouca,Brasileiro,Matí­as Rocha (Arouca)
Jerome Opoku,GHA,DF,25,2,135.0,68.0,10.0,1.5,1,90.0,1,1,45.0,0,2.0,5.0,4.0,1.0,0.67,0.59,1.1,0.9,0.2,0.14,0.01,Arouca,Brasileiro,Jerome Opoku (Arouca)
Vitinho,BRA,"FW,MF",23,3,79.0,26.0,5.9,0.9,1,45.0,0,2,17.0,2,1.33,1.0,0.0,1.0,1.14,1.07,0.8,1.6,-0.8,-0.88,-1.07,Arouca,Brasileiro,Vitinho (Arouca)
Miguel Puche García,ESP,"FW,MF",22,12,185.0,15.0,13.7,2.1,0,0.0,0,12,15.0,3,0.75,4.0,5.0,-1.0,-0.49,-0.72,3.3,2.8,0.4,0.21,0.09,Arouca,Brasileiro,Miguel Puche García (Arouca)
André Bukia,COD,"MF,FW",28,8,120.0,15.0,8.9,1.3,0,0.0,0,8,15.0,3,1.38,3.0,1.0,2.0,1.5,1.5,3.0,1.9,1.1,0.8,0.74,Arouca,Brasileiro,André Bukia (Arouca)
Moses Yaw,GHA,"DF,MF",24,2,63.0,32.0,4.7,0.7,0,0.0,0,2,32.0,6,0.5,0.0,2.0,-2.0,-2.86,-3.14,1.0,2.2,-1.2,-1.69,-1.91,Arouca,Brasileiro,Moses Yaw (Arouca)
Benji Michel,USA,"FW,MF",26,4,27.0,7.0,2.0,0.3,0,0.0,0,4,7.0,2,1.5,1.0,0.0,1.0,3.33,3.27,0.7,0.1,0.6,2.09,1.99,Arouca,Brasileiro,Benji Michel (Arouca)
Yusuf Lawal,NGA,"FW,MF",25,4,26.0,7.0,1.9,0.3,0,0.0,0,4,7.0,8,0.75,1.0,2.0,-1.0,-3.46,-3.67,0.8,0.3,0.6,1.88,1.78,Arouca,Brasileiro,Yusuf Lawal (Arouca)
Mosquito,BRA,GK,27,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Mosquito (Arouca)
Pedro Manuel da Silva Moreira,POR,MF,34,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Pedro Manuel da Silva Moreira (Arouca)
João Valido,POR,GK,23,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,João Valido (Arouca)
Fredrik Aursnes,NOR,"DF,MF",28,15,1333.0,89.0,98.7,14.8,15,89.0,14,0,0.0,0,2.4,26.0,10.0,16.0,1.08,-9.51,32.7,14.4,18.3,1.23,-1.1,Benfica,Brasileiro,Fredrik Aursnes (Benfica)
Rafa Silva,POR,MF,30,15,1321.0,88.0,97.9,14.7,15,88.0,9,0,0.0,0,2.4,27.0,7.0,20.0,1.36,7.57,32.8,12.7,20.1,1.37,5.66,Benfica,Brasileiro,Rafa Silva (Benfica)
António Silva,POR,DF,20,14,1259.0,90.0,93.3,14.0,14,90.0,13,0,0.0,1,2.36,25.0,9.0,16.0,1.14,-0.83,31.3,13.2,18.1,1.29,0.68,Benfica,Brasileiro,António Silva (Benfica)
Nicolás Otamendi,ARG,DF,35,14,1252.0,89.0,92.7,13.9,14,89.0,13,0,0.0,0,2.36,25.0,10.0,15.0,1.08,-1.68,31.5,13.8,17.7,1.27,0.38,Benfica,Brasileiro,Nicolás Otamendi (Benfica)
João Mário,POR,"FW,MF",30,14,1075.0,77.0,79.6,11.9,13,82.0,4,1,5.0,1,2.57,19.0,5.0,14.0,1.17,-0.14,25.2,9.9,15.3,1.28,0.17,Benfica,Brasileiro,João Mário (Benfica)
João Neves,POR,MF,19,15,1039.0,69.0,77.0,11.5,12,80.0,8,3,28.0,0,2.4,21.0,7.0,14.0,1.21,0.06,23.9,11.6,12.4,1.07,-0.76,Benfica,Brasileiro,João Neves (Benfica)
Anatolii Trubin,UKR,GK,22,11,990.0,90.0,73.3,11.0,11,90.0,11,0,0.0,3,2.45,17.0,5.0,12.0,1.09,-0.41,22.6,9.6,13.0,1.18,-0.24,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Ángel Di María,ARG,FW,35,12,939.0,78.0,69.6,10.4,11,83.0,6,1,27.0,0,2.25,18.0,6.0,12.0,1.15,-0.16,24.4,8.4,15.9,1.52,0.91,Benfica,Brasileiro,Ángel Di María (Benfica)
Orkun Kökçü,TUR,MF,23,11,834.0,76.0,61.8,9.3,10,79.0,3,1,45.0,0,2.36,18.0,4.0,14.0,1.51,0.81,22.4,7.5,14.9,1.61,0.95,Benfica,Brasileiro,Orkun Kökçü (Benfica)
Morato,BRA,DF,22,9,672.0,75.0,49.8,7.5,7,90.0,6,2,23.0,6,2.22,13.0,6.0,7.0,0.94,-0.52,16.5,7.4,9.0,1.21,-0.07,Benfica,Brasileiro,Morato (Benfica)
Florentino Luís,POR,MF,24,12,598.0,50.0,44.3,6.6,7,73.0,1,5,17.0,3,2.42,12.0,6.0,6.0,0.9,-0.53,12.6,6.7,5.9,0.89,-0.64,Benfica,Brasileiro,Florentino Luís (Benfica)
Alexander Bah,DEN,DF,26,7,559.0,80.0,41.4,6.2,7,80.0,5,0,0.0,0,2.57,16.0,6.0,10.0,1.61,0.7,15.0,6.4,8.6,1.39,0.24,Benfica,Brasileiro,Alexander Bah (Benfica)
Petar Musa,CRO,FW,25,12,499.0,42.0,37.0,5.5,6,65.0,0,6,18.0,1,2.58,14.0,3.0,11.0,1.98,1.24,12.0,5.7,6.3,1.13,-0.18,Benfica,Brasileiro,Petar Musa (Benfica)
Arthur,BRA,FW,25,12,456.0,38.0,33.8,5.1,4,70.0,0,8,22.0,2,2.5,10.0,1.0,9.0,1.78,0.87,10.5,3.3,7.3,1.43,0.28,Benfica,Brasileiro,Arthur (Benfica)
David Neres,BRA,FW,26,9,414.0,46.0,30.7,4.6,4,82.0,2,5,17.0,0,2.44,9.0,5.0,4.0,0.87,-0.48,9.2,6.6,2.6,0.56,-0.99,Benfica,Brasileiro,David Neres (Benfica)
Casper Tengstedt,DEN,FW,23,11,369.0,34.0,27.3,4.1,4,66.0,0,7,15.0,3,2.45,7.0,4.0,3.0,0.73,-0.64,11.8,3.6,8.1,1.99,1.02,Benfica,Brasileiro,Casper Tengstedt (Benfica)
Samuel Soares,POR,GK,21,3,270.0,90.0,20.0,3.0,3,90.0,3,0,0.0,12,3.0,9.0,2.0,7.0,2.33,1.42,8.6,2.8,5.9,1.96,0.89,Benfica,Brasileiro,Samuel Soares (Benfica)
David Jurásek,CZE,DF,23,6,259.0,43.0,19.2,2.9,2,83.0,0,4,24.0,3,2.17,5.0,4.0,1.0,0.35,-1.05,4.8,3.5,1.3,0.45,-0.99,Benfica,Brasileiro,David Jurásek (Benfica)
Chiquinho,POR,MF,28,8,189.0,24.0,14.0,2.1,1,90.0,1,7,14.0,7,2.13,2.0,3.0,-1.0,-0.48,-1.95,4.2,3.4,0.8,0.4,-0.99,Benfica,Brasileiro,Chiquinho (Benfica)
Gonçalo Guedes,POR,"FW,MF",27,8,120.0,15.0,8.9,1.3,1,45.0,0,7,11.0,0,2.25,6.0,0.0,6.0,4.5,3.62,4.9,0.8,4.0,3.01,1.94,Benfica,Brasileiro,Gonçalo Guedes (Benfica)
Tomás Araújo,POR,"DF,MF",21,3,93.0,31.0,6.9,1.0,1,87.0,0,2,3.0,11,3.0,2.0,0.0,2.0,1.94,0.79,1.4,0.8,0.6,0.59,-0.71,Benfica,Brasileiro,Tomás Araújo (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1,90.0,90.0,6.7,1.0,1,90.0,1,0,0.0,0,0.0,2.0,3.0,-1.0,-1.0,-2.36,2.0,2.1,-0.2,-0.18,-1.53,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
Juan Bernat,ESP,DF,30,2,77.0,39.0,5.7,0.9,1,63.0,0,1,14.0,0,2.0,2.0,0.0,2.0,2.34,1.21,1.6,1.3,0.4,0.42,-0.87,Benfica,Brasileiro,Juan Bernat (Benfica)
Tiago Gouveia,POR,FW,22,1,69.0,69.0,5.1,0.8,1,69.0,0,0,0.0,9,3.0,1.0,0.0,1.0,1.3,0.11,1.1,0.5,0.6,0.78,-0.5,Benfica,Brasileiro,Tiago Gouveia (Benfica)
João Victor,BRA,DF,25,2,29.0,15.0,2.1,0.3,0,0.0,0,2,15.0,4,2.0,0.0,0.0,0.0,0.0,-1.23,0.5,0.6,-0.1,-0.26,-1.54,Benfica,Brasileiro,João Victor (Benfica)
Gustavo Marques,BRA,DF,22,1,3.0,3.0,0.2,0.0,0,0.0,0,1,3.0,0,3.0,1.0,0.0,1.0,30.0,28.86,0.3,0.0,0.3,8.25,7.02,Benfica,Brasileiro,Gustavo Marques (Benfica)
Mihailo Ristić,SRB,DF,28,1,1.0,1.0,0.1,0.0,0,0.0,0,1,1.0,2,0.0,0.0,1.0,-1.0,-90.0,-91.27,0.1,0.6,-0.5,-44.4,-45.68,Benfica,Brasileiro,Mihailo Ristić (Benfica)
Andreas Schjelderup,NOR,FW,19,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Andreas Schjelderup (Benfica)
Hugo Sequeira,POR,MF,19,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Hugo Sequeira (Benfica)
Gerson Sousa,POR,MF,21,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Gerson Sousa (Benfica)
João Gonçalves,POR,GK,23,14,1260.0,90.0,100.0,14.0,14,90.0,14,0,0.0,0,1.14,21.0,28.0,-7.0,-0.5,0.0,17.2,22.0,-4.9,-0.35,0.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Róbert Boženík,SVK,FW,24,14,1203.0,86.0,95.5,13.4,14,86.0,7,0,0.0,0,1.14,20.0,26.0,-6.0,-0.45,1.13,16.3,20.0,-3.7,-0.28,1.57,Boavista,Brasileiro,Róbert Boženík (Boavista)
Salvador Agra,POR,"DF,FW",32,14,1129.0,81.0,89.6,12.5,14,81.0,5,0,0.0,0,1.14,17.0,26.0,-9.0,-0.72,-2.09,12.8,19.5,-6.7,-0.53,-1.78,Boavista,Brasileiro,Salvador Agra (Boavista)
Gaius Makouta,CGO,MF,26,14,1114.0,80.0,88.4,12.4,14,80.0,7,0,0.0,0,1.14,18.0,24.0,-6.0,-0.48,0.13,14.3,18.3,-4.0,-0.32,0.23,Boavista,Brasileiro,Gaius Makouta (Boavista)
Chidozie Awaziem,NGA,DF,26,13,1170.0,90.0,92.9,13.0,13,90.0,13,0,0.0,0,1.23,20.0,25.0,-5.0,-0.38,1.62,16.4,21.4,-5.0,-0.39,-0.52,Boavista,Brasileiro,Chidozie Awaziem (Boavista)
Sebastián Pérez Cardona,COL,MF,30,13,1019.0,78.0,80.9,11.3,13,78.0,6,0,0.0,0,1.15,18.0,20.0,-2.0,-0.18,1.69,13.5,15.6,-2.0,-0.18,0.89,Boavista,Brasileiro,Sebastián Pérez Cardona (Boavista)
Bruno Onyemaechi,NGA,DF,24,12,1036.0,86.0,82.2,11.5,12,86.0,10,0,0.0,0,1.08,18.0,23.0,-5.0,-0.43,0.37,14.9,18.7,-3.8,-0.33,0.11,Boavista,Brasileiro,Bruno Onyemaechi (Boavista)
Tiago Fonseca Morais,POR,FW,20,12,949.0,79.0,75.3,10.5,12,79.0,3,0,0.0,0,1.25,15.0,18.0,-3.0,-0.28,0.87,13.4,18.0,-4.5,-0.43,-0.33,Boavista,Brasileiro,Tiago Fonseca Morais (Boavista)
Rodrigo Abascal,URU,DF,29,11,962.0,87.0,76.3,10.7,11,87.0,10,0,0.0,0,1.09,14.0,21.0,-7.0,-0.65,-0.65,11.1,17.1,-6.0,-0.56,-0.9,Boavista,Brasileiro,Rodrigo Abascal (Boavista)
Miguel Reisinho,POR,MF,24,12,882.0,74.0,70.0,9.8,11,78.0,4,1,24.0,0,1.33,15.0,15.0,0.0,0.0,1.67,11.8,15.6,-3.8,-0.39,-0.13,Boavista,Brasileiro,Miguel Reisinho (Boavista)
Pedro Malheiro,POR,DF,22,7,572.0,82.0,45.4,6.4,7,82.0,6,0,0.0,1,2.0,16.0,9.0,7.0,1.1,2.93,11.3,6.1,5.2,0.82,2.13,Boavista,Brasileiro,Pedro Malheiro (Boavista)
Filipe Ferreira,POR,DF,33,8,566.0,71.0,44.9,6.3,6,84.0,3,2,32.0,5,1.25,11.0,13.0,-2.0,-0.32,0.33,8.3,7.8,0.4,0.07,0.76,Boavista,Brasileiro,Filipe Ferreira (Boavista)
Bruno Lourenço,POR,"FW,MF",25,12,528.0,44.0,41.9,5.9,6,66.0,0,6,23.0,1,1.08,6.0,14.0,-8.0,-1.36,-1.49,5.6,10.5,-4.9,-0.84,-0.85,Boavista,Brasileiro,Bruno Lourenço (Boavista)
Masaki Watai,JPN,"FW,MF",24,7,241.0,34.0,19.1,2.7,3,63.0,0,4,13.0,7,1.14,2.0,5.0,-3.0,-1.12,-0.77,2.6,5.8,-3.2,-1.2,-1.05,Boavista,Brasileiro,Masaki Watai (Boavista)
Ilija Vukotić,MNE,MF,24,11,324.0,29.0,25.7,3.6,2,75.0,0,9,19.0,3,1.36,8.0,9.0,-1.0,-0.28,0.3,5.4,5.2,0.1,0.04,0.52,Boavista,Brasileiro,Ilija Vukotić (Boavista)
Martim Tavares,POR,"FW,MF",20,7,132.0,19.0,10.5,1.5,1,45.0,0,6,15.0,5,0.43,2.0,9.0,-7.0,-4.77,-4.77,1.4,3.2,-1.8,-1.25,-1.01,Boavista,Brasileiro,Martim Tavares (Boavista)
Ibrahima Camará,GUI,MF,24,5,120.0,24.0,9.5,1.3,1,59.0,0,4,15.0,2,0.8,0.0,2.0,-2.0,-1.5,-1.11,0.8,1.5,-0.7,-0.52,-0.19,Boavista,Brasileiro,Ibrahima Camará (Boavista)
Berna,POR,"FW,DF",20,12,217.0,18.0,17.2,2.4,0,0.0,0,12,18.0,2,1.0,4.0,7.0,-3.0,-1.24,-0.9,4.6,3.9,0.7,0.29,0.77,Boavista,Brasileiro,Berna (Boavista)
Luís Santos,POR,"DF,FW",23,7,192.0,27.0,15.2,2.1,0,0.0,0,7,27.0,2,0.71,1.0,5.0,-4.0,-1.87,-1.62,1.3,4.5,-3.1,-1.47,-1.32,Boavista,Brasileiro,Luís Santos (Boavista)
Jeriel Córdova,VEN,"FW,MF",21,9,119.0,13.0,9.4,1.3,0,0.0,0,9,13.0,5,1.44,3.0,3.0,0.0,0.0,0.55,3.3,2.4,0.9,0.7,1.15,Boavista,Brasileiro,Jeriel Córdova (Boavista)
Joel silva,POR,"MF,FW",20,2,49.0,25.0,3.9,0.5,0,0.0,0,2,25.0,8,2.0,1.0,2.0,-1.0,-1.84,-1.39,1.0,1.3,-0.3,-0.58,-0.24,Boavista,Brasileiro,Joel silva (Boavista)
Vincent Sasso,FRA,MF,32,1,1.0,1.0,0.1,0.0,0,0.0,0,1,1.0,5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.35,Boavista,Brasileiro,Vincent Sasso (Boavista)
Gonçalo Almeida,POR,DF,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Gonçalo Almeida (Boavista)
Tiago Machado,POR,FW,19,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Tiago Machado (Boavista)
Luis Pires,BRA,GK,19,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Luis Pires (Boavista)
Tomé,POR,GK,17,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Tomé (Boavista)
Matheus,BRA,GK,31,14,1260.0,90.0,100.0,14.0,14,90.0,14,0,0.0,0,2.07,36.0,21.0,15.0,1.07,0.0,30.1,20.3,9.8,0.7,0.0,Braga,Brasileiro,Matheus (Braga)
Ricardo Horta,POR,"FW,MF",29,12,1042.0,87.0,82.7,11.6,12,87.0,8,0,0.0,0,1.92,29.0,18.0,11.0,0.95,-0.7,24.3,16.7,7.6,0.66,-0.24,Braga,Brasileiro,Ricardo Horta (Braga)
Simon Banza,COD,FW,27,14,985.0,70.0,78.2,10.9,11,84.0,8,3,22.0,0,2.07,31.0,15.0,16.0,1.46,1.79,27.2,16.8,10.4,0.95,1.15,Braga,Brasileiro,Simon Banza (Braga)
Cristian Borja,COL,DF,30,12,927.0,77.0,73.6,10.3,11,80.0,7,1,45.0,1,2.08,27.0,15.0,12.0,1.17,0.35,25.1,12.8,12.3,1.19,1.86,Braga,Brasileiro,Cristian Borja (Braga)
Álvaro djaló,ESP,"FW,MF",24,14,914.0,65.0,72.5,10.2,11,74.0,1,3,32.0,0,2.07,24.0,17.0,7.0,0.69,-1.39,22.1,14.7,7.4,0.73,0.1,Braga,Brasileiro,Álvaro djaló (Braga)
Victor Gomez,ESP,DF,23,11,801.0,73.0,63.6,8.9,11,73.0,5,0,0.0,0,2.0,19.0,12.0,7.0,0.79,-0.78,17.3,10.9,6.4,0.72,0.07,Braga,Brasileiro,Victor Gomez (Braga)
José Fonte,POR,DF,40,10,888.0,89.0,70.5,9.9,9,89.0,8,1,85.0,4,2.2,25.0,14.0,11.0,1.11,0.15,20.1,14.9,5.2,0.52,-0.6,Braga,Brasileiro,José Fonte (Braga)
Bruma,POR,FW,29,12,777.0,65.0,61.7,8.6,9,79.0,3,3,23.0,1,2.08,19.0,12.0,7.0,0.81,-0.68,15.3,12.6,2.7,0.31,-1.02,Braga,Brasileiro,Bruma (Braga)
Almoatasem Al Musrati,LBY,MF,27,9,689.0,77.0,54.7,7.7,8,82.0,5,1,34.0,0,2.11,21.0,12.0,9.0,1.18,0.23,18.0,12.3,5.7,0.75,0.11,Braga,Brasileiro,Almoatasem Al Musrati (Braga)
Serdar Saatçı,TUR,DF,20,8,684.0,86.0,54.3,7.6,8,86.0,7,0,0.0,4,2.0,20.0,12.0,8.0,1.05,-0.04,19.6,11.5,8.2,1.07,0.81,Braga,Brasileiro,Serdar Saatçı (Braga)
Rodrigo Zalazar,URU,MF,24,12,611.0,51.0,48.5,6.8,8,62.0,0,4,28.0,2,1.92,15.0,12.0,3.0,0.44,-1.22,15.3,12.3,3.0,0.44,-0.51,Braga,Brasileiro,Rodrigo Zalazar (Braga)
Sikou Niakaté,MLI,DF,24,7,540.0,77.0,42.9,6.0,6,84.0,5,1,36.0,2,2.0,14.0,7.0,7.0,1.17,0.17,13.0,6.1,7.0,1.16,0.81,Braga,Brasileiro,Sikou Niakaté (Braga)
Vitor Carvalho,BRA,MF,26,11,507.0,46.0,40.2,5.6,6,71.0,2,5,17.0,3,2.09,17.0,8.0,9.0,1.6,0.88,9.7,6.9,2.8,0.49,-0.35,Braga,Brasileiro,Vitor Carvalho (Braga)
Pizzi,POR,"MF,FW",34,12,473.0,39.0,37.5,5.3,6,60.0,0,6,19.0,2,2.42,16.0,6.0,10.0,1.9,1.33,13.3,7.9,5.4,1.02,0.52,Braga,Brasileiro,Pizzi (Braga)
Paulo Oliveira,POR,DF,31,5,450.0,90.0,35.7,5.0,5,90.0,5,0,0.0,1,1.8,14.0,9.0,5.0,1.0,-0.11,10.1,7.8,2.3,0.47,-0.36,Braga,Brasileiro,Paulo Oliveira (Braga)
Abel Ruiz,ESP,"FW,MF",23,11,553.0,50.0,43.9,6.1,4,85.0,2,7,30.0,2,1.82,14.0,11.0,3.0,0.49,-1.04,10.7,10.5,0.1,0.02,-1.21,Braga,Brasileiro,Abel Ruiz (Braga)
André Horta,POR,MF,27,11,446.0,41.0,35.4,5.0,4,60.0,0,7,30.0,2,2.09,12.0,6.0,6.0,1.21,0.22,8.7,5.8,2.9,0.58,-0.19,Braga,Brasileiro,André Horta (Braga)
João Moutinho,POR,MF,37,11,427.0,39.0,33.9,4.7,4,75.0,2,7,18.0,1,2.09,13.0,7.0,6.0,1.26,0.29,11.2,6.3,4.9,1.04,0.52,Braga,Brasileiro,João Moutinho (Braga)
Adrián Marín,ESP,DF,26,7,306.0,44.0,24.3,3.4,3,75.0,2,4,20.0,6,2.29,8.0,4.0,4.0,1.18,0.14,5.0,4.5,0.5,0.14,-0.74,Braga,Brasileiro,Adrián Marín (Braga)
Joe Mendes,SWE,DF,20,5,282.0,56.0,22.4,3.1,3,75.0,1,2,29.0,4,2.0,7.0,6.0,1.0,0.32,-0.97,6.5,5.1,1.4,0.45,-0.32,Braga,Brasileiro,Joe Mendes (Braga)
Rony Lopes,POR,"FW,DF",28,9,164.0,18.0,13.0,1.8,1,63.0,0,8,13.0,3,1.89,7.0,3.0,4.0,2.2,1.29,4.7,3.6,1.1,0.62,-0.09,Braga,Brasileiro,Rony Lopes (Braga)
Roger Fernandes,GNB,"DF,FW",18,3,58.0,19.0,4.6,0.6,0,0.0,0,3,19.0,0,3.0,4.0,0.0,4.0,6.21,5.38,2.2,0.3,1.9,2.94,2.35,Braga,Brasileiro,Roger Fernandes (Braga)
André Castro,POR,MF,35,2,40.0,20.0,3.2,0.4,0,0.0,0,2,20.0,4,1.5,1.0,2.0,-1.0,-2.25,-3.43,1.2,0.4,0.8,1.73,1.07,Braga,Brasileiro,André Castro (Braga)
Diogo Fonseca,POR,DF,21,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Braga,Brasileiro,Diogo Fonseca (Braga)
