Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
António Filipe de Carvalho,POR,GK,38,3,3,270,3.0,3,1.0,10,7,70.0,2,0,1,2,66.7,0,0,0,0,0.0,Estrela,Brasileiro,António Filipe de Carvalho (Estrela)
Cambila,ANG,GK,21,1,0,17,0.2,3,15.88,6,2,50.0,0,0,0,0,0.0,1,0,1,0,100.0,Estrela,Brasileiro,Cambila (Estrela)
Luiz Lúcio Reis Júnior,BRA,GK,22,15,15,1350,15.0,18,1.2,66,48,72.7,4,6,5,4,26.7,2,0,1,1,100.0,Famalicão,Brasileiro,Luiz Lúcio Reis Júnior (Famalicão)
Ricardo Velho,POR,GK,25,14,14,1260,14.0,18,1.29,80,63,82.5,5,3,6,4,28.6,4,4,0,0,0.0,Farense,Brasileiro,Ricardo Velho (Farense)
Andrew,BRA,GK,22,12,12,1080,12.0,23,1.92,62,40,67.7,3,2,7,2,16.7,3,3,0,0,0.0,Gil Vicente FC,Brasileiro,Andrew (Gil Vicente FC)
Vinicius Dias,BRA,GK,26,2,2,180,2.0,6,3.0,11,5,45.5,0,1,1,0,0.0,0,0,0,0,0.0,Gil Vicente FC,Brasileiro,Vinicius Dias (Gil Vicente FC)
Kewin,BRA,GK,28,15,15,1350,15.0,13,0.87,55,43,78.2,7,5,3,8,53.3,1,1,0,0,0.0,Moreirense,Brasileiro,Kewin (Moreirense)
Vinicius Silvestre,BRA,GK,29,12,12,1080,12.0,30,2.5,71,44,62.0,4,1,7,1,8.3,3,3,0,0,0.0,Portimonense,Brasileiro,Vinicius Silvestre (Portimonense)
Kosuke Nakamura,JPN,GK,28,2,2,180,2.0,2,1.0,5,3,60.0,0,2,0,0,0.0,0,0,0,0,0.0,Portimonense,Brasileiro,Kosuke Nakamura (Portimonense)
Diogo Costa,POR,GK,24,15,15,1350,15.0,11,0.73,38,26,76.3,11,1,3,5,33.3,3,2,1,0,33.3,Porto,Brasileiro,Diogo Costa (Porto)
Jhonatan,BRA,GK,32,8,8,720,8.0,12,1.5,32,21,65.6,1,4,3,1,12.5,1,1,0,0,0.0,Rio Ave,Brasileiro,Jhonatan (Rio Ave)
Magrão,BRA,GK,23,7,7,630,7.0,12,1.71,31,19,64.5,1,2,4,1,14.3,1,1,0,0,0.0,Rio Ave,Brasileiro,Magrão (Rio Ave)
Antonio Adán,ESP,GK,36,14,14,1260,14.0,15,1.07,40,25,67.5,11,1,2,5,35.7,2,2,0,0,0.0,Sporting CP,Brasileiro,Antonio Adán (Sporting CP)
Bruno Varela,CPV,GK,29,15,15,1350,15.0,17,1.13,59,42,76.3,9,2,4,5,33.3,4,3,1,0,25.0,Vitória,Brasileiro,Bruno Varela (Vitória)
Fabijan Buntić,CRO,GK,26,15,15,1350,15.0,22,1.47,56,34,66.1,2,6,7,5,33.3,3,3,0,0,0.0,Vizela,Brasileiro,Fabijan Buntić (Vizela)
