Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Bogdan Milovanov,UKR,"DF,MF",25,6.3,0,1,0,0.0,0.16,0.0,0.0,0.0,13.9,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Arouca,Brasileiro,Bogdan Milovanov (Arouca)
Pedro Santos,POR,MF,23,2.6,1,1,1,100.0,0.39,0.39,1.0,1.0,7.8,0.0,0,0,0.3,0.3,0.27,0.7,0.7,Arouca,Brasileiro,Pedro Santos (Arouca)
Oriol Busquets,ESP,MF,24,2.5,0,1,0,0.0,0.4,0.0,0.0,0.0,29.5,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Arouca,Brasileiro,Oriol Busquets (Arouca)
Quaresma,BRA,DF,27,2.1,0,2,0,0.0,0.94,0.0,0.0,0.0,27.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Arouca,Brasileiro,Quaresma (Arouca)
Matí­as Rocha,URU,DF,22,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Matí­as Rocha (Arouca)
Jerome Opoku,GHA,DF,25,1.5,0,1,0,0.0,0.67,0.0,0.0,0.0,11.0,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Arouca,Brasileiro,Jerome Opoku (Arouca)
Vitinho,BRA,"FW,MF",23,0.9,0,3,0,0.0,3.42,0.0,0.0,0.0,22.3,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Arouca,Brasileiro,Vitinho (Arouca)
Miguel Puche García,ESP,"FW,MF",22,2.1,0,6,4,66.7,2.92,1.95,0.0,0.0,31.6,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Arouca,Brasileiro,Miguel Puche García (Arouca)
André Bukia,COD,"MF,FW",28,1.3,1,5,1,20.0,3.75,0.75,0.2,1.0,19.3,1.0,0,0,0.6,0.6,0.12,0.4,0.4,Arouca,Brasileiro,André Bukia (Arouca)
Moses Yaw,GHA,"DF,MF",24,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Moses Yaw (Arouca)
Benji Michel,USA,"FW,MF",26,0.3,0,1,0,0.0,3.33,0.0,0.0,0.0,10.4,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Arouca,Brasileiro,Benji Michel (Arouca)
Yusuf Lawal,NGA,"FW,MF",25,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Yusuf Lawal (Arouca)
Fredrik Aursnes,NOR,"DF,MF",28,14.8,2,13,4,30.8,0.88,0.27,0.15,0.5,15.9,0.0,0,0,1.6,1.6,0.12,0.4,0.4,Benfica,Brasileiro,Fredrik Aursnes (Benfica)
Rafa Silva,POR,MF,30,14.7,5,46,17,37.0,3.13,1.16,0.11,0.29,13.0,0.0,0,0,8.1,8.1,0.18,-3.1,-3.1,Benfica,Brasileiro,Rafa Silva (Benfica)
António Silva,POR,DF,20,14.0,1,6,2,33.3,0.43,0.14,0.17,0.5,7.0,0.0,0,0,1.1,1.1,0.19,-0.1,-0.1,Benfica,Brasileiro,António Silva (Benfica)
Nicolás Otamendi,ARG,DF,35,13.9,0,15,4,26.7,1.08,0.29,0.0,0.0,13.8,0.0,0,0,1.5,1.5,0.1,-1.5,-1.5,Benfica,Brasileiro,Nicolás Otamendi (Benfica)
João Mário,POR,"FW,MF",30,11.9,2,21,11,52.4,1.76,0.92,0.05,0.09,18.4,0.0,1,1,3.2,2.4,0.11,-1.2,-1.4,Benfica,Brasileiro,João Mário (Benfica)
João Neves,POR,MF,19,11.5,1,12,4,33.3,1.04,0.35,0.08,0.25,18.6,0.0,0,0,0.8,0.8,0.06,0.2,0.2,Benfica,Brasileiro,João Neves (Benfica)
Anatolii Trubin,UKR,GK,22,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Ángel Di María,ARG,FW,35,10.4,5,45,15,33.3,4.31,1.44,0.09,0.27,22.2,6.0,1,1,4.8,4.0,0.09,0.2,0.0,Benfica,Brasileiro,Ángel Di María (Benfica)
Orkun Kökçü,TUR,MF,23,9.3,1,17,7,41.2,1.83,0.76,0.06,0.14,24.3,4.0,0,0,1.0,1.0,0.06,0.0,0.0,Benfica,Brasileiro,Orkun Kökçü (Benfica)
Morato,BRA,DF,22,7.5,0,5,1,20.0,0.67,0.13,0.0,0.0,11.3,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,Benfica,Brasileiro,Morato (Benfica)
Florentino Luís,POR,MF,24,6.6,0,4,1,25.0,0.6,0.15,0.0,0.0,8.9,0.0,0,0,1.0,1.0,0.25,-1.0,-1.0,Benfica,Brasileiro,Florentino Luís (Benfica)
Alexander Bah,DEN,DF,26,6.2,1,4,3,75.0,0.64,0.48,0.25,0.33,24.4,0.0,0,0,0.5,0.5,0.12,0.5,0.5,Benfica,Brasileiro,Alexander Bah (Benfica)
Petar Musa,CRO,FW,25,5.5,4,24,7,29.2,4.33,1.26,0.17,0.57,14.3,0.0,0,0,3.6,3.6,0.15,0.4,0.4,Benfica,Brasileiro,Petar Musa (Benfica)
Arthur,BRA,FW,25,5.1,1,16,8,50.0,3.16,1.58,0.06,0.13,15.6,0.0,0,0,2.3,2.3,0.14,-1.3,-1.3,Benfica,Brasileiro,Arthur (Benfica)
David Neres,BRA,FW,26,4.6,1,19,6,31.6,4.13,1.3,0.05,0.17,17.5,0.0,0,0,1.5,1.5,0.08,-0.5,-0.5,Benfica,Brasileiro,David Neres (Benfica)
Casper Tengstedt,DEN,FW,23,4.1,3,15,6,40.0,3.66,1.46,0.2,0.5,10.9,0.0,0,0,2.4,2.4,0.16,0.6,0.6,Benfica,Brasileiro,Casper Tengstedt (Benfica)
Samuel Soares,POR,GK,21,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Samuel Soares (Benfica)
David Jurásek,CZE,DF,23,2.9,0,2,0,0.0,0.69,0.0,0.0,0.0,18.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Benfica,Brasileiro,David Jurásek (Benfica)
Chiquinho,POR,MF,28,2.1,0,3,0,0.0,1.43,0.0,0.0,0.0,20.5,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Benfica,Brasileiro,Chiquinho (Benfica)
Gonçalo Guedes,POR,"FW,MF",27,1.3,0,5,1,20.0,3.75,0.75,0.0,0.0,18.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Benfica,Brasileiro,Gonçalo Guedes (Benfica)
Tomás Araújo,POR,"DF,MF",21,1.0,0,1,0,0.0,0.97,0.0,0.0,0.0,10.9,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Benfica,Brasileiro,Tomás Araújo (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
Juan Bernat,ESP,DF,30,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Juan Bernat (Benfica)
Tiago Gouveia,POR,FW,22,0.8,0,2,1,50.0,2.61,1.3,0.0,0.0,15.4,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Benfica,Brasileiro,Tiago Gouveia (Benfica)
João Victor,BRA,DF,25,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,João Victor (Benfica)
Gustavo Marques,BRA,DF,22,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Gustavo Marques (Benfica)
Mihailo Ristić,SRB,DF,28,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Mihailo Ristić (Benfica)
João Gonçalves,POR,GK,23,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Róbert Boženík,SVK,FW,24,13.4,6,51,17,33.3,3.82,1.27,0.12,0.35,13.9,0.0,0,0,6.1,6.1,0.12,-0.1,-0.1,Boavista,Brasileiro,Róbert Boženík (Boavista)
Salvador Agra,POR,"DF,FW",32,12.5,2,11,4,36.4,0.88,0.32,0.18,0.5,25.1,3.0,0,0,1.3,1.3,0.11,0.7,0.7,Boavista,Brasileiro,Salvador Agra (Boavista)
Gaius Makouta,CGO,MF,26,12.4,0,9,3,33.3,0.73,0.24,0.0,0.0,13.8,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,Boavista,Brasileiro,Gaius Makouta (Boavista)
Chidozie Awaziem,NGA,DF,26,13.0,0,8,2,25.0,0.62,0.15,0.0,0.0,9.8,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7,Boavista,Brasileiro,Chidozie Awaziem (Boavista)
Sebastián Pérez Cardona,COL,MF,30,11.3,0,7,0,0.0,0.62,0.0,0.0,0.0,23.4,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Boavista,Brasileiro,Sebastián Pérez Cardona (Boavista)
Bruno Onyemaechi,NGA,DF,24,11.5,0,7,2,28.6,0.61,0.17,0.0,0.0,16.4,0.0,0,0,1.1,1.1,0.16,-1.1,-1.1,Boavista,Brasileiro,Bruno Onyemaechi (Boavista)
Tiago Fonseca Morais,POR,FW,20,10.5,5,14,9,64.3,1.33,0.85,0.29,0.44,17.3,0.0,1,1,2.5,1.7,0.16,2.5,2.3,Boavista,Brasileiro,Tiago Fonseca Morais (Boavista)
Rodrigo Abascal,URU,DF,29,10.7,0,2,0,0.0,0.19,0.0,0.0,0.0,7.7,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2,Boavista,Brasileiro,Rodrigo Abascal (Boavista)
Miguel Reisinho,POR,MF,24,9.8,1,10,3,30.0,1.02,0.31,0.1,0.33,18.2,0.0,0,0,0.7,0.7,0.07,0.3,0.3,Boavista,Brasileiro,Miguel Reisinho (Boavista)
Pedro Malheiro,POR,DF,22,6.4,2,4,3,75.0,0.63,0.47,0.5,0.67,19.0,0.0,0,0,0.2,0.2,0.06,1.8,1.8,Boavista,Brasileiro,Pedro Malheiro (Boavista)
Filipe Ferreira,POR,DF,33,6.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Filipe Ferreira (Boavista)
Bruno Lourenço,POR,"FW,MF",25,5.9,1,7,2,28.6,1.19,0.34,0.0,0.0,26.1,0.0,1,1,1.5,0.7,0.1,-0.5,-0.7,Boavista,Brasileiro,Bruno Lourenço (Boavista)
Masaki Watai,JPN,"FW,MF",24,2.7,0,2,0,0.0,0.75,0.0,0.0,0.0,26.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Boavista,Brasileiro,Masaki Watai (Boavista)
Ilija Vukotić,MNE,MF,24,3.6,1,2,1,50.0,0.56,0.28,0.5,1.0,23.4,0.0,0,0,0.2,0.2,0.09,0.8,0.8,Boavista,Brasileiro,Ilija Vukotić (Boavista)
Martim Tavares,POR,"FW,MF",20,1.5,1,6,5,83.3,4.09,3.41,0.17,0.2,19.6,0.0,0,0,0.8,0.8,0.14,0.2,0.2,Boavista,Brasileiro,Martim Tavares (Boavista)
Ibrahima Camará,GUI,MF,24,1.3,0,1,0,0.0,0.75,0.0,0.0,0.0,31.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Boavista,Brasileiro,Ibrahima Camará (Boavista)
Berna,POR,"FW,DF",20,2.4,0,3,0,0.0,1.24,0.0,0.0,0.0,30.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Boavista,Brasileiro,Berna (Boavista)
Luís Santos,POR,"DF,FW",23,2.1,0,3,1,33.3,1.41,0.47,0.0,0.0,25.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Boavista,Brasileiro,Luís Santos (Boavista)
Jeriel Córdova,VEN,"FW,MF",21,1.3,0,3,0,0.0,2.27,0.0,0.0,0.0,9.4,0.0,0,0,0.8,0.8,0.25,-0.8,-0.8,Boavista,Brasileiro,Jeriel Córdova (Boavista)
Joel silva,POR,"MF,FW",20,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Joel silva (Boavista)
Vincent Sasso,FRA,MF,32,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Vincent Sasso (Boavista)
Matheus,BRA,GK,31,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Braga,Brasileiro,Matheus (Braga)
Ricardo Horta,POR,"FW,MF",29,11.6,7,39,16,41.0,3.37,1.38,0.18,0.44,17.0,3.0,0,0,4.2,4.2,0.11,2.8,2.8,Braga,Brasileiro,Ricardo Horta (Braga)
Simon Banza,COD,FW,27,10.9,13,44,21,47.7,4.02,1.92,0.27,0.57,11.6,0.0,1,1,9.8,9.1,0.21,3.2,2.9,Braga,Brasileiro,Simon Banza (Braga)
Cristian Borja,COL,DF,30,10.3,0,1,0,0.0,0.1,0.0,0.0,0.0,8.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Braga,Brasileiro,Cristian Borja (Braga)
Álvaro djaló,ESP,"FW,MF",24,10.2,5,37,17,45.9,3.64,1.67,0.14,0.29,18.2,6.0,0,0,4.9,4.9,0.13,0.1,0.1,Braga,Brasileiro,Álvaro djaló (Braga)
Victor Gomez,ESP,DF,23,8.9,0,4,2,50.0,0.45,0.22,0.0,0.0,19.0,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Braga,Brasileiro,Victor Gomez (Braga)
José Fonte,POR,DF,40,9.9,0,5,1,20.0,0.51,0.1,0.0,0.0,13.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Braga,Brasileiro,José Fonte (Braga)
Bruma,POR,FW,29,8.6,2,27,7,25.9,3.13,0.81,0.07,0.29,17.6,0.0,0,0,2.8,2.8,0.1,-0.8,-0.8,Braga,Brasileiro,Bruma (Braga)
Almoatasem Al Musrati,LBY,MF,27,7.7,3,17,4,23.5,2.22,0.52,0.06,0.25,18.0,0.0,2,2,2.4,0.8,0.05,0.6,0.2,Braga,Brasileiro,Almoatasem Al Musrati (Braga)
Serdar Saatçı,TUR,DF,20,7.6,0,5,1,20.0,0.66,0.13,0.0,0.0,14.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Braga,Brasileiro,Serdar Saatçı (Braga)
Rodrigo Zalazar,URU,MF,24,6.8,0,11,1,9.1,1.62,0.15,0.0,0.0,20.3,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Braga,Brasileiro,Rodrigo Zalazar (Braga)
Sikou Niakaté,MLI,DF,24,6.0,0,3,0,0.0,0.5,0.0,0.0,0.0,10.1,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3,Braga,Brasileiro,Sikou Niakaté (Braga)
Vitor Carvalho,BRA,MF,26,5.6,0,6,1,16.7,1.07,0.18,0.0,0.0,15.1,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Braga,Brasileiro,Vitor Carvalho (Braga)
Pizzi,POR,"MF,FW",34,5.3,1,10,3,30.0,1.9,0.57,0.1,0.33,18.3,0.0,0,0,1.0,1.0,0.11,0.0,0.0,Braga,Brasileiro,Pizzi (Braga)
Paulo Oliveira,POR,DF,31,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Braga,Brasileiro,Paulo Oliveira (Braga)
Abel Ruiz,ESP,"FW,MF",23,6.1,1,16,5,31.3,2.6,0.81,0.06,0.2,14.7,0.0,0,0,2.1,2.1,0.13,-1.1,-1.1,Braga,Brasileiro,Abel Ruiz (Braga)
André Horta,POR,MF,27,5.0,2,11,4,36.4,2.22,0.81,0.18,0.5,25.1,1.0,0,0,0.4,0.4,0.04,1.6,1.6,Braga,Brasileiro,André Horta (Braga)
João Moutinho,POR,MF,37,4.7,0,2,0,0.0,0.42,0.0,0.0,0.0,27.9,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Braga,Brasileiro,João Moutinho (Braga)
Adrián Marín,ESP,DF,26,3.4,0,2,0,0.0,0.59,0.0,0.0,0.0,13.9,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Braga,Brasileiro,Adrián Marín (Braga)
Joe Mendes,SWE,DF,20,3.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Braga,Brasileiro,Joe Mendes (Braga)
Rony Lopes,POR,"FW,DF",28,1.8,1,9,3,33.3,4.94,1.65,0.11,0.33,16.2,0.0,0,0,0.9,0.9,0.1,0.1,0.1,Braga,Brasileiro,Rony Lopes (Braga)
Roger Fernandes,GNB,"DF,FW",18,0.6,0,3,2,66.7,4.66,3.1,0.0,0.0,20.5,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Braga,Brasileiro,Roger Fernandes (Braga)
André Castro,POR,MF,35,0.4,0,1,0,0.0,2.25,0.0,0.0,0.0,17.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Braga,Brasileiro,André Castro (Braga)
Ricardo Batista,POR,GK,37,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Casa Pia,Brasileiro,Ricardo Batista (Casa Pia)
Nermin Zolotić,BIH,DF,30,13.8,0,3,1,33.3,0.22,0.07,0.0,0.0,12.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Casa Pia,Brasileiro,Nermin Zolotić (Casa Pia)
Leonardo Lelo,POR,"MF,DF",23,13.7,0,6,0,0.0,0.44,0.0,0.0,0.0,21.8,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Casa Pia,Brasileiro,Leonardo Lelo (Casa Pia)
Fernando Varela,CPV,DF,36,12.9,0,2,0,0.0,0.16,0.0,0.0,0.0,10.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Casa Pia,Brasileiro,Fernando Varela (Casa Pia)
Yuki Soma,JPN,"FW,MF",26,10.2,0,10,4,40.0,0.98,0.39,0.0,0.0,20.4,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Casa Pia,Brasileiro,Yuki Soma (Casa Pia)
Larra,ESP,"MF,DF",26,9.7,1,7,2,28.6,0.72,0.21,0.14,0.5,24.4,1.0,0,0,0.2,0.2,0.03,0.8,0.8,Casa Pia,Brasileiro,Larra (Casa Pia)
Clayton,BRA,FW,24,9.7,5,39,12,30.8,4.03,1.24,0.13,0.42,17.0,0.0,0,0,3.6,3.6,0.09,1.4,1.4,Casa Pia,Brasileiro,Clayton (Casa Pia)
Vasco Fernandes,POR,DF,37,10.0,0,2,0,0.0,0.2,0.0,0.0,0.0,9.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Casa Pia,Brasileiro,Vasco Fernandes (Casa Pia)
Neto,BRA,MF,32,8.9,0,9,3,33.3,1.01,0.34,0.0,0.0,30.2,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,Casa Pia,Brasileiro,Neto (Casa Pia)
Pablo Roberto,BRA,MF,24,8.9,2,17,6,35.3,1.91,0.67,0.12,0.33,25.3,0.0,0,0,0.7,0.7,0.04,1.3,1.3,Casa Pia,Brasileiro,Pablo Roberto (Casa Pia)
Beni,ANG,MF,21,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,26.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Casa Pia,Brasileiro,Beni (Casa Pia)
Felippe Cardoso,BRA,FW,25,5.7,1,14,3,21.4,2.47,0.53,0.07,0.33,15.0,0.0,0,1,2.3,1.5,0.11,-1.3,-0.5,Casa Pia,Brasileiro,Felippe Cardoso (Casa Pia)
João Nunes,POR,DF,28,4.1,0,1,0,0.0,0.24,0.0,0.0,0.0,14.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Casa Pia,Brasileiro,João Nunes (Casa Pia)
Saviour Godwin,NGA,"FW,MF",27,3.8,1,11,4,36.4,2.88,1.05,0.0,0.0,19.9,0.0,1,1,1.4,0.6,0.05,-0.4,-0.6,Casa Pia,Brasileiro,Saviour Godwin (Casa Pia)
Samuel Justo,POR,MF,19,3.8,1,3,1,33.3,0.78,0.26,0.33,1.0,23.3,0.0,0,0,0.5,0.5,0.18,0.5,0.5,Casa Pia,Brasileiro,Samuel Justo (Casa Pia)
Tiago Dias,POR,"MF,FW",25,3.8,1,5,3,60.0,1.33,0.8,0.2,0.33,24.9,0.0,0,0,0.2,0.2,0.03,0.8,0.8,Casa Pia,Brasileiro,Tiago Dias (Casa Pia)
Fernando,BRA,FW,30,4.1,1,9,3,33.3,2.21,0.74,0.0,0.0,18.1,0.0,1,1,1.2,0.4,0.05,-0.2,-0.4,Casa Pia,Brasileiro,Fernando (Casa Pia)
Jajá,BRA,FW,22,3.9,0,7,3,42.9,1.81,0.77,0.0,0.0,17.6,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Casa Pia,Brasileiro,Jajá (Casa Pia)
André Geraldes,POR,"MF,DF",32,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Casa Pia,Brasileiro,André Geraldes (Casa Pia)
Artur Serobyan,ARM,MF,20,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Casa Pia,Brasileiro,Artur Serobyan (Casa Pia)
Telasco Segovia,VEN,MF,20,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Casa Pia,Brasileiro,Telasco Segovia (Casa Pia)
Rafael Martins,BRA,MF,34,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Casa Pia,Brasileiro,Rafael Martins (Casa Pia)
Duplexe Tchamba,CMR,"DF,FW",25,0.1,0,1,0,0.0,9.0,0.0,0.0,0.0,11.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Casa Pia,Brasileiro,Duplexe Tchamba (Casa Pia)
Diogo Pinto,POR,MF,24,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Casa Pia,Brasileiro,Diogo Pinto (Casa Pia)
Héctor,ESP,FW,28,14.3,8,34,14,41.2,2.37,0.98,0.18,0.43,11.9,0.0,2,2,6.6,5.0,0.15,1.4,1.0,Chaves,Brasileiro,Héctor (Chaves)
Kelechi Nwakali,NGA,MF,25,11.9,0,17,3,17.6,1.43,0.25,0.0,0.0,30.4,6.0,0,0,0.5,0.5,0.03,-0.5,-0.5,Chaves,Brasileiro,Kelechi Nwakali (Chaves)
Bruno Langa,MOZ,"DF,MF",26,11.6,1,11,2,18.2,0.95,0.17,0.09,0.5,26.4,0.0,0,0,0.3,0.3,0.02,0.7,0.7,Chaves,Brasileiro,Bruno Langa (Chaves)
Bruno Rodrigues,POR,DF,22,11.2,0,5,2,40.0,0.45,0.18,0.0,0.0,14.2,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Chaves,Brasileiro,Bruno Rodrigues (Chaves)
Hugo Souza,BRA,GK,24,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Chaves,Brasileiro,Hugo Souza (Chaves)
