Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Team,Championship,Player_Team
Weverson,BRA,"DF,MF",23,6.9,257.0,342.0,75.1,4288.0,1235.0,142.0,153.0,92.8,87.0,108.0,80.6,25.0,58.0,43.1,1,1.2,0.9,-0.2,8.0,20.0,8.0,6.0,20.0,Arouca,Brasileiro,Weverson (Arouca)
Rafael Fernandes,POR,DF,21,7.4,347.0,382.0,90.8,6267.0,2343.0,133.0,139.0,95.7,186.0,195.0,95.4,27.0,39.0,69.2,0,0.1,0.1,-0.1,2.0,24.0,0.0,0.0,26.0,Arouca,Brasileiro,Rafael Fernandes (Arouca)
Alfonso Trezza,URU,"FW,MF",24,6.8,127.0,194.0,65.5,2025.0,657.0,66.0,81.0,81.5,46.0,66.0,69.7,9.0,24.0,37.5,0,0.3,0.3,-0.3,6.0,15.0,2.0,0.0,18.0,Arouca,Brasileiro,Alfonso Trezza (Arouca)
Bogdan Milovanov,UKR,"DF,MF",25,6.3,230.0,333.0,69.1,4186.0,1293.0,100.0,124.0,80.6,104.0,136.0,76.5,23.0,57.0,40.4,0,0.2,0.4,-0.2,2.0,19.0,5.0,5.0,21.0,Arouca,Brasileiro,Bogdan Milovanov (Arouca)
Pedro Santos,POR,MF,23,2.6,202.0,229.0,88.2,3831.0,1017.0,79.0,86.0,91.9,91.0,97.0,93.8,29.0,40.0,72.5,0,0.1,0.2,-0.1,3.0,29.0,2.0,0.0,31.0,Arouca,Brasileiro,Pedro Santos (Arouca)
Oriol Busquets,ESP,MF,24,2.5,114.0,127.0,89.8,1870.0,444.0,46.0,48.0,95.8,52.0,57.0,91.2,10.0,15.0,66.7,0,0.0,0.1,0.0,0.0,10.0,1.0,0.0,8.0,Arouca,Brasileiro,Oriol Busquets (Arouca)
Quaresma,BRA,DF,27,2.1,71.0,97.0,73.2,1230.0,439.0,33.0,38.0,86.8,27.0,34.0,79.4,8.0,16.0,50.0,1,0.6,0.1,0.4,3.0,5.0,3.0,2.0,7.0,Arouca,Brasileiro,Quaresma (Arouca)
Matí­as Rocha,URU,DF,22,0.6,27.0,35.0,77.1,452.0,179.0,10.0,12.0,83.3,17.0,18.0,94.4,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arouca,Brasileiro,Matí­as Rocha (Arouca)
Jerome Opoku,GHA,DF,25,1.5,37.0,48.0,77.1,705.0,207.0,15.0,16.0,93.8,16.0,16.0,100.0,5.0,10.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Arouca,Brasileiro,Jerome Opoku (Arouca)
Vitinho,BRA,"FW,MF",23,0.9,31.0,42.0,73.8,537.0,134.0,15.0,19.0,78.9,12.0,14.0,85.7,3.0,6.0,50.0,0,0.0,0.2,0.0,1.0,5.0,0.0,0.0,5.0,Arouca,Brasileiro,Vitinho (Arouca)
Miguel Puche García,ESP,"FW,MF",22,2.1,50.0,65.0,76.9,678.0,90.0,27.0,30.0,90.0,18.0,23.0,78.3,1.0,5.0,20.0,0,0.4,0.2,-0.4,5.0,2.0,2.0,0.0,4.0,Arouca,Brasileiro,Miguel Puche García (Arouca)
André Bukia,COD,"MF,FW",28,1.3,48.0,71.0,67.6,740.0,240.0,24.0,29.0,82.8,15.0,21.0,71.4,5.0,12.0,41.7,1,0.4,0.5,0.6,4.0,5.0,5.0,4.0,11.0,Arouca,Brasileiro,André Bukia (Arouca)
Moses Yaw,GHA,"DF,MF",24,0.7,32.0,39.0,82.1,598.0,306.0,13.0,13.0,100.0,12.0,16.0,75.0,5.0,7.0,71.4,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,Arouca,Brasileiro,Moses Yaw (Arouca)
Benji Michel,USA,"FW,MF",26,0.3,7.0,13.0,53.8,113.0,32.0,5.0,8.0,62.5,1.0,3.0,33.3,1.0,1.0,100.0,0,0.1,0.0,-0.1,1.0,3.0,0.0,0.0,3.0,Arouca,Brasileiro,Benji Michel (Arouca)
Yusuf Lawal,NGA,"FW,MF",25,0.3,10.0,13.0,76.9,173.0,54.0,4.0,4.0,100.0,5.0,6.0,83.3,1.0,1.0,100.0,0,0.1,0.1,-0.1,3.0,0.0,1.0,1.0,2.0,Arouca,Brasileiro,Yusuf Lawal (Arouca)
Fredrik Aursnes,NOR,"DF,MF",28,14.8,827.0,1023.0,80.8,13231.0,4654.0,417.0,461.0,90.5,342.0,407.0,84.0,48.0,94.0,51.1,4,4.0,3.5,0.0,23.0,64.0,29.0,5.0,99.0,Benfica,Brasileiro,Fredrik Aursnes (Benfica)
Rafa Silva,POR,MF,30,14.7,482.0,590.0,81.7,6608.0,1697.0,290.0,326.0,89.0,148.0,169.0,87.6,20.0,31.0,64.5,6,5.9,4.6,0.1,36.0,41.0,38.0,1.0,102.0,Benfica,Brasileiro,Rafa Silva (Benfica)
António Silva,POR,DF,20,14.0,771.0,832.0,92.7,14163.0,5150.0,274.0,290.0,94.5,419.0,433.0,96.8,66.0,89.0,74.2,0,0.0,0.7,0.0,1.0,66.0,3.0,0.0,67.0,Benfica,Brasileiro,António Silva (Benfica)
Nicolás Otamendi,ARG,DF,35,13.9,796.0,890.0,89.4,15643.0,6100.0,271.0,291.0,93.1,423.0,449.0,94.2,90.0,122.0,73.8,0,1.2,0.8,-1.2,9.0,77.0,1.0,0.0,74.0,Benfica,Brasileiro,Nicolás Otamendi (Benfica)
João Mário,POR,"FW,MF",30,11.9,582.0,699.0,83.3,7914.0,1927.0,357.0,391.0,91.3,179.0,215.0,83.3,18.0,42.0,42.9,0,1.1,2.2,-1.1,18.0,52.0,21.0,1.0,77.0,Benfica,Brasileiro,João Mário (Benfica)
João Neves,POR,MF,19,11.5,820.0,938.0,87.4,14301.0,4057.0,412.0,449.0,91.8,300.0,336.0,89.3,93.0,124.0,75.0,1,0.9,1.4,0.1,9.0,73.0,11.0,6.0,71.0,Benfica,Brasileiro,João Neves (Benfica)
Anatolii Trubin,UKR,GK,22,11.0,245.0,301.0,81.4,5579.0,4156.0,76.0,76.0,100.0,123.0,127.0,96.9,46.0,96.0,47.9,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Ángel Di María,ARG,FW,35,10.4,431.0,606.0,71.1,7482.0,2638.0,222.0,262.0,84.7,140.0,191.0,73.3,55.0,106.0,51.9,1,3.1,4.6,-2.1,33.0,47.0,43.0,12.0,77.0,Benfica,Brasileiro,Ángel Di María (Benfica)
Orkun Kökçü,TUR,MF,23,9.3,600.0,718.0,83.6,11317.0,3806.0,258.0,288.0,89.6,238.0,270.0,88.1,88.0,125.0,70.4,2,2.6,1.5,-0.6,22.0,102.0,17.0,2.0,114.0,Benfica,Brasileiro,Orkun Kökçü (Benfica)
Morato,BRA,DF,22,7.5,316.0,390.0,81.0,5576.0,2057.0,149.0,164.0,90.9,136.0,158.0,86.1,26.0,48.0,54.2,1,0.6,0.3,0.4,6.0,23.0,3.0,1.0,32.0,Benfica,Brasileiro,Morato (Benfica)
Florentino Luís,POR,MF,24,6.6,481.0,545.0,88.3,7587.0,2577.0,259.0,280.0,92.5,178.0,196.0,90.8,35.0,39.0,89.7,0,0.2,0.5,-0.2,4.0,56.0,8.0,0.0,51.0,Benfica,Brasileiro,Florentino Luís (Benfica)
Alexander Bah,DEN,DF,26,6.2,336.0,433.0,77.6,5573.0,1742.0,173.0,202.0,85.6,126.0,156.0,80.8,28.0,49.0,57.1,0,0.3,0.3,-0.3,5.0,22.0,7.0,0.0,35.0,Benfica,Brasileiro,Alexander Bah (Benfica)
Petar Musa,CRO,FW,25,5.5,80.0,110.0,72.7,1009.0,275.0,59.0,70.0,84.3,12.0,21.0,57.1,4.0,10.0,40.0,2,1.1,0.5,0.9,5.0,1.0,4.0,0.0,11.0,Benfica,Brasileiro,Petar Musa (Benfica)
Arthur,BRA,FW,25,5.1,66.0,85.0,77.6,780.0,96.0,44.0,53.0,83.0,16.0,21.0,76.2,0.0,0.0,0.0,0,0.1,0.6,-0.1,4.0,2.0,3.0,0.0,7.0,Benfica,Brasileiro,Arthur (Benfica)
David Neres,BRA,FW,26,4.6,217.0,283.0,76.7,3000.0,531.0,134.0,151.0,88.7,73.0,89.0,82.0,5.0,18.0,27.8,3,2.4,2.7,0.6,14.0,15.0,7.0,3.0,24.0,Benfica,Brasileiro,David Neres (Benfica)
Casper Tengstedt,DEN,FW,23,4.1,53.0,77.0,68.8,634.0,118.0,39.0,47.0,83.0,12.0,19.0,63.2,0.0,3.0,0.0,0,0.9,1.1,-0.9,7.0,2.0,3.0,1.0,6.0,Benfica,Brasileiro,Casper Tengstedt (Benfica)
Samuel Soares,POR,GK,21,3.0,69.0,81.0,85.2,1604.0,1172.0,17.0,17.0,100.0,37.0,37.0,100.0,15.0,27.0,55.6,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Benfica,Brasileiro,Samuel Soares (Benfica)
David Jurásek,CZE,DF,23,2.9,149.0,188.0,79.3,2313.0,772.0,70.0,74.0,94.6,72.0,86.0,83.7,5.0,18.0,27.8,0,0.7,1.5,-0.7,7.0,3.0,8.0,4.0,9.0,Benfica,Brasileiro,David Jurásek (Benfica)
Chiquinho,POR,MF,28,2.1,162.0,196.0,82.7,2696.0,977.0,76.0,86.0,88.4,68.0,77.0,88.3,13.0,23.0,56.5,0,0.5,0.4,-0.5,6.0,19.0,3.0,0.0,24.0,Benfica,Brasileiro,Chiquinho (Benfica)
Gonçalo Guedes,POR,"FW,MF",27,1.3,57.0,77.0,74.0,780.0,162.0,37.0,48.0,77.1,17.0,21.0,81.0,2.0,3.0,66.7,0,0.0,0.2,0.0,0.0,1.0,1.0,0.0,5.0,Benfica,Brasileiro,Gonçalo Guedes (Benfica)
Tomás Araújo,POR,"DF,MF",21,1.0,59.0,66.0,89.4,1021.0,542.0,26.0,31.0,83.9,27.0,29.0,93.1,4.0,4.0,100.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,Benfica,Brasileiro,Tomás Araújo (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1.0,16.0,20.0,80.0,421.0,357.0,2.0,2.0,100.0,10.0,10.0,100.0,4.0,8.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
Juan Bernat,ESP,DF,30,0.9,42.0,44.0,95.5,602.0,135.0,24.0,25.0,96.0,18.0,19.0,94.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,Benfica,Brasileiro,Juan Bernat (Benfica)
Tiago Gouveia,POR,FW,22,0.8,24.0,27.0,88.9,317.0,60.0,16.0,16.0,100.0,8.0,10.0,80.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Benfica,Brasileiro,Tiago Gouveia (Benfica)
João Victor,BRA,DF,25,0.3,24.0,28.0,85.7,387.0,100.0,12.0,14.0,85.7,9.0,11.0,81.8,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Benfica,Brasileiro,João Victor (Benfica)
Gustavo Marques,BRA,DF,22,0.0,3.0,3.0,100.0,50.0,44.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Gustavo Marques (Benfica)
Mihailo Ristić,SRB,DF,28,0.0,10.0,13.0,76.9,160.0,78.0,7.0,8.0,87.5,2.0,3.0,66.7,1.0,2.0,50.0,0,0.1,0.2,-0.1,3.0,0.0,2.0,1.0,2.0,Benfica,Brasileiro,Mihailo Ristić (Benfica)
João Gonçalves,POR,GK,23,14.0,251.0,366.0,68.6,6453.0,4476.0,58.0,58.0,100.0,128.0,131.0,97.7,64.0,174.0,36.8,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Róbert Boženík,SVK,FW,24,13.4,131.0,183.0,71.6,2291.0,357.0,57.0,71.0,80.3,50.0,68.0,73.5,18.0,24.0,75.0,2,2.6,1.5,-0.6,11.0,11.0,3.0,3.0,12.0,Boavista,Brasileiro,Róbert Boženík (Boavista)
Salvador Agra,POR,"DF,FW",32,12.5,470.0,610.0,77.0,8212.0,2808.0,207.0,229.0,90.4,209.0,254.0,82.3,46.0,100.0,46.0,1,1.5,2.2,-0.5,22.0,23.0,18.0,10.0,49.0,Boavista,Brasileiro,Salvador Agra (Boavista)
Gaius Makouta,CGO,MF,26,12.4,424.0,527.0,80.5,6420.0,1520.0,248.0,288.0,86.1,146.0,178.0,82.0,20.0,37.0,54.1,1,0.9,0.8,0.1,10.0,39.0,6.0,1.0,44.0,Boavista,Brasileiro,Gaius Makouta (Boavista)
Chidozie Awaziem,NGA,DF,26,13.0,656.0,779.0,84.2,13433.0,5103.0,204.0,223.0,91.5,370.0,396.0,93.4,79.0,151.0,52.3,0,0.0,0.1,0.0,0.0,27.0,0.0,0.0,35.0,Boavista,Brasileiro,Chidozie Awaziem (Boavista)
Sebastián Pérez Cardona,COL,MF,30,11.3,657.0,769.0,85.4,12063.0,3663.0,267.0,294.0,90.8,306.0,340.0,90.0,70.0,108.0,64.8,0,0.1,0.5,-0.1,6.0,41.0,6.0,1.0,54.0,Boavista,Brasileiro,Sebastián Pérez Cardona (Boavista)
Bruno Onyemaechi,NGA,DF,24,11.5,452.0,648.0,69.8,7481.0,2859.0,228.0,268.0,85.1,177.0,233.0,76.0,35.0,106.0,33.0,1,0.8,1.0,0.2,6.0,25.0,5.0,4.0,30.0,Boavista,Brasileiro,Bruno Onyemaechi (Boavista)
Tiago Fonseca Morais,POR,FW,20,10.5,196.0,293.0,66.9,3345.0,1146.0,87.0,124.0,70.2,80.0,107.0,74.8,20.0,37.0,54.1,0,1.2,0.9,-1.2,12.0,23.0,12.0,3.0,46.0,Boavista,Brasileiro,Tiago Fonseca Morais (Boavista)
Rodrigo Abascal,URU,DF,29,10.7,555.0,666.0,83.3,11953.0,5214.0,176.0,188.0,93.6,277.0,301.0,92.0,99.0,164.0,60.4,0,0.1,0.1,-0.1,1.0,26.0,1.0,0.0,28.0,Boavista,Brasileiro,Rodrigo Abascal (Boavista)
Miguel Reisinho,POR,MF,24,9.8,320.0,388.0,82.5,5419.0,1385.0,175.0,197.0,88.8,98.0,118.0,83.1,39.0,53.0,73.6,1,0.3,0.2,0.7,8.0,30.0,2.0,0.0,27.0,Boavista,Brasileiro,Miguel Reisinho (Boavista)
Pedro Malheiro,POR,DF,22,6.4,294.0,365.0,80.5,4747.0,1470.0,156.0,174.0,89.7,107.0,125.0,85.6,21.0,46.0,45.7,1,1.1,0.4,-0.1,6.0,24.0,5.0,3.0,25.0,Boavista,Brasileiro,Pedro Malheiro (Boavista)
Filipe Ferreira,POR,DF,33,6.3,323.0,400.0,80.8,5794.0,2155.0,133.0,145.0,91.7,153.0,179.0,85.5,30.0,65.0,46.2,1,0.3,0.1,0.7,3.0,13.0,0.0,0.0,9.0,Boavista,Brasileiro,Filipe Ferreira (Boavista)
Bruno Lourenço,POR,"FW,MF",25,5.9,104.0,155.0,67.1,1775.0,490.0,52.0,65.0,80.0,32.0,47.0,68.1,13.0,25.0,52.0,0,0.7,0.3,-0.7,6.0,9.0,1.0,0.0,11.0,Boavista,Brasileiro,Bruno Lourenço (Boavista)
Masaki Watai,JPN,"FW,MF",24,2.7,75.0,88.0,85.2,1291.0,242.0,37.0,40.0,92.5,31.0,34.0,91.2,7.0,9.0,77.8,0,0.0,0.1,0.0,2.0,6.0,2.0,1.0,9.0,Boavista,Brasileiro,Masaki Watai (Boavista)
Ilija Vukotić,MNE,MF,24,3.6,131.0,152.0,86.2,2286.0,514.0,46.0,55.0,83.6,69.0,76.0,90.8,10.0,12.0,83.3,0,0.6,0.5,-0.6,3.0,5.0,5.0,2.0,10.0,Boavista,Brasileiro,Ilija Vukotić (Boavista)
Martim Tavares,POR,"FW,MF",20,1.5,28.0,35.0,80.0,454.0,112.0,13.0,14.0,92.9,9.0,11.0,81.8,3.0,4.0,75.0,1,0.2,0.1,0.8,3.0,1.0,1.0,0.0,1.0,Boavista,Brasileiro,Martim Tavares (Boavista)
Ibrahima Camará,GUI,MF,24,1.3,47.0,62.0,75.8,879.0,273.0,23.0,23.0,100.0,11.0,18.0,61.1,10.0,15.0,66.7,0,0.2,0.1,-0.2,1.0,6.0,1.0,0.0,11.0,Boavista,Brasileiro,Ibrahima Camará (Boavista)
Berna,POR,"FW,DF",20,2.4,97.0,130.0,74.6,1545.0,487.0,48.0,55.0,87.3,42.0,51.0,82.4,7.0,18.0,38.9,0,0.7,0.3,-0.7,4.0,6.0,4.0,2.0,12.0,Boavista,Brasileiro,Berna (Boavista)
Luís Santos,POR,"DF,FW",23,2.1,77.0,101.0,76.2,1080.0,304.0,51.0,58.0,87.9,23.0,31.0,74.2,2.0,9.0,22.2,0,0.1,0.1,-0.1,2.0,4.0,3.0,3.0,8.0,Boavista,Brasileiro,Luís Santos (Boavista)
Jeriel Córdova,VEN,"FW,MF",21,1.3,23.0,31.0,74.2,290.0,30.0,12.0,16.0,75.0,9.0,11.0,81.8,0.0,1.0,0.0,0,0.7,0.1,-0.7,3.0,4.0,0.0,0.0,1.0,Boavista,Brasileiro,Jeriel Córdova (Boavista)
Joel silva,POR,"MF,FW",20,0.5,22.0,29.0,75.9,297.0,82.0,14.0,17.0,82.4,5.0,5.0,100.0,1.0,3.0,33.3,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,Boavista,Brasileiro,Joel silva (Boavista)
Vincent Sasso,FRA,MF,32,0.0,4.0,4.0,100.0,59.0,22.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Vincent Sasso (Boavista)
Matheus,BRA,GK,31,14.0,381.0,507.0,75.1,9931.0,7684.0,86.0,86.0,100.0,193.0,196.0,98.5,101.0,224.0,45.1,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,Braga,Brasileiro,Matheus (Braga)
Ricardo Horta,POR,"FW,MF",29,11.6,433.0,538.0,80.5,6226.0,1786.0,257.0,290.0,88.6,126.0,156.0,80.8,29.0,50.0,58.0,2,3.8,2.7,-1.8,26.0,37.0,27.0,5.0,74.0,Braga,Brasileiro,Ricardo Horta (Braga)
Simon Banza,COD,FW,27,10.9,121.0,172.0,70.3,1714.0,374.0,68.0,94.0,72.3,33.0,44.0,75.0,9.0,11.0,81.8,3,1.6,0.7,1.4,11.0,8.0,6.0,1.0,15.0,Braga,Brasileiro,Simon Banza (Braga)
Cristian Borja,COL,DF,30,10.3,597.0,721.0,82.8,9617.0,3556.0,307.0,334.0,91.9,247.0,284.0,87.0,32.0,69.0,46.4,2,1.5,1.5,0.5,18.0,47.0,22.0,9.0,62.0,Braga,Brasileiro,Cristian Borja (Braga)
Álvaro djaló,ESP,"FW,MF",24,10.2,176.0,263.0,66.9,2632.0,688.0,102.0,119.0,85.7,57.0,88.0,64.8,8.0,22.0,36.4,3,2.6,2.3,0.4,16.0,17.0,12.0,4.0,29.0,Braga,Brasileiro,Álvaro djaló (Braga)
Victor Gomez,ESP,DF,23,8.9,428.0,514.0,83.3,7278.0,2792.0,197.0,224.0,87.9,188.0,213.0,88.3,38.0,62.0,61.3,1,2.2,2.0,-1.2,18.0,45.0,29.0,14.0,64.0,Braga,Brasileiro,Victor Gomez (Braga)
José Fonte,POR,DF,40,9.9,522.0,615.0,84.9,10200.0,3772.0,162.0,183.0,88.5,309.0,335.0,92.2,46.0,83.0,55.4,0,0.0,0.2,0.0,0.0,45.0,4.0,0.0,47.0,Braga,Brasileiro,José Fonte (Braga)
Bruma,POR,FW,29,8.6,312.0,398.0,78.4,4039.0,1078.0,203.0,231.0,87.9,86.0,113.0,76.1,10.0,17.0,58.8,1,0.8,2.0,0.2,14.0,14.0,23.0,2.0,48.0,Braga,Brasileiro,Bruma (Braga)
Almoatasem Al Musrati,LBY,MF,27,7.7,450.0,530.0,84.9,9421.0,2829.0,162.0,183.0,88.5,196.0,217.0,90.3,85.0,116.0,73.3,0,0.3,1.1,-0.3,5.0,70.0,6.0,1.0,70.0,Braga,Brasileiro,Almoatasem Al Musrati (Braga)
Serdar Saatçı,TUR,DF,20,7.6,438.0,496.0,88.3,7743.0,2914.0,175.0,190.0,92.1,235.0,245.0,95.9,24.0,52.0,46.2,2,0.4,0.1,1.6,5.0,15.0,0.0,0.0,14.0,Braga,Brasileiro,Serdar Saatçı (Braga)
Rodrigo Zalazar,URU,MF,24,6.8,379.0,462.0,82.0,7212.0,2196.0,157.0,175.0,89.7,157.0,180.0,87.2,55.0,87.0,63.2,1,2.7,3.0,-1.7,19.0,52.0,19.0,4.0,62.0,Braga,Brasileiro,Rodrigo Zalazar (Braga)
Sikou Niakaté,MLI,DF,24,6.0,273.0,341.0,80.1,5133.0,2032.0,99.0,111.0,89.2,138.0,153.0,90.2,29.0,66.0,43.9,0,0.2,0.9,-0.2,3.0,18.0,0.0,0.0,15.0,Braga,Brasileiro,Sikou Niakaté (Braga)
Vitor Carvalho,BRA,MF,26,5.6,276.0,326.0,84.7,4833.0,1223.0,114.0,131.0,87.0,128.0,143.0,89.5,26.0,40.0,65.0,0,0.0,0.3,0.0,1.0,34.0,3.0,0.0,25.0,Braga,Brasileiro,Vitor Carvalho (Braga)
Pizzi,POR,"MF,FW",34,5.3,279.0,324.0,86.1,4149.0,1100.0,153.0,167.0,91.6,87.0,98.0,88.8,23.0,31.0,74.2,3,1.9,1.5,1.1,14.0,18.0,14.0,1.0,43.0,Braga,Brasileiro,Pizzi (Braga)
Paulo Oliveira,POR,DF,31,5.0,293.0,351.0,83.5,5556.0,2339.0,102.0,111.0,91.9,158.0,176.0,89.8,30.0,57.0,52.6,1,0.1,0.2,0.9,1.0,21.0,1.0,0.0,19.0,Braga,Brasileiro,Paulo Oliveira (Braga)
Abel Ruiz,ESP,"FW,MF",23,6.1,119.0,144.0,82.6,1422.0,184.0,79.0,89.0,88.8,26.0,33.0,78.8,4.0,5.0,80.0,1,0.6,0.6,0.4,10.0,3.0,1.0,0.0,6.0,Braga,Brasileiro,Abel Ruiz (Braga)
André Horta,POR,MF,27,5.0,392.0,460.0,85.2,6894.0,1953.0,185.0,193.0,95.9,162.0,184.0,88.0,38.0,70.0,54.3,1,0.8,0.9,0.2,10.0,62.0,12.0,2.0,69.0,Braga,Brasileiro,André Horta (Braga)
João Moutinho,POR,MF,37,4.7,357.0,421.0,84.8,6133.0,1853.0,162.0,177.0,91.5,151.0,169.0,89.3,34.0,54.0,63.0,0,0.5,0.6,-0.5,11.0,47.0,8.0,1.0,48.0,Braga,Brasileiro,João Moutinho (Braga)
Adrián Marín,ESP,DF,26,3.4,159.0,209.0,76.1,2539.0,1242.0,88.0,103.0,85.4,58.0,69.0,84.1,9.0,25.0,36.0,0,0.3,0.2,-0.3,3.0,23.0,3.0,0.0,19.0,Braga,Brasileiro,Adrián Marín (Braga)
Joe Mendes,SWE,DF,20,3.1,114.0,155.0,73.5,1737.0,541.0,66.0,76.0,86.8,33.0,47.0,70.2,10.0,24.0,41.7,1,0.7,0.1,0.3,2.0,11.0,1.0,1.0,11.0,Braga,Brasileiro,Joe Mendes (Braga)
Rony Lopes,POR,"FW,DF",28,1.8,65.0,93.0,69.9,1039.0,227.0,31.0,41.0,75.6,24.0,30.0,80.0,6.0,12.0,50.0,0,0.2,0.2,-0.2,3.0,6.0,3.0,0.0,14.0,Braga,Brasileiro,Rony Lopes (Braga)
Roger Fernandes,GNB,"DF,FW",18,0.6,42.0,53.0,79.2,836.0,212.0,14.0,16.0,87.5,23.0,27.0,85.2,5.0,10.0,50.0,2,0.9,0.8,1.1,6.0,2.0,5.0,5.0,5.0,Braga,Brasileiro,Roger Fernandes (Braga)
André Castro,POR,MF,35,0.4,29.0,34.0,85.3,418.0,63.0,17.0,19.0,89.5,10.0,11.0,90.9,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,Braga,Brasileiro,André Castro (Braga)
