Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Oriol Busquets,ESP,MF,24,6,2,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Oriol Busquets (Arouca)
Quaresma,BRA,DF,27,3,2,191.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,4.0,7.0,11.0,0.0,0.47,0.47,0.0,0.47,0.02,0.26,0.28,0.02,0.28,Arouca,Brasileiro,Quaresma (Arouca)
Matí­as Rocha,URU,DF,22,3,2,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Matí­as Rocha (Arouca)
Jerome Opoku,GHA,DF,25,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Arouca,Brasileiro,Jerome Opoku (Arouca)
Vitinho,BRA,"FW,MF",23,3,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.23,0.18,0.23,Arouca,Brasileiro,Vitinho (Arouca)
Miguel Puche García,ESP,"FW,MF",22,12,0,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,7.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.23,0.06,0.23,Arouca,Brasileiro,Miguel Puche García (Arouca)
André Bukia,COD,"MF,FW",28,8,0,120.0,1.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,15.0,11.0,23.0,0.75,0.75,1.5,0.75,1.5,0.44,0.27,0.71,0.44,0.71,Arouca,Brasileiro,André Bukia (Arouca)
Moses Yaw,GHA,"DF,MF",24,2,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Moses Yaw (Arouca)
Benji Michel,USA,"FW,MF",26,4,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.36,0.17,0.36,Arouca,Brasileiro,Benji Michel (Arouca)
Yusuf Lawal,NGA,"FW,MF",25,4,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Arouca,Brasileiro,Yusuf Lawal (Arouca)
Mosquito,BRA,GK,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Mosquito (Arouca)
Pedro Manuel da Silva Moreira,POR,MF,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Pedro Manuel da Silva Moreira (Arouca)
João Valido,POR,GK,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,João Valido (Arouca)
Fredrik Aursnes,NOR,"DF,MF",28,15,15,1333.0,14.8,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,4.0,5.6,50.0,99.0,151.0,0.14,0.27,0.41,0.14,0.41,0.11,0.27,0.38,0.11,0.38,Benfica,Brasileiro,Fredrik Aursnes (Benfica)
Rafa Silva,POR,MF,30,15,15,1321.0,14.7,5.0,6.0,11.0,5.0,0.0,0.0,2.0,0.0,8.1,8.1,5.9,14.0,77.0,102.0,146.0,0.34,0.41,0.75,0.34,0.75,0.55,0.41,0.96,0.55,0.96,Benfica,Brasileiro,Rafa Silva (Benfica)
António Silva,POR,DF,20,14,14,1259.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.0,1.1,16.0,67.0,2.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.08,0.08,0.08,Benfica,Brasileiro,António Silva (Benfica)
Nicolás Otamendi,ARG,DF,35,14,14,1252.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.5,1.5,1.2,2.8,29.0,74.0,14.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.2,0.11,0.2,Benfica,Brasileiro,Nicolás Otamendi (Benfica)
João Mário,POR,"FW,MF",30,14,13,1075.0,11.9,2.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,3.2,2.4,1.1,3.5,36.0,77.0,110.0,0.17,0.0,0.17,0.08,0.08,0.27,0.09,0.36,0.2,0.29,Benfica,Brasileiro,João Mário (Benfica)
João Neves,POR,MF,19,15,12,1039.0,11.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.9,1.6,19.0,71.0,26.0,0.09,0.09,0.17,0.09,0.17,0.07,0.08,0.14,0.07,0.14,Benfica,Brasileiro,João Neves (Benfica)
Anatolii Trubin,UKR,GK,22,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Ángel Di María,ARG,FW,35,12,11,939.0,10.4,5.0,1.0,6.0,4.0,1.0,1.0,2.0,0.0,4.8,4.0,3.1,7.1,49.0,77.0,132.0,0.48,0.1,0.58,0.38,0.48,0.46,0.3,0.76,0.38,0.68,Benfica,Brasileiro,Ángel Di María (Benfica)
Orkun Kökçü,TUR,MF,23,11,10,834.0,9.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.6,3.6,21.0,114.0,17.0,0.11,0.22,0.32,0.11,0.32,0.11,0.28,0.39,0.11,0.39,Benfica,Brasileiro,Orkun Kökçü (Benfica)
Morato,BRA,DF,22,9,7,672.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,1.0,13.0,32.0,22.0,0.0,0.13,0.13,0.0,0.13,0.05,0.09,0.13,0.05,0.13,Benfica,Brasileiro,Morato (Benfica)
Florentino Luís,POR,MF,24,12,7,598.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.2,2.0,51.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.17,0.15,0.17,Benfica,Brasileiro,Florentino Luís (Benfica)
Alexander Bah,DEN,DF,26,7,7,559.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.3,0.8,11.0,35.0,39.0,0.16,0.0,0.16,0.16,0.16,0.08,0.05,0.13,0.08,0.13,Benfica,Brasileiro,Alexander Bah (Benfica)
Petar Musa,CRO,FW,25,12,6,499.0,5.5,4.0,2.0,6.0,4.0,0.0,0.0,1.0,1.0,3.6,3.6,1.1,4.7,6.0,11.0,26.0,0.72,0.36,1.08,0.72,1.08,0.64,0.2,0.85,0.64,0.85,Benfica,Brasileiro,Petar Musa (Benfica)
Arthur,BRA,FW,25,12,4,456.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.3,2.3,0.1,2.4,7.0,7.0,23.0,0.2,0.0,0.2,0.2,0.2,0.45,0.03,0.48,0.45,0.48,Benfica,Brasileiro,Arthur (Benfica)
David Neres,BRA,FW,26,9,4,414.0,4.6,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,2.4,4.0,41.0,24.0,57.0,0.22,0.65,0.87,0.22,0.87,0.33,0.53,0.86,0.33,0.86,Benfica,Brasileiro,David Neres (Benfica)
Casper Tengstedt,DEN,FW,23,11,4,369.0,4.1,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.4,2.4,0.9,3.3,13.0,6.0,32.0,0.73,0.0,0.73,0.73,0.73,0.59,0.21,0.81,0.59,0.81,Benfica,Brasileiro,Casper Tengstedt (Benfica)
Samuel Soares,POR,GK,21,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Samuel Soares (Benfica)
David Jurásek,CZE,DF,23,6,2,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.9,8.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.05,0.26,0.3,0.05,0.3,Benfica,Brasileiro,David Jurásek (Benfica)
Chiquinho,POR,MF,28,8,1,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,6.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.06,0.25,0.31,0.06,0.31,Benfica,Brasileiro,Chiquinho (Benfica)
Gonçalo Guedes,POR,"FW,MF",27,8,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,9.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Benfica,Brasileiro,Gonçalo Guedes (Benfica)
Tomás Araújo,POR,"DF,MF",21,3,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Benfica,Brasileiro,Tomás Araújo (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
Juan Bernat,ESP,DF,30,2,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Juan Bernat (Benfica)
Tiago Gouveia,POR,FW,22,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Benfica,Brasileiro,Tiago Gouveia (Benfica)
João Victor,BRA,DF,25,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,João Victor (Benfica)
Gustavo Marques,BRA,DF,22,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Gustavo Marques (Benfica)
Mihailo Ristić,SRB,DF,28,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,9.64,0.0,9.64,Benfica,Brasileiro,Mihailo Ristić (Benfica)
Andreas Schjelderup,NOR,FW,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Andreas Schjelderup (Benfica)
Hugo Sequeira,POR,MF,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Hugo Sequeira (Benfica)
Gerson Sousa,POR,MF,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Gerson Sousa (Benfica)
João Gonçalves,POR,GK,23,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Róbert Boženík,SVK,FW,24,14,14,1203.0,13.4,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,6.1,6.1,2.6,8.7,11.0,12.0,54.0,0.45,0.15,0.6,0.45,0.6,0.46,0.19,0.65,0.46,0.65,Boavista,Brasileiro,Róbert Boženík (Boavista)
Salvador Agra,POR,"DF,FW",32,14,14,1129.0,12.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.5,2.7,32.0,49.0,78.0,0.16,0.08,0.24,0.16,0.24,0.1,0.12,0.22,0.1,0.22,Boavista,Brasileiro,Salvador Agra (Boavista)
Gaius Makouta,CGO,MF,26,14,14,1114.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.9,1.7,25.0,44.0,48.0,0.0,0.08,0.08,0.0,0.08,0.07,0.07,0.14,0.07,0.14,Boavista,Brasileiro,Gaius Makouta (Boavista)
Chidozie Awaziem,NGA,DF,26,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.0,0.7,2.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Boavista,Brasileiro,Chidozie Awaziem (Boavista)
Sebastián Pérez Cardona,COL,MF,30,13,13,1019.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.3,0.3,0.1,0.5,4.0,54.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Boavista,Brasileiro,Sebastián Pérez Cardona (Boavista)
Bruno Onyemaechi,NGA,DF,24,12,12,1036.0,11.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.8,2.0,31.0,30.0,39.0,0.0,0.09,0.09,0.0,0.09,0.1,0.07,0.17,0.1,0.17,Boavista,Brasileiro,Bruno Onyemaechi (Boavista)
Tiago Fonseca Morais,POR,FW,20,12,12,949.0,10.5,5.0,0.0,5.0,4.0,1.0,1.0,5.0,2.0,2.5,1.7,1.2,2.9,32.0,46.0,60.0,0.47,0.0,0.47,0.38,0.38,0.23,0.12,0.35,0.16,0.27,Boavista,Brasileiro,Tiago Fonseca Morais (Boavista)
Rodrigo Abascal,URU,DF,29,11,11,962.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,6.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Boavista,Brasileiro,Rodrigo Abascal (Boavista)
Miguel Reisinho,POR,MF,24,12,11,882.0,9.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.3,1.0,7.0,27.0,16.0,0.1,0.1,0.2,0.1,0.2,0.07,0.03,0.1,0.07,0.1,Boavista,Brasileiro,Miguel Reisinho (Boavista)
Pedro Malheiro,POR,DF,22,7,7,572.0,6.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,1.3,11.0,25.0,12.0,0.31,0.16,0.47,0.31,0.47,0.04,0.17,0.2,0.04,0.2,Boavista,Brasileiro,Pedro Malheiro (Boavista)
Filipe Ferreira,POR,DF,33,8,6,566.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,3.0,9.0,2.0,0.0,0.16,0.16,0.0,0.16,0.0,0.05,0.05,0.0,0.05,Boavista,Brasileiro,Filipe Ferreira (Boavista)
Bruno Lourenço,POR,"FW,MF",25,12,6,528.0,5.9,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,0.7,0.7,1.4,8.0,11.0,22.0,0.17,0.0,0.17,0.0,0.0,0.26,0.12,0.37,0.12,0.24,Boavista,Brasileiro,Bruno Lourenço (Boavista)
Masaki Watai,JPN,"FW,MF",24,7,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,5.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Boavista,Brasileiro,Masaki Watai (Boavista)
Ilija Vukotić,MNE,MF,24,11,2,324.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,2.0,10.0,6.0,0.28,0.0,0.28,0.28,0.28,0.05,0.16,0.21,0.05,0.21,Boavista,Brasileiro,Ilija Vukotić (Boavista)
Martim Tavares,POR,"FW,MF",20,7,1,132.0,1.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,2.0,1.0,6.0,0.68,0.68,1.36,0.68,1.36,0.56,0.13,0.69,0.56,0.69,Boavista,Brasileiro,Martim Tavares (Boavista)
Ibrahima Camará,GUI,MF,24,5,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.14,0.02,0.14,Boavista,Brasileiro,Ibrahima Camará (Boavista)
Berna,POR,"FW,DF",20,12,0,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.7,0.7,5.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.27,0.3,0.03,0.3,Boavista,Brasileiro,Berna (Boavista)
Luís Santos,POR,"DF,FW",23,7,0,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Boavista,Brasileiro,Luís Santos (Boavista)
Jeriel Córdova,VEN,"FW,MF",21,9,0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.7,1.4,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.57,0.51,1.08,0.57,1.08,Boavista,Brasileiro,Jeriel Córdova (Boavista)
Joel silva,POR,"MF,FW",20,2,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Joel silva (Boavista)
Vincent Sasso,FRA,MF,32,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Vincent Sasso (Boavista)
Gonçalo Almeida,POR,DF,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Gonçalo Almeida (Boavista)
Tiago Machado,POR,FW,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Tiago Machado (Boavista)
Luis Pires,BRA,GK,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Luis Pires (Boavista)
Tomé,POR,GK,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boavista,Brasileiro,Tomé (Boavista)
