Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Team,Championship,Player_Team
Ricardo Velho,POR,GK,25,14.0,18,4,0,4,1,24.8,0.27,7.8,0.56,81,305,26.6,289,48,59.9,44.9,176,75.0,55.2,333,14,4.2,7,0.5,10.1,Farense,Brasileiro,Ricardo Velho (Farense)
Andrew,BRA,GK,22,12.0,23,3,0,4,1,19.8,0.28,-2.2,-0.18,52,138,37.7,314,66,27.7,30.3,123,41.5,37.5,178,5,2.8,16,1.33,17.3,Gil Vicente FC,Brasileiro,Andrew (Gil Vicente FC)
Vinicius Dias,BRA,GK,26,2.0,6,0,1,1,0,3.8,0.35,-2.2,-1.1,5,16,31.3,34,8,26.5,32.7,17,41.2,38.2,35,1,2.9,0,0.0,6.8,Gil Vicente FC,Brasileiro,Vinicius Dias (Gil Vicente FC)
Kewin,BRA,GK,28,15.0,13,1,0,3,1,12.7,0.22,0.7,0.05,121,270,44.8,426,61,43.7,37.6,129,65.1,49.0,267,18,6.7,11,0.73,11.9,Moreirense,Brasileiro,Kewin (Moreirense)
Vinicius Silvestre,BRA,GK,29,12.0,30,3,0,4,3,25.9,0.33,-1.1,-0.1,79,188,42.0,282,52,42.2,37.1,120,57.5,43.2,220,12,5.5,6,0.5,10.7,Portimonense,Brasileiro,Vinicius Silvestre (Portimonense)
Kosuke Nakamura,JPN,GK,28,2.0,2,0,0,0,0,2.1,0.42,0.1,0.05,8,26,30.8,46,12,32.6,33.5,28,39.3,38.4,53,2,3.8,2,1.0,12.3,Portimonense,Brasileiro,Kosuke Nakamura (Portimonense)
Diogo Costa,POR,GK,24,15.0,11,2,1,0,0,11.4,0.22,0.4,0.03,69,181,38.1,478,58,29.9,33.1,100,38.0,38.1,194,13,6.7,25,1.67,18.3,Porto,Brasileiro,Diogo Costa (Porto)
Jhonatan,BRA,GK,32,8.0,12,1,0,2,1,10.5,0.32,-0.5,-0.06,26,102,25.5,195,33,34.9,36.4,58,58.6,49.3,125,6,4.8,8,1.0,12.6,Rio Ave,Brasileiro,Jhonatan (Rio Ave)
Magrão,BRA,GK,23,7.0,12,1,0,3,0,11.8,0.35,-0.2,-0.03,21,64,32.8,168,43,23.8,29.8,54,44.4,38.8,78,3,3.8,7,1.0,16.1,Rio Ave,Brasileiro,Magrão (Rio Ave)
Antonio Adán,ESP,GK,36,14.0,15,2,3,1,0,11.5,0.24,-3.5,-0.25,51,127,40.2,344,54,28.2,30.2,68,44.1,39.8,137,12,8.8,6,0.43,12.0,Sporting CP,Brasileiro,Antonio Adán (Sporting CP)
Bruno Varela,CPV,GK,29,15.0,17,3,0,2,1,20.6,0.29,4.6,0.31,108,229,47.2,342,46,44.2,38.2,118,66.1,47.6,212,11,5.2,17,1.13,14.4,Vitória,Brasileiro,Bruno Varela (Vitória)
Fabijan Buntić,CRO,GK,26,15.0,22,3,1,1,0,18.6,0.28,-3.4,-0.23,64,147,43.5,297,64,30.6,31.6,130,43.1,38.2,250,14,5.6,12,0.8,14.1,Vizela,Brasileiro,Fabijan Buntić (Vizela)
