Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Team,Championship,Player_Team
Weverson,BRA,"DF,MF",23,6.9,13.0,7,5.0,5.0,3.0,9.0,11.0,81.8,2.0,8.0,2.0,6.0,8,21.0,13.0,0.0,Arouca,Brasileiro,Weverson (Arouca)
Rafael Fernandes,POR,DF,21,7.4,9.0,6,7.0,2.0,0.0,5.0,5.0,100.0,0.0,5.0,4.0,1.0,8,17.0,30.0,0.0,Arouca,Brasileiro,Rafael Fernandes (Arouca)
Alfonso Trezza,URU,"FW,MF",24,6.8,13.0,10,9.0,4.0,0.0,6.0,19.0,31.6,13.0,9.0,0.0,9.0,5,18.0,7.0,0.0,Arouca,Brasileiro,Alfonso Trezza (Arouca)
Bogdan Milovanov,UKR,"DF,MF",25,6.3,29.0,19,13.0,12.0,4.0,18.0,24.0,75.0,6.0,2.0,0.0,2.0,10,39.0,20.0,0.0,Arouca,Brasileiro,Bogdan Milovanov (Arouca)
Pedro Santos,POR,MF,23,2.6,3.0,2,1.0,2.0,0.0,2.0,10.0,20.0,8.0,4.0,1.0,3.0,5,8.0,0.0,0.0,Arouca,Brasileiro,Pedro Santos (Arouca)
Oriol Busquets,ESP,MF,24,2.5,2.0,1,2.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,2.0,1.0,2,4.0,5.0,0.0,Arouca,Brasileiro,Oriol Busquets (Arouca)
Quaresma,BRA,DF,27,2.1,4.0,3,3.0,1.0,0.0,3.0,8.0,37.5,5.0,5.0,1.0,4.0,3,7.0,5.0,0.0,Arouca,Brasileiro,Quaresma (Arouca)
Matí­as Rocha,URU,DF,22,0.6,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,4.0,0.0,Arouca,Brasileiro,Matí­as Rocha (Arouca)
Jerome Opoku,GHA,DF,25,1.5,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0,1.0,9.0,0.0,Arouca,Brasileiro,Jerome Opoku (Arouca)
Vitinho,BRA,"FW,MF",23,0.9,3.0,3,2.0,0.0,1.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,2,5.0,1.0,0.0,Arouca,Brasileiro,Vitinho (Arouca)
Miguel Puche García,ESP,"FW,MF",22,2.1,3.0,1,3.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1,4.0,1.0,0.0,Arouca,Brasileiro,Miguel Puche García (Arouca)
André Bukia,COD,"MF,FW",28,1.3,5.0,4,3.0,1.0,1.0,3.0,5.0,60.0,2.0,2.0,0.0,2.0,1,6.0,1.0,0.0,Arouca,Brasileiro,André Bukia (Arouca)
Moses Yaw,GHA,"DF,MF",24,0.7,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,1.0,1.0,0.0,Arouca,Brasileiro,Moses Yaw (Arouca)
Benji Michel,USA,"FW,MF",26,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Arouca,Brasileiro,Benji Michel (Arouca)
Yusuf Lawal,NGA,"FW,MF",25,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Arouca,Brasileiro,Yusuf Lawal (Arouca)
Fredrik Aursnes,NOR,"DF,MF",28,14.8,32.0,16,17.0,12.0,3.0,21.0,34.0,61.8,13.0,18.0,2.0,16.0,11,43.0,24.0,0.0,Benfica,Brasileiro,Fredrik Aursnes (Benfica)
Rafa Silva,POR,MF,30,14.7,14.0,10,6.0,5.0,3.0,9.0,22.0,40.9,13.0,4.0,0.0,4.0,6,20.0,3.0,0.0,Benfica,Brasileiro,Rafa Silva (Benfica)
António Silva,POR,DF,20,14.0,39.0,27,22.0,12.0,5.0,19.0,22.0,86.4,3.0,31.0,16.0,15.0,9,48.0,49.0,0.0,Benfica,Brasileiro,António Silva (Benfica)
Nicolás Otamendi,ARG,DF,35,13.9,25.0,17,19.0,6.0,0.0,17.0,32.0,53.1,15.0,12.0,6.0,6.0,16,41.0,45.0,0.0,Benfica,Brasileiro,Nicolás Otamendi (Benfica)
João Mário,POR,"FW,MF",30,11.9,15.0,8,3.0,9.0,3.0,3.0,12.0,25.0,9.0,14.0,0.0,14.0,7,22.0,5.0,0.0,Benfica,Brasileiro,João Mário (Benfica)
João Neves,POR,MF,19,11.5,37.0,32,15.0,13.0,9.0,14.0,26.0,53.8,12.0,25.0,5.0,20.0,15,52.0,17.0,0.0,Benfica,Brasileiro,João Neves (Benfica)
Anatolii Trubin,UKR,GK,22,11.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,4.0,0.0,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Ángel Di María,ARG,FW,35,10.4,5.0,2,3.0,2.0,0.0,2.0,11.0,18.2,9.0,9.0,0.0,9.0,4,9.0,1.0,1.0,Benfica,Brasileiro,Ángel Di María (Benfica)
Orkun Kökçü,TUR,MF,23,9.3,19.0,13,7.0,11.0,1.0,12.0,23.0,52.2,11.0,11.0,2.0,9.0,6,25.0,4.0,0.0,Benfica,Brasileiro,Orkun Kökçü (Benfica)
Morato,BRA,DF,22,7.5,26.0,15,18.0,6.0,2.0,16.0,27.0,59.3,11.0,10.0,2.0,8.0,6,32.0,18.0,0.0,Benfica,Brasileiro,Morato (Benfica)
Florentino Luís,POR,MF,24,6.6,37.0,24,14.0,20.0,3.0,17.0,38.0,44.7,21.0,10.0,0.0,10.0,20,57.0,6.0,0.0,Benfica,Brasileiro,Florentino Luís (Benfica)
Alexander Bah,DEN,DF,26,6.2,20.0,15,11.0,3.0,6.0,10.0,13.0,76.9,3.0,7.0,1.0,6.0,9,29.0,9.0,0.0,Benfica,Brasileiro,Alexander Bah (Benfica)
Petar Musa,CRO,FW,25,5.5,11.0,7,4.0,3.0,4.0,3.0,4.0,75.0,1.0,8.0,2.0,6.0,1,12.0,6.0,0.0,Benfica,Brasileiro,Petar Musa (Benfica)
Arthur,BRA,FW,25,5.1,6.0,4,1.0,3.0,2.0,2.0,4.0,50.0,2.0,2.0,0.0,2.0,0,6.0,3.0,0.0,Benfica,Brasileiro,Arthur (Benfica)
David Neres,BRA,FW,26,4.6,6.0,2,0.0,5.0,1.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,1,7.0,2.0,0.0,Benfica,Brasileiro,David Neres (Benfica)
Casper Tengstedt,DEN,FW,23,4.1,5.0,2,0.0,4.0,1.0,3.0,5.0,60.0,2.0,2.0,0.0,2.0,0,5.0,2.0,0.0,Benfica,Brasileiro,Casper Tengstedt (Benfica)
Samuel Soares,POR,GK,21,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Benfica,Brasileiro,Samuel Soares (Benfica)
David Jurásek,CZE,DF,23,2.9,9.0,4,7.0,2.0,0.0,6.0,8.0,75.0,2.0,1.0,0.0,1.0,1,10.0,9.0,1.0,Benfica,Brasileiro,David Jurásek (Benfica)
Chiquinho,POR,MF,28,2.1,5.0,4,1.0,4.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,2,7.0,3.0,0.0,Benfica,Brasileiro,Chiquinho (Benfica)
Gonçalo Guedes,POR,"FW,MF",27,1.3,1.0,0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1,2.0,0.0,0.0,Benfica,Brasileiro,Gonçalo Guedes (Benfica)
Tomás Araújo,POR,"DF,MF",21,1.0,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,1,2.0,5.0,0.0,Benfica,Brasileiro,Tomás Araújo (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
Juan Bernat,ESP,DF,30,0.9,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0,0.0,3.0,0.0,Benfica,Brasileiro,Juan Bernat (Benfica)
Tiago Gouveia,POR,FW,22,0.8,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Benfica,Brasileiro,Tiago Gouveia (Benfica)
João Victor,BRA,DF,25,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1,1.0,0.0,0.0,Benfica,Brasileiro,João Victor (Benfica)
Gustavo Marques,BRA,DF,22,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Benfica,Brasileiro,Gustavo Marques (Benfica)
Mihailo Ristić,SRB,DF,28,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Benfica,Brasileiro,Mihailo Ristić (Benfica)
João Gonçalves,POR,GK,23,14.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,7.0,2.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Róbert Boženík,SVK,FW,24,13.4,8.0,5,0.0,6.0,2.0,4.0,12.0,33.3,8.0,4.0,0.0,4.0,2,10.0,16.0,0.0,Boavista,Brasileiro,Róbert Boženík (Boavista)
Salvador Agra,POR,"DF,FW",32,12.5,14.0,7,7.0,5.0,2.0,4.0,12.0,33.3,8.0,4.0,0.0,4.0,10,24.0,7.0,0.0,Boavista,Brasileiro,Salvador Agra (Boavista)
Gaius Makouta,CGO,MF,26,12.4,17.0,14,6.0,11.0,0.0,9.0,14.0,64.3,5.0,9.0,0.0,9.0,9,26.0,14.0,0.0,Boavista,Brasileiro,Gaius Makouta (Boavista)
Chidozie Awaziem,NGA,DF,26,13.0,16.0,12,13.0,2.0,1.0,8.0,10.0,80.0,2.0,11.0,10.0,1.0,10,26.0,62.0,2.0,Boavista,Brasileiro,Chidozie Awaziem (Boavista)
Sebastián Pérez Cardona,COL,MF,30,11.3,31.0,18,17.0,13.0,1.0,20.0,36.0,55.6,16.0,9.0,2.0,7.0,9,40.0,12.0,1.0,Boavista,Brasileiro,Sebastián Pérez Cardona (Boavista)
Bruno Onyemaechi,NGA,DF,24,11.5,21.0,15,12.0,8.0,1.0,8.0,17.0,47.1,9.0,13.0,3.0,10.0,14,35.0,25.0,0.0,Boavista,Brasileiro,Bruno Onyemaechi (Boavista)
Tiago Fonseca Morais,POR,FW,20,10.5,15.0,11,11.0,3.0,1.0,10.0,31.0,32.3,21.0,16.0,0.0,16.0,6,21.0,4.0,0.0,Boavista,Brasileiro,Tiago Fonseca Morais (Boavista)
Rodrigo Abascal,URU,DF,29,10.7,15.0,6,12.0,3.0,0.0,10.0,20.0,50.0,10.0,16.0,7.0,9.0,12,27.0,42.0,2.0,Boavista,Brasileiro,Rodrigo Abascal (Boavista)
Miguel Reisinho,POR,MF,24,9.8,19.0,10,7.0,11.0,1.0,9.0,18.0,50.0,9.0,8.0,1.0,7.0,12,31.0,13.0,0.0,Boavista,Brasileiro,Miguel Reisinho (Boavista)
Pedro Malheiro,POR,DF,22,6.4,25.0,14,18.0,6.0,1.0,17.0,26.0,65.4,9.0,6.0,3.0,3.0,12,37.0,12.0,0.0,Boavista,Brasileiro,Pedro Malheiro (Boavista)
Filipe Ferreira,POR,DF,33,6.3,7.0,7,4.0,3.0,0.0,4.0,7.0,57.1,3.0,8.0,3.0,5.0,5,12.0,18.0,1.0,Boavista,Brasileiro,Filipe Ferreira (Boavista)
Bruno Lourenço,POR,"FW,MF",25,5.9,11.0,4,1.0,7.0,3.0,5.0,14.0,35.7,9.0,2.0,0.0,2.0,6,17.0,3.0,0.0,Boavista,Brasileiro,Bruno Lourenço (Boavista)
Masaki Watai,JPN,"FW,MF",24,2.7,4.0,2,2.0,1.0,1.0,1.0,4.0,25.0,3.0,3.0,0.0,3.0,1,5.0,1.0,0.0,Boavista,Brasileiro,Masaki Watai (Boavista)
Ilija Vukotić,MNE,MF,24,3.6,8.0,6,4.0,3.0,1.0,3.0,7.0,42.9,4.0,5.0,3.0,2.0,1,9.0,6.0,0.0,Boavista,Brasileiro,Ilija Vukotić (Boavista)
Martim Tavares,POR,"FW,MF",20,1.5,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0,0.0,0.0,0.0,Boavista,Brasileiro,Martim Tavares (Boavista)
Ibrahima Camará,GUI,MF,24,1.3,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,2,3.0,1.0,0.0,Boavista,Brasileiro,Ibrahima Camará (Boavista)
Berna,POR,"FW,DF",20,2.4,9.0,6,4.0,5.0,0.0,4.0,7.0,57.1,3.0,5.0,2.0,3.0,4,13.0,3.0,0.0,Boavista,Brasileiro,Berna (Boavista)
Luís Santos,POR,"DF,FW",23,2.1,3.0,2,2.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,6,9.0,8.0,0.0,Boavista,Brasileiro,Luís Santos (Boavista)
Jeriel Córdova,VEN,"FW,MF",21,1.3,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0,0.0,1.0,0.0,Boavista,Brasileiro,Jeriel Córdova (Boavista)
Joel silva,POR,"MF,FW",20,0.5,2.0,1,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Boavista,Brasileiro,Joel silva (Boavista)
Vincent Sasso,FRA,MF,32,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Boavista,Brasileiro,Vincent Sasso (Boavista)
Matheus,BRA,GK,31,14.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,8.0,1.0,Braga,Brasileiro,Matheus (Braga)
Ricardo Horta,POR,"FW,MF",29,11.6,11.0,6,2.0,7.0,2.0,3.0,19.0,15.8,16.0,10.0,0.0,10.0,6,17.0,5.0,0.0,Braga,Brasileiro,Ricardo Horta (Braga)
Simon Banza,COD,FW,27,10.9,8.0,4,4.0,1.0,3.0,1.0,10.0,10.0,9.0,5.0,1.0,4.0,4,12.0,8.0,0.0,Braga,Brasileiro,Simon Banza (Braga)
Cristian Borja,COL,DF,30,10.3,21.0,8,12.0,8.0,1.0,6.0,10.0,60.0,4.0,13.0,1.0,12.0,8,29.0,22.0,0.0,Braga,Brasileiro,Cristian Borja (Braga)
Álvaro djaló,ESP,"FW,MF",24,10.2,11.0,7,3.0,4.0,4.0,6.0,21.0,28.6,15.0,4.0,1.0,3.0,13,24.0,10.0,0.0,Braga,Brasileiro,Álvaro djaló (Braga)
Victor Gomez,ESP,DF,23,8.9,15.0,9,5.0,7.0,3.0,10.0,22.0,45.5,12.0,10.0,1.0,9.0,13,28.0,18.0,0.0,Braga,Brasileiro,Victor Gomez (Braga)
José Fonte,POR,DF,40,9.9,5.0,2,3.0,2.0,0.0,2.0,4.0,50.0,2.0,9.0,6.0,3.0,10,15.0,42.0,0.0,Braga,Brasileiro,José Fonte (Braga)
Bruma,POR,FW,29,8.6,10.0,8,2.0,7.0,1.0,4.0,10.0,40.0,6.0,6.0,1.0,5.0,0,10.0,2.0,0.0,Braga,Brasileiro,Bruma (Braga)
Almoatasem Al Musrati,LBY,MF,27,7.7,18.0,12,8.0,9.0,1.0,9.0,13.0,69.2,4.0,3.0,1.0,2.0,13,31.0,4.0,1.0,Braga,Brasileiro,Almoatasem Al Musrati (Braga)
Serdar Saatçı,TUR,DF,20,7.6,18.0,13,14.0,4.0,0.0,11.0,16.0,68.8,5.0,9.0,7.0,2.0,24,42.0,21.0,2.0,Braga,Brasileiro,Serdar Saatçı (Braga)
Rodrigo Zalazar,URU,MF,24,6.8,18.0,12,5.0,11.0,2.0,8.0,16.0,50.0,8.0,9.0,0.0,9.0,2,20.0,4.0,1.0,Braga,Brasileiro,Rodrigo Zalazar (Braga)
Sikou Niakaté,MLI,DF,24,6.0,7.0,5,4.0,3.0,0.0,5.0,7.0,71.4,2.0,3.0,0.0,3.0,8,15.0,24.0,1.0,Braga,Brasileiro,Sikou Niakaté (Braga)
Vitor Carvalho,BRA,MF,26,5.6,13.0,9,5.0,8.0,0.0,5.0,13.0,38.5,8.0,8.0,1.0,7.0,7,20.0,11.0,1.0,Braga,Brasileiro,Vitor Carvalho (Braga)
Pizzi,POR,"MF,FW",34,5.3,2.0,1,1.0,0.0,1.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,0,2.0,1.0,0.0,Braga,Brasileiro,Pizzi (Braga)
Paulo Oliveira,POR,DF,31,5.0,11.0,4,7.0,4.0,0.0,8.0,11.0,72.7,3.0,4.0,1.0,3.0,15,26.0,27.0,0.0,Braga,Brasileiro,Paulo Oliveira (Braga)
Abel Ruiz,ESP,"FW,MF",23,6.1,2.0,1,1.0,0.0,1.0,1.0,3.0,33.3,2.0,2.0,1.0,1.0,0,2.0,3.0,0.0,Braga,Brasileiro,Abel Ruiz (Braga)
André Horta,POR,MF,27,5.0,8.0,5,1.0,3.0,4.0,6.0,12.0,50.0,6.0,11.0,1.0,10.0,1,9.0,3.0,0.0,Braga,Brasileiro,André Horta (Braga)
João Moutinho,POR,MF,37,4.7,11.0,6,1.0,10.0,0.0,8.0,17.0,47.1,9.0,10.0,2.0,8.0,7,18.0,2.0,0.0,Braga,Brasileiro,João Moutinho (Braga)
Adrián Marín,ESP,DF,26,3.4,7.0,3,2.0,3.0,2.0,3.0,5.0,60.0,2.0,6.0,3.0,3.0,4,11.0,5.0,0.0,Braga,Brasileiro,Adrián Marín (Braga)
Joe Mendes,SWE,DF,20,3.1,9.0,4,5.0,3.0,1.0,5.0,12.0,41.7,7.0,4.0,1.0,3.0,1,10.0,6.0,0.0,Braga,Brasileiro,Joe Mendes (Braga)
Rony Lopes,POR,"FW,DF",28,1.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1,1.0,3.0,0.0,Braga,Brasileiro,Rony Lopes (Braga)
Roger Fernandes,GNB,"DF,FW",18,0.6,3.0,3,0.0,3.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,0,3.0,1.0,0.0,Braga,Brasileiro,Roger Fernandes (Braga)
André Castro,POR,MF,35,0.4,1.0,0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,1.0,3.0,1,2.0,1.0,0.0,Braga,Brasileiro,André Castro (Braga)
Ricardo Batista,POR,GK,37,14.0,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,3.0,0.0,Casa Pia,Brasileiro,Ricardo Batista (Casa Pia)
Nermin Zolotić,BIH,DF,30,13.8,21.0,14,11.0,10.0,0.0,18.0,31.0,58.1,13.0,17.0,9.0,8.0,14,35.0,54.0,1.0,Casa Pia,Brasileiro,Nermin Zolotić (Casa Pia)
Leonardo Lelo,POR,"MF,DF",23,13.7,21.0,10,13.0,6.0,2.0,16.0,31.0,51.6,15.0,12.0,2.0,10.0,18,39.0,23.0,0.0,Casa Pia,Brasileiro,Leonardo Lelo (Casa Pia)
Fernando Varela,CPV,DF,36,12.9,21.0,16,14.0,6.0,1.0,10.0,13.0,76.9,3.0,22.0,12.0,10.0,8,29.0,58.0,0.0,Casa Pia,Brasileiro,Fernando Varela (Casa Pia)
Yuki Soma,JPN,"FW,MF",26,10.2,11.0,8,2.0,7.0,2.0,4.0,9.0,44.4,5.0,5.0,0.0,5.0,0,11.0,6.0,0.0,Casa Pia,Brasileiro,Yuki Soma (Casa Pia)
Larra,ESP,"MF,DF",26,9.7,14.0,12,7.0,6.0,1.0,7.0,15.0,46.7,8.0,8.0,1.0,7.0,12,26.0,23.0,0.0,Casa Pia,Brasileiro,Larra (Casa Pia)
Clayton,BRA,FW,24,9.7,1.0,0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,6.0,1.0,5.0,2,3.0,6.0,0.0,Casa Pia,Brasileiro,Clayton (Casa Pia)
Vasco Fernandes,POR,DF,37,10.0,8.0,5,7.0,1.0,0.0,5.0,9.0,55.6,4.0,13.0,6.0,7.0,10,18.0,29.0,0.0,Casa Pia,Brasileiro,Vasco Fernandes (Casa Pia)
Neto,BRA,MF,32,8.9,17.0,10,7.0,6.0,4.0,8.0,19.0,42.1,11.0,19.0,5.0,14.0,7,24.0,17.0,0.0,Casa Pia,Brasileiro,Neto (Casa Pia)
Pablo Roberto,BRA,MF,24,8.9,19.0,8,3.0,14.0,2.0,10.0,25.0,40.0,15.0,11.0,1.0,10.0,10,29.0,7.0,0.0,Casa Pia,Brasileiro,Pablo Roberto (Casa Pia)
Beni,ANG,MF,21,7.2,18.0,14,8.0,10.0,0.0,7.0,17.0,41.2,10.0,6.0,1.0,5.0,5,23.0,6.0,0.0,Casa Pia,Brasileiro,Beni (Casa Pia)
Felippe Cardoso,BRA,FW,25,5.7,4.0,3,1.0,0.0,3.0,1.0,3.0,33.3,2.0,3.0,1.0,2.0,0,4.0,3.0,0.0,Casa Pia,Brasileiro,Felippe Cardoso (Casa Pia)
João Nunes,POR,DF,28,4.1,5.0,4,4.0,1.0,0.0,5.0,9.0,55.6,4.0,9.0,4.0,5.0,4,9.0,21.0,0.0,Casa Pia,Brasileiro,João Nunes (Casa Pia)
Saviour Godwin,NGA,"FW,MF",27,3.8,5.0,3,3.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,7.0,4,9.0,0.0,0.0,Casa Pia,Brasileiro,Saviour Godwin (Casa Pia)
Samuel Justo,POR,MF,19,3.8,5.0,3,3.0,2.0,0.0,4.0,10.0,40.0,6.0,4.0,0.0,4.0,3,8.0,6.0,0.0,Casa Pia,Brasileiro,Samuel Justo (Casa Pia)
Tiago Dias,POR,"MF,FW",25,3.8,3.0,3,2.0,0.0,1.0,2.0,6.0,33.3,4.0,7.0,1.0,6.0,2,5.0,2.0,0.0,Casa Pia,Brasileiro,Tiago Dias (Casa Pia)
Fernando,BRA,FW,30,4.1,8.0,6,2.0,3.0,3.0,3.0,7.0,42.9,4.0,4.0,0.0,4.0,0,8.0,1.0,0.0,Casa Pia,Brasileiro,Fernando (Casa Pia)
Jajá,BRA,FW,22,3.9,17.0,14,4.0,6.0,7.0,8.0,14.0,57.1,6.0,6.0,0.0,6.0,1,18.0,1.0,0.0,Casa Pia,Brasileiro,Jajá (Casa Pia)
André Geraldes,POR,"MF,DF",32,4.0,4.0,2,4.0,0.0,0.0,2.0,2.0,100.0,0.0,4.0,0.0,4.0,0,4.0,10.0,0.0,Casa Pia,Brasileiro,André Geraldes (Casa Pia)
Artur Serobyan,ARM,MF,20,0.7,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1,2.0,1.0,0.0,Casa Pia,Brasileiro,Artur Serobyan (Casa Pia)
Telasco Segovia,VEN,MF,20,0.3,1.0,1,0.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1,2.0,0.0,0.0,Casa Pia,Brasileiro,Telasco Segovia (Casa Pia)
Rafael Martins,BRA,MF,34,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Casa Pia,Brasileiro,Rafael Martins (Casa Pia)
Duplexe Tchamba,CMR,"DF,FW",25,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,Casa Pia,Brasileiro,Duplexe Tchamba (Casa Pia)
Diogo Pinto,POR,MF,24,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Casa Pia,Brasileiro,Diogo Pinto (Casa Pia)
Héctor,ESP,FW,28,14.3,4.0,3,1.0,1.0,2.0,1.0,4.0,25.0,3.0,10.0,3.0,7.0,4,8.0,9.0,0.0,Chaves,Brasileiro,Héctor (Chaves)
Kelechi Nwakali,NGA,MF,25,11.9,22.0,17,3.0,18.0,1.0,13.0,23.0,56.5,10.0,13.0,2.0,11.0,12,34.0,6.0,0.0,Chaves,Brasileiro,Kelechi Nwakali (Chaves)
Bruno Langa,MOZ,"DF,MF",26,11.6,21.0,14,8.0,11.0,2.0,7.0,16.0,43.8,9.0,8.0,1.0,7.0,15,36.0,24.0,1.0,Chaves,Brasileiro,Bruno Langa (Chaves)
Bruno Rodrigues,POR,DF,22,11.2,11.0,6,9.0,1.0,1.0,7.0,11.0,63.6,4.0,13.0,3.0,10.0,12,23.0,38.0,0.0,Chaves,Brasileiro,Bruno Rodrigues (Chaves)
