Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Team,Championship,Player_Team
Bogdan Milovanov,UKR,"DF,MF",25,6.3,2,1,1,6,3,0,24,10,19,0.0,0.0,0,36.0,8.0,11.0,42.1,Arouca,Brasileiro,Bogdan Milovanov (Arouca)
Pedro Santos,POR,MF,23,2.6,4,0,0,6,8,0,14,5,2,0.0,0.0,0,17.0,1.0,0.0,100.0,Arouca,Brasileiro,Pedro Santos (Arouca)
Oriol Busquets,ESP,MF,24,2.5,1,0,0,1,2,1,1,2,1,0.0,0.0,0,10.0,1.0,2.0,33.3,Arouca,Brasileiro,Oriol Busquets (Arouca)
Quaresma,BRA,DF,27,2.1,1,0,0,4,6,2,9,3,3,0.0,0.0,0,15.0,2.0,2.0,50.0,Arouca,Brasileiro,Quaresma (Arouca)
Matí­as Rocha,URU,DF,22,0.6,0,1,0,1,0,0,0,0,0,0.0,1.0,0,2.0,3.0,2.0,60.0,Arouca,Brasileiro,Matí­as Rocha (Arouca)
Jerome Opoku,GHA,DF,25,1.5,0,0,0,0,2,1,0,0,0,0.0,0.0,0,3.0,3.0,1.0,75.0,Arouca,Brasileiro,Jerome Opoku (Arouca)
Vitinho,BRA,"FW,MF",23,0.9,0,0,0,0,5,0,0,2,3,0.0,0.0,0,8.0,0.0,2.0,0.0,Arouca,Brasileiro,Vitinho (Arouca)
Miguel Puche García,ESP,"FW,MF",22,2.1,0,0,0,3,3,1,5,1,1,0.0,0.0,0,8.0,3.0,4.0,42.9,Arouca,Brasileiro,Miguel Puche García (Arouca)
André Bukia,COD,"MF,FW",28,1.3,0,0,0,3,6,0,18,1,4,0.0,0.0,0,8.0,0.0,1.0,0.0,Arouca,Brasileiro,André Bukia (Arouca)
Moses Yaw,GHA,"DF,MF",24,0.7,0,0,0,2,4,0,1,0,1,0.0,0.0,0,6.0,1.0,2.0,33.3,Arouca,Brasileiro,Moses Yaw (Arouca)
Benji Michel,USA,"FW,MF",26,0.3,0,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,4.0,1.0,80.0,Arouca,Brasileiro,Benji Michel (Arouca)
Yusuf Lawal,NGA,"FW,MF",25,0.3,0,0,0,1,0,0,2,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Arouca,Brasileiro,Yusuf Lawal (Arouca)
Fredrik Aursnes,NOR,"DF,MF",28,14.8,1,0,0,13,8,4,30,11,16,0.0,1.0,0,86.0,6.0,14.0,30.0,Benfica,Brasileiro,Fredrik Aursnes (Benfica)
Rafa Silva,POR,MF,30,14.7,2,0,0,17,42,10,9,6,10,0.0,0.0,0,57.0,9.0,10.0,47.4,Benfica,Brasileiro,Rafa Silva (Benfica)
António Silva,POR,DF,20,14.0,3,0,0,11,4,1,0,9,27,0.0,1.0,0,95.0,31.0,22.0,58.5,Benfica,Brasileiro,António Silva (Benfica)
Nicolás Otamendi,ARG,DF,35,13.9,5,0,0,8,9,0,0,16,17,0.0,0.0,0,96.0,36.0,23.0,61.0,Benfica,Brasileiro,Nicolás Otamendi (Benfica)
João Mário,POR,"FW,MF",30,11.9,3,0,0,18,25,0,26,7,8,1.0,0.0,0,63.0,4.0,7.0,36.4,Benfica,Brasileiro,João Mário (Benfica)
João Neves,POR,MF,19,11.5,3,0,0,24,27,0,32,15,32,1.0,0.0,0,96.0,24.0,20.0,54.5,Benfica,Brasileiro,João Neves (Benfica)
Anatolii Trubin,UKR,GK,22,11.0,1,0,0,0,2,0,0,0,1,0.0,0.0,0,17.0,3.0,0.0,100.0,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Ángel Di María,ARG,FW,35,10.4,2,0,0,1,10,4,96,4,2,0.0,0.0,0,48.0,2.0,4.0,33.3,Benfica,Brasileiro,Ángel Di María (Benfica)
Orkun Kökçü,TUR,MF,23,9.3,3,0,0,12,9,1,27,6,13,0.0,0.0,0,58.0,4.0,5.0,44.4,Benfica,Brasileiro,Orkun Kökçü (Benfica)
Morato,BRA,DF,22,7.5,1,0,0,8,2,3,10,6,15,0.0,1.0,0,51.0,15.0,10.0,60.0,Benfica,Brasileiro,Morato (Benfica)
Florentino Luís,POR,MF,24,6.6,2,0,0,10,5,0,0,20,24,0.0,1.0,0,55.0,9.0,10.0,47.4,Benfica,Brasileiro,Florentino Luís (Benfica)
Alexander Bah,DEN,DF,26,6.2,2,0,0,5,10,2,15,9,15,0.0,0.0,0,46.0,10.0,6.0,62.5,Benfica,Brasileiro,Alexander Bah (Benfica)
Petar Musa,CRO,FW,25,5.5,1,1,0,10,9,3,2,1,7,0.0,0.0,0,19.0,6.0,14.0,30.0,Benfica,Brasileiro,Petar Musa (Benfica)
Arthur,BRA,FW,25,5.1,1,0,0,12,5,1,1,0,4,0.0,0.0,0,13.0,8.0,17.0,32.0,Benfica,Brasileiro,Arthur (Benfica)
David Neres,BRA,FW,26,4.6,0,0,0,6,6,1,31,1,2,0.0,0.0,0,20.0,0.0,2.0,0.0,Benfica,Brasileiro,David Neres (Benfica)
Casper Tengstedt,DEN,FW,23,4.1,0,0,0,6,5,4,6,0,2,0.0,0.0,0,10.0,5.0,6.0,45.5,Benfica,Brasileiro,Casper Tengstedt (Benfica)
Samuel Soares,POR,GK,21,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0,Benfica,Brasileiro,Samuel Soares (Benfica)
David Jurásek,CZE,DF,23,2.9,1,0,0,2,4,1,10,1,4,0.0,0.0,0,20.0,0.0,0.0,0.0,Benfica,Brasileiro,David Jurásek (Benfica)
Chiquinho,POR,MF,28,2.1,1,0,0,4,5,0,7,2,4,0.0,0.0,0,14.0,3.0,3.0,50.0,Benfica,Brasileiro,Chiquinho (Benfica)
Gonçalo Guedes,POR,"FW,MF",27,1.3,0,0,0,4,8,0,5,1,0,0.0,0.0,0,7.0,2.0,0.0,100.0,Benfica,Brasileiro,Gonçalo Guedes (Benfica)
Tomás Araújo,POR,"DF,MF",21,1.0,0,0,0,1,0,0,0,1,0,0.0,0.0,0,11.0,4.0,1.0,80.0,Benfica,Brasileiro,Tomás Araújo (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,0.0,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
Juan Bernat,ESP,DF,30,0.9,0,0,0,0,1,0,0,0,0,0.0,0.0,0,4.0,2.0,0.0,100.0,Benfica,Brasileiro,Juan Bernat (Benfica)
Tiago Gouveia,POR,FW,22,0.8,0,0,0,4,2,0,1,0,1,0.0,0.0,0,5.0,0.0,0.0,0.0,Benfica,Brasileiro,Tiago Gouveia (Benfica)
João Victor,BRA,DF,25,0.3,0,0,0,0,2,0,0,1,0,0.0,0.0,0,3.0,0.0,2.0,0.0,Benfica,Brasileiro,João Victor (Benfica)
Gustavo Marques,BRA,DF,22,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Benfica,Brasileiro,Gustavo Marques (Benfica)
Mihailo Ristić,SRB,DF,28,0.0,0,0,0,0,1,0,4,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Benfica,Brasileiro,Mihailo Ristić (Benfica)
João Gonçalves,POR,GK,23,14.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0,10.0,4.0,1.0,80.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Róbert Boženík,SVK,FW,24,13.4,2,0,0,26,26,13,8,2,5,0.0,0.0,0,23.0,20.0,42.0,32.3,Boavista,Brasileiro,Róbert Boženík (Boavista)
Salvador Agra,POR,"DF,FW",32,12.5,1,0,0,19,18,3,93,10,7,0.0,0.0,0,65.0,1.0,6.0,14.3,Boavista,Brasileiro,Salvador Agra (Boavista)
Gaius Makouta,CGO,MF,26,12.4,5,0,0,13,20,1,14,9,14,0.0,0.0,0,84.0,19.0,13.0,59.4,Boavista,Brasileiro,Gaius Makouta (Boavista)
Chidozie Awaziem,NGA,DF,26,13.0,4,0,0,12,8,1,1,10,12,0.0,1.0,0,76.0,40.0,20.0,66.7,Boavista,Brasileiro,Chidozie Awaziem (Boavista)
Sebastián Pérez Cardona,COL,MF,30,11.3,7,1,1,21,26,0,5,9,18,0.0,0.0,0,71.0,7.0,12.0,36.8,Boavista,Brasileiro,Sebastián Pérez Cardona (Boavista)
Bruno Onyemaechi,NGA,DF,24,11.5,2,0,0,11,17,3,52,14,15,0.0,0.0,0,73.0,10.0,6.0,62.5,Boavista,Brasileiro,Bruno Onyemaechi (Boavista)
Tiago Fonseca Morais,POR,FW,20,10.5,5,2,2,18,29,2,22,6,11,0.0,0.0,0,52.0,0.0,10.0,0.0,Boavista,Brasileiro,Tiago Fonseca Morais (Boavista)
Rodrigo Abascal,URU,DF,29,10.7,2,0,0,11,2,0,8,12,6,0.0,0.0,1,54.0,14.0,8.0,63.6,Boavista,Brasileiro,Rodrigo Abascal (Boavista)
Miguel Reisinho,POR,MF,24,9.8,3,0,0,15,14,1,3,12,10,1.0,1.0,0,64.0,22.0,17.0,56.4,Boavista,Brasileiro,Miguel Reisinho (Boavista)
Pedro Malheiro,POR,DF,22,6.4,2,0,0,12,2,0,17,12,14,0.0,0.0,0,38.0,2.0,2.0,50.0,Boavista,Brasileiro,Pedro Malheiro (Boavista)
Filipe Ferreira,POR,DF,33,6.3,3,0,0,8,3,0,10,5,7,0.0,0.0,0,30.0,1.0,6.0,14.3,Boavista,Brasileiro,Filipe Ferreira (Boavista)
Bruno Lourenço,POR,"FW,MF",25,5.9,1,1,0,10,8,1,15,6,4,0.0,0.0,0,23.0,2.0,5.0,28.6,Boavista,Brasileiro,Bruno Lourenço (Boavista)
Masaki Watai,JPN,"FW,MF",24,2.7,0,0,0,2,2,0,5,1,2,0.0,0.0,0,13.0,0.0,2.0,0.0,Boavista,Brasileiro,Masaki Watai (Boavista)
Ilija Vukotić,MNE,MF,24,3.6,1,0,0,4,4,0,6,1,6,0.0,0.0,0,15.0,3.0,3.0,50.0,Boavista,Brasileiro,Ilija Vukotić (Boavista)
Martim Tavares,POR,"FW,MF",20,1.5,1,0,0,4,4,0,2,0,0,0.0,0.0,0,7.0,1.0,2.0,33.3,Boavista,Brasileiro,Martim Tavares (Boavista)
Ibrahima Camará,GUI,MF,24,1.3,0,0,0,0,1,0,4,2,1,0.0,0.0,0,3.0,1.0,4.0,20.0,Boavista,Brasileiro,Ibrahima Camará (Boavista)
Berna,POR,"FW,DF",20,2.4,2,0,0,10,5,0,9,4,6,0.0,0.0,0,12.0,7.0,10.0,41.2,Boavista,Brasileiro,Berna (Boavista)
Luís Santos,POR,"DF,FW",23,2.1,0,0,0,3,1,1,12,6,2,0.0,0.0,0,14.0,2.0,1.0,66.7,Boavista,Brasileiro,Luís Santos (Boavista)
Jeriel Córdova,VEN,"FW,MF",21,1.3,2,0,0,10,4,2,1,0,0,1.0,0.0,0,10.0,5.0,4.0,55.6,Boavista,Brasileiro,Jeriel Córdova (Boavista)
Joel silva,POR,"MF,FW",20,0.5,0,0,0,2,0,0,0,0,1,0.0,0.0,0,6.0,1.0,0.0,100.0,Boavista,Brasileiro,Joel silva (Boavista)
Vincent Sasso,FRA,MF,32,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Boavista,Brasileiro,Vincent Sasso (Boavista)
Matheus,BRA,GK,31,14.0,2,0,0,0,7,0,0,0,0,0.0,0.0,0,26.0,1.0,1.0,50.0,Braga,Brasileiro,Matheus (Braga)
Ricardo Horta,POR,"FW,MF",29,11.6,1,0,0,9,17,2,30,6,6,0.0,0.0,0,51.0,4.0,7.0,36.4,Braga,Brasileiro,Ricardo Horta (Braga)
Simon Banza,COD,FW,27,10.9,1,0,0,18,31,5,3,4,4,1.0,0.0,0,16.0,40.0,53.0,43.0,Braga,Brasileiro,Simon Banza (Braga)
Cristian Borja,COL,DF,30,10.3,2,0,0,11,9,4,41,8,8,0.0,0.0,0,60.0,11.0,9.0,55.0,Braga,Brasileiro,Cristian Borja (Braga)
Álvaro djaló,ESP,"FW,MF",24,10.2,3,0,0,22,17,3,33,13,7,0.0,0.0,0,45.0,12.0,9.0,57.1,Braga,Brasileiro,Álvaro djaló (Braga)
Victor Gomez,ESP,DF,23,8.9,0,0,0,9,11,0,33,13,9,0.0,0.0,0,53.0,8.0,12.0,40.0,Braga,Brasileiro,Victor Gomez (Braga)
José Fonte,POR,DF,40,9.9,5,0,0,11,2,0,1,10,2,0.0,0.0,0,58.0,19.0,8.0,70.4,Braga,Brasileiro,José Fonte (Braga)
Bruma,POR,FW,29,8.6,1,0,0,5,9,2,8,0,8,0.0,0.0,0,44.0,0.0,3.0,0.0,Braga,Brasileiro,Bruma (Braga)
Almoatasem Al Musrati,LBY,MF,27,7.7,1,0,0,8,7,0,4,13,12,0.0,0.0,0,43.0,23.0,10.0,69.7,Braga,Brasileiro,Almoatasem Al Musrati (Braga)
Serdar Saatçı,TUR,DF,20,7.6,4,0,0,11,4,0,0,24,13,0.0,0.0,0,41.0,19.0,19.0,50.0,Braga,Brasileiro,Serdar Saatçı (Braga)
Rodrigo Zalazar,URU,MF,24,6.8,2,0,0,7,13,0,46,2,12,0.0,0.0,0,49.0,11.0,9.0,55.0,Braga,Brasileiro,Rodrigo Zalazar (Braga)
Sikou Niakaté,MLI,DF,24,6.0,2,1,0,7,3,1,0,8,5,0.0,1.0,0,41.0,13.0,9.0,59.1,Braga,Brasileiro,Sikou Niakaté (Braga)
Vitor Carvalho,BRA,MF,26,5.6,2,0,0,12,2,0,1,7,9,0.0,0.0,0,41.0,13.0,13.0,50.0,Braga,Brasileiro,Vitor Carvalho (Braga)
Pizzi,POR,"MF,FW",34,5.3,0,0,0,2,7,2,23,0,1,0.0,0.0,0,23.0,4.0,6.0,40.0,Braga,Brasileiro,Pizzi (Braga)
Paulo Oliveira,POR,DF,31,5.0,1,0,0,7,0,0,2,15,4,0.0,0.0,0,30.0,9.0,9.0,50.0,Braga,Brasileiro,Paulo Oliveira (Braga)
Abel Ruiz,ESP,"FW,MF",23,6.1,3,0,0,8,5,1,4,0,1,0.0,1.0,0,12.0,4.0,16.0,20.0,Braga,Brasileiro,Abel Ruiz (Braga)
André Horta,POR,MF,27,5.0,0,0,0,6,7,0,25,1,5,0.0,0.0,0,39.0,0.0,1.0,0.0,Braga,Brasileiro,André Horta (Braga)
João Moutinho,POR,MF,37,4.7,4,0,0,11,5,0,15,7,6,0.0,0.0,0,43.0,7.0,2.0,77.8,Braga,Brasileiro,João Moutinho (Braga)
Adrián Marín,ESP,DF,26,3.4,0,0,0,2,2,0,9,4,3,0.0,0.0,0,28.0,13.0,3.0,81.3,Braga,Brasileiro,Adrián Marín (Braga)
Joe Mendes,SWE,DF,20,3.1,0,0,0,3,1,0,6,1,4,0.0,0.0,0,14.0,2.0,3.0,40.0,Braga,Brasileiro,Joe Mendes (Braga)
Rony Lopes,POR,"FW,DF",28,1.8,0,0,0,3,1,0,8,1,0,0.0,0.0,0,10.0,1.0,2.0,33.3,Braga,Brasileiro,Rony Lopes (Braga)
Roger Fernandes,GNB,"DF,FW",18,0.6,0,0,0,0,2,1,8,0,3,0.0,0.0,0,8.0,1.0,1.0,50.0,Braga,Brasileiro,Roger Fernandes (Braga)
André Castro,POR,MF,35,0.4,0,0,0,1,3,0,0,1,0,0.0,0.0,0,2.0,2.0,2.0,50.0,Braga,Brasileiro,André Castro (Braga)
Ricardo Batista,POR,GK,37,14.0,1,0,0,0,5,0,0,0,0,0.0,0.0,0,14.0,3.0,1.0,75.0,Casa Pia,Brasileiro,Ricardo Batista (Casa Pia)
Nermin Zolotić,BIH,DF,30,13.8,2,0,0,8,24,0,3,14,14,0.0,0.0,0,72.0,18.0,15.0,54.5,Casa Pia,Brasileiro,Nermin Zolotić (Casa Pia)
Leonardo Lelo,POR,"MF,DF",23,13.7,0,0,0,7,14,1,60,18,10,0.0,0.0,0,73.0,4.0,9.0,30.8,Casa Pia,Brasileiro,Leonardo Lelo (Casa Pia)
Fernando Varela,CPV,DF,36,12.9,1,0,0,8,10,0,0,8,16,0.0,0.0,0,72.0,23.0,19.0,54.8,Casa Pia,Brasileiro,Fernando Varela (Casa Pia)
Yuki Soma,JPN,"FW,MF",26,10.2,1,0,0,16,17,2,35,0,8,0.0,0.0,0,28.0,5.0,6.0,45.5,Casa Pia,Brasileiro,Yuki Soma (Casa Pia)
Larra,ESP,"MF,DF",26,9.7,3,0,0,12,6,0,22,12,12,0.0,0.0,0,67.0,8.0,7.0,53.3,Casa Pia,Brasileiro,Larra (Casa Pia)
Clayton,BRA,FW,24,9.7,1,0,0,28,24,7,6,2,0,0.0,0.0,0,19.0,25.0,30.0,45.5,Casa Pia,Brasileiro,Clayton (Casa Pia)
Vasco Fernandes,POR,DF,37,10.0,2,0,0,9,8,1,2,10,5,0.0,0.0,0,60.0,11.0,15.0,42.3,Casa Pia,Brasileiro,Vasco Fernandes (Casa Pia)
Neto,BRA,MF,32,8.9,5,0,0,30,9,0,6,7,10,0.0,0.0,0,58.0,4.0,8.0,33.3,Casa Pia,Brasileiro,Neto (Casa Pia)
Pablo Roberto,BRA,MF,24,8.9,5,1,0,27,17,0,5,10,8,0.0,0.0,0,51.0,3.0,7.0,30.0,Casa Pia,Brasileiro,Pablo Roberto (Casa Pia)
Beni,ANG,MF,21,7.2,4,0,0,11,11,0,5,5,14,0.0,0.0,0,53.0,5.0,3.0,62.5,Casa Pia,Brasileiro,Beni (Casa Pia)
Felippe Cardoso,BRA,FW,25,5.7,3,0,0,6,8,3,3,0,3,0.0,0.0,0,13.0,15.0,17.0,46.9,Casa Pia,Brasileiro,Felippe Cardoso (Casa Pia)
João Nunes,POR,DF,28,4.1,0,0,0,6,1,0,1,4,4,0.0,0.0,0,23.0,6.0,6.0,50.0,Casa Pia,Brasileiro,João Nunes (Casa Pia)
Saviour Godwin,NGA,"FW,MF",27,3.8,0,0,0,7,7,0,15,4,3,1.0,0.0,0,19.0,0.0,0.0,0.0,Casa Pia,Brasileiro,Saviour Godwin (Casa Pia)
Samuel Justo,POR,MF,19,3.8,1,0,0,8,7,0,3,3,3,0.0,0.0,0,23.0,3.0,4.0,42.9,Casa Pia,Brasileiro,Samuel Justo (Casa Pia)
Tiago Dias,POR,"MF,FW",25,3.8,1,0,0,4,2,3,42,2,3,0.0,0.0,0,21.0,0.0,2.0,0.0,Casa Pia,Brasileiro,Tiago Dias (Casa Pia)
Fernando,BRA,FW,30,4.1,0,0,0,6,2,4,8,0,6,0.0,0.0,0,18.0,4.0,5.0,44.4,Casa Pia,Brasileiro,Fernando (Casa Pia)
Jajá,BRA,FW,22,3.9,0,0,0,8,7,2,5,1,14,2.0,0.0,0,20.0,1.0,1.0,50.0,Casa Pia,Brasileiro,Jajá (Casa Pia)
André Geraldes,POR,"MF,DF",32,4.0,2,0,0,4,1,0,5,0,2,0.0,0.0,0,15.0,1.0,3.0,25.0,Casa Pia,Brasileiro,André Geraldes (Casa Pia)
Artur Serobyan,ARM,MF,20,0.7,1,0,0,2,0,0,0,1,1,0.0,0.0,0,1.0,1.0,3.0,25.0,Casa Pia,Brasileiro,Artur Serobyan (Casa Pia)
Telasco Segovia,VEN,MF,20,0.3,0,0,0,2,0,0,0,1,1,0.0,0.0,0,3.0,1.0,2.0,33.3,Casa Pia,Brasileiro,Telasco Segovia (Casa Pia)
Rafael Martins,BRA,MF,34,0.3,0,0,0,2,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Casa Pia,Brasileiro,Rafael Martins (Casa Pia)
Duplexe Tchamba,CMR,"DF,FW",25,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,1.0,50.0,Casa Pia,Brasileiro,Duplexe Tchamba (Casa Pia)
Diogo Pinto,POR,MF,24,0.1,0,0,0,0,1,0,1,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Casa Pia,Brasileiro,Diogo Pinto (Casa Pia)
Héctor,ESP,FW,28,14.3,1,0,0,9,12,5,0,4,3,0.0,0.0,0,41.0,33.0,40.0,45.2,Chaves,Brasileiro,Héctor (Chaves)
Kelechi Nwakali,NGA,MF,25,11.9,2,0,0,8,25,0,39,12,17,0.0,0.0,0,88.0,4.0,6.0,40.0,Chaves,Brasileiro,Kelechi Nwakali (Chaves)
Bruno Langa,MOZ,"DF,MF",26,11.6,5,1,1,10,24,0,45,15,14,0.0,1.0,0,64.0,14.0,5.0,73.7,Chaves,Brasileiro,Bruno Langa (Chaves)
Bruno Rodrigues,POR,DF,22,11.2,3,0,0,13,2,0,0,12,6,0.0,0.0,0,47.0,19.0,13.0,59.4,Chaves,Brasileiro,Bruno Rodrigues (Chaves)
Hugo Souza,BRA,GK,24,11.0,2,0,0,0,1,0,0,0,0,0.0,0.0,0,12.0,2.0,0.0,100.0,Chaves,Brasileiro,Hugo Souza (Chaves)
João Pedro Araújo Correia,CPV,"DF,MF",27,10.1,3,0,0,11,12,1,53,19,5,0.0,0.0,0,72.0,10.0,21.0,32.3,Chaves,Brasileiro,João Pedro Araújo Correia (Chaves)
Sandro Cruz,POR,"DF,MF",22,8.6,1,0,0,2,12,1,10,13,7,0.0,0.0,0,56.0,13.0,16.0,44.8,Chaves,Brasileiro,Sandro Cruz (Chaves)
Ygor Nogueira,BRA,DF,28,8.7,7,2,1,13,7,0,0,13,8,0.0,0.0,0,46.0,26.0,8.0,76.5,Chaves,Brasileiro,Ygor Nogueira (Chaves)
Steven Vitória,CAN,DF,36,8.2,2,0,0,7,5,1,0,1,3,0.0,0.0,0,30.0,16.0,6.0,72.7,Chaves,Brasileiro,Steven Vitória (Chaves)
Leandro Sanca,GNB,"FW,MF",23,9.6,2,0,0,14,17,2,36,7,3,0.0,0.0,0,38.0,3.0,5.0,37.5,Chaves,Brasileiro,Leandro Sanca (Chaves)
Ricardo Guimarães,MOZ,MF,28,6.6,3,0,0,18,14,0,8,9,9,0.0,0.0,0,43.0,2.0,4.0,33.3,Chaves,Brasileiro,Ricardo Guimarães (Chaves)
Paulo Victor,BRA,FW,22,6.9,7,0,0,22,16,3,10,4,8,0.0,0.0,0,15.0,11.0,21.0,34.4,Chaves,Brasileiro,Paulo Victor (Chaves)
Rúben Tiago Rodrigues Ribeiro,POR,"MF,FW",36,6.0,5,1,1,9,14,2,18,4,8,0.0,0.0,0,41.0,3.0,12.0,20.0,Chaves,Brasileiro,Rúben Tiago Rodrigues Ribeiro (Chaves)
Benny,POR,"MF,FW",23,5.7,0,0,0,8,6,1,40,0,3,0.0,0.0,0,24.0,2.0,5.0,28.6,Chaves,Brasileiro,Benny (Chaves)
Jo,BRA,"FW,MF",28,4.4,0,0,0,10,18,2,4,0,3,0.0,0.0,0,13.0,25.0,18.0,58.1,Chaves,Brasileiro,Jo (Chaves)
João Pedro,POR,MF,30,4.1,1,0,0,7,10,0,2,1,2,0.0,0.0,0,21.0,3.0,6.0,33.3,Chaves,Brasileiro,João Pedro (Chaves)
Rodrigo Nascimento,BRA,GK,27,4.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,1.0,0.0,100.0,Chaves,Brasileiro,Rodrigo Nascimento (Chaves)
Thibang Phete,RSA,"DF,MF",29,3.7,0,0,0,9,4,1,0,5,1,0.0,0.0,0,18.0,4.0,8.0,33.3,Chaves,Brasileiro,Thibang Phete (Chaves)
Rúben Lameiras,POR,"FW,MF",29,2.3,1,0,0,3,0,1,5,1,1,0.0,0.0,0,15.0,0.0,0.0,0.0,Chaves,Brasileiro,Rúben Lameiras (Chaves)
Issah Abbas,GHA,"MF,FW",25,3.1,1,0,0,8,9,1,9,0,0,0.0,0.0,0,8.0,1.0,2.0,33.3,Chaves,Brasileiro,Issah Abbas (Chaves)
Carraça,POR,"MF,DF",30,2.9,0,0,0,1,3,0,25,2,2,0.0,0.0,0,17.0,2.0,0.0,100.0,Chaves,Brasileiro,Carraça (Chaves)
João Queirós,POR,DF,25,2.6,0,0,0,2,4,0,0,4,2,0.0,0.0,0,7.0,6.0,4.0,60.0,Chaves,Brasileiro,João Queirós (Chaves)
Habib sylla,CIV,DF,24,2.2,1,0,0,4,2,0,17,1,1,0.0,1.0,0,7.0,4.0,2.0,66.7,Chaves,Brasileiro,Habib sylla (Chaves)
Hélder Morim,POR,MF,22,1.9,1,0,0,4,4,0,0,4,2,0.0,0.0,0,6.0,2.0,2.0,50.0,Chaves,Brasileiro,Hélder Morim (Chaves)
Pedro Pinho,POR,MF,23,1.7,1,0,0,7,3,0,1,3,2,0.0,0.0,0,12.0,4.0,2.0,66.7,Chaves,Brasileiro,Pedro Pinho (Chaves)
