Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Team,Championship,Player_Team
Ángel Di María,ARG,FW,35,10.4,739.0,5.0,45.0,272.0,438.0,68.0,738.0,58.0,26.0,44.8,28.0,48.3,485.0,2989.0,1418.0,49.0,35.0,21.0,24.0,15.0,557.0,132.0,Benfica,Brasileiro,Ángel Di María (Benfica)
Orkun Kökçü,TUR,MF,23,9.3,808.0,13.0,106.0,493.0,212.0,13.0,808.0,14.0,6.0,42.9,7.0,50.0,464.0,2316.0,1216.0,21.0,17.0,1.0,8.0,8.0,619.0,17.0,Benfica,Brasileiro,Orkun Kökçü (Benfica)
Morato,BRA,DF,22,7.5,469.0,40.0,180.0,202.0,89.0,9.0,469.0,5.0,4.0,80.0,1.0,20.0,232.0,1047.0,547.0,13.0,12.0,1.0,8.0,3.0,274.0,22.0,Benfica,Brasileiro,Morato (Benfica)
Florentino Luís,POR,MF,24,6.6,625.0,23.0,136.0,377.0,119.0,8.0,625.0,7.0,4.0,57.1,2.0,28.6,314.0,1004.0,416.0,2.0,5.0,0.0,13.0,2.0,432.0,11.0,Benfica,Brasileiro,Florentino Luís (Benfica)
Alexander Bah,DEN,DF,26,6.2,506.0,10.0,115.0,233.0,162.0,8.0,506.0,15.0,3.0,20.0,9.0,60.0,253.0,1092.0,576.0,11.0,15.0,0.0,10.0,2.0,312.0,39.0,Benfica,Brasileiro,Alexander Bah (Benfica)
Petar Musa,CRO,FW,25,5.5,183.0,9.0,31.0,57.0,98.0,35.0,183.0,10.0,7.0,70.0,3.0,30.0,95.0,449.0,201.0,6.0,3.0,3.0,11.0,11.0,115.0,26.0,Benfica,Brasileiro,Petar Musa (Benfica)
Arthur,BRA,FW,25,5.1,144.0,3.0,13.0,43.0,93.0,33.0,144.0,11.0,5.0,45.5,5.0,45.5,94.0,477.0,231.0,7.0,8.0,3.0,13.0,9.0,114.0,23.0,Benfica,Brasileiro,Arthur (Benfica)
David Neres,BRA,FW,26,4.6,349.0,3.0,21.0,118.0,215.0,46.0,349.0,27.0,16.0,59.3,10.0,37.0,222.0,1897.0,1052.0,41.0,23.0,12.0,12.0,12.0,287.0,57.0,Benfica,Brasileiro,David Neres (Benfica)
Casper Tengstedt,DEN,FW,23,4.1,126.0,2.0,9.0,44.0,75.0,23.0,126.0,10.0,5.0,50.0,4.0,40.0,78.0,539.0,242.0,13.0,1.0,6.0,9.0,6.0,92.0,32.0,Benfica,Brasileiro,Casper Tengstedt (Benfica)
Samuel Soares,POR,GK,21,3.0,86.0,81.0,86.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,50.0,286.0,148.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,Benfica,Brasileiro,Samuel Soares (Benfica)
David Jurásek,CZE,DF,23,2.9,236.0,15.0,68.0,99.0,74.0,4.0,236.0,11.0,4.0,36.4,6.0,54.5,119.0,635.0,302.0,8.0,5.0,2.0,8.0,2.0,136.0,29.0,Benfica,Brasileiro,David Jurásek (Benfica)
Chiquinho,POR,MF,28,2.1,224.0,4.0,37.0,133.0,57.0,4.0,224.0,4.0,2.0,50.0,2.0,50.0,130.0,757.0,507.0,6.0,3.0,0.0,5.0,2.0,153.0,9.0,Benfica,Brasileiro,Chiquinho (Benfica)
Gonçalo Guedes,POR,"FW,MF",27,1.3,99.0,0.0,3.0,35.0,62.0,12.0,99.0,8.0,5.0,62.5,1.0,12.5,67.0,349.0,175.0,9.0,2.0,4.0,6.0,2.0,80.0,23.0,Benfica,Brasileiro,Gonçalo Guedes (Benfica)
Tomás Araújo,POR,"DF,MF",21,1.0,78.0,2.0,37.0,37.0,4.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,44.0,253.0,168.0,1.0,0.0,0.0,3.0,2.0,47.0,2.0,Benfica,Brasileiro,Tomás Araújo (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1.0,22.0,18.0,21.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,8.0,78.0,24.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
Juan Bernat,ESP,DF,30,0.9,50.0,4.0,14.0,24.0,12.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,28.0,113.0,59.0,1.0,1.0,0.0,0.0,0.0,36.0,2.0,Benfica,Brasileiro,Juan Bernat (Benfica)
Tiago Gouveia,POR,FW,22,0.8,35.0,0.0,3.0,12.0,20.0,2.0,35.0,3.0,1.0,33.3,2.0,66.7,23.0,150.0,68.0,2.0,1.0,2.0,1.0,2.0,29.0,7.0,Benfica,Brasileiro,Tiago Gouveia (Benfica)
João Victor,BRA,DF,25,0.3,33.0,2.0,6.0,11.0,17.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,20.0,93.0,17.0,0.0,0.0,0.0,2.0,1.0,24.0,6.0,Benfica,Brasileiro,João Victor (Benfica)
Gustavo Marques,BRA,DF,22,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Benfica,Brasileiro,Gustavo Marques (Benfica)
Mihailo Ristić,SRB,DF,28,0.0,14.0,0.0,1.0,1.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,123.0,10.0,1.0,1.0,0.0,0.0,0.0,10.0,4.0,Benfica,Brasileiro,Mihailo Ristić (Benfica)
João Gonçalves,POR,GK,23,14.0,404.0,350.0,403.0,1.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,186.0,870.0,512.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Róbert Boženík,SVK,FW,24,13.4,331.0,16.0,30.0,157.0,146.0,56.0,331.0,8.0,4.0,50.0,4.0,50.0,180.0,870.0,245.0,11.0,5.0,3.0,33.0,22.0,238.0,54.0,Boavista,Brasileiro,Róbert Boženík (Boavista)
Salvador Agra,POR,"DF,FW",32,12.5,700.0,7.0,138.0,331.0,234.0,10.0,700.0,23.0,10.0,43.5,13.0,56.5,364.0,1864.0,909.0,32.0,20.0,5.0,16.0,11.0,451.0,78.0,Boavista,Brasileiro,Salvador Agra (Boavista)
Gaius Makouta,CGO,MF,26,12.4,646.0,19.0,107.0,400.0,151.0,23.0,646.0,29.0,10.0,34.5,18.0,62.1,391.0,2364.0,1039.0,25.0,25.0,2.0,17.0,19.0,454.0,48.0,Boavista,Brasileiro,Gaius Makouta (Boavista)
Chidozie Awaziem,NGA,DF,26,13.0,906.0,137.0,544.0,345.0,20.0,14.0,906.0,3.0,2.0,66.7,1.0,33.3,513.0,2349.0,1188.0,2.0,3.0,0.0,11.0,0.0,624.0,2.0,Boavista,Brasileiro,Chidozie Awaziem (Boavista)
Sebastián Pérez Cardona,COL,MF,30,11.3,870.0,23.0,249.0,566.0,61.0,5.0,870.0,9.0,4.0,44.4,1.0,11.1,474.0,1980.0,934.0,4.0,6.0,0.0,11.0,3.0,617.0,13.0,Boavista,Brasileiro,Sebastián Pérez Cardona (Boavista)
Bruno Onyemaechi,NGA,DF,24,11.5,773.0,37.0,253.0,371.0,158.0,12.0,773.0,19.0,10.0,52.6,8.0,42.1,358.0,2274.0,1119.0,31.0,19.0,2.0,23.0,7.0,402.0,39.0,Boavista,Brasileiro,Bruno Onyemaechi (Boavista)
Tiago Fonseca Morais,POR,FW,20,10.5,454.0,15.0,83.0,214.0,161.0,38.0,453.0,50.0,16.0,32.0,30.0,60.0,281.0,1795.0,865.0,32.0,15.0,17.0,33.0,15.0,307.0,60.0,Boavista,Brasileiro,Tiago Fonseca Morais (Boavista)
Rodrigo Abascal,URU,DF,29,10.7,775.0,95.0,448.0,307.0,25.0,4.0,775.0,5.0,5.0,100.0,0.0,0.0,458.0,1842.0,959.0,6.0,3.0,0.0,6.0,0.0,537.0,4.0,Boavista,Brasileiro,Rodrigo Abascal (Boavista)
Miguel Reisinho,POR,MF,24,9.8,491.0,21.0,101.0,306.0,89.0,14.0,491.0,24.0,13.0,54.2,9.0,37.5,242.0,1109.0,378.0,7.0,3.0,2.0,13.0,6.0,313.0,16.0,Boavista,Brasileiro,Miguel Reisinho (Boavista)
Pedro Malheiro,POR,DF,22,6.4,429.0,18.0,141.0,223.0,69.0,6.0,429.0,14.0,12.0,85.7,2.0,14.3,238.0,1231.0,555.0,11.0,10.0,3.0,4.0,3.0,256.0,12.0,Boavista,Brasileiro,Pedro Malheiro (Boavista)
Filipe Ferreira,POR,DF,33,6.3,450.0,38.0,195.0,229.0,28.0,0.0,450.0,4.0,3.0,75.0,1.0,25.0,258.0,1063.0,454.0,3.0,3.0,0.0,7.0,0.0,298.0,2.0,Boavista,Brasileiro,Filipe Ferreira (Boavista)
Bruno Lourenço,POR,"FW,MF",25,5.9,229.0,2.0,21.0,124.0,86.0,8.0,228.0,12.0,6.0,50.0,5.0,41.7,132.0,648.0,312.0,8.0,8.0,1.0,27.0,10.0,150.0,22.0,Boavista,Brasileiro,Bruno Lourenço (Boavista)
Masaki Watai,JPN,"FW,MF",24,2.7,108.0,0.0,16.0,51.0,41.0,3.0,108.0,6.0,4.0,66.7,2.0,33.3,65.0,354.0,143.0,5.0,2.0,2.0,7.0,2.0,82.0,17.0,Boavista,Brasileiro,Masaki Watai (Boavista)
Ilija Vukotić,MNE,MF,24,3.6,185.0,10.0,35.0,112.0,39.0,6.0,185.0,8.0,6.0,75.0,2.0,25.0,88.0,351.0,124.0,2.0,2.0,0.0,3.0,2.0,122.0,6.0,Boavista,Brasileiro,Ilija Vukotić (Boavista)
Martim Tavares,POR,"FW,MF",20,1.5,49.0,2.0,8.0,25.0,19.0,6.0,49.0,5.0,2.0,40.0,2.0,40.0,31.0,151.0,69.0,2.0,2.0,1.0,1.0,2.0,37.0,6.0,Boavista,Brasileiro,Martim Tavares (Boavista)
Ibrahima Camará,GUI,MF,24,1.3,74.0,1.0,18.0,40.0,16.0,1.0,74.0,2.0,1.0,50.0,1.0,50.0,39.0,186.0,119.0,2.0,2.0,0.0,2.0,0.0,55.0,4.0,Boavista,Brasileiro,Ibrahima Camará (Boavista)
Berna,POR,"FW,DF",20,2.4,170.0,7.0,39.0,91.0,42.0,4.0,170.0,8.0,4.0,50.0,4.0,50.0,83.0,481.0,231.0,5.0,3.0,0.0,6.0,4.0,106.0,17.0,Boavista,Brasileiro,Berna (Boavista)
Luís Santos,POR,"DF,FW",23,2.1,132.0,9.0,35.0,56.0,43.0,1.0,132.0,2.0,0.0,0.0,1.0,50.0,68.0,359.0,172.0,4.0,5.0,0.0,4.0,1.0,77.0,14.0,Boavista,Brasileiro,Luís Santos (Boavista)
Jeriel Córdova,VEN,"FW,MF",21,1.3,55.0,1.0,5.0,28.0,22.0,5.0,55.0,6.0,1.0,16.7,4.0,66.7,34.0,108.0,16.0,0.0,0.0,0.0,11.0,4.0,39.0,7.0,Boavista,Brasileiro,Jeriel Córdova (Boavista)
Joel silva,POR,"MF,FW",20,0.5,33.0,2.0,9.0,22.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,13.0,38.0,23.0,0.0,0.0,0.0,2.0,0.0,19.0,0.0,Boavista,Brasileiro,Joel silva (Boavista)
Vincent Sasso,FRA,MF,32,0.0,5.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Boavista,Brasileiro,Vincent Sasso (Boavista)
Matheus,BRA,GK,31,14.0,539.0,436.0,533.0,6.0,0.0,0.0,539.0,2.0,2.0,100.0,0.0,0.0,302.0,1361.0,872.0,0.0,0.0,0.0,1.0,0.0,234.0,0.0,Braga,Brasileiro,Matheus (Braga)
Ricardo Horta,POR,"FW,MF",29,11.6,654.0,7.0,48.0,273.0,339.0,63.0,654.0,20.0,8.0,40.0,10.0,50.0,403.0,1658.0,814.0,20.0,22.0,5.0,22.0,13.0,492.0,99.0,Braga,Brasileiro,Ricardo Horta (Braga)
Simon Banza,COD,FW,27,10.9,335.0,10.0,21.0,108.0,208.0,81.0,334.0,26.0,8.0,30.8,13.0,50.0,199.0,695.0,146.0,3.0,7.0,3.0,38.0,18.0,258.0,71.0,Braga,Brasileiro,Simon Banza (Braga)
Cristian Borja,COL,DF,30,10.3,823.0,24.0,216.0,378.0,236.0,6.0,823.0,14.0,9.0,64.3,4.0,28.6,443.0,1994.0,1068.0,25.0,17.0,1.0,12.0,10.0,497.0,68.0,Braga,Brasileiro,Cristian Borja (Braga)
Álvaro djaló,ESP,"FW,MF",24,10.2,446.0,11.0,43.0,129.0,286.0,66.0,446.0,51.0,21.0,41.2,24.0,47.1,298.0,1710.0,905.0,38.0,28.0,16.0,48.0,14.0,309.0,98.0,Braga,Brasileiro,Álvaro djaló (Braga)
Victor Gomez,ESP,DF,23,8.9,597.0,16.0,143.0,269.0,187.0,12.0,597.0,8.0,5.0,62.5,2.0,25.0,316.0,1473.0,784.0,15.0,14.0,3.0,6.0,3.0,368.0,76.0,Braga,Brasileiro,Victor Gomez (Braga)
José Fonte,POR,DF,40,9.9,693.0,75.0,336.0,335.0,23.0,9.0,693.0,1.0,1.0,100.0,0.0,0.0,417.0,1805.0,926.0,6.0,2.0,0.0,1.0,1.0,485.0,5.0,Braga,Brasileiro,José Fonte (Braga)
Bruma,POR,FW,29,8.6,531.0,1.0,23.0,185.0,332.0,72.0,531.0,62.0,34.0,54.8,26.0,41.9,371.0,2262.0,1297.0,48.0,22.0,22.0,29.0,13.0,405.0,102.0,Braga,Brasileiro,Bruma (Braga)
Almoatasem Al Musrati,LBY,MF,27,7.7,609.0,9.0,101.0,409.0,102.0,17.0,607.0,5.0,4.0,80.0,1.0,20.0,404.0,1699.0,727.0,4.0,10.0,0.0,6.0,3.0,454.0,4.0,Braga,Brasileiro,Almoatasem Al Musrati (Braga)
Serdar Saatçı,TUR,DF,20,7.6,590.0,47.0,266.0,307.0,17.0,6.0,590.0,3.0,2.0,66.7,1.0,33.3,351.0,1524.0,585.0,2.0,0.0,0.0,5.0,0.0,405.0,2.0,Braga,Brasileiro,Serdar Saatçı (Braga)
Rodrigo Zalazar,URU,MF,24,6.8,543.0,7.0,71.0,330.0,148.0,12.0,543.0,20.0,7.0,35.0,9.0,45.0,330.0,1987.0,964.0,22.0,11.0,2.0,12.0,10.0,357.0,23.0,Braga,Brasileiro,Rodrigo Zalazar (Braga)
Sikou Niakaté,MLI,DF,24,6.0,398.0,39.0,202.0,187.0,11.0,5.0,398.0,3.0,2.0,66.7,0.0,0.0,224.0,994.0,524.0,3.0,2.0,0.0,1.0,0.0,258.0,0.0,Braga,Brasileiro,Sikou Niakaté (Braga)
Vitor Carvalho,BRA,MF,26,5.6,392.0,18.0,90.0,252.0,51.0,8.0,392.0,3.0,1.0,33.3,1.0,33.3,167.0,805.0,461.0,7.0,4.0,0.0,7.0,1.0,249.0,2.0,Braga,Brasileiro,Vitor Carvalho (Braga)
Pizzi,POR,"MF,FW",34,5.3,365.0,1.0,18.0,159.0,192.0,25.0,365.0,9.0,3.0,33.3,5.0,55.6,222.0,848.0,373.0,9.0,9.0,5.0,10.0,6.0,295.0,44.0,Braga,Brasileiro,Pizzi (Braga)
Paulo Oliveira,POR,DF,31,5.0,422.0,48.0,214.0,195.0,16.0,7.0,422.0,2.0,0.0,0.0,2.0,100.0,262.0,1072.0,597.0,2.0,1.0,1.0,1.0,0.0,269.0,3.0,Braga,Brasileiro,Paulo Oliveira (Braga)
Abel Ruiz,ESP,"FW,MF",23,6.1,196.0,5.0,11.0,63.0,122.0,36.0,196.0,8.0,6.0,75.0,2.0,25.0,132.0,526.0,232.0,9.0,6.0,4.0,17.0,7.0,155.0,54.0,Braga,Brasileiro,Abel Ruiz (Braga)
André Horta,POR,MF,27,5.0,520.0,6.0,54.0,297.0,175.0,7.0,520.0,11.0,4.0,36.4,5.0,45.5,333.0,1623.0,866.0,15.0,20.0,1.0,7.0,6.0,396.0,19.0,Braga,Brasileiro,André Horta (Braga)
João Moutinho,POR,MF,37,4.7,463.0,7.0,59.0,303.0,105.0,4.0,463.0,5.0,3.0,60.0,1.0,20.0,278.0,1267.0,604.0,8.0,9.0,0.0,6.0,4.0,320.0,11.0,Braga,Brasileiro,João Moutinho (Braga)
Adrián Marín,ESP,DF,26,3.4,250.0,8.0,73.0,95.0,82.0,10.0,250.0,3.0,2.0,66.7,1.0,33.3,114.0,400.0,238.0,7.0,5.0,2.0,5.0,1.0,135.0,17.0,Braga,Brasileiro,Adrián Marín (Braga)
Joe Mendes,SWE,DF,20,3.1,192.0,10.0,49.0,82.0,63.0,5.0,192.0,3.0,1.0,33.3,2.0,66.7,94.0,548.0,361.0,12.0,10.0,2.0,5.0,0.0,101.0,18.0,Braga,Brasileiro,Joe Mendes (Braga)
Rony Lopes,POR,"FW,DF",28,1.8,121.0,3.0,11.0,42.0,70.0,18.0,121.0,5.0,0.0,0.0,4.0,80.0,68.0,469.0,284.0,11.0,10.0,3.0,3.0,1.0,83.0,25.0,Braga,Brasileiro,Rony Lopes (Braga)
Roger Fernandes,GNB,"DF,FW",18,0.6,65.0,2.0,9.0,26.0,32.0,3.0,65.0,4.0,2.0,50.0,2.0,50.0,43.0,337.0,156.0,5.0,2.0,1.0,0.0,0.0,39.0,18.0,Braga,Brasileiro,Roger Fernandes (Braga)
André Castro,POR,MF,35,0.4,45.0,3.0,6.0,34.0,5.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,18.0,65.0,29.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,Braga,Brasileiro,André Castro (Braga)
Ricardo Batista,POR,GK,37,14.0,498.0,451.0,497.0,1.0,0.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,240.0,1305.0,835.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,Casa Pia,Brasileiro,Ricardo Batista (Casa Pia)
