Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Jerónimo Cacciabue,ar ARG,MF,25.0,14,792.0,57.0,32.6,8.8,10,74.0,4,4,12.0,10,1.71,10.0,11.0,-1.0,-0.11,0.0,,,,,,Matches
Miguel Jacquet Duarte,py PAR,DF,27.0,12,764.0,64.0,31.4,8.5,9,78.0,5,3,21.0,7,1.5,10.0,10.0,0.0,0.0,0.16,6.8,13.8,-7.0,-0.82,-0.63,Matches
Ignacio Arce,ar ARG,GK,30.0,5,450.0,90.0,18.5,5.0,5,90.0,5,0,,6,1.0,8.0,11.0,-3.0,-0.6,-0.6,,,,,,Matches
Raúl Lozano,ar ARG,DF,25.0,5,442.0,88.0,18.2,4.9,5,88.0,4,0,,0,1.6,3.0,2.0,1.0,0.2,0.38,2.7,4.2,-1.6,-0.32,0.08,Matches
Gonzalo Asis,ar ARG,DF,26.0,6,433.0,72.0,17.8,4.8,5,85.0,4,1,10.0,16,0.83,5.0,6.0,-1.0,-0.21,-0.12,2.9,6.6,-3.6,-0.76,-0.45,Matches
Maximiliano Zalazar,ar ARG,"MF,FW",21.0,15,416.0,28.0,17.1,4.6,4,60.0,0,11,16.0,11,0.93,7.0,5.0,2.0,0.43,0.66,3.8,7.1,-3.3,-0.71,-0.38,Matches
Ignacio Schor,ar ARG,"MF,FW",22.0,19,503.0,26.0,20.7,5.6,3,65.0,0,16,19.0,1,1.16,6.0,4.0,2.0,0.36,0.59,5.4,8.0,-2.6,-0.47,-0.1,Matches
Gonzalo Valdivia,ar ARG,"MF,DF",21.0,7,229.0,33.0,9.4,2.5,2,67.0,0,5,19.0,4,1.43,3.0,4.0,-1.0,-0.39,-0.31,1.6,4.2,-2.6,-1.04,-0.71,Matches
Juan Pignani,ar ARG,"DF,FW",21.0,5,220.0,44.0,9.1,2.4,2,90.0,2,3,13.0,10,1.2,3.0,7.0,-4.0,-1.64,-1.68,3.3,4.8,-1.6,-0.65,-0.29,Matches
Agustín Alonso,,MF,,7,233.0,33.0,9.6,2.6,1,85.0,0,6,25.0,9,1.29,4.0,3.0,1.0,0.39,0.55,,,,,,Matches
Alexis Sabella,ar ARG,MF,22.0,7,169.0,24.0,7.0,1.9,1,63.0,0,6,18.0,8,0.86,1.0,4.0,-3.0,-1.6,-1.6,0.9,4.2,-3.3,-1.76,-1.47,Matches
Nadir Zeineddin,ar ARG,FW,22.0,9,137.0,15.0,5.6,1.5,0,,0,9,15.0,10,1.22,1.0,2.0,-1.0,-0.66,-0.58,1.8,2.4,-0.7,-0.43,-0.05,Matches
Alejo Monje,ar ARG,FW,21.0,1,7.0,7.0,0.3,0.1,0,,0,1,7.0,11,3.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,-0.59,-0.2,Matches
Federico González,,FW,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Alejandro Miguel Sánchez,ar ARG,GK,36.0,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
Pablo Ramírez,ar ARG,MF,19.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Lautaro Toledo,ar ARG,MF,20.0,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Squad Total,,,26.6,27,2430.0,90.0,100.0,27.0,297,82.0,169,126,19.0,189,1.26,26.0,29.0,-3.0,-0.11,,21.9,32.5,-10.5,-0.39,,
Opponent Total,,,26.9,27,2430.0,90.0,100.0,27.0,297,82.0,180,116,20.0,200,1.48,29.0,26.0,3.0,0.11,,32.5,21.9,10.5,0.39,,
