Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Team,Championship,Player_Team
Daniel Borges,BRA,DF,29.0,8.9,1,1,0,15,4,0,44,14,12,0.0,0.0,0,50.0,5.0,12.0,29.4,América (MG),Brasileiro,Daniel Borges (América (MG))
Nicolas,BRA,DF,25.0,8.0,1,0,0,10,5,1,26,11,6,0.0,0.0,0,51.0,8.0,7.0,53.3,América (MG),Brasileiro,Nicolas (América (MG))
Mateus Henrique,BRA,DF,20.0,6.0,1,1,0,13,10,0,18,5,8,0.0,1.0,0,30.0,7.0,3.0,70.0,América (MG),Brasileiro,Mateus Henrique (América (MG))
Júlio César,BRA,DF,19.0,6.6,1,0,0,10,1,0,0,4,7,0.0,0.0,0,24.0,21.0,10.0,67.7,América (MG),Brasileiro,Júlio César (América (MG))
Wanderson,BRA,DF,31.0,5.6,0,0,0,10,0,0,0,4,4,0.0,0.0,0,15.0,17.0,8.0,68.0,América (MG),Brasileiro,Wanderson (América (MG))
Rodrigo Varanda,BRA,"FW,MF",20.0,5.7,1,0,0,9,8,6,10,0,5,0.0,0.0,0,28.0,5.0,14.0,26.3,América (MG),Brasileiro,Rodrigo Varanda (América (MG))
Renato Marques,BRA,"FW,MF",19.0,5.7,2,0,0,11,5,4,3,2,2,0.0,0.0,0,13.0,8.0,16.0,33.3,América (MG),Brasileiro,Renato Marques (América (MG))
Pedrinho,BRA,"FW,MF",23.0,4.6,0,0,0,3,7,1,16,6,1,0.0,0.0,0,23.0,2.0,1.0,66.7,América (MG),Brasileiro,Pedrinho (América (MG))
Esteban Burgos,ARG,DF,31.0,3.3,4,1,1,7,0,0,0,1,1,0.0,0.0,0,7.0,4.0,6.0,40.0,América (MG),Brasileiro,Esteban Burgos (América (MG))
Óscar Méndez,URU,MF,28.0,2.9,3,0,0,6,3,0,1,4,6,0.0,0.0,0,15.0,2.0,1.0,66.7,América (MG),Brasileiro,Óscar Méndez (América (MG))
Matheusinho,BRA,"MF,FW",24.0,2.5,0,0,0,3,7,1,12,1,3,0.0,0.0,0,25.0,1.0,4.0,20.0,América (MG),Brasileiro,Matheusinho (América (MG))
Nino Paraíba,BRA,DF,37.0,2.2,1,0,0,5,5,1,17,4,2,0.0,1.0,0,12.0,5.0,1.0,83.3,América (MG),Brasileiro,Nino Paraíba (América (MG))
Washington Aguerre,URU,GK,29.0,2.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Washington Aguerre (América (MG))
Henrique Almeida,BRA,FW,31.0,1.7,0,0,0,5,1,1,2,0,1,0.0,1.0,0,4.0,3.0,10.0,23.1,América (MG),Brasileiro,Henrique Almeida (América (MG))
Paulinho,BRA,FW,24.0,1.5,2,0,0,5,5,2,4,0,2,0.0,0.0,0,11.0,0.0,2.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Juan Cazares,ECU,"MF,FW",30.0,3.1,0,0,0,2,3,0,18,0,2,0.0,0.0,0,15.0,1.0,4.0,20.0,América (MG),Brasileiro,Juan Cazares (América (MG))
Adyson,BRA,"FW,MF",17.0,2.7,1,0,0,6,7,0,31,5,5,0.0,0.0,0,16.0,0.0,0.0,0.0,América (MG),Brasileiro,Adyson (América (MG))
Mikael,BRA,FW,23.0,1.7,0,0,0,0,2,1,1,0,1,0.0,0.0,0,4.0,2.0,5.0,28.6,América (MG),Brasileiro,Mikael (América (MG))
Arthur,BRA,DF,19.0,1.0,0,0,0,7,2,0,3,1,1,0.0,1.0,0,8.0,2.0,1.0,66.7,América (MG),Brasileiro,Arthur (América (MG))
Wellington Paulista,BRA,FW,38.0,2.5,1,0,0,5,1,2,0,0,0,0.0,0.0,0,7.0,7.0,7.0,50.0,América (MG),Brasileiro,Wellington Paulista (América (MG))
Mateus Gonçalves Martins,BRA,"MF,FW",28.0,0.7,1,0,0,0,2,0,4,0,2,0.0,0.0,0,2.0,2.0,4.0,33.3,América (MG),Brasileiro,Mateus Gonçalves Martins (América (MG))
Renato Kayser,BRA,"FW,MF",26.0,0.4,0,0,0,2,1,1,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,América (MG),Brasileiro,Renato Kayser (América (MG))
Ighor Gabryel,BRA,FW,20.0,0.3,0,0,0,4,1,0,0,0,0,0.0,0.0,0,1.0,3.0,5.0,37.5,América (MG),Brasileiro,Ighor Gabryel (América (MG))
Paulinho,BRA,DF,18.0,0.3,0,0,0,1,0,0,2,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Jhow,BRA,DF,19.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0.0,100.0,América (MG),Brasileiro,Jhow (América (MG))
Yago Souza,BRA,MF,16.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Yago Souza (América (MG))
Bento,BRA,GK,23.0,33.0,3,0,0,2,4,0,0,1,0,0.0,0.0,0,16.0,10.0,0.0,100.0,Ath Paranaense,Brasileiro,Bento (Ath Paranaense)
Thiago Heleno,BRA,DF,34.0,30.9,9,0,0,38,18,2,0,41,26,0.0,1.0,0,136.0,83.0,53.0,61.0,Ath Paranaense,Brasileiro,Thiago Heleno (Ath Paranaense)
Erick,BRA,MF,25.0,27.8,7,0,0,49,24,1,4,42,27,0.0,1.0,0,144.0,64.0,39.0,62.1,Ath Paranaense,Brasileiro,Erick (Ath Paranaense)
Vitor Bueno,BRA,"MF,FW",28.0,23.1,7,0,0,21,34,5,146,6,7,0.0,0.0,0,87.0,18.0,37.0,32.7,Ath Paranaense,Brasileiro,Vitor Bueno (Ath Paranaense)
Fernandinho,BRA,MF,37.0,21.5,11,1,1,31,33,1,13,16,15,0.0,1.0,0,147.0,29.0,31.0,48.3,Ath Paranaense,Brasileiro,Fernandinho (Ath Paranaense)
Agustín Canobbio,URU,"FW,MF",24.0,23.5,10,0,0,42,50,13,70,8,39,1.0,1.0,0,143.0,19.0,31.0,38.0,Ath Paranaense,Brasileiro,Agustín Canobbio (Ath Paranaense)
Tomás Cuello,ARG,"MF,FW",22.0,22.8,5,0,0,37,49,4,123,37,25,0.0,0.0,0,121.0,25.0,27.0,48.1,Ath Paranaense,Brasileiro,Tomás Cuello (Ath Paranaense)
Vitor Roque,BRA,FW,17.0,19.0,6,0,0,35,55,8,6,2,10,1.0,0.0,0,57.0,24.0,38.0,38.7,Ath Paranaense,Brasileiro,Vitor Roque (Ath Paranaense)
Cacá,BRA,DF,23.0,18.8,6,0,0,30,9,0,4,18,16,0.0,0.0,0,87.0,41.0,36.0,53.2,Ath Paranaense,Brasileiro,Cacá (Ath Paranaense)
Lucas Esquivel,ARG,DF,21.0,18.3,3,0,0,24,26,0,85,22,27,0.0,1.0,0,112.0,11.0,26.0,29.7,Ath Paranaense,Brasileiro,Lucas Esquivel (Ath Paranaense)
Hugo Moura,BRA,MF,25.0,14.7,6,0,0,28,15,0,7,19,19,0.0,0.0,0,78.0,15.0,8.0,65.2,Ath Paranaense,Brasileiro,Hugo Moura (Ath Paranaense)
Pablo,BRA,FW,30.0,15.5,3,0,0,23,19,11,10,8,10,0.0,0.0,0,61.0,25.0,37.0,40.3,Ath Paranaense,Brasileiro,Pablo (Ath Paranaense)
Christian,BRA,"MF,FW",22.0,15.1,1,0,0,32,25,0,21,10,13,0.0,0.0,0,55.0,7.0,22.0,24.1,Ath Paranaense,Brasileiro,Christian (Ath Paranaense)
Mádson,BRA,"DF,MF",31.0,14.8,4,0,0,17,20,3,19,11,4,0.0,0.0,0,43.0,39.0,28.0,58.2,Ath Paranaense,Brasileiro,Mádson (Ath Paranaense)
Bruno Zapelli,ARG,"MF,FW",20.0,12.7,0,0,0,13,13,1,39,7,7,0.0,0.0,0,56.0,7.0,12.0,36.8,Ath Paranaense,Brasileiro,Bruno Zapelli (Ath Paranaense)
Khellven,BRA,DF,21.0,11.1,1,0,0,9,9,3,40,16,11,0.0,0.0,0,44.0,9.0,14.0,39.1,Ath Paranaense,Brasileiro,Khellven (Ath Paranaense)
Zé Ivaldo,BRA,DF,25.0,11.3,2,1,0,20,10,0,3,16,13,0.0,1.0,0,74.0,32.0,18.0,64.0,Ath Paranaense,Brasileiro,Zé Ivaldo (Ath Paranaense)
Pedro Henrique,BRA,DF,27.0,9.5,3,0,0,14,6,2,4,12,5,0.0,0.0,0,51.0,22.0,18.0,55.0,Ath Paranaense,Brasileiro,Pedro Henrique (Ath Paranaense)
Alex Santana,BRA,MF,27.0,11.1,6,1,0,20,25,3,3,11,11,0.0,0.0,0,60.0,13.0,14.0,48.1,Ath Paranaense,Brasileiro,Alex Santana (Ath Paranaense)
Kaique Rocha,BRA,DF,21.0,7.2,2,0,0,7,3,0,0,13,3,0.0,1.0,0,34.0,20.0,10.0,66.7,Ath Paranaense,Brasileiro,Kaique Rocha (Ath Paranaense)
Matheus Felipe,BRA,DF,24.0,5.9,1,0,0,5,2,0,0,6,3,0.0,0.0,0,20.0,13.0,9.0,59.1,Ath Paranaense,Brasileiro,Matheus Felipe (Ath Paranaense)
Willian,BRA,"FW,MF",36.0,6.4,0,0,0,12,5,2,2,1,7,0.0,0.0,0,20.0,5.0,13.0,27.8,Ath Paranaense,Brasileiro,Willian (Ath Paranaense)
Fernando,BRA,DF,23.0,5.3,1,0,0,4,2,0,21,8,9,0.0,0.0,0,25.0,3.0,8.0,27.3,Ath Paranaense,Brasileiro,Fernando (Ath Paranaense)
Arturo Vidal,CHI,MF,35.0,4.2,3,0,0,11,10,0,7,6,8,0.0,0.0,0,21.0,5.0,7.0,41.7,Ath Paranaense,Brasileiro,Arturo Vidal (Ath Paranaense)
Rômulo,BRA,"FW,MF",20.0,5.7,1,0,0,9,7,2,10,5,8,1.0,0.0,0,35.0,14.0,22.0,38.9,Ath Paranaense,Brasileiro,Rômulo (Ath Paranaense)
Leonardo Linck,BRA,GK,21.0,5.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,Ath Paranaense,Brasileiro,Leonardo Linck (Ath Paranaense)
David Terans,URU,"MF,FW",28.0,4.4,1,0,0,6,10,4,20,1,1,0.0,0.0,0,21.0,1.0,8.0,11.1,Ath Paranaense,Brasileiro,David Terans (Ath Paranaense)
Vinicius Kaue,BRA,"DF,MF",19.0,3.8,1,1,0,7,1,0,9,3,2,0.0,0.0,0,13.0,3.0,8.0,27.3,Ath Paranaense,Brasileiro,Vinicius Kaue (Ath Paranaense)
Pedrinho,BRA,"DF,MF",20.0,4.0,1,0,0,4,5,0,6,9,4,0.0,0.0,0,29.0,2.0,4.0,33.3,Ath Paranaense,Brasileiro,Pedrinho (Ath Paranaense)
Léo Cittadini,BRA,"MF,FW",28.0,2.2,0,0,0,6,3,0,6,2,4,0.0,0.0,0,12.0,4.0,4.0,50.0,Ath Paranaense,Brasileiro,Léo Cittadini (Ath Paranaense)
Thiago,BRA,"FW,MF",22.0,2.5,1,0,0,2,3,0,2,1,3,0.0,0.0,0,12.0,1.0,2.0,33.3,Ath Paranaense,Brasileiro,Thiago (Ath Paranaense)
Luciano Arriagada,CHI,"FW,MF",20.0,2.1,0,0,0,14,6,0,1,0,1,0.0,0.0,0,12.0,4.0,14.0,22.2,Ath Paranaense,Brasileiro,Luciano Arriagada (Ath Paranaense)
Bruno Peres,BRA,"DF,MF",32.0,1.7,0,0,0,4,1,0,3,0,1,0.0,0.0,0,3.0,1.0,1.0,50.0,Ath Paranaense,Brasileiro,Bruno Peres (Ath Paranaense)
Marcelo Cirino,BRA,"FW,MF",31.0,1.1,1,0,0,2,2,2,0,0,0,0.0,0.0,0,1.0,5.0,3.0,62.5,Ath Paranaense,Brasileiro,Marcelo Cirino (Ath Paranaense)
Lucas Belezi,BRA,DF,19.0,0.5,1,0,0,1,1,0,1,0,1,0.0,0.0,0,1.0,2.0,0.0,100.0,Ath Paranaense,Brasileiro,Lucas Belezi (Ath Paranaense)
Reinaldo,BRA,FW,21.0,0.2,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0.0,0.0,2.0,0.0,Ath Paranaense,Brasileiro,Reinaldo (Ath Paranaense)
Chiqueti,BRA,MF,17.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Chiqueti (Ath Paranaense)
Danielzinho,BRA,FW,20.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Danielzinho (Ath Paranaense)
Dudu,BRA,MF,17.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Dudu (Ath Paranaense)
Bryan García,ECU,MF,22.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Bryan García (Ath Paranaense)
Éverson,BRA,GK,32.0,36.0,6,0,0,0,9,0,0,1,0,0.0,0.0,0,28.0,3.0,0.0,100.0,Atlético Mineiro,Brasileiro,Éverson (Atlético Mineiro)
Paulinho,BRA,"FW,MF",22.0,33.2,3,0,0,21,24,11,18,16,31,0.0,0.0,0,164.0,25.0,32.0,43.9,Atlético Mineiro,Brasileiro,Paulinho (Atlético Mineiro)
Hulk,BRA,FW,36.0,32.7,9,1,0,54,121,22,128,1,21,2.0,0.0,0,79.0,42.0,64.0,39.6,Atlético Mineiro,Brasileiro,Hulk (Atlético Mineiro)
Jemerson,BRA,DF,30.0,27.5,9,0,0,43,19,2,0,31,20,0.0,0.0,1,117.0,47.0,36.0,56.6,Atlético Mineiro,Brasileiro,Jemerson (Atlético Mineiro)
Guilherme Arana,BRA,DF,25.0,26.5,2,1,0,21,26,0,100,32,29,0.0,0.0,0,115.0,25.0,30.0,45.5,Atlético Mineiro,Brasileiro,Guilherme Arana (Atlético Mineiro)
Otávio,BRA,MF,28.0,25.6,8,0,0,47,14,0,3,27,40,0.0,0.0,0,136.0,26.0,27.0,49.1,Atlético Mineiro,Brasileiro,Otávio (Atlético Mineiro)
Mauricio Lemos,URU,DF,27.0,24.6,12,1,1,25,17,2,2,41,29,0.0,0.0,0,137.0,61.0,41.0,59.8,Atlético Mineiro,Brasileiro,Mauricio Lemos (Atlético Mineiro)
Federico Zaracho,ARG,"MF,FW",24.0,21.6,8,0,0,47,28,2,9,31,42,0.0,0.0,0,116.0,11.0,42.0,20.8,Atlético Mineiro,Brasileiro,Federico Zaracho (Atlético Mineiro)
Cristian Pavón,ARG,"FW,MF",27.0,21.5,7,0,0,19,24,11,84,19,28,0.0,0.0,0,111.0,13.0,25.0,34.2,Atlético Mineiro,Brasileiro,Cristian Pavón (Atlético Mineiro)
Renzo Saravia,ARG,DF,29.0,19.0,8,1,0,44,43,1,44,17,39,1.0,0.0,0,138.0,23.0,31.0,42.6,Atlético Mineiro,Brasileiro,Renzo Saravia (Atlético Mineiro)
Rodrigo Battaglia,ARG,MF,31.0,19.2,6,0,0,42,22,1,7,12,29,0.0,0.0,0,106.0,28.0,28.0,50.0,Atlético Mineiro,Brasileiro,Rodrigo Battaglia (Atlético Mineiro)
Mariano,BRA,DF,36.0,17.4,5,0,0,29,4,0,39,20,31,0.0,1.0,0,127.0,7.0,20.0,25.9,Atlético Mineiro,Brasileiro,Mariano (Atlético Mineiro)
Igor Gomes,BRA,"MF,FW",23.0,15.3,1,0,0,24,21,1,63,11,14,0.0,0.0,0,88.0,17.0,19.0,47.2,Atlético Mineiro,Brasileiro,Igor Gomes (Atlético Mineiro)
Edenílson,BRA,"MF,FW",33.0,15.2,1,0,0,16,15,0,12,18,12,0.0,0.0,0,85.0,12.0,18.0,40.0,Atlético Mineiro,Brasileiro,Edenílson (Atlético Mineiro)
Rubens,BRA,"DF,MF",21.0,15.0,5,0,0,38,18,3,36,19,49,0.0,0.0,0,91.0,36.0,34.0,51.4,Atlético Mineiro,Brasileiro,Rubens (Atlético Mineiro)
Bruno Fuchs,BRA,DF,23.0,12.1,2,0,0,11,10,0,3,16,6,0.0,0.0,0,61.0,15.0,13.0,53.6,Atlético Mineiro,Brasileiro,Bruno Fuchs (Atlético Mineiro)
Hyoran,BRA,"MF,FW",29.0,7.7,4,0,0,24,12,1,50,3,8,0.0,1.0,0,37.0,5.0,6.0,45.5,Atlético Mineiro,Brasileiro,Hyoran (Atlético Mineiro)
Alan Franco,ECU,"MF,FW",24.0,9.3,2,0,0,30,3,0,4,15,14,0.0,0.0,0,59.0,8.0,14.0,36.4,Atlético Mineiro,Brasileiro,Alan Franco (Atlético Mineiro)
Igor Rabello,BRA,DF,27.0,7.7,2,1,0,11,2,0,1,9,12,0.0,0.0,0,37.0,31.0,18.0,63.3,Atlético Mineiro,Brasileiro,Igor Rabello (Atlético Mineiro)
Pedrinho,BRA,"MF,FW",24.0,7.0,2,0,0,15,14,0,23,1,5,0.0,0.0,0,34.0,5.0,10.0,33.3,Atlético Mineiro,Brasileiro,Pedrinho (Atlético Mineiro)
Eduardo Vargas,CHI,FW,33.0,5.2,3,0,0,7,5,0,4,0,1,1.0,0.0,0,8.0,11.0,13.0,45.8,Atlético Mineiro,Brasileiro,Eduardo Vargas (Atlético Mineiro)
Nathan Silva,BRA,DF,25.0,4.0,1,0,0,5,1,0,1,0,2,0.0,0.0,0,19.0,5.0,4.0,55.6,Atlético Mineiro,Brasileiro,Nathan Silva (Atlético Mineiro)
Patrick,BRA,"MF,FW",30.0,6.2,1,0,0,10,13,1,16,6,19,1.0,0.0,0,36.0,11.0,16.0,40.7,Atlético Mineiro,Brasileiro,Patrick (Atlético Mineiro)
Alan Kardec,BRA,"FW,MF",34.0,2.9,1,0,0,8,4,3,1,1,0,0.0,0.0,0,5.0,12.0,14.0,46.2,Atlético Mineiro,Brasileiro,Alan Kardec (Atlético Mineiro)
Matheus Mendes,BRA,GK,23.0,2.0,3,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Atlético Mineiro,Brasileiro,Matheus Mendes (Atlético Mineiro)
Réver,BRA,"DF,FW",38.0,1.3,1,0,0,1,2,0,0,1,0,0.0,0.0,0,3.0,3.0,2.0,60.0,Atlético Mineiro,Brasileiro,Réver (Atlético Mineiro)
Dodô,BRA,DF,30.0,0.7,0,0,0,0,2,0,4,1,0,0.0,0.0,0,1.0,2.0,2.0,50.0,Atlético Mineiro,Brasileiro,Dodô (Atlético Mineiro)
Alisson,BRA,"MF,DF",17.0,0.5,1,0,0,3,1,0,3,0,2,0.0,0.0,0,5.0,0.0,1.0,0.0,Atlético Mineiro,Brasileiro,Alisson (Atlético Mineiro)
Isaac,BRA,FW,18.0,0.2,0,0,0,1,0,0,0,0,1,0.0,0.0,0,1.0,0.0,1.0,0.0,Atlético Mineiro,Brasileiro,Isaac (Atlético Mineiro)
Paulo Vitor,BRA,MF,18.0,0.2,0,0,0,2,1,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Paulo Vitor (Atlético Mineiro)
Carlos Eduardo,BRA,"MF,FW",18.0,0.1,0,0,0,1,0,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Carlos Eduardo (Atlético Mineiro)
Marcos Felipe,BRA,GK,26.0,37.0,0,0,0,0,3,0,0,1,3,0.0,0.0,0,29.0,7.0,0.0,100.0,Bahia,Brasileiro,Marcos Felipe (Bahia)
Thaciano,BRA,"MF,FW",27.0,32.1,4,0,0,36,30,8,21,26,25,0.0,0.0,0,151.0,44.0,59.0,42.7,Bahia,Brasileiro,Thaciano (Bahia)
Kanu,BRA,DF,25.0,32.3,10,2,1,41,44,3,1,47,25,0.0,0.0,1,165.0,51.0,46.0,52.6,Bahia,Brasileiro,Kanu (Bahia)
Rezende,BRA,"MF,DF",28.0,30.1,9,1,1,65,31,0,11,62,60,0.0,1.0,0,200.0,51.0,32.0,61.4,Bahia,Brasileiro,Rezende (Bahia)
Cauly Oliveira Souza,BRA,"MF,FW",27.0,28.3,4,0,0,23,25,6,130,13,12,0.0,0.0,0,137.0,9.0,14.0,39.1,Bahia,Brasileiro,Cauly Oliveira Souza (Bahia)
Vitor Hugo,BRA,DF,31.0,23.7,5,0,0,23,13,0,0,32,24,0.0,1.0,0,80.0,69.0,25.0,73.4,Bahia,Brasileiro,Vitor Hugo (Bahia)
Everaldo Stum,BRA,FW,31.0,24.2,6,0,0,27,31,10,21,2,8,0.0,0.0,0,54.0,84.0,57.0,59.6,Bahia,Brasileiro,Everaldo Stum (Bahia)
Nicolás Acevedo,URU,MF,23.0,21.9,7,1,1,39,34,0,11,26,46,0.0,0.0,0,174.0,22.0,29.0,43.1,Bahia,Brasileiro,Nicolás Acevedo (Bahia)
Gilberto,BRA,DF,29.0,20.6,4,0,0,19,23,0,50,18,28,1.0,2.0,0,138.0,27.0,17.0,61.4,Bahia,Brasileiro,Gilberto (Bahia)
Ademir Santos,BRA,"FW,MF",27.0,19.3,6,0,0,27,84,6,93,8,20,1.0,0.0,0,97.0,16.0,30.0,34.8,Bahia,Brasileiro,Ademir Santos (Bahia)
Yago,BRA,MF,27.0,15.1,6,0,0,43,27,0,12,16,25,0.0,0.0,0,89.0,3.0,10.0,23.1,Bahia,Brasileiro,Yago (Bahia)
Gabriel Teixeira,BRA,"FW,MF",21.0,15.1,4,0,0,22,53,3,51,14,11,1.0,0.0,0,58.0,4.0,14.0,22.2,Bahia,Brasileiro,Gabriel Teixeira (Bahia)
Camilo Cándido,URU,DF,27.0,13.8,2,1,0,19,7,1,46,23,16,0.0,1.0,0,85.0,5.0,16.0,23.8,Bahia,Brasileiro,Camilo Cándido (Bahia)
Gabriel,BRA,DF,21.0,10.9,2,0,0,14,8,0,0,30,9,0.0,0.0,0,40.0,35.0,12.0,74.5,Bahia,Brasileiro,Gabriel (Bahia)
David Duarte,BRA,DF,28.0,9.6,3,0,0,8,4,0,0,11,5,0.0,0.0,0,39.0,26.0,14.0,65.0,Bahia,Brasileiro,David Duarte (Bahia)
Cicinho,BUL,DF,34.0,8.4,4,0,0,24,13,1,23,5,16,0.0,0.0,0,33.0,13.0,7.0,65.0,Bahia,Brasileiro,Cicinho (Bahia)
Rafael Ratão,BRA,"FW,MF",27.0,8.7,2,0,0,12,11,1,8,2,17,0.0,0.0,0,52.0,10.0,13.0,43.5,Bahia,Brasileiro,Rafael Ratão (Bahia)
Vinicius Mingotti,BRA,FW,23.0,7.3,2,0,0,14,15,6,0,2,5,0.0,0.0,0,11.0,7.0,25.0,21.9,Bahia,Brasileiro,Vinicius Mingotti (Bahia)
Vítor Jacaré,BRA,"DF,MF",23.0,9.5,4,0,0,20,16,3,55,11,19,0.0,0.0,0,53.0,10.0,11.0,47.6,Bahia,Brasileiro,Vítor Jacaré (Bahia)
Jhoanner Chávez,ECU,"DF,MF",20.0,6.5,1,0,0,16,4,2,15,7,9,0.0,1.0,0,32.0,4.0,7.0,36.4,Bahia,Brasileiro,Jhoanner Chávez (Bahia)
Luciano Juba,BRA,"DF,MF",23.0,7.2,0,0,0,3,3,0,50,9,9,0.0,0.0,0,33.0,6.0,4.0,60.0,Bahia,Brasileiro,Luciano Juba (Bahia)
