Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Christian,BRA,"MF,FW",22.0,15.1,4,26,7,26.9,1.72,0.46,0.15,0.57,20.1,0.0,0,0,2.7,2.7,0.1,1.3,1.3,Ath Paranaense,Brasileiro,Christian (Ath Paranaense)
Mádson,BRA,"DF,MF",31.0,14.8,2,12,7,58.3,0.81,0.47,0.17,0.29,11.1,0.0,0,0,1.3,1.3,0.11,0.7,0.7,Ath Paranaense,Brasileiro,Mádson (Ath Paranaense)
Bruno Zapelli,ARG,"MF,FW",20.0,12.7,2,32,5,15.6,2.52,0.39,0.06,0.4,21.6,0.0,0,0,2.5,2.5,0.08,-0.5,-0.5,Ath Paranaense,Brasileiro,Bruno Zapelli (Ath Paranaense)
Khellven,BRA,DF,21.0,11.1,0,10,2,20.0,0.9,0.18,0.0,0.0,21.0,3.0,0,0,1.0,1.0,0.12,-1.0,-1.0,Ath Paranaense,Brasileiro,Khellven (Ath Paranaense)
Zé Ivaldo,BRA,DF,25.0,11.3,0,3,1,33.3,0.27,0.09,0.0,0.0,26.6,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Ath Paranaense,Brasileiro,Zé Ivaldo (Ath Paranaense)
Pedro Henrique,BRA,DF,27.0,9.5,1,7,2,28.6,0.74,0.21,0.14,0.5,15.5,0.0,0,0,0.6,0.6,0.08,0.4,0.4,Ath Paranaense,Brasileiro,Pedro Henrique (Ath Paranaense)
Alex Santana,BRA,MF,27.0,11.1,3,22,6,27.3,1.98,0.54,0.14,0.5,22.8,0.0,0,0,1.2,1.2,0.05,1.8,1.8,Ath Paranaense,Brasileiro,Alex Santana (Ath Paranaense)
Kaique Rocha,BRA,DF,21.0,7.2,1,4,1,25.0,0.55,0.14,0.25,1.0,11.6,0.0,0,0,0.2,0.2,0.05,0.8,0.8,Ath Paranaense,Brasileiro,Kaique Rocha (Ath Paranaense)
Matheus Felipe,BRA,DF,24.0,5.9,0,2,1,50.0,0.34,0.17,0.0,0.0,35.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Ath Paranaense,Brasileiro,Matheus Felipe (Ath Paranaense)
Willian,BRA,"FW,MF",36.0,6.4,4,17,7,41.2,2.67,1.1,0.24,0.57,16.2,0.0,0,0,1.9,1.9,0.11,2.1,2.1,Ath Paranaense,Brasileiro,Willian (Ath Paranaense)
Fernando,BRA,DF,23.0,5.3,0,2,0,0.0,0.38,0.0,0.0,0.0,26.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Ath Paranaense,Brasileiro,Fernando (Ath Paranaense)
Arturo Vidal,CHI,MF,35.0,4.2,0,2,0,0.0,0.47,0.0,0.0,0.0,14.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Ath Paranaense,Brasileiro,Arturo Vidal (Ath Paranaense)
Rômulo,BRA,"FW,MF",20.0,5.7,0,12,3,25.0,2.12,0.53,0.0,0.0,15.4,0.0,0,0,1.5,1.5,0.13,-1.5,-1.5,Ath Paranaense,Brasileiro,Rômulo (Ath Paranaense)
Leonardo Linck,BRA,GK,21.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Leonardo Linck (Ath Paranaense)
David Terans,URU,"MF,FW",28.0,4.4,0,12,2,16.7,2.75,0.46,0.0,0.0,27.5,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9,Ath Paranaense,Brasileiro,David Terans (Ath Paranaense)
Vinicius Kaue,BRA,"DF,MF",19.0,3.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Vinicius Kaue (Ath Paranaense)
Pedrinho,BRA,"DF,MF",20.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Pedrinho (Ath Paranaense)
Léo Cittadini,BRA,"MF,FW",28.0,2.2,0,3,1,33.3,1.34,0.45,0.0,0.0,23.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Ath Paranaense,Brasileiro,Léo Cittadini (Ath Paranaense)
Thiago,BRA,"FW,MF",22.0,2.5,0,4,1,25.0,1.61,0.4,0.0,0.0,17.7,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Ath Paranaense,Brasileiro,Thiago (Ath Paranaense)
Luciano Arriagada,CHI,"FW,MF",20.0,2.1,0,4,1,25.0,1.89,0.47,0.0,0.0,15.9,0.0,0,0,0.9,0.9,0.22,-0.9,-0.9,Ath Paranaense,Brasileiro,Luciano Arriagada (Ath Paranaense)
Bruno Peres,BRA,"DF,MF",32.0,1.7,0,1,0,0.0,0.57,0.0,0.0,0.0,24.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Ath Paranaense,Brasileiro,Bruno Peres (Ath Paranaense)
Marcelo Cirino,BRA,"FW,MF",31.0,1.1,0,2,0,0.0,1.76,0.0,0.0,0.0,10.8,0.0,0,0,0.4,0.4,0.19,-0.4,-0.4,Ath Paranaense,Brasileiro,Marcelo Cirino (Ath Paranaense)
Lucas Belezi,BRA,DF,19.0,0.5,0,1,0,0.0,2.0,0.0,0.0,0.0,15.7,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Ath Paranaense,Brasileiro,Lucas Belezi (Ath Paranaense)
Reinaldo,BRA,FW,21.0,0.2,0,1,0,0.0,5.63,0.0,0.0,0.0,24.8,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Ath Paranaense,Brasileiro,Reinaldo (Ath Paranaense)
Chiqueti,BRA,MF,17.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Chiqueti (Ath Paranaense)
Danielzinho,BRA,FW,20.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Danielzinho (Ath Paranaense)
Dudu,BRA,MF,17.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Dudu (Ath Paranaense)
Bryan García,ECU,MF,22.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Bryan García (Ath Paranaense)
Éverson,BRA,GK,32.0,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Éverson (Atlético Mineiro)
Paulinho,BRA,"FW,MF",22.0,33.2,20,90,47,52.2,2.71,1.41,0.22,0.43,13.3,0.0,0,0,14.9,14.9,0.17,5.1,5.1,Atlético Mineiro,Brasileiro,Paulinho (Atlético Mineiro)
Hulk,BRA,FW,36.0,32.7,15,117,43,36.8,3.58,1.32,0.09,0.23,25.2,34.0,5,5,11.9,8.4,0.07,3.1,1.6,Atlético Mineiro,Brasileiro,Hulk (Atlético Mineiro)
Jemerson,BRA,DF,30.0,27.5,0,10,2,20.0,0.36,0.07,0.0,0.0,10.2,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0,Atlético Mineiro,Brasileiro,Jemerson (Atlético Mineiro)
Guilherme Arana,BRA,DF,25.0,26.5,2,28,7,25.0,1.06,0.26,0.07,0.29,23.9,0.0,0,0,1.0,1.0,0.04,1.0,1.0,Atlético Mineiro,Brasileiro,Guilherme Arana (Atlético Mineiro)
Otávio,BRA,MF,28.0,25.6,0,8,2,25.0,0.31,0.08,0.0,0.0,25.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Atlético Mineiro,Brasileiro,Otávio (Atlético Mineiro)
Mauricio Lemos,URU,DF,27.0,24.6,1,21,7,33.3,0.85,0.28,0.05,0.14,20.2,5.0,0,0,1.1,1.1,0.05,-0.1,-0.1,Atlético Mineiro,Brasileiro,Mauricio Lemos (Atlético Mineiro)
Federico Zaracho,ARG,"MF,FW",24.0,21.6,2,21,4,19.0,0.97,0.18,0.1,0.5,16.6,0.0,0,0,3.0,3.0,0.14,-1.0,-1.0,Atlético Mineiro,Brasileiro,Federico Zaracho (Atlético Mineiro)
Cristian Pavón,ARG,"FW,MF",27.0,21.5,3,53,17,32.1,2.47,0.79,0.04,0.12,20.5,1.0,1,1,4.1,3.3,0.06,-1.1,-1.3,Atlético Mineiro,Brasileiro,Cristian Pavón (Atlético Mineiro)
Renzo Saravia,ARG,DF,29.0,19.0,0,10,3,30.0,0.53,0.16,0.0,0.0,25.2,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Atlético Mineiro,Brasileiro,Renzo Saravia (Atlético Mineiro)
Rodrigo Battaglia,ARG,MF,31.0,19.2,0,17,3,17.6,0.89,0.16,0.0,0.0,18.7,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9,Atlético Mineiro,Brasileiro,Rodrigo Battaglia (Atlético Mineiro)
Mariano,BRA,DF,36.0,17.4,0,1,1,100.0,0.06,0.06,0.0,0.0,14.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Atlético Mineiro,Brasileiro,Mariano (Atlético Mineiro)
Igor Gomes,BRA,"MF,FW",23.0,15.3,2,19,5,26.3,1.24,0.33,0.11,0.4,21.0,0.0,0,0,1.8,1.8,0.09,0.2,0.2,Atlético Mineiro,Brasileiro,Igor Gomes (Atlético Mineiro)
Edenílson,BRA,"MF,FW",33.0,15.2,1,8,3,37.5,0.53,0.2,0.13,0.33,20.3,0.0,0,0,0.5,0.5,0.06,0.5,0.5,Atlético Mineiro,Brasileiro,Edenílson (Atlético Mineiro)
Rubens,BRA,"DF,MF",21.0,15.0,1,18,5,27.8,1.2,0.33,0.06,0.2,22.3,0.0,0,0,1.1,1.1,0.06,-0.1,-0.1,Atlético Mineiro,Brasileiro,Rubens (Atlético Mineiro)
Bruno Fuchs,BRA,DF,23.0,12.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Bruno Fuchs (Atlético Mineiro)
Hyoran,BRA,"MF,FW",29.0,7.7,2,19,5,26.3,2.47,0.65,0.11,0.4,20.9,3.0,0,0,2.1,2.1,0.11,-0.1,-0.1,Atlético Mineiro,Brasileiro,Hyoran (Atlético Mineiro)
Alan Franco,ECU,"MF,FW",24.0,9.3,0,4,1,25.0,0.43,0.11,0.0,0.0,22.2,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Atlético Mineiro,Brasileiro,Alan Franco (Atlético Mineiro)
Igor Rabello,BRA,DF,27.0,7.7,0,2,1,50.0,0.26,0.13,0.0,0.0,9.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Atlético Mineiro,Brasileiro,Igor Rabello (Atlético Mineiro)
Pedrinho,BRA,"MF,FW",24.0,7.0,0,10,2,20.0,1.43,0.29,0.0,0.0,27.4,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Atlético Mineiro,Brasileiro,Pedrinho (Atlético Mineiro)
Eduardo Vargas,CHI,FW,33.0,5.2,1,6,4,66.7,1.15,0.77,0.17,0.25,18.2,0.0,0,0,0.3,0.3,0.05,0.7,0.7,Atlético Mineiro,Brasileiro,Eduardo Vargas (Atlético Mineiro)
Nathan Silva,BRA,DF,25.0,4.0,0,2,1,50.0,0.5,0.25,0.0,0.0,10.4,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Atlético Mineiro,Brasileiro,Nathan Silva (Atlético Mineiro)
Patrick,BRA,"MF,FW",30.0,6.2,0,6,1,16.7,0.97,0.16,0.0,0.0,11.0,0.0,0,0,0.9,0.9,0.16,-0.9,-0.9,Atlético Mineiro,Brasileiro,Patrick (Atlético Mineiro)
Alan Kardec,BRA,"FW,MF",34.0,2.9,1,7,1,14.3,2.38,0.34,0.14,1.0,10.5,0.0,0,0,0.9,0.9,0.13,0.1,0.1,Atlético Mineiro,Brasileiro,Alan Kardec (Atlético Mineiro)
Matheus Mendes,BRA,GK,23.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Matheus Mendes (Atlético Mineiro)
Réver,BRA,"DF,FW",38.0,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Réver (Atlético Mineiro)
Dodô,BRA,DF,30.0,0.7,0,1,0,0.0,1.53,0.0,0.0,0.0,25.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Atlético Mineiro,Brasileiro,Dodô (Atlético Mineiro)
Alisson,BRA,"MF,DF",17.0,0.5,0,1,0,0.0,1.84,0.0,0.0,0.0,33.9,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Atlético Mineiro,Brasileiro,Alisson (Atlético Mineiro)
Isaac,BRA,FW,18.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Isaac (Atlético Mineiro)
Paulo Vitor,BRA,MF,18.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Paulo Vitor (Atlético Mineiro)
Carlos Eduardo,BRA,"MF,FW",18.0,0.1,0,1,0,0.0,7.5,0.0,0.0,0.0,28.8,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Atlético Mineiro,Brasileiro,Carlos Eduardo (Atlético Mineiro)
Marcos Felipe,BRA,GK,26.0,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Bahia,Brasileiro,Marcos Felipe (Bahia)
Thaciano,BRA,"MF,FW",27.0,32.1,6,64,16,25.0,2.0,0.5,0.06,0.25,17.3,0.0,2,2,9.4,7.8,0.12,-3.4,-3.8,Bahia,Brasileiro,Thaciano (Bahia)
