Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Team,Championship,Player_Team
Wanderson,BRA,DF,31.0,5.6,5.0,4,4.0,0.0,1.0,1.0,7.0,14.3,6.0,6.0,4.0,2.0,4,9.0,28.0,0.0,América (MG),Brasileiro,Wanderson (América (MG))
Rodrigo Varanda,BRA,"FW,MF",20.0,5.7,8.0,5,3.0,2.0,3.0,4.0,15.0,26.7,11.0,9.0,0.0,9.0,0,8.0,5.0,0.0,América (MG),Brasileiro,Rodrigo Varanda (América (MG))
Renato Marques,BRA,"FW,MF",19.0,5.7,4.0,2,3.0,1.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,2,6.0,5.0,0.0,América (MG),Brasileiro,Renato Marques (América (MG))
Pedrinho,BRA,"FW,MF",23.0,4.6,5.0,1,2.0,3.0,0.0,2.0,9.0,22.2,7.0,1.0,0.0,1.0,6,11.0,2.0,0.0,América (MG),Brasileiro,Pedrinho (América (MG))
Esteban Burgos,ARG,DF,31.0,3.3,2.0,1,1.0,1.0,0.0,2.0,3.0,66.7,1.0,5.0,2.0,3.0,1,3.0,24.0,0.0,América (MG),Brasileiro,Esteban Burgos (América (MG))
Óscar Méndez,URU,MF,28.0,2.9,8.0,6,0.0,8.0,0.0,4.0,10.0,40.0,6.0,3.0,1.0,2.0,4,12.0,11.0,0.0,América (MG),Brasileiro,Óscar Méndez (América (MG))
Matheusinho,BRA,"MF,FW",24.0,2.5,5.0,3,3.0,1.0,1.0,1.0,3.0,33.3,2.0,4.0,0.0,4.0,1,6.0,0.0,0.0,América (MG),Brasileiro,Matheusinho (América (MG))
Nino Paraíba,BRA,DF,37.0,2.2,2.0,2,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,4,6.0,2.0,0.0,América (MG),Brasileiro,Nino Paraíba (América (MG))
Washington Aguerre,URU,GK,29.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,América (MG),Brasileiro,Washington Aguerre (América (MG))
Henrique Almeida,BRA,FW,31.0,1.7,2.0,1,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,2.0,1.0,0.0,América (MG),Brasileiro,Henrique Almeida (América (MG))
Paulinho,BRA,FW,24.0,1.5,2.0,2,0.0,2.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Juan Cazares,ECU,"MF,FW",30.0,3.1,4.0,2,2.0,2.0,0.0,1.0,5.0,20.0,4.0,3.0,0.0,3.0,0,4.0,0.0,0.0,América (MG),Brasileiro,Juan Cazares (América (MG))
Adyson,BRA,"FW,MF",17.0,2.7,8.0,5,3.0,3.0,2.0,3.0,6.0,50.0,3.0,1.0,0.0,1.0,5,13.0,0.0,0.0,América (MG),Brasileiro,Adyson (América (MG))
Mikael,BRA,FW,23.0,1.7,2.0,1,0.0,2.0,0.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,0,2.0,0.0,0.0,América (MG),Brasileiro,Mikael (América (MG))
Arthur,BRA,DF,19.0,1.0,2.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,1.0,0.0,América (MG),Brasileiro,Arthur (América (MG))
Wellington Paulista,BRA,FW,38.0,2.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,América (MG),Brasileiro,Wellington Paulista (América (MG))
Mateus Gonçalves Martins,BRA,"MF,FW",28.0,0.7,2.0,2,0.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0,2.0,1.0,0.0,América (MG),Brasileiro,Mateus Gonçalves Martins (América (MG))
Renato Kayser,BRA,"FW,MF",26.0,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,América (MG),Brasileiro,Renato Kayser (América (MG))
Ighor Gabryel,BRA,FW,20.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,América (MG),Brasileiro,Ighor Gabryel (América (MG))
Paulinho,BRA,DF,18.0,0.3,1.0,0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Jhow,BRA,DF,19.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,América (MG),Brasileiro,Jhow (América (MG))
Yago Souza,BRA,MF,16.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,América (MG),Brasileiro,Yago Souza (América (MG))
Bento,BRA,GK,23.0,33.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,18.0,1.0,Ath Paranaense,Brasileiro,Bento (Ath Paranaense)
Thiago Heleno,BRA,DF,34.0,30.9,41.0,26,28.0,12.0,1.0,27.0,39.0,69.2,12.0,35.0,19.0,16.0,41,82.0,138.0,1.0,Ath Paranaense,Brasileiro,Thiago Heleno (Ath Paranaense)
Erick,BRA,MF,25.0,27.8,48.0,27,18.0,26.0,4.0,21.0,44.0,47.7,23.0,33.0,12.0,21.0,42,90.0,32.0,0.0,Ath Paranaense,Brasileiro,Erick (Ath Paranaense)
Vitor Bueno,BRA,"MF,FW",28.0,23.1,16.0,7,6.0,7.0,3.0,5.0,18.0,27.8,13.0,16.0,2.0,14.0,6,22.0,1.0,0.0,Ath Paranaense,Brasileiro,Vitor Bueno (Ath Paranaense)
Fernandinho,BRA,MF,37.0,21.5,26.0,15,10.0,13.0,3.0,16.0,33.0,48.5,17.0,19.0,7.0,12.0,16,42.0,27.0,0.0,Ath Paranaense,Brasileiro,Fernandinho (Ath Paranaense)
Agustín Canobbio,URU,"FW,MF",24.0,23.5,59.0,39,19.0,24.0,16.0,30.0,65.0,46.2,35.0,48.0,3.0,45.0,8,67.0,18.0,0.0,Ath Paranaense,Brasileiro,Agustín Canobbio (Ath Paranaense)
Tomás Cuello,ARG,"MF,FW",22.0,22.8,54.0,25,22.0,27.0,5.0,29.0,51.0,56.9,22.0,19.0,2.0,17.0,37,91.0,29.0,1.0,Ath Paranaense,Brasileiro,Tomás Cuello (Ath Paranaense)
Vitor Roque,BRA,FW,17.0,19.0,19.0,10,8.0,8.0,3.0,7.0,18.0,38.9,11.0,12.0,2.0,10.0,2,21.0,2.0,0.0,Ath Paranaense,Brasileiro,Vitor Roque (Ath Paranaense)
Cacá,BRA,DF,23.0,18.8,27.0,16,23.0,4.0,0.0,16.0,25.0,64.0,9.0,23.0,15.0,8.0,18,45.0,69.0,1.0,Ath Paranaense,Brasileiro,Cacá (Ath Paranaense)
Lucas Esquivel,ARG,DF,21.0,18.3,34.0,27,15.0,14.0,5.0,13.0,27.0,48.1,14.0,27.0,7.0,20.0,22,56.0,50.0,0.0,Ath Paranaense,Brasileiro,Lucas Esquivel (Ath Paranaense)
Hugo Moura,BRA,MF,25.0,14.7,41.0,19,21.0,19.0,1.0,14.0,45.0,31.1,31.0,31.0,4.0,27.0,19,60.0,27.0,0.0,Ath Paranaense,Brasileiro,Hugo Moura (Ath Paranaense)
Pablo,BRA,FW,30.0,15.5,18.0,10,4.0,11.0,3.0,7.0,16.0,43.8,9.0,11.0,1.0,10.0,8,26.0,19.0,0.0,Ath Paranaense,Brasileiro,Pablo (Ath Paranaense)
Christian,BRA,"MF,FW",22.0,15.1,23.0,13,5.0,15.0,3.0,8.0,19.0,42.1,11.0,15.0,1.0,14.0,10,33.0,9.0,1.0,Ath Paranaense,Brasileiro,Christian (Ath Paranaense)
Mádson,BRA,"DF,MF",31.0,14.8,12.0,4,5.0,7.0,0.0,5.0,9.0,55.6,4.0,12.0,5.0,7.0,11,23.0,41.0,0.0,Ath Paranaense,Brasileiro,Mádson (Ath Paranaense)
Bruno Zapelli,ARG,"MF,FW",20.0,12.7,16.0,7,6.0,8.0,2.0,13.0,22.0,59.1,9.0,17.0,1.0,16.0,7,23.0,3.0,0.0,Ath Paranaense,Brasileiro,Bruno Zapelli (Ath Paranaense)
Khellven,BRA,DF,21.0,11.1,14.0,11,6.0,8.0,0.0,11.0,21.0,52.4,10.0,9.0,5.0,4.0,16,30.0,29.0,0.0,Ath Paranaense,Brasileiro,Khellven (Ath Paranaense)
Zé Ivaldo,BRA,DF,25.0,11.3,17.0,13,13.0,4.0,0.0,10.0,14.0,71.4,4.0,7.0,5.0,2.0,16,33.0,45.0,0.0,Ath Paranaense,Brasileiro,Zé Ivaldo (Ath Paranaense)
Pedro Henrique,BRA,DF,27.0,9.5,8.0,5,6.0,2.0,0.0,1.0,6.0,16.7,5.0,21.0,14.0,7.0,12,20.0,30.0,0.0,Ath Paranaense,Brasileiro,Pedro Henrique (Ath Paranaense)
Alex Santana,BRA,MF,27.0,11.1,15.0,11,5.0,7.0,3.0,9.0,19.0,47.4,10.0,10.0,7.0,3.0,11,26.0,8.0,0.0,Ath Paranaense,Brasileiro,Alex Santana (Ath Paranaense)
Kaique Rocha,BRA,DF,21.0,7.2,6.0,3,3.0,2.0,1.0,3.0,4.0,75.0,1.0,8.0,3.0,5.0,13,19.0,46.0,0.0,Ath Paranaense,Brasileiro,Kaique Rocha (Ath Paranaense)
Matheus Felipe,BRA,DF,24.0,5.9,5.0,3,5.0,0.0,0.0,2.0,6.0,33.3,4.0,10.0,5.0,5.0,6,11.0,22.0,0.0,Ath Paranaense,Brasileiro,Matheus Felipe (Ath Paranaense)
Willian,BRA,"FW,MF",36.0,6.4,9.0,7,0.0,7.0,2.0,2.0,8.0,25.0,6.0,3.0,0.0,3.0,1,10.0,0.0,0.0,Ath Paranaense,Brasileiro,Willian (Ath Paranaense)
Fernando,BRA,DF,23.0,5.3,11.0,9,7.0,3.0,1.0,7.0,9.0,77.8,2.0,1.0,0.0,1.0,8,19.0,10.0,0.0,Ath Paranaense,Brasileiro,Fernando (Ath Paranaense)
Arturo Vidal,CHI,MF,35.0,4.2,11.0,8,3.0,6.0,2.0,2.0,7.0,28.6,5.0,2.0,1.0,1.0,6,17.0,4.0,0.0,Ath Paranaense,Brasileiro,Arturo Vidal (Ath Paranaense)
Rômulo,BRA,"FW,MF",20.0,5.7,15.0,8,5.0,8.0,2.0,5.0,16.0,31.3,11.0,5.0,0.0,5.0,5,20.0,8.0,0.0,Ath Paranaense,Brasileiro,Rômulo (Ath Paranaense)
Leonardo Linck,BRA,GK,21.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,Ath Paranaense,Brasileiro,Leonardo Linck (Ath Paranaense)
David Terans,URU,"MF,FW",28.0,4.4,3.0,1,0.0,2.0,1.0,1.0,5.0,20.0,4.0,4.0,0.0,4.0,1,4.0,0.0,0.0,Ath Paranaense,Brasileiro,David Terans (Ath Paranaense)
Vinicius Kaue,BRA,"DF,MF",19.0,3.8,7.0,2,4.0,3.0,0.0,4.0,8.0,50.0,4.0,6.0,1.0,5.0,3,10.0,12.0,0.0,Ath Paranaense,Brasileiro,Vinicius Kaue (Ath Paranaense)
Pedrinho,BRA,"DF,MF",20.0,4.0,6.0,4,1.0,5.0,0.0,3.0,8.0,37.5,5.0,10.0,0.0,10.0,9,15.0,10.0,0.0,Ath Paranaense,Brasileiro,Pedrinho (Ath Paranaense)
Léo Cittadini,BRA,"MF,FW",28.0,2.2,4.0,4,2.0,1.0,1.0,2.0,5.0,40.0,3.0,1.0,1.0,0.0,2,6.0,2.0,0.0,Ath Paranaense,Brasileiro,Léo Cittadini (Ath Paranaense)
Thiago,BRA,"FW,MF",22.0,2.5,5.0,3,3.0,2.0,0.0,3.0,7.0,42.9,4.0,1.0,0.0,1.0,1,6.0,0.0,0.0,Ath Paranaense,Brasileiro,Thiago (Ath Paranaense)
Luciano Arriagada,CHI,"FW,MF",20.0,2.1,2.0,1,1.0,0.0,1.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0,2.0,1.0,0.0,Ath Paranaense,Brasileiro,Luciano Arriagada (Ath Paranaense)
Bruno Peres,BRA,"DF,MF",32.0,1.7,3.0,1,2.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,1.0,0.0,0,3.0,4.0,0.0,Ath Paranaense,Brasileiro,Bruno Peres (Ath Paranaense)
Marcelo Cirino,BRA,"FW,MF",31.0,1.1,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0,2.0,0.0,0.0,Ath Paranaense,Brasileiro,Marcelo Cirino (Ath Paranaense)
Lucas Belezi,BRA,DF,19.0,0.5,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,1.0,0,1.0,0.0,0.0,Ath Paranaense,Brasileiro,Lucas Belezi (Ath Paranaense)
Reinaldo,BRA,FW,21.0,0.2,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Ath Paranaense,Brasileiro,Reinaldo (Ath Paranaense)
Chiqueti,BRA,MF,17.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Chiqueti (Ath Paranaense)
Danielzinho,BRA,FW,20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Danielzinho (Ath Paranaense)
Dudu,BRA,MF,17.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Dudu (Ath Paranaense)
Bryan García,ECU,MF,22.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Bryan García (Ath Paranaense)
Éverson,BRA,GK,32.0,36.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,18.0,0.0,Atlético Mineiro,Brasileiro,Éverson (Atlético Mineiro)
Paulinho,BRA,"FW,MF",22.0,33.2,43.0,31,14.0,24.0,5.0,18.0,37.0,48.6,19.0,25.0,1.0,24.0,16,59.0,17.0,0.0,Atlético Mineiro,Brasileiro,Paulinho (Atlético Mineiro)
Hulk,BRA,FW,36.0,32.7,28.0,21,6.0,14.0,8.0,9.0,22.0,40.9,13.0,12.0,3.0,9.0,1,29.0,37.0,0.0,Atlético Mineiro,Brasileiro,Hulk (Atlético Mineiro)
Jemerson,BRA,DF,30.0,27.5,30.0,20,19.0,10.0,1.0,16.0,33.0,48.5,17.0,31.0,24.0,7.0,31,61.0,104.0,1.0,Atlético Mineiro,Brasileiro,Jemerson (Atlético Mineiro)
Guilherme Arana,BRA,DF,25.0,26.5,42.0,29,25.0,16.0,1.0,15.0,25.0,60.0,10.0,31.0,10.0,21.0,32,74.0,56.0,0.0,Atlético Mineiro,Brasileiro,Guilherme Arana (Atlético Mineiro)
Otávio,BRA,MF,28.0,25.6,75.0,40,33.0,35.0,7.0,34.0,84.0,40.5,50.0,41.0,16.0,25.0,27,102.0,34.0,0.0,Atlético Mineiro,Brasileiro,Otávio (Atlético Mineiro)
Mauricio Lemos,URU,DF,27.0,24.6,41.0,29,30.0,9.0,2.0,27.0,35.0,77.1,8.0,31.0,25.0,6.0,41,82.0,120.0,0.0,Atlético Mineiro,Brasileiro,Mauricio Lemos (Atlético Mineiro)
Federico Zaracho,ARG,"MF,FW",24.0,21.6,71.0,42,27.0,37.0,7.0,27.0,92.0,29.3,65.0,29.0,4.0,25.0,31,102.0,22.0,0.0,Atlético Mineiro,Brasileiro,Federico Zaracho (Atlético Mineiro)
Cristian Pavón,ARG,"FW,MF",27.0,21.5,33.0,28,13.0,11.0,9.0,17.0,58.0,29.3,41.0,23.0,0.0,23.0,19,52.0,9.0,0.0,Atlético Mineiro,Brasileiro,Cristian Pavón (Atlético Mineiro)
Renzo Saravia,ARG,DF,29.0,19.0,61.0,39,29.0,25.0,7.0,38.0,74.0,51.4,36.0,35.0,7.0,28.0,17,78.0,48.0,0.0,Atlético Mineiro,Brasileiro,Renzo Saravia (Atlético Mineiro)
Rodrigo Battaglia,ARG,MF,31.0,19.2,39.0,29,15.0,22.0,2.0,20.0,37.0,54.1,17.0,22.0,9.0,13.0,12,51.0,22.0,1.0,Atlético Mineiro,Brasileiro,Rodrigo Battaglia (Atlético Mineiro)
Mariano,BRA,DF,36.0,17.4,48.0,31,30.0,16.0,2.0,34.0,50.0,68.0,16.0,11.0,4.0,7.0,20,68.0,33.0,1.0,Atlético Mineiro,Brasileiro,Mariano (Atlético Mineiro)
Igor Gomes,BRA,"MF,FW",23.0,15.3,20.0,14,12.0,6.0,2.0,14.0,29.0,48.3,15.0,17.0,4.0,13.0,11,31.0,9.0,0.0,Atlético Mineiro,Brasileiro,Igor Gomes (Atlético Mineiro)
Edenílson,BRA,"MF,FW",33.0,15.2,21.0,12,11.0,7.0,3.0,15.0,26.0,57.7,11.0,20.0,2.0,18.0,18,39.0,22.0,1.0,Atlético Mineiro,Brasileiro,Edenílson (Atlético Mineiro)
Rubens,BRA,"DF,MF",21.0,15.0,81.0,49,47.0,22.0,12.0,30.0,55.0,54.5,25.0,16.0,3.0,13.0,19,100.0,58.0,0.0,Atlético Mineiro,Brasileiro,Rubens (Atlético Mineiro)
Bruno Fuchs,BRA,DF,23.0,12.1,13.0,6,11.0,2.0,0.0,4.0,8.0,50.0,4.0,11.0,5.0,6.0,16,29.0,53.0,0.0,Atlético Mineiro,Brasileiro,Bruno Fuchs (Atlético Mineiro)
Hyoran,BRA,"MF,FW",29.0,7.7,15.0,8,5.0,6.0,4.0,9.0,26.0,34.6,17.0,13.0,2.0,11.0,3,18.0,6.0,0.0,Atlético Mineiro,Brasileiro,Hyoran (Atlético Mineiro)
Alan Franco,ECU,"MF,FW",24.0,9.3,26.0,14,11.0,10.0,5.0,8.0,18.0,44.4,10.0,12.0,4.0,8.0,15,41.0,9.0,0.0,Atlético Mineiro,Brasileiro,Alan Franco (Atlético Mineiro)
Igor Rabello,BRA,DF,27.0,7.7,17.0,12,13.0,4.0,0.0,11.0,23.0,47.8,12.0,12.0,8.0,4.0,9,26.0,40.0,0.0,Atlético Mineiro,Brasileiro,Igor Rabello (Atlético Mineiro)
Pedrinho,BRA,"MF,FW",24.0,7.0,13.0,5,4.0,7.0,2.0,4.0,5.0,80.0,1.0,6.0,0.0,6.0,1,14.0,2.0,0.0,Atlético Mineiro,Brasileiro,Pedrinho (Atlético Mineiro)
Eduardo Vargas,CHI,FW,33.0,5.2,3.0,1,1.0,2.0,0.0,3.0,12.0,25.0,9.0,4.0,0.0,4.0,0,3.0,1.0,0.0,Atlético Mineiro,Brasileiro,Eduardo Vargas (Atlético Mineiro)
Nathan Silva,BRA,DF,25.0,4.0,3.0,2,3.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,2.0,1.0,0,3.0,14.0,0.0,Atlético Mineiro,Brasileiro,Nathan Silva (Atlético Mineiro)
Patrick,BRA,"MF,FW",30.0,6.2,28.0,19,9.0,10.0,9.0,11.0,26.0,42.3,15.0,11.0,1.0,10.0,6,34.0,9.0,0.0,Atlético Mineiro,Brasileiro,Patrick (Atlético Mineiro)
Alan Kardec,BRA,"FW,MF",34.0,2.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1.0,0.0,Atlético Mineiro,Brasileiro,Alan Kardec (Atlético Mineiro)
Matheus Mendes,BRA,GK,23.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Atlético Mineiro,Brasileiro,Matheus Mendes (Atlético Mineiro)
Réver,BRA,"DF,FW",38.0,1.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,1.0,11.0,0.0,Atlético Mineiro,Brasileiro,Réver (Atlético Mineiro)
Dodô,BRA,DF,30.0,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,Atlético Mineiro,Brasileiro,Dodô (Atlético Mineiro)
Alisson,BRA,"MF,DF",17.0,0.5,2.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,2.0,1.0,0.0,Atlético Mineiro,Brasileiro,Alisson (Atlético Mineiro)
Isaac,BRA,FW,18.0,0.2,1.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Atlético Mineiro,Brasileiro,Isaac (Atlético Mineiro)
Paulo Vitor,BRA,MF,18.0,0.2,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Atlético Mineiro,Brasileiro,Paulo Vitor (Atlético Mineiro)
Carlos Eduardo,BRA,"MF,FW",18.0,0.1,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Atlético Mineiro,Brasileiro,Carlos Eduardo (Atlético Mineiro)
Marcos Felipe,BRA,GK,26.0,37.0,3.0,3,3.0,0.0,0.0,3.0,6.0,50.0,3.0,0.0,0.0,0.0,1,4.0,24.0,1.0,Bahia,Brasileiro,Marcos Felipe (Bahia)
