Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Team,Championship,Player_Team
Matheus Cavichioli,BRA,GK,36.0,15,1348.0,90.0,39.4,15.0,15,90.0,14,0,0.0,11,0.47,13.0,31.0,-18.0,-1.2,-0.29,20.0,22.5,-2.5,-0.17,0.42,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Rodriguinho,BRA,"DF,MF",19.0,20,1247.0,62.0,36.5,13.9,15,77.0,7,5,18.0,6,0.9,20.0,24.0,-4.0,-0.29,1.16,13.4,23.8,-10.5,-0.76,-0.53,América (MG),Brasileiro,Rodriguinho (América (MG))
Everaldo,BRA,"FW,MF",28.0,21,1233.0,59.0,36.1,13.7,15,69.0,2,6,33.0,9,0.38,15.0,29.0,-14.0,-1.02,0.01,16.3,26.3,-10.0,-0.73,-0.49,América (MG),Brasileiro,Everaldo (América (MG))
Ale,BRA,MF,32.0,27,1424.0,53.0,41.6,15.8,14,80.0,7,13,23.0,7,0.59,14.0,34.0,-20.0,-1.26,-0.41,20.3,29.5,-9.2,-0.58,-0.28,América (MG),Brasileiro,Ale (América (MG))
Martín Benítez,ARG,"MF,FW",28.0,20,1120.0,56.0,32.7,12.4,14,67.0,2,6,30.0,6,0.35,16.0,31.0,-15.0,-1.21,-0.27,16.7,22.0,-5.3,-0.43,-0.02,América (MG),Brasileiro,Martín Benítez (América (MG))
Breno Cascardo,BRA,MF,19.0,24,1162.0,48.0,34.0,12.9,13,64.0,0,11,30.0,8,0.83,12.0,25.0,-13.0,-1.01,0.03,14.9,16.2,-1.3,-0.1,0.48,América (MG),Brasileiro,Breno Cascardo (América (MG))
Jori,BRA,GK,26.0,11,990.0,90.0,28.9,11.0,11,90.0,11,0,0.0,3,0.55,12.0,25.0,-13.0,-1.18,-0.22,11.3,22.1,-10.9,-0.99,-0.8,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10,900.0,90.0,26.3,10.0,10,90.0,10,0,0.0,13,0.91,15.0,22.0,-7.0,-0.7,0.44,13.2,15.3,-2.1,-0.21,0.29,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Marcinho,BRA,DF,26.0,12,800.0,67.0,23.4,8.9,10,76.0,4,2,20.0,7,0.5,10.0,21.0,-11.0,-1.24,-0.28,12.1,13.4,-1.3,-0.14,0.36,América (MG),Brasileiro,Marcinho (América (MG))
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34.0,12,717.0,60.0,21.0,8.0,10,64.0,1,2,37.0,0,0.75,7.0,15.0,-8.0,-1.0,0.03,10.8,12.7,-1.8,-0.23,0.24,América (MG),Brasileiro,Aloísio dos Santos Gonçalves (América (MG))
Daniel Borges,BRA,DF,29.0,14,799.0,57.0,23.4,8.9,8,82.0,4,6,24.0,5,0.64,5.0,19.0,-14.0,-1.58,-0.72,8.2,15.7,-7.5,-0.85,-0.56,América (MG),Brasileiro,Daniel Borges (América (MG))
Nicolas,BRA,DF,25.0,11,720.0,65.0,21.1,8.0,8,79.0,3,3,30.0,10,0.55,11.0,16.0,-5.0,-0.62,0.51,12.3,11.4,0.9,0.11,0.67,América (MG),Brasileiro,Nicolas (América (MG))
Mateus Henrique,BRA,DF,20.0,12,536.0,45.0,15.7,6.0,7,62.0,0,5,20.0,12,1.0,11.0,10.0,1.0,0.17,1.42,8.8,8.4,0.3,0.06,0.56,América (MG),Brasileiro,Mateus Henrique (América (MG))
Júlio César,BRA,DF,19.0,9,595.0,66.0,17.4,6.6,6,87.0,4,3,24.0,14,1.11,6.0,11.0,-5.0,-0.76,0.33,6.7,13.2,-6.5,-0.98,-0.68,América (MG),Brasileiro,Júlio César (América (MG))
Wanderson,BRA,DF,31.0,7,500.0,71.0,14.6,5.6,5,90.0,5,2,25.0,7,1.14,7.0,9.0,-2.0,-0.36,0.78,5.9,8.0,-2.1,-0.37,0.05,América (MG),Brasileiro,Wanderson (América (MG))
Rodrigo Varanda,BRA,"FW,MF",20.0,12,516.0,43.0,15.1,5.7,4,70.0,1,8,30.0,3,0.83,10.0,10.0,0.0,0.0,1.21,9.7,7.5,2.2,0.38,0.95,América (MG),Brasileiro,Rodrigo Varanda (América (MG))
Renato Marques,BRA,"FW,MF",19.0,12,515.0,43.0,15.1,5.7,4,68.0,1,8,30.0,6,0.92,10.0,15.0,-5.0,-0.87,0.18,6.4,12.1,-5.7,-0.99,-0.67,América (MG),Brasileiro,Renato Marques (América (MG))
Pedrinho,BRA,"FW,MF",23.0,8,411.0,51.0,12.0,4.6,4,80.0,1,4,23.0,2,0.25,3.0,11.0,-8.0,-1.75,-0.82,4.5,6.6,-2.1,-0.46,-0.04,América (MG),Brasileiro,Pedrinho (América (MG))
Esteban Burgos,ARG,DF,31.0,4,294.0,74.0,8.6,3.3,4,74.0,2,0,0.0,7,0.4,4.0,8.0,-4.0,-1.22,-0.22,3.5,3.1,0.5,0.14,0.61,América (MG),Brasileiro,Esteban Burgos (América (MG))
Óscar Méndez,URU,MF,28.0,7,260.0,37.0,7.6,2.9,2,74.0,0,5,22.0,12,0.71,2.0,8.0,-6.0,-2.08,-1.14,2.0,4.3,-2.4,-0.82,-0.44,América (MG),Brasileiro,Óscar Méndez (América (MG))
Matheusinho,BRA,"MF,FW",24.0,7,229.0,33.0,6.7,2.5,2,65.0,0,5,20.0,1,0.14,3.0,8.0,-5.0,-1.97,-1.01,3.8,4.5,-0.8,-0.3,0.13,América (MG),Brasileiro,Matheusinho (América (MG))
Nino Paraíba,BRA,DF,37.0,4,197.0,49.0,5.8,2.2,2,80.0,1,2,19.0,0,0.0,0.0,6.0,-6.0,-2.74,-1.82,2.5,4.9,-2.4,-1.1,-0.72,América (MG),Brasileiro,Nino Paraíba (América (MG))
Washington Aguerre,URU,GK,29.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,0.0,11,0.5,3.0,4.0,-1.0,-0.5,0.56,2.4,2.7,-0.3,-0.16,0.27,América (MG),Brasileiro,Washington Aguerre (América (MG))
Henrique Almeida,BRA,FW,31.0,4,156.0,39.0,4.6,1.7,2,62.0,0,2,17.0,3,0.75,3.0,5.0,-2.0,-1.15,-0.13,2.1,5.3,-3.3,-1.88,-1.53,América (MG),Brasileiro,Henrique Almeida (América (MG))
Paulinho,BRA,FW,24.0,3,136.0,45.0,4.0,1.5,2,59.0,0,1,19.0,3,0.33,1.0,3.0,-2.0,-1.32,-0.31,1.9,3.2,-1.3,-0.86,-0.46,América (MG),Brasileiro,Paulinho (América (MG))
Juan Cazares,ECU,"MF,FW",30.0,12,283.0,24.0,8.3,3.1,1,70.0,0,11,19.0,3,0.67,5.0,6.0,-1.0,-0.32,0.77,5.7,5.5,0.2,0.06,0.52,América (MG),Brasileiro,Juan Cazares (América (MG))
Adyson,BRA,"FW,MF",17.0,8,245.0,31.0,7.2,2.7,1,90.0,1,7,22.0,6,0.38,0.0,7.0,-7.0,-2.57,-1.66,2.7,5.3,-2.6,-0.96,-0.58,América (MG),Brasileiro,Adyson (América (MG))
Mikael,BRA,FW,23.0,5,153.0,31.0,4.5,1.7,1,61.0,0,4,23.0,7,0.2,1.0,4.0,-3.0,-1.76,-0.77,3.1,2.7,0.3,0.2,0.65,América (MG),Brasileiro,Mikael (América (MG))
Arthur,BRA,DF,19.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,0.0,0,0.0,2.0,3.0,-1.0,-1.0,0.03,1.8,1.8,0.0,-0.01,0.41,América (MG),Brasileiro,Arthur (América (MG))
Wellington Paulista,BRA,FW,38.0,10,227.0,23.0,6.6,2.5,0,0.0,0,10,23.0,21,0.2,2.0,8.0,-6.0,-2.38,-1.45,4.0,4.0,0.0,-0.01,0.43,América (MG),Brasileiro,Wellington Paulista (América (MG))
Mateus Gonçalves Martins,BRA,"MF,FW",28.0,3,65.0,22.0,1.9,0.7,0,0.0,0,3,22.0,1,0.0,0.0,4.0,-4.0,-5.54,-4.6,0.2,0.7,-0.5,-0.66,-0.24,América (MG),Brasileiro,Mateus Gonçalves Martins (América (MG))
Renato Kayser,BRA,"FW,MF",26.0,3,39.0,13.0,1.1,0.4,0,0.0,0,3,13.0,5,1.0,0.0,0.0,0.0,0.0,1.04,0.8,0.7,0.1,0.21,0.63,América (MG),Brasileiro,Renato Kayser (América (MG))
Ighor Gabryel,BRA,FW,20.0,2,26.0,13.0,0.8,0.3,0,0.0,0,2,13.0,0,1.5,0.0,1.0,-1.0,-3.46,-2.45,0.1,2.3,-2.3,-7.87,-7.51,América (MG),Brasileiro,Ighor Gabryel (América (MG))
Paulinho,BRA,DF,18.0,1,24.0,24.0,0.7,0.3,0,0.0,0,1,24.0,1,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.2,-0.2,-0.82,-0.41,América (MG),Brasileiro,Paulinho (América (MG))
Jhow,BRA,DF,19.0,1,15.0,15.0,0.4,0.2,0,0.0,0,1,15.0,0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.2,-0.2,-1.04,-0.63,América (MG),Brasileiro,Jhow (América (MG))
Yago Souza,BRA,MF,16.0,1,15.0,15.0,0.4,0.2,0,0.0,0,1,15.0,0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.2,-0.2,-1.04,-0.63,América (MG),Brasileiro,Yago Souza (América (MG))
Rafael Barcelos,BRA,DF,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Rafael Barcelos (América (MG))
Adailson Dadá,BRA,MF,25.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Adailson Dadá (América (MG))
Kauã Diniz Rocha,BRA,MF,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Kauã Diniz Rocha (América (MG))
Natan,BRA,GK,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Natan (América (MG))
Robson,BRA,GK,22.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Robson (América (MG))
Samuel,BRA,DF,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Samuel (América (MG))
Bento,BRA,GK,23.0,33,2970.0,90.0,86.8,33.0,33,90.0,33,0,0.0,0,1.42,41.0,37.0,4.0,0.12,-0.68,41.6,40.2,1.4,0.04,-0.58,Ath Paranaense,Brasileiro,Bento (Ath Paranaense)
Thiago Heleno,BRA,DF,34.0,32,2779.0,87.0,81.3,30.9,31,90.0,30,1,1.0,1,1.59,46.0,35.0,11.0,0.36,0.78,42.7,37.2,5.4,0.18,0.31,Ath Paranaense,Brasileiro,Thiago Heleno (Ath Paranaense)
Erick,BRA,MF,25.0,33,2499.0,76.0,73.1,27.8,30,81.0,19,3,24.0,1,1.64,40.0,29.0,11.0,0.4,0.69,41.3,30.9,10.4,0.37,0.95,Ath Paranaense,Brasileiro,Erick (Ath Paranaense)
Vitor Bueno,BRA,"MF,FW",28.0,32,2075.0,65.0,60.7,23.1,25,74.0,6,7,33.0,3,1.5,37.0,26.0,11.0,0.48,0.68,34.0,26.2,7.8,0.34,0.56,Ath Paranaense,Brasileiro,Vitor Bueno (Ath Paranaense)
Fernandinho,BRA,MF,37.0,25,1935.0,77.0,56.6,21.5,23,81.0,12,2,37.0,0,1.6,30.0,21.0,9.0,0.42,0.48,30.4,23.5,6.9,0.32,0.46,Ath Paranaense,Brasileiro,Fernandinho (Ath Paranaense)
Agustín Canobbio,URU,"FW,MF",24.0,29,2116.0,73.0,61.9,23.5,22,87.0,16,7,29.0,1,1.52,33.0,27.0,6.0,0.26,0.12,33.4,27.8,5.6,0.24,0.32,Ath Paranaense,Brasileiro,Agustín Canobbio (Ath Paranaense)
Tomás Cuello,ARG,"MF,FW",22.0,32,2055.0,64.0,60.1,22.8,22,81.0,12,10,27.0,4,1.38,28.0,24.0,4.0,0.18,-0.09,29.2,28.4,0.8,0.04,-0.21,Ath Paranaense,Brasileiro,Tomás Cuello (Ath Paranaense)
Vitor Roque,BRA,FW,17.0,25,1714.0,69.0,50.1,19.0,19,82.0,6,6,27.0,0,1.68,31.0,23.0,8.0,0.42,0.42,28.1,23.2,4.9,0.26,0.28,Ath Paranaense,Brasileiro,Vitor Roque (Ath Paranaense)
Cacá,BRA,DF,23.0,19,1694.0,89.0,49.5,18.8,19,89.0,18,0,0.0,1,1.47,25.0,17.0,8.0,0.43,0.43,22.4,22.1,0.3,0.02,-0.2,Ath Paranaense,Brasileiro,Cacá (Ath Paranaense)
Lucas Esquivel,ARG,DF,21.0,19,1651.0,87.0,48.3,18.3,18,90.0,18,1,31.0,1,1.53,25.0,18.0,7.0,0.38,0.33,26.3,19.5,6.8,0.37,0.49,Ath Paranaense,Brasileiro,Lucas Esquivel (Ath Paranaense)
Hugo Moura,BRA,MF,25.0,30,1327.0,44.0,38.8,14.7,15,73.0,5,15,15.0,6,1.5,13.0,19.0,-6.0,-0.41,-1.01,15.4,22.2,-6.9,-0.47,-0.95,Ath Paranaense,Brasileiro,Hugo Moura (Ath Paranaense)
Pablo,BRA,FW,30.0,25,1396.0,56.0,40.8,15.5,14,80.0,8,11,25.0,0,1.64,24.0,19.0,5.0,0.32,0.19,23.8,16.9,6.9,0.44,0.55,Ath Paranaense,Brasileiro,Pablo (Ath Paranaense)
Christian,BRA,"MF,FW",22.0,21,1362.0,65.0,39.8,15.1,14,81.0,5,7,33.0,2,1.57,20.0,17.0,3.0,0.2,-0.02,21.4,21.3,0.1,0.01,-0.19,Ath Paranaense,Brasileiro,Christian (Ath Paranaense)
Mádson,BRA,"DF,MF",31.0,24,1328.0,55.0,38.8,14.8,14,80.0,8,10,21.0,2,1.5,23.0,21.0,2.0,0.14,-0.12,21.0,20.3,0.7,0.05,-0.12,Ath Paranaense,Brasileiro,Mádson (Ath Paranaense)
Bruno Zapelli,ARG,"MF,FW",20.0,21,1143.0,54.0,33.4,12.7,13,73.0,0,8,25.0,1,1.38,16.0,15.0,1.0,0.08,-0.2,17.1,14.8,2.3,0.18,0.09,Ath Paranaense,Brasileiro,Bruno Zapelli (Ath Paranaense)
Khellven,BRA,DF,21.0,15,995.0,66.0,29.1,11.1,13,74.0,4,2,14.0,5,1.8,13.0,8.0,5.0,0.45,0.34,14.7,12.3,2.4,0.21,0.13,Ath Paranaense,Brasileiro,Khellven (Ath Paranaense)
Zé Ivaldo,BRA,DF,25.0,14,1016.0,73.0,29.7,11.3,10,85.0,7,4,41.0,6,1.64,17.0,13.0,4.0,0.35,0.2,18.5,16.5,2.0,0.18,0.09,Ath Paranaense,Brasileiro,Zé Ivaldo (Ath Paranaense)
Pedro Henrique,BRA,DF,27.0,11,855.0,78.0,25.0,9.5,10,81.0,8,1,45.0,2,1.73,11.0,11.0,0.0,0.0,-0.28,13.7,9.5,4.2,0.44,0.43,Ath Paranaense,Brasileiro,Pedro Henrique (Ath Paranaense)
Alex Santana,BRA,MF,27.0,21,1002.0,48.0,29.3,11.1,9,75.0,2,12,27.0,3,1.29,14.0,14.0,0.0,0.0,-0.3,12.7,14.2,-1.6,-0.14,-0.37,Ath Paranaense,Brasileiro,Alex Santana (Ath Paranaense)
Kaique Rocha,BRA,DF,21.0,10,649.0,65.0,19.0,7.2,7,85.0,6,3,18.0,18,1.5,9.0,8.0,1.0,0.14,-0.09,8.8,10.2,-1.4,-0.2,-0.39,Ath Paranaense,Brasileiro,Kaique Rocha (Ath Paranaense)
Matheus Felipe,BRA,DF,24.0,9,532.0,59.0,15.6,5.9,7,75.0,2,2,2.0,28,0.89,4.0,11.0,-7.0,-1.18,-1.65,7.3,11.3,-4.1,-0.69,-0.96,Ath Paranaense,Brasileiro,Matheus Felipe (Ath Paranaense)
Willian,BRA,"FW,MF",36.0,18,573.0,32.0,16.8,6.4,6,64.0,0,12,16.0,11,1.11,7.0,9.0,-2.0,-0.31,-0.63,7.9,9.9,-1.9,-0.3,-0.51,Ath Paranaense,Brasileiro,Willian (Ath Paranaense)
Fernando,BRA,DF,23.0,6,477.0,80.0,13.9,5.3,6,80.0,4,0,0.0,4,1.67,10.0,8.0,2.0,0.38,0.19,8.1,5.1,3.0,0.57,0.53,Ath Paranaense,Brasileiro,Fernando (Ath Paranaense)
Arturo Vidal,CHI,MF,35.0,7,380.0,54.0,11.1,4.2,6,59.0,0,1,29.0,0,1.86,4.0,3.0,1.0,0.24,0.03,3.7,5.9,-2.2,-0.51,-0.71,Ath Paranaense,Brasileiro,Arturo Vidal (Ath Paranaense)
Rômulo,BRA,"FW,MF",20.0,18,509.0,28.0,14.9,5.7,5,48.0,0,13,21.0,5,1.33,5.0,6.0,-1.0,-0.18,-0.46,5.8,6.8,-1.0,-0.17,-0.34,Ath Paranaense,Brasileiro,Rômulo (Ath Paranaense)
Leonardo Linck,BRA,GK,21.0,5,450.0,90.0,13.2,5.0,5,90.0,5,0,0.0,31,1.71,12.0,8.0,4.0,0.8,0.68,9.5,6.3,3.1,0.62,0.58,Ath Paranaense,Brasileiro,Leonardo Linck (Ath Paranaense)
David Terans,URU,"MF,FW",28.0,9,393.0,44.0,11.5,4.4,5,65.0,0,4,17.0,2,1.44,3.0,4.0,-1.0,-0.23,-0.5,4.9,4.9,0.0,-0.01,-0.14,Ath Paranaense,Brasileiro,David Terans (Ath Paranaense)
Vinicius Kaue,BRA,"DF,MF",19.0,6,342.0,57.0,10.0,3.8,5,61.0,2,1,37.0,19,0.5,3.0,4.0,-1.0,-0.26,-0.53,2.8,5.0,-2.2,-0.57,-0.77,Ath Paranaense,Brasileiro,Vinicius Kaue (Ath Paranaense)
Pedrinho,BRA,"DF,MF",20.0,4,360.0,90.0,10.5,4.0,4,90.0,4,0,0.0,0,1.5,5.0,5.0,0.0,0.0,-0.24,3.0,5.2,-2.2,-0.55,-0.75,Ath Paranaense,Brasileiro,Pedrinho (Ath Paranaense)
Léo Cittadini,BRA,"MF,FW",28.0,5,201.0,40.0,5.9,2.2,3,54.0,0,2,19.0,4,0.8,2.0,2.0,0.0,0.0,-0.22,1.7,2.2,-0.5,-0.2,-0.34,Ath Paranaense,Brasileiro,Léo Cittadini (Ath Paranaense)
Thiago,BRA,"FW,MF",22.0,10,224.0,22.0,6.5,2.5,2,45.0,0,8,17.0,20,1.5,3.0,4.0,-1.0,-0.4,-0.66,2.2,3.2,-1.0,-0.4,-0.56,Ath Paranaense,Brasileiro,Thiago (Ath Paranaense)
Luciano Arriagada,CHI,"FW,MF",20.0,10,190.0,19.0,5.6,2.1,1,61.0,0,9,14.0,19,1.1,2.0,0.0,2.0,0.95,0.78,3.8,2.4,1.3,0.63,0.54,Ath Paranaense,Brasileiro,Luciano Arriagada (Ath Paranaense)
Bruno Peres,BRA,"DF,MF",32.0,5,157.0,31.0,4.6,1.7,1,45.0,0,4,28.0,6,1.8,4.0,4.0,0.0,0.0,-0.22,2.3,2.0,0.3,0.19,0.07,Ath Paranaense,Brasileiro,Bruno Peres (Ath Paranaense)
Marcelo Cirino,BRA,"FW,MF",31.0,4,102.0,26.0,3.0,1.1,1,61.0,0,3,14.0,11,0.5,1.0,1.0,0.0,0.0,-0.22,0.6,0.8,-0.2,-0.17,-0.3,Ath Paranaense,Brasileiro,Marcelo Cirino (Ath Paranaense)
Lucas Belezi,BRA,DF,19.0,1,45.0,45.0,1.3,0.5,0,0.0,0,1,45.0,5,0.0,0.0,1.0,-1.0,-2.0,-2.24,0.7,0.9,-0.2,-0.35,-0.48,Ath Paranaense,Brasileiro,Lucas Belezi (Ath Paranaense)
Reinaldo,BRA,FW,21.0,1,16.0,16.0,0.5,0.2,0,0.0,0,1,16.0,0,3.0,0.0,0.0,0.0,0.0,-0.21,0.1,0.1,0.0,-0.2,-0.32,Ath Paranaense,Brasileiro,Reinaldo (Ath Paranaense)
Chiqueti,BRA,MF,17.0,1,15.0,15.0,0.4,0.2,0,0.0,0,1,15.0,9,0.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Chiqueti (Ath Paranaense)
Danielzinho,BRA,FW,20.0,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,8,1.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.1,-0.1,-9.09,-9.21,Ath Paranaense,Brasileiro,Danielzinho (Ath Paranaense)
Dudu,BRA,MF,17.0,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,3,3.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.1,-0.1,-10.4,-10.52,Ath Paranaense,Brasileiro,Dudu (Ath Paranaense)
Bryan García,ECU,MF,22.0,1,1.0,1.0,0.0,0.0,0,0.0,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-0.21,0.0,0.0,0.0,-2.47,-2.59,Ath Paranaense,Brasileiro,Bryan García (Ath Paranaense)
Marcos André,BRA,DF,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Marcos André (Ath Paranaense)
Ataíde,BRA,MF,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Ataíde (Ath Paranaense)
Derik,BRA,DF,17.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Derik (Ath Paranaense)
Emersonn,BRA,FW,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Emersonn (Ath Paranaense)
Julimar,BRA,FW,22.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Julimar (Ath Paranaense)
João Machado Cruz,BRA,MF,16.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,João Machado Cruz (Ath Paranaense)
Mycael,BRA,GK,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Mycael (Ath Paranaense)
Gabriel Pereira,BRA,GK,20.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Gabriel Pereira (Ath Paranaense)
João Vitor,BRA,DF,19.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,João Vitor (Ath Paranaense)
Arthur Zanella,BRA,DF,18.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Arthur Zanella (Ath Paranaense)
Éverson,BRA,GK,32.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,0.0,0,1.67,48.0,31.0,17.0,0.47,-1.03,43.5,38.8,4.7,0.13,-0.44,Atlético Mineiro,Brasileiro,Éverson (Atlético Mineiro)
