Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Team,Championship,Player_Team
Mateus Claus,BRA,GK,28.0,0.6,2.0,0.0,0.0,0.0,0.0,1.0,0.34,-1.0,-1.69,1,1,100.0,7,1,14.3,23.7,5,0.0,19.4,4,0,0.0,0.0,0.0,0.0,Bahia,Brasileiro,Mateus Claus (Bahia)
Lucas Perri,BRA,GK,25.0,37.5,36.0,0.0,0.0,2.0,1.0,47.9,0.3,12.9,0.34,204,533,38.3,822,196,48.2,39.3,245,55.9,43.7,580,34,5.9,44.0,1.17,16.2,Botafogo (RJ),Brasileiro,Lucas Perri (Botafogo (RJ))
Gatito Fernández,PAR,GK,34.0,0.5,1.0,0.0,0.0,0.0,0.0,1.8,0.45,0.8,1.59,2,4,50.0,10,3,40.0,30.4,3,0.0,20.0,3,1,33.3,3.0,6.0,18.4,Botafogo (RJ),Brasileiro,Gatito Fernández (Botafogo (RJ))
Cleiton Schwengber,BRA,GK,25.0,33.0,27.0,6.0,0.0,4.0,1.0,38.4,0.28,12.4,0.38,151,449,33.6,784,145,48.0,39.4,244,29.9,31.2,382,15,3.9,63.0,1.91,18.2,Bragantino,Brasileiro,Cleiton Schwengber (Bragantino)
Lucão,BRA,GK,21.0,5.0,8.0,1.0,0.0,0.0,0.0,5.5,0.32,-2.5,-0.5,14,42,33.3,106,26,27.4,29.9,44,29.5,28.3,57,1,1.8,7.0,1.4,17.4,Bragantino,Brasileiro,Lucão (Bragantino)
Cássio,BRA,GK,35.0,36.8,48.0,6.0,0.0,8.0,1.0,55.2,0.27,8.2,0.22,167,354,47.2,735,146,33.9,33.8,369,28.5,29.8,638,27,4.2,13.0,0.35,10.8,Corinthians,Brasileiro,Cássio (Corinthians)
Carlos Miguel,BRA,GK,24.0,1.2,0.0,0.0,0.0,0.0,0.0,1.1,0.18,1.1,0.86,7,14,50.0,31,7,29.0,33.0,11,45.5,33.7,36,1,2.8,0.0,0.0,11.8,Corinthians,Brasileiro,Carlos Miguel (Corinthians)
Gabriel,BRA,GK,30.0,30.7,60.0,7.0,1.0,9.0,2.0,51.8,0.27,-6.2,-0.2,158,463,34.1,742,153,45.3,38.3,256,49.6,40.8,531,42,7.9,28.0,0.91,12.3,Coritiba,Brasileiro,Gabriel (Coritiba)
Luan Polli,BRA,GK,29.0,4.3,9.0,1.0,1.0,1.0,0.0,6.9,0.2,-2.1,-0.49,23,57,40.4,78,17,48.7,39.9,30,63.3,48.1,62,4,6.5,7.0,1.64,16.3,Coritiba,Brasileiro,Luan Polli (Coritiba)
Pedro Luccas,BRA,GK,19.0,3.0,4.0,1.0,0.0,1.0,0.0,4.4,0.16,0.4,0.14,18,50,36.0,67,13,37.3,36.8,32,78.1,53.0,92,5,5.4,0.0,0.0,4.5,Coritiba,Brasileiro,Pedro Luccas (Coritiba)
Rafael Cabral,BRA,GK,32.0,37.0,32.0,2.0,2.0,3.0,0.0,42.4,0.29,10.4,0.28,173,415,41.7,921,155,32.7,32.8,298,38.3,35.2,487,19,3.9,20.0,0.54,13.4,Cruzeiro,Brasileiro,Rafael Cabral (Cruzeiro)
Anderson,BRA,GK,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,3,6,50.0,15,3,33.3,32.5,3,33.3,32.3,3,0,0.0,0.0,0.0,10.0,Cruzeiro,Brasileiro,Anderson (Cruzeiro)
Walter,BRA,GK,35.0,35.0,35.0,4.0,0.0,3.0,2.0,40.2,0.26,7.2,0.21,177,394,44.9,667,138,37.0,34.8,264,55.7,41.9,556,36,6.5,15.0,0.43,9.8,Cuiabá,Brasileiro,Walter (Cuiabá)
João Carlos,BRA,GK,34.0,3.0,4.0,0.0,0.0,0.0,0.0,4.5,0.37,0.5,0.15,15,30,50.0,41,10,46.3,39.5,25,44.0,37.4,34,2,5.9,0.0,0.0,9.7,Cuiabá,Brasileiro,João Carlos (Cuiabá)
Matheus Cunha,BRA,GK,21.0,17.6,22.0,3.0,0.0,2.0,0.0,28.5,0.27,6.5,0.37,65,181,35.9,624,82,25.2,28.4,102,23.5,27.0,275,9,3.3,23.0,1.31,16.7,Flamengo,Brasileiro,Matheus Cunha (Flamengo)
Agustín Rossi,ARG,GK,27.0,15.0,12.0,2.0,0.0,0.0,0.0,13.2,0.21,1.2,0.08,70,174,40.2,416,68,32.5,31.6,94,41.5,36.6,198,8,4.0,9.0,0.6,12.8,Flamengo,Brasileiro,Agustín Rossi (Flamengo)
Santos,BRA,GK,32.0,5.4,8.0,1.0,0.0,1.0,0.0,5.7,0.2,-2.3,-0.42,18,44,40.9,161,28,24.2,28.0,33,15.2,22.6,65,7,10.8,7.0,1.29,16.7,Flamengo,Brasileiro,Santos (Flamengo)
Fábio,BRA,GK,42.0,35.0,41.0,5.0,0.0,4.0,1.0,47.8,0.3,7.8,0.22,44,123,35.8,753,170,11.4,22.2,294,12.6,15.5,508,40,7.9,29.0,0.83,12.6,Fluminense,Brasileiro,Fábio (Fluminense)
Pedro Rangel,BRA,GK,22.0,2.0,5.0,0.0,0.0,1.0,0.0,3.0,0.3,-2.0,-1.02,4,8,50.0,40,13,7.5,20.2,15,33.3,27.9,28,1,3.6,1.0,0.5,10.8,Fluminense,Brasileiro,Pedro Rangel (Fluminense)
Vitor Eudes,BRA,GK,24.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.14,-0.3,-0.29,0,2,0.0,21,6,9.5,21.7,3,0.0,6.3,9,0,0.0,0.0,0.0,15.0,Fluminense,Brasileiro,Vitor Eudes (Fluminense)
João Ricardo Riedi,BRA,GK,34.0,31.9,39.0,3.0,0.0,9.0,2.0,37.8,0.26,0.8,0.02,124,354,35.0,494,143,39.3,35.2,252,63.5,44.5,441,32,7.3,8.0,0.25,9.0,Fortaleza,Brasileiro,João Ricardo Riedi (Fortaleza)
Fernando Miguel,BRA,GK,37.0,5.1,5.0,0.0,0.0,1.0,0.0,6.3,0.22,1.3,0.25,18,54,33.3,77,20,42.9,36.5,38,55.3,39.4,73,2,2.7,1.0,0.19,10.7,Fortaleza,Brasileiro,Fernando Miguel (Fortaleza)
Maurício Kozlinski,BRA,GK,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23,0.2,0.23,0,3,0.0,14,2,21.4,24.1,2,0.0,12.0,17,1,5.9,0.0,0.0,7.8,Fortaleza,Brasileiro,Maurício Kozlinski (Fortaleza)
Tadeu,BRA,GK,30.0,35.0,45.0,3.0,1.0,9.0,0.0,49.2,0.3,4.2,0.12,257,585,43.9,902,160,50.9,40.6,293,43.0,39.5,671,48,7.2,19.0,0.54,11.3,Goiás,Brasileiro,Tadeu (Goiás)
Marcelo Rangel,BRA,GK,34.0,3.0,8.0,2.0,0.0,1.0,1.0,6.1,0.29,-0.9,-0.31,6,24,25.0,52,12,26.9,32.8,29,34.5,30.2,49,2,4.1,0.0,0.0,6.4,Goiás,Brasileiro,Marcelo Rangel (Goiás)
Gabriel Chapecó,BRA,GK,22.0,31.0,51.0,4.0,0.0,8.0,1.0,50.6,0.31,0.6,0.02,144,413,34.9,514,121,45.7,38.4,315,56.5,41.7,505,29,5.7,21.0,0.68,11.4,Grêmio,Brasileiro,Gabriel Chapecó (Grêmio)
Caíque,BRA,GK,25.0,4.0,3.0,1.0,0.0,0.0,0.0,6.1,0.3,3.1,0.78,17,51,33.3,62,22,56.5,43.4,33,48.5,37.8,85,8,9.4,1.0,0.25,8.2,Grêmio,Brasileiro,Caíque (Grêmio)
Adriel,BRA,GK,22.0,2.0,1.0,0.0,0.0,0.0,0.0,1.8,0.23,0.8,0.4,13,48,27.1,34,5,61.8,44.2,29,93.1,63.5,50,2,4.0,2.0,1.0,18.0,Grêmio,Brasileiro,Adriel (Grêmio)
Brenno,BRA,GK,23.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.43,-0.1,-0.15,2,4,50.0,16,6,12.5,21.8,3,66.7,38.0,7,0,0.0,0.0,0.0,13.5,Grêmio,Brasileiro,Brenno (Grêmio)
Sergio Rochet,URU,GK,29.0,19.0,25.0,5.0,1.0,3.0,1.0,23.1,0.22,-0.9,-0.05,65,212,30.7,394,78,35.8,34.6,143,49.7,42.4,328,21,6.4,17.0,0.89,13.2,Internacional,Brasileiro,Sergio Rochet (Internacional)
Keiller,BRA,GK,26.0,10.0,15.0,1.0,1.0,0.0,0.0,16.6,0.35,1.6,0.16,33,99,33.3,175,33,42.9,36.6,79,30.4,33.0,122,7,5.7,5.0,0.5,11.0,Internacional,Brasileiro,Keiller (Internacional)
John,BRA,GK,26.0,9.0,5.0,0.0,0.0,2.0,0.0,12.1,0.32,7.1,0.79,27,84,32.1,149,33,40.3,34.2,70,34.3,30.6,172,2,1.2,13.0,1.44,13.8,Internacional,Brasileiro,John (Internacional)
Wéverton,BRA,GK,35.0,35.0,30.0,3.0,1.0,3.0,1.0,34.9,0.24,5.9,0.17,143,379,37.7,948,198,32.1,34.0,239,31.4,33.1,397,34,8.6,20.0,0.57,12.8,Palmeiras,Brasileiro,Wéverton (Palmeiras)
Marcelo Lomba,BRA,GK,36.0,3.0,3.0,1.0,0.0,0.0,0.0,5.5,0.31,2.5,0.84,14,38,36.8,78,18,35.9,32.7,23,43.5,30.9,46,5,10.9,0.0,0.0,3.7,Palmeiras,Brasileiro,Marcelo Lomba (Palmeiras)
João Paulo,BRA,GK,27.0,35.7,51.0,4.0,2.0,8.0,1.0,52.4,0.27,2.4,0.07,142,429,33.1,641,118,42.9,37.0,272,56.6,43.9,560,25,4.5,24.0,0.67,12.8,Santos,Brasileiro,João Paulo (Santos)
Vladimir,BRA,GK,33.0,2.3,13.0,0.0,0.0,1.0,2.0,6.7,0.33,-4.3,-1.86,3,17,17.6,35,15,17.1,28.5,18,61.1,48.6,38,0,0.0,0.0,0.0,9.4,Santos,Brasileiro,Vladimir (Santos)
Rafael Pires,BRA,GK,33.0,33.0,34.0,6.0,1.0,1.0,1.0,37.2,0.27,4.2,0.13,118,305,38.7,785,142,29.2,31.4,212,35.8,34.1,434,19,4.4,25.0,0.76,13.2,São Paulo,Brasileiro,Rafael Pires (São Paulo)
Jandrei,BRA,GK,29.0,5.0,4.0,2.0,0.0,0.0,0.0,5.7,0.22,1.7,0.33,39,93,41.9,188,25,36.7,35.5,50,48.0,41.6,64,3,4.7,4.0,0.8,15.2,São Paulo,Brasileiro,Jandrei (São Paulo)
Léo Jardim,BRA,GK,27.0,38.0,51.0,4.0,2.0,5.0,0.0,53.1,0.27,2.1,0.06,137,369,37.1,634,144,37.7,34.3,315,41.3,35.6,600,34,5.7,15.0,0.39,10.8,Vasco da Gama,Brasileiro,Léo Jardim (Vasco da Gama)
