Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
Lucas Perri,BRA,GK,25.0,38,38,3375,37.5,36.0,0.96,166,131,78.3,18.0,10.0,10,15.0,39.5,1.0,0.0,0.0,1.0,0.0,Botafogo (RJ),Brasileiro,Lucas Perri (Botafogo (RJ))
Gatito Fernández,PAR,GK,34.0,1,0,45,0.5,1.0,2.0,4,3,75.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Botafogo (RJ),Brasileiro,Gatito Fernández (Botafogo (RJ))
Cleiton Schwengber,BRA,GK,25.0,33,33,2970,33.0,27.0,0.82,116,89,81.9,15.0,9.0,9,16.0,48.5,7.0,6.0,1.0,0.0,14.3,Bragantino,Brasileiro,Cleiton Schwengber (Bragantino)
Lucão,BRA,GK,21.0,5,5,450,5.0,8.0,1.6,14,6,50.0,2.0,2.0,1,1.0,20.0,1.0,1.0,0.0,0.0,0.0,Bragantino,Brasileiro,Lucão (Bragantino)
Cássio,BRA,GK,35.0,37,37,3310,36.8,48.0,1.31,181,134,76.8,11.0,14.0,12,8.0,21.6,7.0,6.0,0.0,1.0,0.0,Corinthians,Brasileiro,Cássio (Corinthians)
Carlos Miguel,BRA,GK,24.0,2,1,110,1.2,0.0,0.0,6,6,100.0,1.0,0.0,0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,Corinthians,Brasileiro,Carlos Miguel (Corinthians)
Gabriel,BRA,GK,30.0,31,31,2765,30.7,60.0,1.95,169,110,68.6,7.0,5.0,19,6.0,19.4,8.0,7.0,1.0,0.0,12.5,Coritiba,Brasileiro,Gabriel (Coritiba)
Luan Polli,BRA,GK,29.0,5,4,385,4.3,9.0,2.1,30,21,73.3,1.0,0.0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Coritiba,Brasileiro,Luan Polli (Coritiba)
Pedro Luccas,BRA,GK,19.0,3,3,270,3.0,4.0,1.33,21,17,85.7,0.0,1.0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Coritiba,Brasileiro,Pedro Luccas (Coritiba)
Rafael Cabral,BRA,GK,32.0,37,37,3330,37.0,32.0,0.86,139,107,78.4,11.0,13.0,13,15.0,40.5,3.0,2.0,0.0,1.0,0.0,Cruzeiro,Brasileiro,Rafael Cabral (Cruzeiro)
Anderson,BRA,GK,24.0,1,1,90,1.0,0.0,0.0,1,1,100.0,0.0,1.0,0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Cruzeiro,Brasileiro,Anderson (Cruzeiro)
Walter,BRA,GK,35.0,35,35,3150,35.0,35.0,1.0,139,106,77.7,13.0,9.0,13,12.0,34.3,4.0,4.0,0.0,0.0,0.0,Cuiabá,Brasileiro,Walter (Cuiabá)
João Carlos,BRA,GK,34.0,3,3,270,3.0,4.0,1.33,12,8,66.7,1.0,0.0,2,1.0,33.3,0.0,0.0,0.0,0.0,0.0,Cuiabá,Brasileiro,João Carlos (Cuiabá)
Matheus Cunha,BRA,GK,21.0,19,18,1580,17.6,22.0,1.25,98,75,80.6,9.0,6.0,3,5.0,27.8,4.0,3.0,1.0,0.0,25.0,Flamengo,Brasileiro,Matheus Cunha (Flamengo)
Agustín Rossi,ARG,GK,27.0,15,15,1350,15.0,12.0,0.8,54,42,81.5,8.0,3.0,4,8.0,53.3,2.0,2.0,0.0,0.0,0.0,Flamengo,Brasileiro,Agustín Rossi (Flamengo)
Santos,BRA,GK,32.0,6,5,490,5.4,8.0,1.47,24,16,70.8,2.0,0.0,3,2.0,40.0,1.0,1.0,0.0,0.0,0.0,Flamengo,Brasileiro,Santos (Flamengo)
Fábio,BRA,GK,42.0,35,35,3150,35.0,41.0,1.17,145,105,75.2,16.0,7.0,12,12.0,34.3,6.0,5.0,0.0,1.0,0.0,Fluminense,Brasileiro,Fábio (Fluminense)
Pedro Rangel,BRA,GK,22.0,2,2,180,2.0,5.0,2.5,10,5,50.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fluminense,Brasileiro,Pedro Rangel (Fluminense)
Vitor Eudes,BRA,GK,24.0,1,1,90,1.0,1.0,1.0,5,4,80.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fluminense,Brasileiro,Vitor Eudes (Fluminense)
João Ricardo Riedi,BRA,GK,34.0,32,32,2868,31.9,39.0,1.22,131,92,72.5,13.0,5.0,14,8.0,25.0,6.0,3.0,2.0,1.0,40.0,Fortaleza,Brasileiro,João Ricardo Riedi (Fortaleza)
Fernando Miguel,BRA,GK,37.0,6,5,462,5.1,5.0,0.97,28,23,82.1,2.0,3.0,0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,Fortaleza,Brasileiro,Fernando Miguel (Fortaleza)
Maurício Kozlinski,BRA,GK,31.0,1,1,90,1.0,0.0,0.0,1,1,100.0,0.0,1.0,0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Fortaleza,Brasileiro,Maurício Kozlinski (Fortaleza)
Tadeu,BRA,GK,30.0,35,35,3150,35.0,45.0,1.29,162,117,74.1,8.0,11.0,16,10.0,28.6,3.0,3.0,0.0,0.0,0.0,Goiás,Brasileiro,Tadeu (Goiás)
Marcelo Rangel,BRA,GK,34.0,3,3,270,3.0,8.0,2.67,14,7,57.1,1.0,0.0,2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Goiás,Brasileiro,Marcelo Rangel (Goiás)
Gabriel Chapecó,BRA,GK,22.0,31,31,2790,31.0,51.0,1.65,159,109,70.4,14.0,5.0,12,5.0,16.1,4.0,4.0,0.0,0.0,0.0,Grêmio,Brasileiro,Gabriel Chapecó (Grêmio)
Caíque,BRA,GK,25.0,4,4,360,4.0,3.0,0.75,17,14,88.2,4.0,0.0,0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,Grêmio,Brasileiro,Caíque (Grêmio)
Adriel,BRA,GK,22.0,2,2,180,2.0,1.0,0.5,8,7,87.5,2.0,0.0,0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,Grêmio,Brasileiro,Adriel (Grêmio)
Brenno,BRA,GK,23.0,1,1,90,1.0,1.0,1.0,2,1,50.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grêmio,Brasileiro,Brenno (Grêmio)
Sergio Rochet,URU,GK,29.0,19,19,1710,19.0,25.0,1.32,82,58,75.6,8.0,5.0,6,5.0,26.3,5.0,5.0,0.0,0.0,0.0,Internacional,Brasileiro,Sergio Rochet (Internacional)
Keiller,BRA,GK,26.0,10,10,900,10.0,15.0,1.5,43,27,67.4,2.0,2.0,6,1.0,10.0,2.0,1.0,1.0,0.0,50.0,Internacional,Brasileiro,Keiller (Internacional)
John,BRA,GK,26.0,9,9,810,9.0,5.0,0.56,39,34,87.2,5.0,3.0,1,5.0,55.6,0.0,0.0,0.0,0.0,0.0,Internacional,Brasileiro,John (Internacional)
Wéverton,BRA,GK,35.0,35,35,3150,35.0,30.0,0.86,133,103,79.7,19.0,10.0,6,15.0,42.9,4.0,3.0,1.0,0.0,25.0,Palmeiras,Brasileiro,Wéverton (Palmeiras)
Marcelo Lomba,BRA,GK,36.0,3,3,270,3.0,3.0,1.0,16,13,87.5,1.0,0.0,2,1.0,33.3,1.0,1.0,0.0,0.0,0.0,Palmeiras,Brasileiro,Marcelo Lomba (Palmeiras)
João Paulo,BRA,GK,27.0,36,36,3211,35.7,51.0,1.43,181,130,74.0,11.0,10.0,15,8.0,22.2,6.0,4.0,1.0,1.0,20.0,Santos,Brasileiro,João Paulo (Santos)
Vladimir,BRA,GK,33.0,3,2,209,2.3,13.0,5.6,21,10,38.1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Santos,Brasileiro,Vladimir (Santos)
Rafael Pires,BRA,GK,33.0,33,33,2970,33.0,34.0,1.03,117,84,76.1,13.0,8.0,12,13.0,39.4,7.0,6.0,0.0,1.0,0.0,São Paulo,Brasileiro,Rafael Pires (São Paulo)
Jandrei,BRA,GK,29.0,5,5,450,5.0,4.0,0.8,17,13,88.2,1.0,3.0,1,2.0,40.0,2.0,2.0,0.0,0.0,0.0,São Paulo,Brasileiro,Jandrei (São Paulo)
Léo Jardim,BRA,GK,27.0,38,38,3420,38.0,51.0,1.34,182,130,74.2,12.0,9.0,17,9.0,23.7,5.0,4.0,1.0,0.0,20.0,Vasco da Gama,Brasileiro,Léo Jardim (Vasco da Gama)
