Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Mateus Henrique,BRA,DF,20.0,12,7,536.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.6,0.8,7.0,18.0,23.0,0.0,0.17,0.17,0.0,0.17,0.03,0.09,0.13,0.03,0.13,América (MG),Brasileiro,Mateus Henrique (América (MG))
Júlio César,BRA,DF,19.0,9,6,595.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.3,3.0,21.0,1.0,0.0,0.15,0.15,0.0,0.15,0.03,0.01,0.04,0.03,0.04,América (MG),Brasileiro,Júlio César (América (MG))
Wanderson,BRA,DF,31.0,7,5,500.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,América (MG),Brasileiro,Wanderson (América (MG))
Rodrigo Varanda,BRA,"FW,MF",20.0,12,4,516.0,5.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,1.2,2.8,18.0,20.0,40.0,0.35,0.17,0.52,0.35,0.52,0.28,0.21,0.49,0.28,0.49,América (MG),Brasileiro,Rodrigo Varanda (América (MG))
Renato Marques,BRA,"FW,MF",19.0,12,4,515.0,5.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.3,1.3,0.6,1.9,11.0,9.0,21.0,0.52,0.17,0.7,0.52,0.7,0.22,0.11,0.33,0.22,0.33,América (MG),Brasileiro,Renato Marques (América (MG))
Pedrinho,BRA,"FW,MF",23.0,8,4,411.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.2,29.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.25,0.16,0.25,América (MG),Brasileiro,Pedrinho (América (MG))
Esteban Burgos,ARG,DF,31.0,4,4,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Esteban Burgos (América (MG))
Óscar Méndez,URU,MF,28.0,7,2,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Óscar Méndez (América (MG))
Matheusinho,BRA,"MF,FW",24.0,7,2,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,2.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.38,0.23,0.38,América (MG),Brasileiro,Matheusinho (América (MG))
Nino Paraíba,BRA,DF,37.0,4,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.5,4.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.03,0.22,0.24,0.03,0.24,América (MG),Brasileiro,Nino Paraíba (América (MG))
Washington Aguerre,URU,GK,29.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Washington Aguerre (América (MG))
Henrique Almeida,BRA,FW,31.0,4,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.42,0.22,0.42,América (MG),Brasileiro,Henrique Almeida (América (MG))
Paulinho,BRA,FW,24.0,3,2,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.22,0.01,0.22,América (MG),Brasileiro,Paulinho (América (MG))
Juan Cazares,ECU,"MF,FW",30.0,12,1,283.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.3,5.0,18.0,23.0,0.0,0.32,0.32,0.0,0.32,0.09,0.34,0.42,0.09,0.42,América (MG),Brasileiro,Juan Cazares (América (MG))
Adyson,BRA,"FW,MF",17.0,8,1,245.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,17.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.21,0.07,0.21,América (MG),Brasileiro,Adyson (América (MG))
Mikael,BRA,FW,23.0,5,1,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,7.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.47,0.12,0.6,0.47,0.6,América (MG),Brasileiro,Mikael (América (MG))
Arthur,BRA,DF,19.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,América (MG),Brasileiro,Arthur (América (MG))
Wellington Paulista,BRA,FW,38.0,10,0,227.0,2.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.9,1.0,0.1,1.0,2.0,5.0,5.0,0.4,0.0,0.4,0.4,0.4,0.77,0.02,0.79,0.39,0.41,América (MG),Brasileiro,Wellington Paulista (América (MG))
Mateus Gonçalves Martins,BRA,"MF,FW",28.0,3,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Mateus Gonçalves Martins (América (MG))
Renato Kayser,BRA,"FW,MF",26.0,3,0,39.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.84,0.12,0.97,0.84,0.97,América (MG),Brasileiro,Renato Kayser (América (MG))
Ighor Gabryel,BRA,FW,20.0,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Ighor Gabryel (América (MG))
Paulinho,BRA,DF,18.0,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Jhow,BRA,DF,19.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Jhow (América (MG))
Yago Souza,BRA,MF,16.0,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Yago Souza (América (MG))
Rafael Barcelos,BRA,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Rafael Barcelos (América (MG))
Adailson Dadá,BRA,MF,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Adailson Dadá (América (MG))
Kauã Diniz Rocha,BRA,MF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Kauã Diniz Rocha (América (MG))
Natan,BRA,GK,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Natan (América (MG))
Robson,BRA,GK,22.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Robson (América (MG))
Samuel,BRA,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Samuel (América (MG))
Bento,BRA,GK,23.0,33,33,2970.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,Ath Paranaense,Brasileiro,Bento (Ath Paranaense)
Thiago Heleno,BRA,DF,34.0,32,31,2779.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.8,0.8,0.4,1.2,2.0,87.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Ath Paranaense,Brasileiro,Thiago Heleno (Ath Paranaense)
Erick,BRA,MF,25.0,33,30,2499.0,27.8,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,5.4,5.4,3.0,8.4,27.0,124.0,37.0,0.14,0.14,0.29,0.14,0.29,0.19,0.11,0.3,0.19,0.3,Ath Paranaense,Brasileiro,Erick (Ath Paranaense)
Vitor Bueno,BRA,"MF,FW",28.0,32,25,2075.0,23.1,5.0,5.0,10.0,2.0,3.0,3.0,7.0,0.0,5.3,3.1,6.9,9.9,74.0,149.0,114.0,0.22,0.22,0.43,0.09,0.3,0.23,0.3,0.53,0.13,0.43,Ath Paranaense,Brasileiro,Vitor Bueno (Ath Paranaense)
Fernandinho,BRA,MF,37.0,25,23,1935.0,21.5,1.0,3.0,4.0,0.0,1.0,1.0,11.0,1.0,1.2,0.4,2.0,2.4,35.0,192.0,52.0,0.05,0.14,0.19,0.0,0.14,0.06,0.09,0.15,0.02,0.11,Ath Paranaense,Brasileiro,Fernandinho (Ath Paranaense)
Agustín Canobbio,URU,"FW,MF",24.0,29,22,2116.0,23.5,3.0,5.0,8.0,3.0,0.0,0.0,10.0,0.0,5.5,5.5,3.5,9.0,81.0,76.0,223.0,0.13,0.21,0.34,0.13,0.34,0.23,0.15,0.38,0.23,0.38,Ath Paranaense,Brasileiro,Agustín Canobbio (Ath Paranaense)
Tomás Cuello,ARG,"MF,FW",22.0,32,22,2055.0,22.8,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,1.5,1.5,4.7,6.2,81.0,71.0,173.0,0.0,0.18,0.18,0.0,0.18,0.07,0.2,0.27,0.07,0.27,Ath Paranaense,Brasileiro,Tomás Cuello (Ath Paranaense)
Vitor Roque,BRA,FW,17.0,25,19,1714.0,19.0,12.0,3.0,15.0,12.0,0.0,0.0,6.0,0.0,8.8,8.8,1.2,10.0,40.0,22.0,111.0,0.63,0.16,0.79,0.63,0.79,0.46,0.06,0.53,0.46,0.53,Ath Paranaense,Brasileiro,Vitor Roque (Ath Paranaense)
Cacá,BRA,DF,23.0,19,19,1694.0,18.8,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.3,1.4,12.0,39.0,8.0,0.11,0.0,0.11,0.11,0.11,0.06,0.02,0.08,0.06,0.08,Ath Paranaense,Brasileiro,Cacá (Ath Paranaense)
Lucas Esquivel,ARG,DF,21.0,19,18,1651.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.4,1.6,28.0,69.0,47.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,Ath Paranaense,Brasileiro,Lucas Esquivel (Ath Paranaense)
Hugo Moura,BRA,MF,25.0,30,15,1327.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.2,0.5,11.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Ath Paranaense,Brasileiro,Hugo Moura (Ath Paranaense)
Pablo,BRA,FW,30.0,25,14,1396.0,15.5,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,6.1,6.1,1.6,7.7,15.0,36.0,60.0,0.45,0.13,0.58,0.45,0.58,0.39,0.1,0.49,0.39,0.49,Ath Paranaense,Brasileiro,Pablo (Ath Paranaense)
Christian,BRA,"MF,FW",22.0,21,14,1362.0,15.1,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.7,2.7,1.4,4.1,23.0,69.0,71.0,0.26,0.0,0.26,0.26,0.26,0.18,0.09,0.27,0.18,0.27,Ath Paranaense,Brasileiro,Christian (Ath Paranaense)
Mádson,BRA,"DF,MF",31.0,24,14,1328.0,14.8,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.3,1.3,3.8,5.1,8.0,45.0,69.0,0.14,0.14,0.27,0.14,0.27,0.09,0.26,0.35,0.09,0.35,Ath Paranaense,Brasileiro,Mádson (Ath Paranaense)
Bruno Zapelli,ARG,"MF,FW",20.0,21,13,1143.0,12.7,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,1.8,4.3,35.0,72.0,71.0,0.16,0.16,0.31,0.16,0.31,0.19,0.14,0.34,0.19,0.34,Ath Paranaense,Brasileiro,Bruno Zapelli (Ath Paranaense)
Khellven,BRA,DF,21.0,15,13,995.0,11.1,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.4,3.4,18.0,18.0,51.0,0.0,0.36,0.36,0.0,0.36,0.09,0.22,0.31,0.09,0.31,Ath Paranaense,Brasileiro,Khellven (Ath Paranaense)
Zé Ivaldo,BRA,DF,25.0,14,10,1016.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,9.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Ath Paranaense,Brasileiro,Zé Ivaldo (Ath Paranaense)
Pedro Henrique,BRA,DF,27.0,11,10,855.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,8.0,35.0,2.0,0.11,0.0,0.11,0.11,0.11,0.06,0.01,0.07,0.06,0.07,Ath Paranaense,Brasileiro,Pedro Henrique (Ath Paranaense)
Alex Santana,BRA,MF,27.0,21,9,1002.0,11.1,3.0,0.0,3.0,3.0,0.0,0.0,6.0,1.0,1.2,1.2,0.2,1.3,20.0,46.0,17.0,0.27,0.0,0.27,0.27,0.27,0.1,0.01,0.12,0.1,0.12,Ath Paranaense,Brasileiro,Alex Santana (Ath Paranaense)
Kaique Rocha,BRA,DF,21.0,10,7,649.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,2.0,9.0,0.0,0.14,0.0,0.14,0.14,0.14,0.03,0.01,0.04,0.03,0.04,Ath Paranaense,Brasileiro,Kaique Rocha (Ath Paranaense)
Matheus Felipe,BRA,DF,24.0,9,7,532.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Ath Paranaense,Brasileiro,Matheus Felipe (Ath Paranaense)
Willian,BRA,"FW,MF",36.0,18,6,573.0,6.4,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.9,1.9,0.4,2.3,5.0,10.0,41.0,0.63,0.0,0.63,0.63,0.63,0.31,0.06,0.36,0.31,0.36,Ath Paranaense,Brasileiro,Willian (Ath Paranaense)
Fernando,BRA,DF,23.0,6,6,477.0,5.3,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.9,0.9,17.0,15.0,31.0,0.0,0.38,0.38,0.0,0.38,0.01,0.16,0.17,0.01,0.17,Ath Paranaense,Brasileiro,Fernando (Ath Paranaense)
Arturo Vidal,CHI,MF,35.0,7,6,380.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,1.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Ath Paranaense,Brasileiro,Arturo Vidal (Ath Paranaense)
Rômulo,BRA,"FW,MF",20.0,18,5,509.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.1,1.6,13.0,11.0,39.0,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.29,0.27,0.29,Ath Paranaense,Brasileiro,Rômulo (Ath Paranaense)
Leonardo Linck,BRA,GK,21.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Leonardo Linck (Ath Paranaense)
David Terans,URU,"MF,FW",28.0,9,5,393.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,5.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08,0.28,0.2,0.28,Ath Paranaense,Brasileiro,David Terans (Ath Paranaense)
Vinicius Kaue,BRA,"DF,MF",19.0,6,5,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Ath Paranaense,Brasileiro,Vinicius Kaue (Ath Paranaense)
Pedrinho,BRA,"DF,MF",20.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Ath Paranaense,Brasileiro,Pedrinho (Ath Paranaense)
Léo Cittadini,BRA,"MF,FW",28.0,5,3,201.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.9,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.07,0.33,0.39,0.07,0.39,Ath Paranaense,Brasileiro,Léo Cittadini (Ath Paranaense)
