Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Rafael Fernandes,pt POR,DF,21-185,9,7,669.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.1,0.4,5.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Alfonso Trezza,uy URU,"FW,MF",24-191,12,7,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.2,7.0,18.0,45.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.17,0.13,0.17,Matches
Bogdan Milovanov,ua UKR,"DF,MF",25-255,11,6,563.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.2,0.2,8.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Pedro Santos,pt POR,MF,23-079,11,2,233.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,14.0,31.0,8.0,0.39,0.0,0.39,0.39,0.39,0.1,0.04,0.14,0.1,0.14,Matches
Oriol Busquets,es ESP,MF,24-344,6,2,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Quaresma,br BRA,DF,27-130,3,2,191.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,4.0,7.0,11.0,0.0,0.47,0.47,0.0,0.47,0.02,0.26,0.28,0.02,0.28,Matches
Matí­as Rocha,uy URU,DF,22-320,3,2,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jerome Opoku,gh GHA,DF,25-077,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Vitinho,br BRA,"FW,MF",23-360,3,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.23,0.18,0.23,Matches
Miguel Puche García,es ESP,"FW,MF",22-244,12,0,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,7.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.23,0.06,0.23,Matches
André Bukia,cd COD,"MF,FW",28-302,8,0,120.0,1.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,15.0,11.0,23.0,0.75,0.75,1.5,0.75,1.5,0.44,0.27,0.71,0.44,0.71,Matches
Moses Yaw,gh GHA,"DF,MF",24-357,2,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benji Michel,us USA,"FW,MF",26-068,4,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.36,0.17,0.36,Matches
Yusuf Lawal,ng NGA,"FW,MF",25-282,4,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
Mosquito,br BRA,GK,27-201,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pedro Manuel da Silva Moreira,pt POR,MF,34-229,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Valido,pt POR,GK,23-302,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.8,15,165,1350.0,15.0,21.0,16.0,37.0,21.0,0.0,2.0,42.0,6.0,20.3,18.7,13.5,32.2,205.0,584.0,579.0,1.4,1.07,2.47,1.4,2.47,1.35,0.9,2.25,1.25,2.14,
Opponent Total,,,26.9,15,165,1350.0,15.0,20.0,15.0,35.0,16.0,4.0,6.0,49.0,6.0,18.3,13.8,11.9,25.7,216.0,549.0,541.0,1.33,1.0,2.33,1.07,2.07,1.22,0.79,2.02,0.92,1.71,
